date,open,close
2021-07-01,12.25,26.9
2021-07-02,27.9,23.96
2021-07-06,23.34,23.96
2021-07-07,21.75,21.75
2021-07-08,21.45,21.45
2021-07-09,19.1,20.9
2021-07-12,20.45,21.35
2021-07-13,23.0,20.1
2021-07-14,21.0,19.43
2021-07-15,19.5,19.12
2021-07-16,19.12,19.0
2021-07-19,18.53,17.92
2021-07-20,18.0,17.88
2021-07-21,19.63,17.85
2021-07-22,18.0,17.26
2021-07-23,17.5,16.77
2021-07-26,16.0,15.0
2021-07-27,15.0,15.63
2021-07-28,15.99,16.0
2021-07-29,16.79,17.79
2021-07-30,17.78,18.75
2021-08-02,18.7,18.1
2021-08-03,20.0,17.55
2021-08-04,17.35,16.6
2021-08-05,16.18,16.52
2021-08-06,17.0,16.44
2021-08-09,17.25,16.75
2021-08-10,17.0,16.83
2021-08-11,18.0,16.65
2021-08-12,17.0,16.4
2021-08-13,16.4,16.0
2021-08-16,16.0,15.95
2021-08-17,15.4,15.25
2021-08-18,15.05,15.19
2021-08-19,15.25,15.01
2021-08-20,17.0,15.09
2021-08-23,15.1,15.56
2021-08-24,15.1,16.11
2021-08-25,16.1,16.95
2021-08-26,16.75,16.08
2021-08-27,16.14,15.8
2021-08-30,16.05,16.9
2021-08-31,16.5,16.8
2021-09-01,16.6,16.7
2021-09-02,16.6,16.69
2021-09-03,16.96,16.57
2021-09-07,16.28,16.9
2021-09-08,17.0,16.5
2021-09-09,16.1,15.76
2021-09-10,15.76,15.91
2021-09-13,15.8,15.85
2021-09-14,15.8,15.682
2021-09-15,15.0,15.75
2021-09-16,14.77,16.2
2021-09-17,16.04,16.35
2021-09-20,15.55,16.2
2021-09-21,15.85,16.4
2021-09-22,16.55,16.55
2021-09-23,16.55,16.98
2021-09-24,16.98,18.95
2021-09-27,19.4,19.5
2021-09-28,20.0,19.29
2021-09-29,19.28,19.2
2021-09-30,19.55,19.55
2021-10-01,19.78,19.3
2021-10-04,20.0,20.16
2021-10-05,20.74,22.15
2021-10-06,23.0,26.5
2021-10-07,26.81,26.0
2021-10-08,25.75,26.25
2021-10-11,26.25,26.75
2021-10-12,26.77,26.9
2021-10-13,26.21,26.95
2021-10-14,27.1,26.68
2021-10-15,26.6,25.701
2021-10-18,25.7,25.875
2021-10-19,25.8,22.5
2021-10-20,22.5,25.06
2021-10-21,25.0,25.55
2021-10-22,25.3,24.69
2021-10-25,28.0,27.17
2021-10-26,28.45,27.45
2021-10-27,28.7,27.01
2021-10-28,28.0,28.46
2021-10-29,29.0,31.02
2021-11-01,32.25,34.15
2021-11-02,32.48,35.06
2021-11-03,31.0,31.8
2021-11-04,31.8,32.62
2021-11-05,34.99,34.39
2021-11-08,35.5,32.62
2021-11-09,26.17,26.17
2021-11-10,26.26,25.39
2021-11-11,25.81,26.42
2021-11-12,26.99,26.97
2021-11-15,26.98,24.92
2021-11-16,24.7,23.11
2021-11-17,22.84,23.03
2021-11-18,23.15,21.46
2021-11-19,21.39,20.83
2021-11-22,21.0,22.51
2021-11-23,22.52,21.97
2021-11-24,22.01,24.4
2021-11-26,22.83,23.87
2021-11-29,25.67,25.3
2021-11-30,24.61,24.16
2021-12-01,24.6,23.14
2021-12-02,23.09,24.28
2021-12-03,24.1,24.06
2021-12-06,24.92,25.98
2021-12-07,26.61,26.17
2021-12-08,26.53,26.59
2021-12-09,26.23,25.93
2021-12-10,25.85,24.92
2021-12-13,25.0,23.9
2021-12-14,23.25,22.58
2021-12-15,22.52,22.31
2021-12-16,22.88,21.01
2021-12-17,20.82,20.94
2021-12-20,20.58,20.88
2021-12-21,21.34,22.13
2021-12-22,22.19,22.92
2021-12-23,23.4,24.0
2021-12-27,24.17,24.99
2021-12-28,25.0,24.57
2021-12-29,24.55,24.58
2021-12-30,24.42,24.33
2021-12-31,24.37,24.99
2022-01-03,25.96,24.75
2022-01-04,24.54,24.55
2022-01-05,24.75,23.7
2022-01-06,23.41,24.0
2022-01-07,24.23,24.31
2022-01-10,24.38,24.68
2022-01-11,24.58,24.41
2022-01-12,24.6,24.43
2022-01-13,24.69,24.16
2022-01-14,23.76,24.0
2022-01-18,23.4,23.68
2022-01-19,23.76,21.7
2022-01-20,21.79,20.93
2022-01-21,20.62,19.0
2022-01-24,18.23,18.51
2022-01-25,17.89,18.25
2022-01-26,18.85,18.26
2022-01-27,18.36,17.74
2022-01-28,17.65,18.18
2022-01-31,18.44,19.26
2022-02-01,19.53,19.96
2022-02-02,20.05,19.75
2022-02-03,19.26,19.25
2022-02-04,19.61,19.74
2022-02-07,19.4,19.36
2022-02-08,19.27,20.0
2022-02-09,20.25,20.8
2022-02-10,20.58,20.8
2022-02-11,20.75,19.84
2022-02-14,19.7,20.42
2022-02-15,20.84,19.76
2022-02-16,19.68,19.45
2022-02-17,19.19,18.93
2022-02-18,19.16,18.31
2022-02-22,18.2,17.96
2022-02-23,18.28,17.19
2022-02-24,15.16,19.75
2022-02-25,19.78,20.81
2022-02-28,20.24,20.32
2022-03-01,20.27,19.07
2022-03-02,19.07,20.21
2022-03-03,20.47,19.91
2022-03-04,19.72,19.21
2022-03-07,19.07,18.23
2022-03-08,18.2,18.59
2022-03-09,19.0,20.04
2022-03-10,19.57,21.08
2022-03-11,21.21,21.54
2022-03-14,21.35,21.5
2022-03-15,21.55,22.04
