date,open,close
2021-05-26,22.75,21.65
2021-05-27,22.75,22.7
2021-05-28,22.5,20.35
2021-06-01,20.425,20.1145
2021-06-02,20.5,21.225
2021-06-03,21.25,20.238
2021-06-04,20.2,19.7
2021-06-07,19.8,19.5
2021-06-08,19.25,19.597
2021-06-09,19.7,20.275
2021-06-10,23.25,25.2
2021-06-11,20.25,20.3645
2021-06-14,22.0,21.7375
2021-06-15,21.45,21.45
2021-06-16,21.15,19.85
2021-06-17,19.5,19.2
2021-06-18,18.55,18.75
2021-06-21,17.4,17.9
2021-06-22,16.25,17.8
2021-06-23,19.0,18.05
2021-06-24,18.35,19.2
2021-06-25,18.6,18.45
2021-06-28,19.15,18.8
2021-06-29,19.75,19.65
2021-06-30,19.35,22.0
2021-07-01,21.5,23.7
2021-07-02,23.55,25.8
2021-07-06,27.95,27.25
2021-07-07,27.0,25.95
2021-07-08,23.5,24.25
2021-07-09,24.5,24.2
2021-07-12,24.5,24.6
2021-07-13,24.55,22.45
2021-07-14,22.45,21.15
2021-07-15,20.7,20.5
2021-07-16,21.0,19.7
2021-07-19,19.3,18.45
2021-07-20,18.45,19.3
2021-07-21,20.1,21.1
2021-07-22,21.2,20.8
2021-07-23,21.2,20.45
2021-07-26,23.4,24.7
2021-07-27,23.6,22.55
2021-07-28,23.7,22.65
2021-07-29,22.45,22.65
2021-07-30,22.5,23.65
2021-08-02,23.75,23.85
2021-08-03,23.65,24.15
2021-08-04,24.85,26.15
2021-08-05,25.8,26.85
2021-08-06,27.5,29.6
2021-08-09,33.4,32.15
2021-08-10,32.5,31.4
2021-08-11,32.15,35.3
2021-08-12,33.4,32.85
2021-08-13,34.6,32.8
2021-08-16,33.5,33.0
2021-08-17,32.45,29.55
2021-08-18,29.15,30.2
2021-08-19,29.35,30.9
2021-08-20,31.7,33.05
2021-08-23,35.5,34.6
2021-08-24,34.35,33.4
2021-08-25,32.75,35.2
2021-08-26,33.9,33.7
2021-08-27,34.0,38.7
2021-08-30,37.15,41.4
2021-08-31,40.8,39.3
2021-09-01,40.05,40.55
2021-09-02,43.35,44.65
2021-09-03,47.45,53.35
2021-09-07,54.5,50.2
2021-09-08,49.1,51.25
2021-09-09,53.85,51.55
2021-09-10,50.75,48.85
2021-09-13,47.55,48.2
2021-09-14,50.75,51.85
2021-09-15,43.9,43.85
2021-09-16,45.0,45.5
2021-09-17,44.8,44.45
2021-09-20,40.4,39.15
2021-09-21,39.3,38.6
2021-09-22,39.45,43.2
2021-09-23,44.65,44.35
2021-09-24,40.55,42.0
2021-09-27,42.75,43.5
2021-09-28,43.0,40.3
2021-09-29,41.1,39.05
2021-09-30,40.75,42.0
2021-10-01,45.1,46.35
2021-10-04,45.8,48.05
2021-10-05,48.85,51.55
2021-10-06,53.5,50.55
2021-10-07,49.95,49.1
2021-10-08,50.25,52.15
2021-10-11,53.15,53.5
2021-10-12,53.5,50.5
2021-10-13,49.8,54.1
2021-10-14,54.6,52.8
2021-10-15,55.4,61.1
2021-10-18,60.75,59.85
2021-10-19,61.55,59.95
2021-10-20,60.6,61.75
2021-10-21,61.15,58.45
2021-10-22,58.25,55.75
2021-10-25,57.8,65.25
2021-10-26,64.55,64.6
2021-10-27,60.7,60.15
2021-10-28,63.75,61.0
2021-10-29,60.85,67.0
2021-11-01,68.2,70.3
2021-11-02,72.7,77.35
2021-11-03,76.0,76.65
2021-11-04,75.75,73.5
2021-11-05,74.35,72.6
2021-11-08,77.2,79.5
2021-11-09,82.05,77.0
2021-11-10,79.1,70.45
2021-11-11,74.35,70.9
2021-11-12,72.65,76.4
2021-11-15,76.85,73.15
2021-11-16,68.15,69.5
2021-11-17,69.55,67.45
2021-11-18,66.05,62.6
2021-11-19,64.2,66.1
2021-11-22,66.55,62.05
2021-11-23,62.2,63.4
2021-11-24,60.6,62.6
2021-11-26,58.55,60.95
2021-11-29,63.5,63.75
2021-11-30,64.25,60.25
2021-12-01,63.0,58.9
2021-12-02,57.5,52.45
2021-12-03,53.2,46.85
2021-12-06,40.3,45.95
2021-12-07,49.6,50.25
2021-12-08,49.85,49.75
2021-12-09,48.4,45.15
2021-12-10,47.0,43.9
2021-12-13,42.7,40.75
2021-12-14,39.85,40.55
2021-12-15,40.65,43.15
2021-12-16,43.6,39.8
2021-12-17,37.55,39.0
2021-12-20,37.2,37.55
2021-12-21,39.05,40.9
2021-12-22,40.5,40.7
2021-12-23,40.8,43.75
2021-12-27,45.0,44.05
2021-12-28,41.4,38.5
2021-12-29,38.1,38.25
2021-12-30,38.1,38.6
2021-12-31,38.95,39.25
2022-01-03,39.9,38.85
2022-01-04,39.2,40.5
2022-01-05,40.15,35.5
2022-01-06,33.35,34.25
2022-01-07,33.55,33.05
2022-01-10,31.2,33.05
2022-01-11,32.9,33.95
2022-01-12,35.4,34.6
2022-01-13,35.0,32.3
2022-01-14,31.75,33.1
2022-01-18,32.3,30.9
2022-01-19,31.25,30.35
2022-01-20,31.1,31.15
2022-01-21,28.8,26.85
2022-01-24,22.65,27.0
2022-01-25,26.85,27.4
2022-01-26,29.5,28.8
2022-01-27,29.65,25.6
2022-01-28,26.0,27.6
2022-01-31,27.6,29.7
2022-02-01,31.5,32.4
2022-02-02,32.35,30.45
2022-02-03,29.55,28.9
2022-02-04,29.8,32.45
2022-02-07,35.2,35.9
2022-02-08,35.3,36.75
2022-02-09,37.25,39.1
2022-02-10,37.1,38.2
2022-02-11,38.1,35.65
2022-02-14,35.1,34.45
2022-02-15,36.3,36.9
2022-02-16,35.45,35.9
2022-02-17,34.85,31.95
2022-02-18,31.65,29.7
2022-02-22,28.55,28.3
2022-02-23,29.25,26.95
2022-02-24,24.5,28.55
2022-02-25,29.35,28.7
2022-02-28,28.65,30.55
2022-03-01,32.7,30.55
2022-03-02,30.3,31.05
2022-03-03,31.2,28.45
2022-03-04,27.9,26.6
2022-03-07,26.7,24.65
2022-03-08,24.75,25.4
2022-03-09,27.55,28.2
2022-03-10,26.8,27.0
2022-03-11,27.65,24.95
2022-03-14,25.0,23.15
2022-03-15,23.45,24.05
2022-03-16,24.75,26.05
2022-03-17,24.7,27.85
2022-03-18,27.4,28.85
2022-03-21,28.5,28.45
2022-03-22,29.6,29.35
2022-03-23,29.1,28.75
2022-03-24,29.45,30.55
2022-03-25,31.25,29.5
2022-03-28,31.4,31.2
2022-03-29,31.0,30.45
2022-03-30,30.0,29.0
2022-03-31,29.05,27.6
2022-04-01,27.7,27.8
2022-04-04,27.95,27.75
2022-04-05,27.95,26.15
2022-04-06,25.55,24.7
2022-04-07,24.55,24.4
2022-04-08,24.0,23.45
2022-04-11,22.8,22.85
2022-04-12,23.3,22.25
2022-04-13,22.25,23.35
2022-04-14,23.45,22.1
2022-04-18,22.05,21.65
2022-04-19,21.6,22.7
2022-04-20,23.25,21.75
2022-04-21,22.5,20.6
2022-04-22,20.35,19.5
2022-04-25,19.0,19.6
2022-04-26,19.55,17.75
2022-04-27,17.9,17.95
2022-04-28,18.25,18.9
2022-04-29,18.4,17.8
2022-05-02,17.8,18.5
2022-05-03,18.35,18.5
2022-05-04,18.7,20.05
2022-05-05,19.5,18.15
2022-05-06,17.6,17.05
2022-05-09,15.85,14.15
2022-05-10,15.15,14.0
2022-05-11,12.9,12.2
2022-05-12,11.25,12.2
2022-05-13,13.25,13.7
2022-05-16,13.6,12.45
2022-05-17,13.4,13.25
2022-05-18,12.75,12.35
2022-05-19,12.45,12.35
2022-05-20,12.8,12.4
2022-05-23,12.5,12.2
2022-05-24,11.9,11.2
2022-05-25,11.1,11.2
2022-05-26,10.75,11.55
2022-05-27,11.75,12.6
2022-05-31,13.45,12.75
