date,open,close
2021-10-27,27.55,29.0
2021-10-28,28.52,29.5
2021-10-29,29.2,29.66
2021-11-01,29.71,29.65
2021-11-02,29.48,31.16
2021-11-03,31.2,31.32
2021-11-04,31.32,31.47
2021-11-05,31.52,31.27
2021-11-08,31.53,32.56
2021-11-09,32.56,32.89
2021-11-10,33.0,32.89
2021-11-11,32.89,32.52
2021-11-12,32.25,32.34
2021-11-15,32.55,33.2
2021-11-16,33.27,32.35
2021-11-17,32.05,32.98
2021-11-18,32.97,33.5
2021-11-19,33.65,33.23
2021-11-22,33.69,33.17
2021-11-23,32.92,31.95
2021-11-24,31.4,32.45
2021-11-26,32.39,32.99
2021-11-29,33.11,34.4
2021-11-30,34.0,32.19
2021-12-01,33.23,33.96
2021-12-02,33.73,33.97
2021-12-03,33.91,32.52
2021-12-06,32.55,33.76
2021-12-07,34.27,35.02
2021-12-08,34.62,36.39
2021-12-09,36.72,35.0
2021-12-10,35.12,38.52
2021-12-13,38.18,36.35
2021-12-14,36.39,36.46
2021-12-15,36.22,38.83
2021-12-16,39.0,36.02
2021-12-17,35.51,36.43
2021-12-20,35.73,36.64
2021-12-21,36.7,35.48
2021-12-22,35.19,34.74
2021-12-23,34.68,35.21
2021-12-27,35.5,35.19
2021-12-28,35.18,35.12
2021-12-29,35.1,36.35
2021-12-30,36.0,37.22
2021-12-31,37.19,36.98
2022-01-03,37.05,35.95
2022-01-04,35.7,34.31
2022-01-05,34.32,31.23
2022-01-06,30.84,30.52
2022-01-07,30.5,30.12
2022-01-10,29.55,29.95
2022-01-11,29.77,31.9
2022-01-12,32.14,31.75
2022-01-13,31.66,29.87
2022-01-14,29.65,29.49
2022-01-18,28.83,28.09
2022-01-19,28.2,27.36
2022-01-20,27.47,26.45
2022-01-21,26.18,25.68
2022-01-24,25.0,27.38
2022-01-25,26.79,26.1
2022-01-26,26.88,26.1
2022-01-27,27.05,25.89
2022-01-28,25.81,25.99
2022-01-31,26.13,27.92
2022-02-01,29.55,28.83
2022-02-02,28.87,27.94
2022-02-03,26.98,26.35
2022-02-04,26.12,27.15
2022-02-07,27.26,27.63
2022-02-08,27.18,28.7
2022-02-09,29.11,29.06
2022-02-10,28.43,28.57
2022-02-11,28.59,25.74
2022-02-14,25.55,26.1
2022-02-15,26.44,27.48
2022-02-16,27.33,28.15
2022-02-17,25.05,20.18
2022-02-18,20.11,20.35
2022-02-22,19.77,21.25
2022-02-23,21.16,20.24
2022-02-24,19.23,22.04
2022-02-25,21.63,21.77
2022-02-28,21.34,20.16
2022-03-01,20.17,20.05
2022-03-02,20.0,19.75
2022-03-03,19.81,18.75
2022-03-04,17.03,17.65
2022-03-07,17.68,17.73
2022-03-08,17.32,17.8
2022-03-09,18.51,18.25
2022-03-10,17.88,17.96
2022-03-11,17.88,16.99
2022-03-14,16.98,16.78
2022-03-15,16.91,17.12
2022-03-16,17.31,18.15
2022-03-17,18.0,18.73
2022-03-18,18.63,18.83
2022-03-21,18.63,19.04
2022-03-22,18.99,19.82
2022-03-23,19.46,18.97
2022-03-24,18.9,19.33
2022-03-25,19.43,18.84
2022-03-28,18.75,19.23
2022-03-29,19.4,20.36
2022-03-30,19.39,19.9
2022-03-31,20.01,19.74
2022-04-01,19.84,20.18
2022-04-04,20.18,20.18
2022-04-05,20.17,19.5
2022-04-06,19.23,19.14
2022-04-07,19.07,19.07
2022-04-08,18.77,19.0
2022-04-11,18.79,19.5
2022-04-12,19.73,20.3
2022-04-13,20.22,21.59
2022-04-14,22.04,21.23
2022-04-18,21.0,21.14
2022-04-19,21.13,22.03
2022-04-20,21.61,22.0
2022-04-21,22.22,21.19
2022-04-22,21.15,21.25
2022-04-25,21.38,21.62
2022-04-26,21.59,20.79
2022-04-27,20.8,20.2
2022-04-28,20.42,20.67
2022-04-29,20.71,19.46
2022-05-02,19.25,20.18
2022-05-03,20.21,19.94
2022-05-04,20.05,20.58
2022-05-05,20.24,20.26
2022-05-06,20.01,19.85
2022-05-09,19.46,17.57
2022-05-10,17.9,17.68
2022-05-11,17.67,17.25
2022-05-12,17.01,17.51
2022-05-13,17.95,18.5
2022-05-16,18.52,18.04
2022-05-17,17.45,18.8
2022-05-18,18.45,17.78
2022-05-19,17.72,18.4
2022-05-20,18.77,18.72
2022-05-23,18.78,19.18
2022-05-24,18.83,18.79
2022-05-25,18.65,20.06
2022-05-26,20.14,20.57
2022-05-27,20.42,20.95
2022-05-31,20.84,20.4
2022-06-01,20.42,20.26
2022-06-02,20.2,20.85
2022-06-03,20.4,19.67
2022-06-06,19.97,20.36
2022-06-07,20.16,20.29
2022-06-08,20.14,20.34
2022-06-09,20.22,19.69
2022-06-10,19.27,18.52
2022-06-13,17.85,17.76
2022-06-14,17.78,18.0
2022-06-15,18.31,19.23
2022-06-16,18.65,18.09
2022-06-17,18.23,18.6
2022-06-21,18.96,19.26
2022-06-22,19.06,20.03
2022-06-23,20.26,20.61
2022-06-24,20.87,21.91
2022-06-27,21.47,20.76
2022-06-28,20.74,20.4
2022-06-29,20.48,20.77
2022-06-30,20.44,20.77
2022-07-01,20.76,21.55
2022-07-05,21.22,21.37
2022-07-06,21.41,21.13
2022-07-07,21.21,21.64
2022-07-08,21.36,21.45
2022-07-11,21.22,21.32
2022-07-12,21.38,20.51
2022-07-13,19.94,20.05
2022-07-14,19.74,20.48
2022-07-15,20.65,20.15
2022-07-18,20.43,19.53
2022-07-19,19.82,19.91
2022-07-20,19.99,20.52
2022-07-21,20.57,21.05
2022-07-22,20.8,19.84
2022-07-25,19.92,19.86
2022-07-26,19.75,19.2
2022-07-27,19.44,20.06
2022-07-28,20.22,21.47
2022-07-29,21.31,22.9
2022-08-01,22.49,22.0
2022-08-02,21.62,22.35
2022-08-03,22.4,22.87
2022-08-04,22.83,23.34
2022-08-05,22.93,23.47
2022-08-08,23.52,22.85
2022-08-09,22.7,22.56
2022-08-10,23.13,23.49
2022-08-11,23.65,23.15
2022-08-12,23.28,23.1
2022-08-15,23.1,23.72
2022-08-16,22.23,23.51
2022-08-17,22.99,23.66
2022-08-18,23.29,22.98
2022-08-19,22.67,22.36
2022-08-22,21.95,22.85
2022-08-23,22.92,22.27
2022-08-24,22.39,22.42
2022-08-25,22.59,23.2
2022-08-26,23.26,22.67
2022-08-29,22.37,22.11
2022-08-30,22.08,22.11
2022-08-31,22.25,22.07
2022-09-01,21.8,21.55
2022-09-02,21.94,21.17
2022-09-06,21.05,21.72
2022-09-07,21.62,21.55
2022-09-08,21.31,21.78
2022-09-09,21.86,21.95
2022-09-12,21.94,22.15
2022-09-13,21.81,21.5
2022-09-14,21.5,22.06
2022-09-15,21.89,21.12
2022-09-16,20.82,20.64
2022-09-19,20.47,21.31
2022-09-20,21.09,20.62
2022-09-21,20.58,20.48
2022-09-22,20.47,20.37
2022-09-23,20.06,19.97
2022-09-26,19.84,19.82
2022-09-27,20.11,20.33
2022-09-28,20.3,20.77
2022-09-29,20.58,20.42
2022-09-30,20.31,20.07
2022-10-03,20.33,20.91
2022-10-04,21.19,21.45
2022-10-05,21.25,21.64
2022-10-06,21.49,21.28
2022-10-07,21.04,20.7
2022-10-10,20.73,18.82
2022-10-11,18.8,18.21
2022-10-12,18.31,18.72
2022-10-13,18.22,19.47
2022-10-14,19.61,18.77
2022-10-17,19.2,19.45
2022-10-18,19.95,19.88
2022-10-19,19.59,19.38
2022-10-20,19.45,19.13
2022-10-21,19.13,19.22
2022-10-24,19.37,18.9
2022-10-25,19.12,20.0
2022-10-26,19.58,19.23
2022-10-27,17.7,19.09
2022-10-28,18.97,19.1
2022-10-31,18.98,19.36
2022-11-01,19.62,19.5
2022-11-02,19.27,18.68
2022-11-03,18.56,18.1
2022-11-04,18.3,17.42
2022-11-07,17.47,18.3
2022-11-08,18.5,18.45
2022-11-09,18.29,18.1
2022-11-10,19.08,18.95
2022-11-11,18.95,19.01
2022-11-14,18.96,18.74
2022-11-15,19.32,18.99
2022-11-16,17.68,17.95
2022-11-17,17.69,17.58
2022-11-18,17.92,17.47
2022-11-21,17.43,17.19
2022-11-22,17.29,17.24
2022-11-23,17.16,17.43
2022-11-25,17.35,17.34
2022-11-28,17.3,17.08
2022-11-29,17.0,16.81
2022-11-30,16.83,17.18
2022-12-01,17.28,17.24
2022-12-02,16.95,16.81
2022-12-05,16.67,15.97
2022-12-06,16.02,15.83
2022-12-07,15.85,15.88
2022-12-08,15.92,16.19
2022-12-09,16.14,15.96
2022-12-12,15.93,16.92
2022-12-13,17.5,16.8
2022-12-14,16.83,16.95
2022-12-15,16.64,16.66
2022-12-16,16.59,16.3
2022-12-19,16.31,15.91
2022-12-20,15.8,16.03
2022-12-21,16.11,16.16
2022-12-22,15.98,15.8
2022-12-23,15.74,15.92
2022-12-27,15.94,15.58
2022-12-28,15.52,15.57
2022-12-29,15.76,15.96
2022-12-30,15.7,16.29
2023-01-03,15.53,15.43
2023-01-04,15.57,15.91
2023-01-05,15.73,15.15
2023-01-06,15.25,15.33
2023-01-09,15.54,15.79
2023-01-10,15.42,15.55
2023-01-11,15.87,16.62
2023-01-12,16.0,16.1
2023-01-13,16.11,16.45
2023-01-17,16.33,16.67
2023-01-18,16.75,16.48
2023-01-19,16.33,16.68
2023-01-20,16.79,16.95
2023-01-23,17.05,17.11
2023-01-24,17.0,16.73
2023-01-25,16.48,16.91
2023-01-26,17.1,17.36
2023-01-27,17.49,18.08
2023-01-30,17.82,17.53
2023-01-31,17.61,17.8
2023-02-01,17.88,18.2
2023-02-02,18.58,19.46
2023-02-03,19.2,18.97
2023-02-06,18.74,18.37
2023-02-07,18.46,18.59
2023-02-08,18.64,18.34
2023-02-09,18.83,18.58
2023-02-10,18.42,18.6
2023-02-13,18.56,18.4
2023-02-14,18.36,18.35
2023-02-15,18.23,18.55
2023-02-16,17.0,18.31
2023-02-17,18.09,18.08
2023-02-21,17.63,17.61
2023-02-22,17.73,17.64
2023-02-23,17.91,17.65
2023-02-24,17.28,17.5
2023-02-27,17.67,17.35
2023-02-28,17.3,17.25
2023-03-01,17.34,17.06
2023-03-02,17.0,17.02
2023-03-03,17.06,17.0
2023-03-06,17.12,17.29
2023-03-07,17.32,17.01
2023-03-08,17.05,16.96
2023-03-09,16.98,15.92
2023-03-10,15.9,15.74
2023-03-13,15.54,15.86
2023-03-14,16.0,15.7
2023-03-15,15.48,16.09
2023-03-16,16.03,16.52
2023-03-17,16.39,16.4
2023-03-20,16.33,16.07
2023-03-21,16.2,16.6
2023-03-22,16.57,16.09
2023-03-23,16.21,16.29
2023-03-24,16.26,16.25
2023-03-27,16.26,16.14
2023-03-28,16.12,15.9
2023-03-29,16.06,16.2
2023-03-30,16.33,16.17
2023-03-31,16.2,16.4
2023-04-03,16.42,16.64
2023-04-04,16.62,16.16
2023-04-05,16.29,15.77
2023-04-06,15.68,15.86
2023-04-10,15.73,15.83
2023-04-11,15.7,16.05
2023-04-12,16.23,15.81
2023-04-13,15.96,16.16
2023-04-14,15.99,15.88
2023-04-17,15.9,16.08
2023-04-18,16.23,15.78
2023-04-19,15.59,15.87
2023-04-20,15.75,15.64
2023-04-21,15.64,15.7
2023-04-24,15.68,15.48
2023-04-25,15.34,15.31
2023-04-26,15.54,15.43
2023-04-27,15.58,15.36
2023-04-28,15.37,15.46
2023-05-01,15.38,15.37
2023-05-02,15.34,15.12
2023-05-03,15.03,14.8
2023-05-04,14.01,14.09
2023-05-05,14.23,14.51
2023-05-08,14.44,14.67
2023-05-09,14.51,14.72
2023-05-10,14.94,15.05
2023-05-11,14.98,14.84
2023-05-12,14.88,14.71
2023-05-15,14.78,15.02
2023-05-16,15.31,15.15
2023-05-17,15.22,15.72
2023-05-18,15.74,16.14
2023-05-19,16.18,16.06
2023-05-22,16.06,16.65
2023-05-23,16.58,16.82
2023-05-24,16.62,16.58
2023-05-25,16.75,16.57
2023-05-26,16.6,16.61
2023-05-30,16.77,17.0
2023-05-31,16.91,17.66
2023-06-01,17.41,17.77
2023-06-02,17.87,17.73
2023-06-05,17.64,17.67
2023-06-06,17.67,18.14
2023-06-07,18.14,17.63
2023-06-08,17.63,17.68
2023-06-09,17.79,17.61
2023-06-12,17.7,18.15
2023-06-13,18.39,18.47
2023-06-14,18.55,18.62
2023-06-15,18.57,18.62
2023-06-16,18.8,18.54
2023-06-20,18.36,18.35
2023-06-21,18.26,17.8
2023-06-22,17.77,17.94
2023-06-23,17.74,17.91
2023-06-26,17.84,17.5
2023-06-27,17.56,17.78
2023-06-28,17.79,18.33
2023-06-29,18.36,18.17
2023-06-30,18.27,18.5
2023-07-03,18.42,18.46
2023-07-05,18.32,18.21
2023-07-06,17.9,17.89
2023-07-07,17.87,17.65
2023-07-10,17.62,18.07
2023-07-11,18.21,18.19
2023-07-12,18.54,18.34
2023-07-13,18.49,18.94
2023-07-14,19.0,18.69
2023-07-17,18.7,18.91
2023-07-18,18.98,18.89
2023-07-19,19.02,19.0
2023-07-20,18.88,18.69
2023-07-21,18.79,18.61
2023-07-24,18.65,18.61
2023-07-25,18.73,18.69
2023-07-26,18.75,18.78
2023-07-27,19.07,18.4
2023-07-28,18.61,18.61
2023-07-31,18.76,19.04
2023-08-01,19.14,19.16
2023-08-02,18.88,18.37
2023-08-03,20.0,21.37
2023-08-04,21.54,21.72
2023-08-07,21.78,21.75
2023-08-08,21.6,21.18
2023-08-09,21.23,20.15
2023-08-10,20.41,20.21
2023-08-11,20.09,20.1
2023-08-14,19.92,20.31
2023-08-15,20.2,20.21
2023-08-16,20.23,19.53
2023-08-17,19.51,19.17
2023-08-18,18.99,19.33
2023-08-21,19.39,19.54
2023-08-22,19.64,19.95
2023-08-23,19.94,20.12
2023-08-24,20.23,20.0
2023-08-25,20.1,20.31
2023-08-28,20.38,20.35
2023-08-29,20.28,20.47
2023-08-30,20.45,20.92
2023-08-31,20.9,20.95
2023-09-01,21.06,21.14
2023-09-05,20.98,21.54
2023-09-06,21.34,21.34
2023-09-07,20.86,21.32
2023-09-08,21.28,21.49
2023-09-11,21.57,21.75
2023-09-12,21.59,21.48
2023-09-13,21.55,21.23
2023-09-14,21.41,21.28
2023-09-15,21.21,21.21
2023-09-18,21.02,21.36
2023-09-19,21.22,21.13
2023-09-20,21.2,21.15
2023-09-21,20.94,20.71
2023-09-22,20.88,20.53
2023-09-25,20.46,20.55
2023-09-26,20.37,19.9
2023-09-27,20.09,20.18
2023-09-28,20.1,20.19
2023-09-29,20.62,21.07
2023-10-02,21.02,20.88
2023-10-03,20.7,20.5
2023-10-04,20.61,20.85
2023-10-05,20.79,20.85
2023-10-06,20.68,21.49
2023-10-09,21.29,21.59
2023-10-10,21.56,21.55
2023-10-11,21.65,21.64
2023-10-12,21.71,21.18
2023-10-13,21.15,20.78
2023-10-16,21.01,21.24
2023-10-17,21.08,21.4
2023-10-18,21.25,20.76
2023-10-19,20.89,20.66
2023-10-20,20.6,20.42
2023-10-23,20.24,19.91
2023-10-24,20.04,20.31
2023-10-25,20.22,19.5
2023-10-26,19.4,19.32
2023-10-27,19.53,19.1
2023-10-30,19.23,18.87
2023-10-31,18.97,19.18
2023-11-01,19.04,19.16
2023-11-02,21.49,22.58
2023-11-03,23.03,23.48
2023-11-06,23.2,22.77
2023-11-07,22.7,23.1
2023-11-08,23.1,23.18
2023-11-09,23.18,22.82
2023-11-10,22.77,23.38
2023-11-13,23.22,23.88
2023-11-14,24.09,24.91
2023-11-15,24.92,24.44
2023-11-16,24.26,24.31
2023-11-17,24.42,24.48
2023-11-20,24.46,24.79
2023-11-21,24.61,24.5
2023-11-22,24.7,24.53
2023-11-24,24.43,24.66
2023-11-27,24.52,24.75
2023-11-28,24.62,25.08
2023-11-29,25.3,25.34
2023-11-30,25.35,25.09
2023-12-01,25.08,25.53
2023-12-04,25.25,25.9
2023-12-05,25.74,26.03
2023-12-06,26.46,27.39
2023-12-07,27.5,27.09
2023-12-08,26.79,27.33
2023-12-11,27.29,27.82
2023-12-12,27.72,28.18
2023-12-13,28.2,29.11
2023-12-14,29.32,29.0
2023-12-15,28.94,28.98
2023-12-18,28.88,29.0
2023-12-19,29.0,28.61
2023-12-20,28.58,28.28
2023-12-21,28.68,28.75
2023-12-22,28.79,29.01
2023-12-26,29.18,29.11
2023-12-27,29.22,29.02
2023-12-28,28.94,28.69
2023-12-29,28.69,28.39
2024-01-02,27.86,26.95
2024-01-03,26.63,25.9
2024-01-04,25.94,26.38
2024-01-05,26.25,26.52
2024-01-08,26.79,27.15
2024-01-09,26.98,27.87
2024-01-10,27.92,28.41
2024-01-11,28.41,28.75
2024-01-12,28.8,29.07
2024-01-16,28.84,29.08
2024-01-17,28.69,28.95
2024-01-18,29.43,29.03
2024-01-19,29.44,30.29
2024-01-22,30.77,30.9
2024-01-23,30.94,30.16
2024-01-24,30.57,29.81
2024-01-25,30.07,29.98
2024-01-26,29.93,30.12
2024-01-29,30.25,30.75
2024-01-30,30.71,30.47
2024-01-31,30.38,30.0
2024-02-01,30.22,30.9
2024-02-02,30.69,31.0
2024-02-05,31.02,30.25
2024-02-06,30.3,30.03
2024-02-07,30.26,30.2
2024-02-08,30.34,31.12
2024-02-09,31.12,31.12
2024-02-12,31.14,31.29
2024-02-13,30.34,29.51
2024-02-14,29.96,30.13
2024-02-15,35.57,33.97
2024-02-16,34.82,34.09
2024-02-20,32.52,32.16
2024-02-21,31.38,31.86
2024-02-22,32.64,32.6
2024-02-23,32.73,32.34
2024-02-26,32.53,32.27
2024-02-27,32.49,32.8
2024-02-28,32.56,32.31
2024-02-29,32.49,32.58
2024-03-01,32.4,32.46
2024-03-04,32.32,32.05
2024-03-05,31.64,31.7
2024-03-06,32.03,31.88
2024-03-07,32.0,32.11
2024-03-08,31.94,31.83
2024-03-11,31.67,31.91
2024-03-12,31.99,33.06
2024-03-13,33.08,34.04
2024-03-14,34.1,33.9
2024-03-15,33.67,34.25
2024-03-18,34.49,34.85
2024-03-19,34.57,34.72
2024-03-20,35.0,35.52
2024-03-21,35.92,36.13
2024-03-22,35.95,36.65
2024-03-25,36.4,36.22
2024-03-26,36.51,35.96
2024-03-27,36.27,35.51
2024-03-28,35.54,35.0
2024-04-01,34.95,35.2
2024-04-02,34.76,34.86
2024-04-03,35.26,35.37
2024-04-04,35.8,35.67
2024-04-05,35.41,36.66
2024-04-08,36.66,38.25
2024-04-09,38.18,38.15
2024-04-10,37.04,37.7
2024-04-11,38.0,38.81
2024-04-12,38.47,38.48
2024-04-15,37.5,35.98
2024-04-16,35.84,35.02
2024-04-17,35.32,34.68
2024-04-18,34.66,35.08
2024-04-19,35.09,35.19
2024-04-22,33.26,31.49
2024-04-23,31.76,31.39
2024-04-24,31.82,31.93
2024-04-25,31.15,31.84
2024-04-26,32.0,31.9
2024-04-29,32.3,31.79
2024-04-30,31.53,30.97
2024-05-01,31.02,30.85
2024-05-02,30.8,30.32
2024-05-03,30.7,29.84
2024-05-06,29.99,30.01
2024-05-07,29.92,29.94
2024-05-08,29.71,30.16
2024-05-09,30.08,29.89
2024-05-10,29.95,29.5
2024-05-13,29.71,29.43
2024-05-14,29.55,29.64
2024-05-15,30.0,30.37
2024-05-16,30.27,29.56
2024-05-17,29.57,29.52
2024-05-20,29.6,30.59
2024-05-21,30.42,30.16
2024-05-22,30.29,30.57
2024-05-23,30.75,29.87
2024-05-24,29.7,29.9
2024-05-28,29.95,29.7
2024-05-29,29.43,29.28
2024-05-30,29.04,28.79
2024-05-31,28.88,28.85
2024-06-03,28.91,28.27
2024-06-04,28.2,27.84
2024-06-05,28.19,28.91
2024-06-06,28.91,28.76
2024-06-07,28.58,28.61
2024-06-10,28.5,28.6
2024-06-11,28.66,28.66
2024-06-12,29.33,29.86
2024-06-13,29.91,29.56
2024-06-14,29.37,29.66
2024-06-17,29.6,29.91
2024-06-18,30.0,30.05
2024-06-20,30.11,30.03
2024-06-21,29.94,30.6
2024-06-24,30.44,30.23
2024-06-25,30.3,29.82
2024-06-26,29.61,29.8
2024-06-27,29.83,31.0
2024-06-28,31.11,30.88
2024-07-01,30.89,30.45
2024-07-02,30.25,30.51
2024-07-03,30.56,30.44
2024-07-05,30.56,31.2
2024-07-08,31.21,30.6
2024-07-09,30.48,28.96
2024-07-10,28.98,28.3
2024-07-11,28.71,28.07
2024-07-12,28.22,27.98
2024-07-15,28.25,27.21
2024-07-16,27.49,26.41
2024-07-17,26.21,25.32
2024-07-18,25.62,25.01
2024-07-19,25.1,24.55
2024-07-22,24.7,24.94
2024-07-23,24.78,24.91
2024-07-24,24.66,23.99
2024-07-25,24.3,23.99
2024-07-26,24.22,24.27
2024-07-29,24.39,24.37
2024-07-30,24.25,24.07
2024-07-31,24.35,23.94
2024-08-01,24.04,24.54
2024-08-02,24.26,23.8
2024-08-05,22.27,23.15
2024-08-06,23.4,23.26
2024-08-07,23.58,23.11
2024-08-08,23.41,23.67
2024-08-09,23.65,23.51
2024-08-12,23.54,23.63
2024-08-13,23.72,23.78
2024-08-14,23.85,23.58
2024-08-15,23.87,23.87
2024-08-16,23.79,24.01
2024-08-19,24.06,24.22
2024-08-20,24.15,24.27
2024-08-21,24.28,24.58
2024-08-22,24.59,24.37
2024-08-23,24.54,24.56
2024-08-26,24.63,24.82
2024-08-27,24.69,25.0
2024-08-28,24.88,24.47
2024-08-29,24.73,25.11
2024-08-30,25.17,24.91
2024-09-03,24.9,24.41
2024-09-04,24.07,24.32
2024-09-05,24.07,24.41
2024-09-06,24.5,24.18
2024-09-09,24.47,24.72
2024-09-10,24.68,24.39
2024-09-11,24.56,25.5
2024-09-12,25.57,25.56
2024-09-13,25.6,25.55
2024-09-16,25.59,25.65
2024-09-17,25.72,25.48
2024-09-18,25.5,25.05
2024-09-19,25.53,25.51
2024-09-20,25.41,25.48
2024-09-23,25.49,25.45
2024-09-24,25.5,25.66
2024-09-25,25.54,25.09
2024-09-26,25.42,25.37
2024-09-27,25.46,25.23
2024-09-30,25.1,25.28
2024-10-01,25.28,23.98
2024-10-02,23.93,24.06
2024-10-03,23.9,23.96
2024-10-04,24.25,25.4
2024-10-07,25.31,25.13
2024-10-08,25.17,25.46
2024-10-09,25.43,25.79
2024-10-10,25.53,25.94
2024-10-11,25.95,26.4
2024-10-14,26.62,26.75
2024-10-15,26.69,26.78
2024-10-16,26.76,26.87
2024-10-17,27.0,27.0
2024-10-18,27.08,26.83
2024-10-21,26.9,26.82
2024-10-22,26.8,26.85
2024-10-23,26.89,26.56
2024-10-24,26.61,26.65
2024-10-25,26.72,26.72
2024-10-28,26.87,26.4
2024-10-29,26.5,26.78
2024-10-30,26.77,26.68
2024-10-31,27.29,27.3
2024-11-01,27.35,26.21
2024-11-04,26.26,25.61
2024-11-05,25.54,25.56
2024-11-06,26.33,26.45
2024-11-07,26.7,27.1
2024-11-08,25.78,25.0
2024-11-11,25.18,24.49
2024-11-12,24.47,24.11
2024-11-13,24.1,25.47
2024-11-14,25.46,25.26
2024-11-15,24.86,24.79
2024-11-18,25.06,25.5
2024-11-19,25.26,25.74
2024-11-20,25.79,25.86
2024-11-21,26.0,26.45
2024-11-22,26.56,26.36
2024-11-25,26.6,26.37
2024-11-26,26.3,26.6
2024-11-27,26.78,26.39
2024-11-29,26.41,26.52
2024-12-02,26.4,26.43
2024-12-03,26.38,26.91
2024-12-04,27.17,27.39
2024-12-05,27.23,27.1
2024-12-06,27.14,27.13
2024-12-09,27.0,25.57
2024-12-10,25.59,26.37
2024-12-11,26.37,26.7
2024-12-12,27.4,27.07
2024-12-13,26.94,26.82
2024-12-16,26.73,27.22
2024-12-17,27.29,27.04
2024-12-18,26.98,26.07
2024-12-19,26.6,26.13
2024-12-20,26.0,26.86
2024-12-23,26.72,26.6
2024-12-24,26.62,26.93
2024-12-26,26.74,26.98
2024-12-27,26.89,26.22
2024-12-30,25.89,25.94
2024-12-31,26.1,25.93
2025-01-02,26.3,25.46
2025-01-03,25.53,26.5
2025-01-06,26.58,26.24
2025-01-07,26.43,25.94
2025-01-08,25.81,25.61
2025-01-10,25.25,25.02
2025-01-13,25.0,24.16
2025-01-14,24.24,24.69
2025-01-15,25.14,24.42
2025-01-16,24.4,24.53
2025-01-17,24.73,24.38
2025-01-21,24.59,24.86
2025-01-22,25.02,24.93
2025-01-23,24.75,24.72
2025-01-24,24.83,24.76
2025-01-27,24.21,24.96
2025-01-28,25.08,25.77
2025-01-29,25.64,25.65
2025-01-30,25.53,25.64
2025-01-31,25.8,25.68
2025-02-03,24.95,25.58
2025-02-04,25.8,25.92
2025-02-05,25.85,26.04
2025-02-06,26.06,25.81
2025-02-07,25.85,25.45
2025-02-10,25.65,25.95
2025-02-11,25.98,25.71
2025-02-12,25.29,26.1
2025-02-13,26.25,25.17
2025-02-14,16.67,19.75
