date,open,close
2020-05-11,12.58,14.09
2020-05-12,14.17,13.01
2020-05-13,12.79,11.86
2020-05-14,11.36,11.83
2020-05-15,11.59,12.03
2020-05-18,12.53,12.96
2020-05-19,13.0,12.86
2020-05-20,13.24,13.39
2020-05-21,13.25,13.52
2020-05-22,13.53,13.1
2020-05-26,13.71,13.34
2020-05-27,13.62,13.31
2020-05-28,13.41,14.31
2020-05-29,14.42,14.65
2020-06-01,14.6,15.13
2020-06-02,15.36,15.52
2020-06-03,15.76,16.35
2020-06-04,16.5,16.99
2020-06-05,17.64,16.96
2020-06-08,17.0,17.5
2020-06-09,17.15,16.57
2020-06-10,16.61,16.32
2020-06-11,14.91,14.43
2020-06-12,14.96,14.9
2020-06-15,14.35,15.28
2020-06-16,15.93,15.83
2020-06-17,15.86,15.58
2020-06-18,15.27,15.4
2020-06-19,15.58,15.21
2020-06-22,15.08,15.4
2020-06-23,15.61,15.58
2020-06-24,15.2,14.95
2020-06-25,14.85,14.28
2020-06-26,14.25,13.99
2020-06-29,14.08,13.95
2020-06-30,13.82,14.16
2020-07-01,14.22,13.99
2020-07-02,14.28,14.04
2020-07-06,14.34,15.16
2020-07-07,15.03,14.27
2020-07-08,14.24,14.33
2020-07-09,14.33,13.34
2020-07-10,13.18,12.91
2020-07-13,14.22,14.28
2020-07-14,14.83,16.18
2020-07-15,16.8,17.21
2020-07-16,16.45,17.24
2020-07-17,17.38,17.11
2020-07-20,17.25,17.8
2020-07-21,17.96,16.86
2020-07-22,16.81,16.14
2020-07-23,16.22,16.33
2020-07-24,16.07,15.9
2020-07-27,16.09,16.32
2020-07-28,16.21,15.88
2020-07-29,15.98,16.03
2020-07-30,15.76,16.39
2020-07-31,16.41,16.18
2020-08-03,16.18,16.75
2020-08-04,16.62,16.46
2020-08-05,16.56,16.17
2020-08-06,16.0,15.52
2020-08-07,15.42,15.88
2020-08-10,15.87,15.47
2020-08-11,15.86,15.56
2020-08-12,15.74,15.69
2020-08-13,15.6,15.99
2020-08-14,15.86,15.76
2020-08-17,15.88,16.82
2020-08-18,16.85,17.0
2020-08-19,17.0,17.19
2020-08-20,17.03,16.43
2020-08-21,17.01,15.83
2020-08-24,16.17,15.72
2020-08-25,15.86,16.2
2020-08-26,16.08,16.04
2020-08-27,16.16,16.18
2020-08-28,16.14,15.9
2020-08-31,15.89,15.81
2020-09-01,15.65,15.4
2020-09-02,15.78,17.78
2020-09-03,17.32,17.42
2020-09-04,17.28,16.55
2020-09-08,15.99,16.04
2020-09-09,16.16,16.93
2020-09-10,16.89,16.94
2020-09-11,17.06,16.97
2020-09-14,17.36,18.03
2020-09-15,18.11,18.51
2020-09-16,18.47,18.16
2020-09-17,17.74,18.25
2020-09-18,18.45,18.11
2020-09-21,17.58,17.4
2020-09-22,17.4,17.64
2020-09-23,17.64,17.73
2020-09-24,17.44,17.59
2020-09-25,17.45,18.05
2020-09-28,18.33,17.82
2020-09-29,17.88,17.82
2020-09-30,17.88,18.09
2020-10-01,18.27,18.67
2020-10-02,18.05,18.35
2020-10-05,18.5,18.9
2020-10-06,18.9,18.73
2020-10-07,19.0,18.86
2020-10-08,19.22,19.58
2020-10-09,19.81,19.84
2020-10-12,20.0,19.57
2020-10-13,21.43,20.85
2020-10-14,21.08,20.37
2020-10-15,20.23,20.16
2020-10-16,20.17,19.85
2020-10-19,20.0,19.55
2020-10-20,19.83,20.03
2020-10-21,20.16,21.0
2020-10-22,20.98,20.9
2020-10-23,20.9,20.75
2020-10-26,20.82,19.9
2020-10-27,19.8,19.47
2020-10-28,18.95,18.54
2020-10-29,18.56,18.8
2020-10-30,18.8,18.28
2020-11-02,18.52,18.82
2020-11-03,19.08,19.71
2020-11-04,19.97,20.09
2020-11-05,20.56,20.57
2020-11-06,20.36,20.69
2020-11-09,21.6,21.6
2020-11-10,21.61,21.61
2020-11-11,21.66,21.8
2020-11-12,22.13,20.45
2020-11-13,20.85,20.95
2020-11-16,21.2,20.91
2020-11-17,20.76,21.32
2020-11-18,21.39,21.38
2020-11-19,21.43,22.23
2020-11-20,22.36,21.5
2020-11-23,21.71,21.55
2020-11-24,21.61,21.65
2020-11-25,21.5,21.8
2020-11-27,21.94,21.86
2020-11-30,21.85,21.54
2020-12-01,21.52,22.41
2020-12-02,22.5,20.61
2020-12-03,20.8,20.67
2020-12-04,20.71,21.33
2020-12-07,21.35,21.03
2020-12-08,20.99,21.17
2020-12-09,21.32,21.59
2020-12-10,21.32,22.07
2020-12-11,22.06,22.32
2020-12-14,22.5,23.5
2020-12-15,23.76,23.08
2020-12-16,23.36,23.09
2020-12-17,23.11,23.27
2020-12-18,23.36,23.45
2020-12-21,22.95,23.85
2020-12-22,23.95,23.74
2020-12-23,23.9,23.7
2020-12-24,23.93,23.75
2020-12-28,23.9,23.68
2020-12-29,23.8,23.63
2020-12-30,23.64,23.74
2020-12-31,23.9,23.74
2021-01-04,23.99,23.17
2021-01-05,23.09,23.97
2021-01-06,23.9,23.43
2021-01-07,24.0,24.81
2021-01-08,24.9,25.11
2021-01-11,25.0,24.71
2021-01-12,25.24,26.62
2021-01-13,26.73,27.61
2021-01-14,28.07,28.32
2021-01-15,28.0,28.91
2021-01-19,29.5,28.86
2021-01-20,29.26,29.98
2021-01-21,30.67,29.28
2021-01-22,28.91,29.84
2021-01-25,30.32,30.43
2021-01-26,30.54,30.35
2021-01-27,29.67,28.93
2021-01-28,29.31,29.91
2021-01-29,29.91,29.43
2021-02-01,29.61,30.1
2021-02-02,30.68,31.74
2021-02-03,32.21,32.65
2021-02-04,33.04,33.4
2021-02-05,33.68,33.88
2021-02-08,34.63,34.87
2021-02-09,34.95,34.41
2021-02-10,36.0,34.84
2021-02-11,33.25,33.63
2021-02-12,34.47,33.99
2021-02-16,34.44,35.03
2021-02-17,35.0,34.66
2021-02-18,33.66,34.15
2021-02-19,34.34,34.55
2021-02-22,34.08,35.38
2021-02-23,33.85,35.16
2021-02-24,35.41,35.27
2021-02-25,35.06,33.58
2021-02-26,33.63,34.48
2021-03-01,35.0,36.15
2021-03-02,37.08,38.31
2021-03-03,38.22,37.74
2021-03-04,37.02,33.95
2021-03-05,34.2,33.79
2021-03-08,33.77,32.12
2021-03-09,33.1,34.2
2021-03-10,33.77,34.3
2021-03-11,35.43,36.96
2021-03-12,36.41,36.55
2021-03-15,36.5,35.66
2021-03-16,36.0,34.9
2021-03-17,34.17,35.4
2021-03-18,35.0,34.85
2021-03-19,35.06,35.53
2021-03-22,36.5,36.68
2021-03-23,36.58,35.75
2021-03-24,35.95,33.45
