date,open,close
2020-05-11,36.01,37.18
2020-05-12,37.67,35.89
2020-05-13,36.06,34.04
2020-05-14,33.56,35.37
2020-05-15,35.25,36.28
2020-05-18,37.42,36.56
2020-05-19,36.36,35.8
2020-05-20,36.77,37.25
2020-05-21,37.36,38.15
2020-05-22,38.23,41.0
2020-05-26,41.27,37.41
2020-05-27,37.1,38.09
2020-05-28,33.2,32.66
2020-05-29,32.81,32.09
2020-06-01,32.31,33.12
2020-06-02,33.26,33.32
2020-06-03,33.55,32.17
2020-06-04,31.95,30.86
2020-06-05,31.01,31.41
2020-06-08,31.15,32.17
2020-06-09,32.24,32.165
2020-06-10,32.62,31.4
2020-06-11,30.86,29.62
2020-06-12,30.13,29.51
2020-06-15,28.75,29.95
2020-06-16,30.6,30.175
2020-06-17,30.39,29.66
2020-06-18,29.52,29.945
2020-06-19,29.35,29.98
2020-06-22,30.13,30.04
2020-06-23,30.13,30.97
2020-06-24,30.62,28.69
2020-06-25,28.52,27.61
2020-06-26,27.44,27.47
2020-06-29,27.61,27.21
2020-06-30,27.39,27.45
2020-07-01,27.71,29.03
2020-07-02,29.23,29.09
2020-07-06,29.26,29.12
2020-07-07,29.16,29.94
2020-07-08,30.19,30.18
2020-07-09,30.31,30.34
2020-07-10,30.5,29.51
2020-07-13,29.53,28.29
2020-07-14,28.22,29.34
2020-07-15,29.79,30.14
2020-07-16,30.24,29.46
2020-07-17,29.43,30.61
2020-07-20,30.88,31.66
2020-07-21,32.16,30.06
2020-07-22,29.92,29.12
2020-07-23,29.13,27.75
2020-07-24,27.31,27.84
2020-07-27,28.04,29.18
2020-07-28,29.1,28.8
2020-07-29,28.86,28.65
2020-07-30,28.26,28.85
2020-07-31,28.9,29.07
2020-08-03,29.34,31.06
2020-08-04,31.16,30.77
2020-08-05,30.99,30.86
2020-08-06,30.8,31.15
2020-08-07,31.32,29.22
2020-08-10,29.49,28.53
2020-08-11,28.73,28.14
2020-08-12,28.01,28.26
2020-08-13,28.36,28.66
2020-08-14,28.59,27.79
2020-08-17,27.75,29.15
2020-08-18,29.4,28.76
2020-08-19,28.67,29.19
2020-08-20,29.11,28.96
2020-08-21,28.88,29.22
2020-08-24,29.28,28.89
2020-08-25,28.53,28.54
2020-08-26,28.58,27.98
2020-08-27,28.2,29.22
2020-08-28,29.31,31.68
2020-08-31,32.0,33.33
2020-09-01,33.39,33.94
2020-09-02,34.5,33.0
2020-09-03,32.77,31.33
2020-09-04,31.11,30.65
2020-09-08,29.88,31.46
2020-09-09,31.82,32.34
2020-09-10,32.65,31.69
2020-09-11,31.95,31.7
2020-09-14,32.99,35.25
2020-09-15,35.68,35.72
2020-09-16,36.05,36.3
2020-09-17,35.44,35.65
2020-09-18,35.69,36.15
2020-09-21,34.95,33.99
2020-09-22,34.26,33.51
2020-09-23,33.62,33.34
2020-09-24,32.93,31.72
2020-09-25,31.52,31.81
2020-09-28,32.32,31.92
2020-09-29,31.88,32.3
2020-09-30,32.34,32.92
2020-10-01,32.98,33.64
2020-10-02,33.28,31.5
2020-10-05,31.85,32.06
2020-10-06,25.0,28.1
2020-10-07,29.06,28.04
2020-10-08,28.41,29.42
2020-10-09,29.85,31.19
2020-10-12,31.2,31.06
2020-10-13,30.85,32.44
2020-10-14,32.92,34.6
2020-10-15,34.49,36.05
2020-10-16,36.83,37.64
2020-10-19,37.41,36.36
2020-10-20,36.5,37.86
2020-10-21,38.0,36.98
2020-10-22,36.99,36.75
2020-10-23,37.07,37.65
2020-10-26,37.64,36.97
2020-10-27,37.11,36.53
2020-10-28,34.03,35.53
2020-10-29,35.81,35.88
2020-10-30,35.85,35.68
2020-11-02,35.63,36.44
2020-11-03,36.45,37.1
2020-11-04,36.96,39.58
2020-11-05,39.9,40.42
2020-11-06,40.83,40.44
2020-11-09,38.0,39.16
2020-11-10,39.53,38.13
2020-11-11,38.65,38.02
2020-11-12,38.14,36.81
2020-11-13,37.26,37.72
2020-11-16,38.42,36.56
2020-11-17,36.06,36.17
2020-11-18,36.17,36.5
2020-11-19,36.28,36.59
2020-11-20,36.35,36.45
2020-11-23,36.42,37.35
2020-11-24,37.22,37.16
2020-11-25,37.34,37.94
2020-11-27,38.05,39.38
2020-11-30,39.77,38.81
2020-12-01,39.14,41.32
2020-12-02,41.33,41.32
2020-12-03,41.33,41.79
2020-12-04,42.2,43.11
2020-12-07,43.0,46.5
2020-12-08,46.65,47.0
2020-12-09,47.49,46.18
2020-12-10,46.23,49.48
2020-12-11,49.51,49.95
2020-12-14,50.71,50.26
2020-12-15,50.26,47.82
2020-12-16,48.11,46.02
2020-12-17,46.35,46.27
2020-12-18,47.32,47.31
2020-12-21,47.01,48.13
2020-12-22,48.58,49.49
2020-12-23,50.44,49.71
2020-12-24,49.57,49.55
2020-12-28,50.07,48.32
2020-12-29,48.43,47.61
2020-12-30,48.11,48.76
2020-12-31,48.6,46.4
2021-01-04,46.75,46.26
2021-01-05,46.15,44.74
2021-01-06,44.37,46.85
2021-01-07,47.19,49.0
2021-01-08,49.42,50.52
2021-01-11,50.0,51.09
2021-01-12,51.29,49.7
2021-01-13,49.51,50.63
2021-01-14,51.0,52.03
2021-01-15,52.05,51.06
2021-01-19,52.0,50.93
2021-01-20,51.3,48.91
2021-01-21,49.21,47.65
2021-01-22,47.95,47.55
2021-01-25,47.62,46.51
2021-01-26,46.7,44.61
2021-01-27,43.89,42.58
2021-01-28,42.48,43.65
2021-01-29,44.01,43.84
2021-02-01,44.02,44.02
2021-02-02,44.89,47.35
2021-02-03,48.06,46.73
2021-02-04,47.17,48.68
2021-02-05,49.17,49.65
2021-02-08,50.28,52.59
2021-02-09,51.17,50.56
2021-02-10,51.17,48.55
2021-02-11,49.29,47.75
2021-02-12,47.94,47.57
2021-02-16,48.14,47.3
2021-02-17,46.85,47.52
2021-02-18,46.45,46.4
2021-02-19,47.31,47.19
2021-02-22,46.36,43.0
2021-02-23,41.46,40.6
2021-02-24,40.61,39.42
2021-02-25,39.33,36.51
2021-02-26,35.4,37.3
2021-03-01,38.07,39.47
2021-03-02,39.37,37.35
2021-03-03,37.28,34.19
2021-03-04,33.86,31.77
2021-03-05,32.1,32.36
2021-03-08,33.93,31.57
2021-03-09,32.62,34.47
2021-03-10,35.65,33.71
2021-03-11,35.02,35.56
2021-03-12,34.57,34.69
2021-03-15,34.49,34.91
2021-03-16,35.34,33.29
2021-03-17,31.76,33.18
2021-03-18,32.14,31.15
2021-03-19,31.16,31.36
2021-03-22,31.5,32.47
2021-03-23,32.32,31.02
2021-03-24,31.51,29.67
2021-03-25,28.69,30.25
2021-03-26,30.25,28.67
2021-03-29,28.28,29.32
2021-03-30,29.09,29.64
2021-03-31,30.02,31.66
2021-04-01,32.5,32.22
2021-04-05,33.41,32.16
2021-04-06,32.0,32.04
2021-04-07,32.01,31.01
2021-04-08,31.45,31.31
2021-04-09,31.54,30.19
2021-04-12,30.0,29.41
2021-04-13,29.43,30.15
2021-04-14,30.58,29.99
2021-04-15,30.14,30.43
2021-04-16,33.23,30.14
2021-04-19,29.48,30.75
2021-04-20,30.79,30.17
2021-04-21,30.03,31.1
2021-04-22,30.85,31.13
2021-04-23,31.27,31.28
2021-04-26,31.62,33.07
2021-04-27,33.22,32.89
2021-04-28,32.61,31.84
2021-04-29,31.98,31.34
2021-04-30,31.11,31.44
2021-05-03,31.88,31.76
2021-05-04,31.16,30.17
2021-05-05,30.31,29.22
2021-05-06,28.91,28.61
2021-05-07,29.93,28.52
2021-05-10,27.9,26.52
2021-05-11,25.59,26.51
2021-05-12,25.93,26.08
2021-05-13,26.34,25.01
2021-05-14,25.28,25.82
2021-05-17,25.29,26.49
2021-05-18,26.56,26.97
2021-05-19,24.0,16.33
2021-05-20,17.25,18.75
2021-05-21,19.28,18.05
2021-05-24,18.11,17.77
2021-05-25,17.74,18.05
2021-05-26,18.14,18.78
2021-05-27,18.7,18.74
2021-05-28,18.69,18.57
2021-06-01,18.58,18.27
2021-06-02,18.22,18.28
2021-06-03,18.03,17.42
2021-06-04,17.62,17.92
2021-06-07,18.16,20.18
2021-06-08,20.54,20.59
2021-06-09,20.97,20.64
2021-06-10,21.28,23.14
2021-06-11,23.14,23.45
2021-06-14,23.33,23.87
2021-06-15,23.89,23.68
2021-06-16,23.61,24.03
2021-06-17,23.72,24.62
2021-06-18,24.61,24.78
2021-06-21,24.67,24.83
2021-06-22,24.46,24.0
2021-06-23,23.98,24.74
2021-06-24,25.24,25.99
2021-06-25,25.95,27.03
2021-06-28,27.61,26.93
2021-06-29,25.89,26.33
2021-06-30,26.39,26.02
2021-07-01,25.89,26.58
2021-07-02,26.59,26.46
2021-07-06,26.5,25.64
2021-07-07,25.87,25.29
2021-07-08,24.12,25.33
2021-07-09,25.26,26.63
2021-07-12,26.64,25.3
2021-07-13,25.07,24.75
2021-07-14,25.0,23.33
2021-07-15,23.26,22.53
2021-07-16,22.61,22.49
2021-07-19,22.05,22.92
2021-07-20,23.06,23.75
2021-07-21,23.66,23.72
2021-07-22,23.76,23.27
2021-07-23,23.19,23.05
2021-07-26,23.03,22.27
2021-07-27,22.21,21.83
2021-07-28,21.92,22.92
2021-07-29,22.95,22.52
2021-07-30,22.19,22.27
2021-08-02,22.51,22.49
2021-08-03,22.35,22.71
2021-08-04,22.5,22.8
2021-08-05,22.8,23.93
2021-08-06,24.61,23.54
2021-08-09,23.54,24.24
2021-08-10,24.19,23.27
2021-08-11,23.19,22.88
2021-08-12,22.99,22.14
2021-08-13,22.11,21.77
2021-08-16,21.61,20.99
2021-08-17,20.82,21.19
2021-08-18,21.12,21.0
2021-08-19,20.86,20.35
2021-08-20,20.23,21.17
2021-08-23,21.49,22.27
2021-08-24,22.28,22.7
2021-08-25,22.61,23.57
2021-08-26,23.33,23.08
2021-08-27,22.98,23.51
2021-08-30,23.49,23.54
2021-08-31,23.5,24.07
2021-09-01,24.22,24.31
2021-09-02,24.44,24.5
2021-09-03,24.4,25.1
2021-09-07,25.04,23.98
2021-09-08,23.78,23.67
