date,open,close
2020-05-11,2.94,2.91
2020-05-12,2.9,2.78
2020-05-13,2.8,2.76
2020-05-14,2.68,2.91
2020-05-15,2.9,2.81
2020-05-18,2.94,2.98
2020-05-19,2.95,2.82
2020-05-20,2.87,2.85
2020-05-21,2.97,3.05
2020-05-22,3.06,3.06
2020-05-26,3.35,3.16
2020-05-27,3.34,3.36
2020-05-28,3.35,3.24
2020-05-29,3.17,3.18
2020-06-01,3.24,3.29
2020-06-02,3.42,3.62
2020-06-03,3.91,3.81
2020-06-04,3.8,3.93
2020-06-05,4.28,4.14
2020-06-08,4.19,4.38
2020-06-09,4.2,4.24
2020-06-10,4.3,4.01
2020-06-11,3.78,3.7
2020-06-12,3.89,3.86
2020-06-15,3.68,3.74
2020-06-16,3.87,3.76
2020-06-17,3.8,3.79
2020-06-18,3.74,3.81
2020-06-19,3.93,3.95
2020-06-22,4.0,3.86
2020-06-23,3.92,3.92
2020-06-24,3.82,3.62
2020-06-25,3.69,3.66
2020-06-26,3.56,3.51
2020-06-29,3.59,3.64
2020-06-30,3.57,3.51
2020-07-01,3.54,3.67
2020-07-02,3.74,3.69
2020-07-06,3.83,3.86
2020-07-07,3.86,3.64
2020-07-08,3.71,3.76
2020-07-09,3.8,3.78
2020-07-10,3.72,3.81
2020-07-13,3.83,3.73
2020-07-14,3.68,3.83
2020-07-15,3.87,3.8
2020-07-16,3.77,3.76
2020-07-17,3.8,3.76
2020-07-20,3.74,3.81
2020-07-21,3.95,3.98
2020-07-22,3.99,3.98
2020-07-23,3.9,3.8
2020-07-24,3.77,3.81
2020-07-27,3.84,4.01
2020-07-28,3.98,4.0
2020-07-29,4.07,4.08
2020-07-30,4.05,4.03
2020-07-31,3.95,3.82
2020-08-03,3.77,3.75
2020-08-04,3.68,3.65
2020-08-05,3.68,3.62
2020-08-06,3.59,3.62
2020-08-07,3.55,3.51
2020-08-10,3.55,3.55
2020-08-11,3.59,3.53
2020-08-12,3.55,3.45
2020-08-13,3.5,3.42
2020-08-14,3.4,3.4
2020-08-17,3.39,3.27
2020-08-18,3.36,3.3
2020-08-19,3.29,3.26
2020-08-20,3.15,3.23
2020-08-21,3.21,3.19
2020-08-24,3.27,3.26
2020-08-25,3.27,3.27
2020-08-26,3.27,3.16
2020-08-27,3.21,3.22
2020-08-28,3.29,3.36
2020-08-31,3.29,3.19
2020-09-01,3.29,3.35
2020-09-02,3.33,3.36
2020-09-03,3.44,3.49
2020-09-04,3.52,3.48
2020-09-08,3.42,3.37
2020-09-09,3.44,3.42
2020-09-10,3.44,3.34
2020-09-11,3.33,3.3
2020-09-14,3.3,3.39
2020-09-15,3.4,3.36
2020-09-16,3.36,3.35
2020-09-17,3.3,3.38
2020-09-18,3.3,3.18
2020-09-21,3.1,3.12
2020-09-22,3.19,3.16
2020-09-23,3.09,2.99
2020-09-24,3.02,3.09
2020-09-25,3.05,3.06
2020-09-28,3.18,3.0
2020-09-29,2.97,2.91
2020-09-30,2.94,2.98
2020-10-01,2.96,2.96
2020-10-02,2.95,2.98
2020-10-05,2.96,3.06
2020-10-06,3.09,3.05
2020-10-07,3.06,2.99
2020-10-08,3.02,3.2
2020-10-09,3.18,3.23
2020-10-12,3.22,3.25
2020-10-13,3.19,3.18
2020-10-14,3.18,3.17
2020-10-15,3.1,3.12
2020-10-16,3.09,3.06
2020-10-19,3.09,3.09
2020-10-20,3.18,3.23
2020-10-21,3.2,3.25
2020-10-22,3.28,3.43
2020-10-23,3.48,3.36
2020-10-26,3.37,3.39
2020-10-27,3.37,3.27
2020-10-28,3.12,3.04
2020-10-29,3.02,3.1
2020-10-30,3.06,3.06
2020-11-02,3.06,3.07
2020-11-03,3.16,3.12
2020-11-04,3.24,3.27
2020-11-05,3.44,3.47
2020-11-06,3.47,3.55
2020-11-09,3.89,3.84
2020-11-10,3.89,4.04
2020-11-11,3.93,3.97
2020-11-12,3.89,3.82
2020-11-13,3.83,3.9
2020-11-16,4.04,4.05
2020-11-17,4.01,4.13
2020-11-18,4.09,4.04
2020-11-19,4.06,4.04
2020-11-20,4.01,3.96
2020-11-23,4.01,4.01
2020-11-24,4.13,4.17
2020-11-25,4.07,4.16
2020-11-27,4.11,4.12
2020-11-30,4.06,4.01
2020-12-01,4.14,4.29
2020-12-02,4.23,4.32
2020-12-03,4.4,4.38
2020-12-04,4.36,4.45
2020-12-07,4.49,4.49
2020-12-08,4.53,4.46
2020-12-09,4.5,4.47
2020-12-10,4.56,4.72
2020-12-11,4.62,4.67
2020-12-14,4.66,4.53
2020-12-15,4.56,4.63
2020-12-16,4.61,4.7
2020-12-17,4.73,4.71
2020-12-18,4.69,4.69
2020-12-21,4.58,4.55
2020-12-22,4.58,4.54
2020-12-23,4.58,4.61
2020-12-24,4.62,4.64
2020-12-28,4.62,4.59
2020-12-29,4.64,4.61
2020-12-30,4.6,4.59
2020-12-31,4.61,4.56
2021-01-04,4.58,4.41
2021-01-05,4.29,4.38
2021-01-06,4.41,4.49
2021-01-07,4.58,4.58
2021-01-08,4.61,4.55
2021-01-11,4.4,4.42
2021-01-12,4.4,4.52
2021-01-13,4.54,4.46
2021-01-14,4.52,4.72
2021-01-15,4.55,4.46
2021-01-19,4.43,4.34
2021-01-20,4.33,4.29
2021-01-21,4.24,4.18
2021-01-22,4.08,4.04
2021-01-25,4.01,3.92
2021-01-26,4.12,3.96
2021-01-27,3.95,3.94
2021-01-28,4.01,4.05
2021-01-29,3.98,3.91
2021-02-01,4.03,4.01
2021-02-02,4.05,3.98
2021-02-03,4.02,3.95
2021-02-04,3.92,3.92
2021-02-05,3.93,3.92
2021-02-08,3.89,3.84
2021-02-09,3.79,3.87
2021-02-10,3.86,3.86
2021-02-11,3.92,3.87
2021-02-12,3.83,3.87
2021-02-16,3.89,3.88
2021-02-17,3.88,3.92
2021-02-18,3.9,3.86
2021-02-19,3.88,3.84
2021-02-22,3.59,3.48
2021-02-23,3.64,3.74
2021-02-24,3.67,3.71
