date,open,close
2020-05-11,7.84,7.82
2020-05-12,7.84,7.24
2020-05-13,7.2,6.77
2020-05-14,6.57,6.99
2020-05-15,6.65,6.7
2020-05-18,7.05,7.29
2020-05-19,7.28,7.24
2020-05-20,7.38,7.37
2020-05-21,7.36,7.35
2020-05-22,7.36,7.27
2020-05-26,7.66,8.09
2020-05-27,8.53,8.37
2020-05-28,8.56,8.13
2020-05-29,7.95,7.97
2020-06-01,8.01,8.22
2020-06-02,8.37,8.37
2020-06-03,8.65,9.15
2020-06-04,9.09,9.56
2020-06-05,10.3,10.41
2020-06-08,11.0,11.55
2020-06-09,10.84,11.14
2020-06-10,10.99,10.32
2020-06-11,9.32,9.82
2020-06-12,10.5,10.34
2020-06-15,9.93,10.74
2020-06-16,11.3,11.14
2020-06-17,11.04,11.22
2020-06-18,11.04,11.33
2020-06-19,11.55,11.09
2020-06-22,11.1,11.33
2020-06-23,11.57,11.41
2020-06-24,11.24,10.72
2020-06-25,10.59,10.73
2020-06-26,10.49,10.0
2020-06-29,10.15,10.39
2020-06-30,10.35,10.76
2020-07-01,10.74,10.26
2020-07-02,10.72,10.55
2020-07-06,10.88,10.76
2020-07-07,10.62,10.34
2020-07-08,10.41,10.6
2020-07-09,10.52,10.04
2020-07-10,10.01,10.53
2020-07-13,10.61,10.62
2020-07-14,10.57,10.49
2020-07-15,10.73,10.93
2020-07-16,10.77,10.73
2020-07-17,10.8,10.49
2020-07-20,10.42,10.29
2020-07-21,10.38,10.74
2020-07-22,10.64,10.53
2020-07-23,10.46,10.68
2020-07-24,10.69,10.44
2020-07-27,10.34,10.71
2020-07-28,10.56,10.37
2020-07-29,10.41,10.6
2020-07-30,10.32,10.1
2020-07-31,10.09,10.04
2020-08-03,10.0,10.0
2020-08-04,10.0,9.77
2020-08-05,9.89,10.27
2020-08-06,10.18,10.32
2020-08-07,10.25,10.78
2020-08-10,10.86,10.79
2020-08-11,11.08,10.94
2020-08-12,11.5,11.39
2020-08-13,10.99,10.7
2020-08-14,10.55,10.68
2020-08-17,10.62,10.57
2020-08-18,10.55,10.28
2020-08-19,10.31,10.33
2020-08-20,10.2,10.02
2020-08-21,10.0,10.14
2020-08-24,10.17,10.6
2020-08-25,10.68,10.7
2020-08-26,10.72,10.57
2020-08-27,10.51,10.82
2020-08-28,10.82,10.73
2020-08-31,10.57,10.2
2020-09-01,10.1,10.18
2020-09-02,10.2,10.63
2020-09-03,11.25,11.14
2020-09-04,11.4,11.39
2020-09-08,11.17,10.7
2020-09-09,10.74,10.69
2020-09-10,10.72,10.26
2020-09-11,10.36,10.7
2020-09-14,10.77,10.68
2020-09-15,10.7,10.53
2020-09-16,10.48,10.89
2020-09-17,10.86,11.15
2020-09-18,11.09,10.98
2020-09-21,10.55,10.22
2020-09-22,10.22,10.19
2020-09-23,10.17,10.42
2020-09-24,10.43,10.8
2020-09-25,10.66,10.81
2020-09-28,11.03,11.49
2020-09-29,11.39,11.43
2020-09-30,11.49,11.41
2020-10-01,11.46,11.25
2020-10-02,11.88,11.85
2020-10-05,11.96,11.87
2020-10-06,12.08,11.85
2020-10-07,11.98,12.62
2020-10-08,13.05,12.95
2020-10-09,13.03,13.11
2020-10-12,13.24,13.4
2020-10-13,13.57,13.83
2020-10-14,13.81,14.03
2020-10-15,13.81,14.25
2020-10-16,14.25,14.04
2020-10-19,14.13,13.91
2020-10-20,14.16,14.09
2020-10-21,14.04,13.82
2020-10-22,13.86,14.05
2020-10-23,14.1,13.98
2020-10-26,13.81,13.79
2020-10-27,14.15,13.97
2020-10-28,13.64,13.33
2020-10-29,13.31,13.4
2020-10-30,13.38,13.11
2020-11-02,13.22,13.48
2020-11-03,13.75,13.98
2020-11-04,13.58,13.75
2020-11-05,13.98,14.43
2020-11-06,14.39,13.88
2020-11-09,15.13,14.84
2020-11-10,14.77,14.53
2020-11-11,14.77,15.28
2020-11-12,15.05,14.96
2020-11-13,15.08,15.53
2020-11-16,15.97,15.99
2020-11-17,15.73,16.3
2020-11-18,16.3,16.01
2020-11-19,15.92,15.96
2020-11-20,15.84,15.72
2020-11-23,15.99,16.33
2020-11-24,16.62,17.13
2020-11-25,16.92,17.03
2020-11-27,16.95,17.01
2020-11-30,16.9,16.23
2020-12-01,16.66,16.46
2020-12-02,16.41,16.76
2020-12-03,17.07,17.8
2020-12-04,17.82,17.79
2020-12-07,17.51,18.02
2020-12-08,17.81,18.07
2020-12-09,18.17,17.7
2020-12-10,17.5,17.51
2020-12-11,17.23,17.86
2020-12-14,18.13,17.1
2020-12-15,17.33,17.59
2020-12-16,17.69,17.45
2020-12-17,17.57,17.48
2020-12-18,17.38,17.45
2020-12-21,17.34,17.42
2020-12-22,17.5,16.98
2020-12-23,17.11,17.55
2020-12-24,17.62,17.61
2020-12-28,17.7,17.2
2020-12-29,17.31,17.01
2020-12-30,17.03,17.34
2020-12-31,17.32,17.43
2021-01-04,17.54,16.95
2021-01-05,17.03,17.46
2021-01-06,17.86,18.41
2021-01-07,18.65,18.33
2021-01-08,18.7,18.65
2021-01-11,18.5,18.94
2021-01-12,19.03,19.58
2021-01-13,19.6,19.52
2021-01-14,19.65,20.27
2021-01-15,19.93,20.0
2021-01-19,20.18,20.25
2021-01-20,20.25,21.57
2021-01-21,21.47,20.9
2021-01-22,20.72,20.97
2021-01-25,20.81,21.04
2021-01-26,21.17,20.94
2021-01-27,20.6,20.78
2021-01-28,21.29,21.53
2021-01-29,21.35,20.59
2021-02-01,20.86,21.4
2021-02-02,21.7,21.39
2021-02-03,21.4,21.83
2021-02-04,21.88,21.78
2021-02-05,21.8,21.96
2021-02-08,22.05,22.28
2021-02-09,22.13,22.67
2021-02-10,22.92,22.72
2021-02-11,22.55,22.59
2021-02-12,22.36,22.67
2021-02-16,22.83,22.84
2021-02-17,22.7,22.58
2021-02-18,22.42,21.86
2021-02-19,22.05,22.47
2021-02-22,22.32,22.73
2021-02-23,22.64,22.58
2021-02-24,22.59,23.26
2021-02-25,23.39,22.38
2021-02-26,22.36,22.42
2021-03-01,22.99,24.74
2021-03-02,24.58,23.95
2021-03-03,24.01,23.66
2021-03-04,23.35,23.32
2021-03-05,23.65,23.76
2021-03-08,23.84,24.07
2021-03-09,24.1,24.48
2021-03-10,24.77,25.19
2021-03-11,25.16,25.33
2021-03-12,25.54,25.71
2021-03-15,25.74,26.0
2021-03-16,25.92,25.25
2021-03-17,25.3,25.51
2021-03-18,25.58,25.13
2021-03-19,25.01,25.45
2021-03-22,25.44,25.11
2021-03-23,24.76,23.66
2021-03-24,24.0,23.25
2021-03-25,23.08,23.98
2021-03-26,24.47,24.76
2021-03-29,24.45,24.35
2021-03-30,24.55,24.89
2021-03-31,24.86,25.22
2021-04-01,25.31,25.75
2021-04-05,26.0,25.93
2021-04-06,25.98,25.83
2021-04-07,25.98,25.95
2021-04-08,25.94,25.88
2021-04-09,26.08,26.32
2021-04-12,26.3,26.71
2021-04-13,26.69,25.91
2021-04-14,25.91,26.12
2021-04-15,26.41,26.83
2021-04-16,26.99,26.57
2021-04-19,26.5,26.48
2021-04-20,26.21,25.79
2021-04-21,25.51,26.35
2021-04-22,26.4,25.69
2021-04-23,25.86,26.51
