date,open,close
2020-05-11,32.14,32.14
2020-05-12,31.86,30.42
2020-05-13,30.09,28.53
2020-05-14,27.98,28.0
2020-05-15,27.82,27.17
2020-05-18,28.32,29.41
2020-05-19,29.21,28.27
2020-05-20,28.5,29.1
2020-05-21,28.88,29.3
2020-05-22,29.47,28.71
2020-05-26,29.86,31.09
2020-05-27,31.82,30.93
2020-05-28,31.32,30.94
2020-05-29,30.45,29.73
2020-06-01,29.89,30.26
2020-06-02,30.66,31.05
2020-06-03,31.57,32.05
2020-06-04,31.85,32.03
2020-06-05,33.38,33.3
2020-06-08,33.87,33.61
2020-06-09,32.65,33.73
2020-06-10,33.41,32.17
2020-06-11,30.49,29.63
2020-06-12,30.85,30.78
2020-06-15,29.61,30.84
2020-06-16,32.23,32.1
2020-06-17,32.24,30.96
2020-06-18,30.48,30.48
2020-06-19,30.93,30.28
2020-06-22,30.07,30.25
2020-06-23,30.5,30.05
2020-06-24,29.64,28.95
2020-06-25,28.8,29.58
2020-06-26,29.37,29.35
2020-06-29,29.7,29.65
2020-06-30,29.6,29.57
2020-07-01,29.62,29.71
2020-07-02,30.3,29.79
2020-07-06,30.49,30.04
2020-07-07,29.64,29.14
2020-07-08,29.06,28.54
2020-07-09,28.55,28.43
2020-07-10,28.41,29.16
2020-07-13,29.32,29.32
2020-07-14,29.27,29.21
2020-07-15,29.93,29.16
2020-07-16,28.89,28.84
2020-07-17,28.98,29.15
2020-07-20,29.2,28.62
2020-07-21,28.87,28.74
2020-07-22,28.35,29.35
2020-07-23,29.16,29.09
2020-07-24,29.08,28.8
2020-07-27,28.67,28.89
2020-07-28,28.75,29.52
2020-07-29,29.69,29.84
2020-07-30,29.28,29.42
2020-07-31,29.3,29.01
2020-08-03,29.15,28.36
2020-08-04,28.31,28.71
2020-08-05,28.63,28.35
2020-08-06,28.04,28.29
2020-08-07,28.21,28.4
2020-08-10,28.48,28.66
2020-08-11,29.0,28.85
2020-08-12,29.0,28.56
2020-08-13,28.38,27.6
2020-08-14,27.46,27.65
2020-08-17,27.61,27.64
2020-08-18,27.6,27.6
2020-08-19,27.69,27.32
2020-08-20,27.4,27.24
2020-08-21,27.14,27.24
2020-08-24,27.32,27.83
2020-08-25,27.9,27.79
2020-08-26,27.95,27.74
2020-08-27,27.85,28.27
2020-08-28,28.28,27.86
2020-08-31,27.76,27.67
2020-09-01,27.5,27.4
2020-09-02,27.37,27.46
2020-09-03,27.49,27.77
2020-09-04,27.94,27.8
2020-09-08,27.61,27.37
2020-09-09,27.49,27.46
2020-09-10,27.35,27.1
2020-09-11,27.07,26.49
2020-09-14,26.68,27.59
2020-09-15,27.75,27.74
2020-09-16,27.74,27.88
2020-09-17,27.67,27.5
2020-09-18,27.34,26.56
2020-09-21,26.24,25.77
2020-09-22,25.83,26.23
2020-09-23,26.12,25.82
2020-09-24,25.72,25.93
2020-09-25,25.83,26.24
2020-09-28,26.67,27.23
2020-09-29,27.09,27.04
2020-09-30,27.23,26.74
2020-10-01,26.76,27.32
2020-10-02,26.79,27.62
2020-10-05,27.89,27.84
2020-10-06,28.04,27.61
2020-10-07,27.67,27.42
2020-10-08,27.57,27.8
2020-10-09,28.0,27.62
2020-10-12,27.55,27.77
2020-10-13,27.54,26.75
2020-10-14,26.6,26.12
2020-10-15,25.79,26.25
2020-10-16,26.31,25.97
2020-10-19,26.04,25.3
2020-10-20,25.52,25.47
2020-10-21,25.42,25.34
2020-10-22,25.47,25.8
2020-10-23,25.8,25.85
2020-10-26,25.68,25.37
2020-10-27,25.31,24.16
2020-10-28,23.65,23.13
2020-10-29,22.98,22.99
2020-10-30,22.85,23.35
2020-11-02,23.66,23.95
2020-11-03,24.35,24.75
2020-11-04,24.77,23.98
2020-11-05,24.09,24.41
2020-11-06,24.45,23.7
2020-11-09,25.91,28.09
2020-11-10,28.32,29.31
2020-11-11,29.32,28.62
2020-11-12,28.03,28.1
2020-11-13,28.2,29.78
2020-11-16,30.78,30.8
2020-11-17,30.38,31.26
2020-11-18,31.3,30.84
2020-11-19,30.66,31.13
2020-11-20,31.09,32.1
2020-11-23,32.5,32.16
2020-11-24,32.83,32.67
2020-11-25,32.67,32.17
2020-11-27,32.38,32.07
2020-11-30,31.78,30.74
2020-12-01,31.2,31.22
2020-12-02,31.12,31.55
2020-12-03,31.73,31.92
2020-12-04,32.19,32.65
2020-12-07,32.67,31.96
2020-12-08,31.6,32.05
2020-12-09,32.12,31.77
2020-12-10,31.55,31.62
2020-12-11,31.4,31.44
2020-12-14,31.74,31.27
2020-12-15,31.52,32.08
2020-12-16,32.38,31.68
2020-12-17,31.76,31.79
2020-12-18,31.71,30.61
2020-12-21,29.99,30.9
2020-12-22,31.1,31.16
2020-12-23,31.28,30.77
2020-12-24,30.71,30.88
2020-12-28,30.91,31.21
2020-12-29,31.34,30.6
2020-12-30,30.79,30.94
2020-12-31,30.91,31.27
2021-01-04,31.3,30.16
2021-01-05,30.25,30.09
2021-01-06,30.28,30.74
2021-01-07,30.7,29.99
2021-01-08,30.05,30.11
2021-01-11,29.78,30.13
2021-01-12,30.03,30.49
2021-01-13,30.56,31.11
2021-01-14,31.48,31.62
2021-01-15,31.35,31.93
2021-01-19,32.03,31.65
2021-01-20,31.66,31.86
2021-01-21,31.74,31.37
2021-01-22,31.03,31.39
2021-01-25,30.99,31.12
2021-01-26,31.42,30.95
2021-01-27,30.67,30.01
2021-01-28,30.06,30.18
2021-01-29,30.11,29.86
2021-02-01,29.98,30.46
2021-02-02,30.67,30.81
2021-02-03,30.75,30.7
2021-02-04,30.79,31.02
2021-02-05,31.29,31.21
2021-02-08,31.4,32.11
2021-02-09,32.3,31.97
2021-02-10,32.1,32.36
2021-02-11,32.36,32.56
2021-02-12,32.64,32.76
2021-02-16,32.83,32.08
2021-02-17,32.12,31.82
2021-02-18,31.73,31.51
2021-02-19,31.62,31.51
2021-02-22,31.55,32.32
2021-02-23,32.36,33.01
2021-02-24,33.06,32.91
2021-02-25,33.03,32.26
2021-02-26,32.22,31.75
2021-03-01,32.25,31.92
2021-03-02,31.79,32.09
2021-03-03,32.19,32.54
2021-03-04,32.44,32.2
2021-03-05,32.54,32.37
2021-03-08,32.61,32.95
2021-03-09,33.0,32.5
2021-03-10,32.49,32.85
2021-03-11,32.94,32.78
2021-03-12,33.05,33.69
2021-03-15,33.66,33.64
2021-03-16,33.41,32.86
2021-03-17,33.02,32.89
2021-03-18,32.88,32.51
2021-03-19,32.47,31.53
2021-03-22,31.4,31.66
2021-03-23,31.42,31.04
2021-03-24,31.25,31.34
2021-03-25,31.25,31.36
2021-03-26,31.53,32.19
2021-03-29,32.06,31.78
2021-03-30,31.78,32.3
2021-03-31,32.17,31.79
2021-04-01,31.89,32.45
2021-04-05,32.63,32.23
2021-04-06,32.15,32.71
2021-04-07,32.82,32.4
2021-04-08,32.18,32.17
2021-04-09,32.26,32.07
2021-04-12,32.02,32.0
2021-04-13,31.97,32.16
2021-04-14,32.18,32.06
2021-04-15,32.15,32.35
2021-04-16,32.54,32.38
2021-04-19,32.48,32.36
2021-04-20,32.22,32.24
2021-04-21,32.31,32.56
2021-04-22,32.69,32.24
2021-04-23,32.35,32.17
2021-04-26,32.37,32.68
2021-04-27,32.57,32.43
2021-04-28,32.52,32.39
2021-04-29,32.59,32.44
2021-04-30,32.45,32.61
2021-05-03,32.88,32.07
2021-05-04,32.14,32.0
2021-05-05,31.74,31.55
2021-05-06,31.57,32.31
2021-05-07,32.24,32.16
2021-05-10,32.44,32.17
2021-05-11,31.89,32.0
2021-05-12,31.55,30.81
2021-05-13,30.86,31.18
2021-05-14,31.28,31.26
2021-05-17,31.19,31.2
2021-05-18,31.23,31.79
2021-05-19,31.61,31.7
2021-05-20,31.6,32.05
2021-05-21,32.11,32.15
2021-05-24,32.25,32.43
2021-05-25,32.24,31.73
2021-05-26,31.82,31.9
2021-05-27,32.03,31.7
2021-05-28,31.89,32.21
2021-06-01,32.24,33.58
2021-06-02,33.8,33.76
2021-06-03,33.73,34.02
2021-06-04,34.07,33.88
2021-06-07,33.91,34.07
2021-06-08,34.16,34.4
2021-06-09,34.3,34.7
2021-06-10,34.93,34.79
2021-06-11,34.74,34.96
2021-06-14,34.93,34.8
2021-06-15,34.7,34.16
2021-06-16,34.06,33.51
2021-06-17,33.46,33.21
2021-06-18,32.99,32.87
2021-06-21,33.12,33.78
2021-06-22,33.79,33.27
2021-06-23,33.24,33.0
2021-06-24,33.07,33.0
2021-06-25,32.98,33.17
2021-06-28,33.11,32.13
2021-06-29,32.13,31.58
2021-06-30,31.4,31.51
2021-07-01,31.5,31.65
2021-07-02,31.68,31.47
2021-07-06,31.49,31.79
2021-07-07,31.78,31.45
2021-07-08,31.17,31.22
2021-07-09,31.58,31.84
2021-07-12,31.79,32.48
2021-07-13,32.45,32.06
2021-07-14,32.06,32.19
2021-07-15,32.21,32.62
2021-07-16,32.87,32.95
2021-07-19,32.54,31.74
2021-07-20,31.94,33.22
2021-07-21,33.31,33.78
2021-07-22,33.57,32.91
2021-07-23,32.94,33.0
2021-07-26,33.09,32.91
2021-07-27,32.74,32.83
2021-07-28,32.88,32.62
2021-07-29,32.88,32.78
2021-07-30,32.74,32.63
2021-08-02,32.85,32.25
2021-08-03,32.24,31.95
2021-08-04,31.55,30.84
2021-08-05,31.13,31.03
2021-08-06,31.24,31.05
2021-08-09,30.98,30.71
2021-08-10,30.81,30.15
2021-08-11,30.33,30.5
2021-08-12,30.22,30.03
2021-08-13,30.2,30.51
2021-08-16,30.35,30.04
2021-08-17,29.91,29.8
2021-08-18,29.7,29.42
2021-08-19,29.3,29.4
2021-08-20,29.25,29.29
2021-08-23,29.38,29.36
2021-08-24,29.35,29.41
2021-08-25,29.52,29.85
2021-08-26,29.87,29.47
2021-08-27,29.65,29.94
2021-08-30,29.88,29.9
2021-08-31,29.9,30.13
2021-09-01,30.21,30.68
2021-09-02,30.68,30.79
2021-09-03,30.61,30.5
2021-09-07,30.51,30.45
2021-09-08,30.34,30.51
2021-09-09,30.35,29.93
2021-09-10,29.97,29.35
2021-09-13,29.56,29.78
2021-09-14,29.9,29.32
2021-09-15,29.37,29.63
2021-09-16,29.66,29.91
2021-09-17,29.9,29.54
