date,open,close
2020-05-11,8.84,8.56
2020-05-12,8.58,8.06
2020-05-13,8.02,7.89
2020-05-14,7.67,8.23
2020-05-15,8.05,8.24
2020-05-18,8.77,8.98
2020-05-19,9.19,8.92
2020-05-20,9.12,9.19
2020-05-21,9.3,9.42
2020-05-22,9.58,9.24
2020-05-26,10.0,10.56
2020-05-27,11.66,10.9
2020-05-28,10.7,10.17
2020-05-29,9.89,10.07
2020-06-01,10.13,10.2
2020-06-02,10.42,10.31
2020-06-03,10.53,11.27
2020-06-04,12.11,13.02
2020-06-05,15.1,13.69
2020-06-08,14.86,15.59
2020-06-09,14.32,14.21
2020-06-10,13.35,12.63
2020-06-11,11.13,11.11
2020-06-12,12.26,12.22
2020-06-15,11.46,12.01
2020-06-16,12.99,12.27
2020-06-17,12.07,11.94
2020-06-18,11.7,12.04
2020-06-19,12.31,11.4
2020-06-22,11.14,11.21
2020-06-23,11.29,11.34
2020-06-24,11.05,10.26
2020-06-25,10.05,10.67
2020-06-26,10.6,10.3
2020-06-29,10.37,11.05
2020-06-30,10.9,10.9
2020-07-01,11.36,10.67
2020-07-02,11.09,10.67
2020-07-06,10.95,11.01
2020-07-07,10.8,10.5
2020-07-08,10.36,10.6
2020-07-09,10.44,9.98
2020-07-10,9.93,10.6
2020-07-13,10.72,10.17
2020-07-14,10.02,10.39
2020-07-15,10.99,11.55
2020-07-16,11.3,11.02
2020-07-17,11.05,10.82
2020-07-20,10.83,10.53
2020-07-21,10.6,10.57
2020-07-22,10.48,10.62
2020-07-23,10.58,10.71
2020-07-24,10.77,10.29
2020-07-27,10.32,10.22
2020-07-28,10.14,10.31
2020-07-29,10.24,9.95
2020-07-30,9.82,10.2
2020-07-31,10.08,10.34
2020-08-03,10.24,10.11
2020-08-04,10.15,10.29
2020-08-05,10.48,10.75
2020-08-06,10.79,10.82
2020-08-07,10.69,10.76
2020-08-10,10.85,11.69
2020-08-11,12.34,11.71
2020-08-12,11.95,11.61
2020-08-13,11.38,11.34
2020-08-14,11.24,11.48
2020-08-17,11.52,11.13
2020-08-18,11.12,11.05
2020-08-19,11.08,10.98
2020-08-20,10.84,10.82
2020-08-21,10.73,10.56
2020-08-24,10.71,11.43
2020-08-25,11.55,11.37
2020-08-26,11.36,11.15
2020-08-27,11.43,11.6
2020-08-28,11.81,11.97
2020-08-31,11.87,11.52
2020-09-01,11.34,11.45
2020-09-02,11.49,11.68
2020-09-03,11.75,11.75
2020-09-04,11.9,12.13
2020-09-08,12.0,12.44
2020-09-09,12.49,12.25
2020-09-10,12.44,12.25
2020-09-11,12.3,12.34
2020-09-14,12.53,12.63
2020-09-15,12.7,12.62
2020-09-16,12.7,13.0
2020-09-17,12.84,12.91
2020-09-18,12.77,12.65
2020-09-21,12.23,11.54
2020-09-22,11.56,11.8
2020-09-23,11.92,11.5
2020-09-24,11.34,11.3
2020-09-25,11.25,11.53
2020-09-28,11.93,11.95
2020-09-29,11.92,11.42
2020-09-30,11.55,11.33
2020-10-01,11.52,11.46
2020-10-02,11.0,11.77
2020-10-05,11.95,11.76
2020-10-06,11.93,11.51
2020-10-07,12.31,12.29
2020-10-08,12.62,12.75
2020-10-09,12.72,12.74
2020-10-12,12.7,12.37
2020-10-13,12.2,12.14
2020-10-14,12.2,12.29
2020-10-15,12.13,12.31
2020-10-16,12.32,12.24
2020-10-19,12.37,12.26
2020-10-20,12.49,12.3
2020-10-21,12.27,11.93
2020-10-22,12.08,13.0
2020-10-23,12.96,13.43
2020-10-26,13.15,12.56
2020-10-27,12.48,11.88
2020-10-28,11.45,11.11
2020-10-29,11.13,11.56
2020-10-30,11.47,11.97
2020-11-02,11.97,12.0
2020-11-03,12.15,11.97
2020-11-04,12.03,11.92
2020-11-05,12.0,12.54
2020-11-06,12.51,12.35
2020-11-09,14.82,15.03
2020-11-10,14.8,14.94
2020-11-11,14.77,14.09
2020-11-12,13.64,13.39
2020-11-13,13.61,14.16
2020-11-16,15.15,14.79
2020-11-17,14.44,14.86
2020-11-18,15.08,14.63
2020-11-19,14.6,14.81
2020-11-20,14.71,14.51
2020-11-23,14.75,15.13
2020-11-24,15.6,15.86
2020-11-25,15.74,15.82
2020-11-27,15.93,15.71
2020-11-30,15.68,15.09
2020-12-01,15.47,15.42
2020-12-02,14.25,14.97
2020-12-03,15.22,15.89
2020-12-04,16.16,15.61
2020-12-07,15.67,15.42
2020-12-08,15.27,15.42
2020-12-09,15.71,15.33
2020-12-10,15.01,15.5
2020-12-11,15.3,14.8
2020-12-14,15.19,14.6
2020-12-15,14.75,14.82
2020-12-16,14.53,14.65
2020-12-17,14.67,14.28
2020-12-18,14.29,14.35
2020-12-21,14.03,14.24
2020-12-22,14.39,13.88
2020-12-23,14.04,14.47
2020-12-24,14.59,14.43
2020-12-28,14.59,14.81
2020-12-29,14.97,14.68
2020-12-30,14.61,14.86
2020-12-31,14.78,14.54
2021-01-04,14.59,14.03
2021-01-05,14.01,14.29
2021-01-06,14.36,14.57
2021-01-07,14.68,14.51
2021-01-08,14.74,14.69
2021-01-11,14.39,14.54
2021-01-12,14.63,14.81
