date,open,close
2020-11-09,10.9,10.5
2020-11-10,10.5,10.79
2020-11-11,10.95,10.99
2020-11-12,11.4,10.62
2020-11-13,10.9,10.71
2020-11-16,10.9,10.7
2020-11-17,10.75,10.6
2020-11-18,10.74,10.62
2020-11-19,10.81,10.65
2020-11-20,10.61,10.75
2020-11-23,11.19,10.75
2020-11-24,11.38,10.89
2020-11-25,11.24,10.93
2020-11-27,11.09,11.25
2020-11-30,12.0,11.25
2020-12-01,11.42,11.0
2020-12-02,11.26,11.02
2020-12-03,11.22,11.0
2020-12-04,11.2,11.09
2020-12-07,11.11,11.07
2020-12-08,11.2,11.11
2020-12-09,11.39,11.29
2020-12-10,11.35,11.21
2020-12-11,11.3,11.22
2020-12-14,11.24,11.15
2020-12-15,11.23,11.18
2020-12-16,11.24,11.11
2020-12-17,11.06,11.12
2020-12-18,11.22,11.3
2020-12-21,11.39,11.3
2020-12-22,11.55,11.56
2020-12-23,11.65,11.7
2020-12-24,11.88,11.75
2020-12-28,12.14,11.84
2020-12-29,11.9,11.53
2020-12-30,11.3,11.36
2020-12-31,11.44,11.56
2021-01-04,11.75,11.59
2021-01-05,11.78,11.47
2021-01-06,11.63,11.17
2021-01-07,11.3,11.47
2021-01-08,11.52,11.75
2021-01-11,11.75,11.79
2021-01-12,11.66,11.97
2021-01-13,12.13,12.17
2021-01-14,12.5,12.22
2021-01-15,12.35,11.9
2021-01-19,12.12,12.1
2021-01-20,12.24,13.52
2021-01-21,13.3,13.71
2021-01-22,13.7,13.95
2021-01-25,13.87,13.45
2021-01-26,13.44,12.74
2021-01-27,12.25,12.12
2021-01-28,12.21,12.19
2021-01-29,12.03,12.26
2021-02-01,12.4,12.78
2021-02-02,13.0,12.81
2021-02-03,12.96,13.02
2021-02-04,13.03,12.73
2021-02-05,12.75,13.02
2021-02-08,14.27,13.94
2021-02-09,13.9,13.69
2021-02-10,13.7,13.43
2021-02-11,13.85,13.64
2021-02-12,14.81,14.49
2021-02-16,15.78,15.7
2021-02-17,16.1,15.33
2021-02-18,15.1,14.93
2021-02-19,15.02,15.12
2021-02-22,15.26,14.63
2021-02-23,13.64,12.94
2021-02-24,14.12,13.46
2021-02-25,13.45,12.0
2021-02-26,12.4,11.74
2021-03-01,12.39,11.9
2021-03-02,12.01,11.29
2021-03-03,11.32,10.71
2021-03-04,10.73,10.65
2021-03-05,10.68,11.02
2021-03-08,11.22,10.69
2021-03-09,10.97,10.85
2021-03-10,10.89,10.98
2021-03-11,11.2,11.28
2021-03-12,10.99,11.01
2021-03-15,11.13,10.89
2021-03-16,10.97,10.73
2021-03-17,10.65,10.93
2021-03-18,10.63,10.67
2021-03-19,10.65,10.55
2021-03-22,10.74,10.59
2021-03-23,10.61,10.35
2021-03-24,10.4,10.18
2021-03-25,9.97,10.1
2021-03-26,10.13,10.18
2021-03-29,10.3,10.29
2021-03-30,10.35,10.19
2021-03-31,10.2,10.15
2021-04-01,10.3,10.17
2021-04-05,10.22,10.12
2021-04-06,10.13,10.15
2021-04-07,10.19,10.11
2021-04-08,10.23,10.29
2021-04-09,10.27,10.17
2021-04-12,10.16,10.12
2021-04-13,10.1,10.12
2021-04-14,10.11,10.11
2021-04-15,10.15,10.1
2021-04-16,10.05,10.07
2021-04-19,10.02,9.99
2021-04-20,9.99,9.95
2021-04-21,9.98,10.01
2021-04-22,10.1,10.03
2021-04-23,10.05,9.98
2021-04-26,9.96,10.04
2021-04-27,10.04,10.07
2021-04-28,10.11,9.98
2021-04-29,9.97,9.94
2021-04-30,9.96,9.9
2021-05-03,9.92,9.95
2021-05-04,9.95,9.91
2021-05-05,9.9,9.91
2021-05-06,9.9,9.9
2021-05-07,9.89,9.9
2021-05-10,9.89,9.89
2021-05-11,9.79,9.87
2021-05-12,9.87,9.85
2021-05-13,9.85,9.84
2021-05-14,9.84,9.88
2021-05-17,9.88,9.92
2021-05-18,9.88,9.91
2021-05-19,9.9,9.91
2021-05-20,9.93,9.91
2021-05-21,9.94,9.91
2021-05-24,9.92,9.91
2021-05-25,9.93,9.91
2021-05-26,9.92,9.92
2021-05-27,9.96,9.95
2021-05-28,9.98,9.95
2021-06-01,10.0,9.95
2021-06-02,9.98,9.98
2021-06-03,9.98,10.0
2021-06-04,10.05,10.01
2021-06-07,10.02,10.0
2021-06-08,10.03,10.1
2021-06-09,10.19,10.08
2021-06-10,10.11,10.02
2021-06-11,10.05,10.02
2021-06-14,10.1,10.02
2021-06-15,10.04,9.99
2021-06-16,9.99,9.97
2021-06-17,9.97,10.0
2021-06-18,9.95,9.96
2021-06-21,9.98,10.0
2021-06-22,10.0,9.95
2021-06-23,9.99,9.96
2021-06-24,9.97,9.98
2021-06-25,10.0,10.02
2021-06-28,10.1,10.0
2021-06-29,10.02,9.97
2021-06-30,10.0,9.98
2021-07-01,10.0,10.0
2021-07-02,10.05,10.0
2021-07-06,10.0,10.0
2021-07-07,10.03,9.96
2021-07-08,9.93,9.98
2021-07-09,9.95,9.95
2021-07-12,9.99,9.98
2021-07-13,10.0,9.94
2021-07-14,9.96,9.94
2021-07-15,9.95,9.94
2021-07-16,9.95,9.95
2021-07-19,9.95,9.96
2021-07-20,9.95,9.95
2021-07-21,9.95,9.96
2021-07-22,9.96,9.97
2021-07-23,9.96,9.97
2021-07-26,9.99,9.98
2021-07-27,9.96,9.95
2021-07-28,9.96,9.97
2021-07-29,9.97,9.98
2021-07-30,9.98,9.98
2021-08-02,9.9,9.9
2021-08-03,9.9,9.94
2021-08-04,9.9,9.31
2021-08-05,9.47,10.33
2021-08-06,10.22,9.59
2021-08-09,10.05,10.5
2021-08-10,10.2,10.03
2021-08-11,10.62,13.4
2021-08-12,13.32,11.31
2021-08-13,11.67,9.5
2021-08-16,10.02,9.98
2021-08-17,11.5,9.29
2021-08-18,9.38,8.81
2021-08-19,8.82,8.48
2021-08-20,8.55,9.93
2021-08-23,10.05,10.3
2021-08-24,10.46,10.9
2021-08-25,10.99,11.04
2021-08-26,11.28,11.48
2021-08-27,11.69,12.78
2021-08-30,13.03,12.57
2021-08-31,12.52,12.71
2021-09-01,12.38,12.48
2021-09-02,12.65,11.93
2021-09-03,10.14,10.16
2021-09-07,10.34,9.57
2021-09-08,9.77,9.4
2021-09-09,9.5,9.32
2021-09-10,9.51,9.3
2021-09-13,9.4,8.88
2021-09-14,8.94,8.14
2021-09-15,8.41,8.21
2021-09-16,8.2,8.6
2021-09-17,8.76,9.26
2021-09-20,8.74,9.11
2021-09-21,9.23,9.36
2021-09-22,9.57,9.67
2021-09-23,10.47,10.57
2021-09-24,10.65,10.3
2021-09-27,10.36,10.06
2021-09-28,10.0,9.95
2021-09-29,10.02,9.67
2021-09-30,9.95,10.06
2021-10-01,10.15,10.14
2021-10-04,10.06,9.07
2021-10-05,9.23,9.2
2021-10-06,9.0,9.19
2021-10-07,9.25,9.13
2021-10-08,9.13,9.12
2021-10-11,9.17,9.03
2021-10-12,9.06,9.2
2021-10-13,9.28,9.09
2021-10-14,9.15,9.34
2021-10-15,9.41,8.66
2021-10-18,8.7,8.65
2021-10-19,8.82,9.01
2021-10-20,9.1,9.09
2021-10-21,9.1,8.75
2021-10-22,8.79,8.99
2021-10-25,9.0,9.16
2021-10-26,9.16,9.07
2021-10-27,9.0,8.8
2021-10-28,8.8,8.78
2021-10-29,8.88,8.68
2021-11-01,8.74,9.49
2021-11-02,9.37,9.81
2021-11-03,9.78,9.59
2021-11-04,9.6,9.67
2021-11-05,9.7,9.96
2021-11-08,10.0,9.45
2021-11-09,9.54,9.46
2021-11-10,9.33,9.24
2021-11-11,9.3,9.29
2021-11-12,9.35,9.1
2021-11-15,9.13,9.39
2021-11-16,9.39,9.4
2021-11-17,9.45,8.8
2021-11-18,8.87,8.29
2021-11-19,8.42,8.49
2021-11-22,8.52,8.14
2021-11-23,8.25,7.92
2021-11-24,7.87,8.22
2021-11-26,8.02,8.39
2021-11-29,8.37,8.09
2021-11-30,7.98,7.93
2021-12-01,8.02,7.31
2021-12-02,7.36,7.62
2021-12-03,7.65,7.06
2021-12-06,7.08,6.85
2021-12-07,7.06,7.07
2021-12-08,7.09,7.18
2021-12-09,7.18,6.88
2021-12-10,6.9,6.79
2021-12-13,6.77,6.41
2021-12-14,6.31,6.37
2021-12-15,6.4,6.37
2021-12-16,6.61,6.52
2021-12-17,6.61,6.98
2021-12-20,6.79,6.79
2021-12-21,6.81,7.12
2021-12-22,7.12,7.1
2021-12-23,7.13,7.37
2021-12-27,7.37,7.28
2021-12-28,7.24,7.37
2021-12-29,7.31,6.98
2021-12-30,6.98,7.38
2021-12-31,7.33,7.3
2022-01-03,7.35,7.48
2022-01-04,7.53,7.24
2022-01-05,7.23,6.97
2022-01-06,6.97,6.35
2022-01-07,6.39,6.3
2022-01-10,6.25,5.94
2022-01-11,6.0,6.32
2022-01-12,6.4,6.33
2022-01-13,6.35,5.82
2022-01-14,5.77,5.71
2022-01-18,5.59,5.12
2022-01-19,5.25,4.81
2022-01-20,4.96,4.88
2022-01-21,4.88,4.47
2022-01-24,4.35,4.33
2022-01-25,4.28,4.27
2022-01-26,4.42,4.03
2022-01-27,4.06,3.83
2022-01-28,3.89,3.78
2022-01-31,3.85,4.15
2022-02-01,4.2,4.1
2022-02-02,4.11,3.9
2022-02-03,3.84,3.63
2022-02-04,3.68,3.81
2022-02-07,3.91,3.84
2022-02-08,3.85,4.65
2022-02-09,4.72,4.98
2022-02-10,4.81,5.11
2022-02-11,5.1,4.79
2022-02-14,4.8,4.76
2022-02-15,5.15,6.04
2022-02-16,6.18,5.55
2022-02-17,5.13,5.05
2022-02-18,5.12,4.76
2022-02-22,4.73,4.92
2022-02-23,4.98,4.49
