date,open,close
2020-05-11,7.01,6.9
2020-05-12,6.97,6.93
2020-05-13,7.06,6.89
2020-05-14,6.88,7.2
2020-05-15,7.42,7.44
2020-05-18,7.45,7.05
2020-05-19,7.2,7.56
2020-05-20,7.6,7.34
2020-05-21,7.26,7.15
2020-05-22,7.21,7.05
2020-05-26,6.92,6.65
2020-05-27,6.4,6.63
2020-05-28,6.79,6.57
2020-05-29,6.74,6.55
2020-06-01,6.59,6.77
2020-06-02,6.8,6.37
2020-06-03,6.26,6.16
2020-06-04,6.37,6.32
2020-06-05,6.02,6.22
2020-06-08,6.22,6.24
2020-06-09,6.35,6.24
2020-06-10,6.35,6.64
2020-06-11,6.64,6.23
2020-06-12,6.35,6.19
2020-06-15,6.0,6.5
2020-06-16,6.54,6.27
2020-06-17,6.27,6.3
2020-06-18,6.24,6.22
2020-06-19,6.33,6.4
2020-06-22,6.59,6.79
2020-06-23,6.88,6.84
2020-06-24,6.76,6.71
2020-06-25,6.67,6.69
2020-06-26,6.61,6.88
2020-06-29,6.89,7.02
2020-06-30,7.01,7.22
2020-07-01,7.21,7.2
2020-07-02,7.14,7.17
2020-07-06,7.22,7.27
2020-07-07,7.26,7.43
2020-07-08,7.55,7.59
2020-07-09,7.69,7.67
2020-07-10,7.69,7.63
2020-07-13,7.76,7.34
2020-07-14,7.3,7.73
2020-07-15,7.66,7.66
2020-07-16,7.62,7.58
2020-07-17,7.68,7.88
2020-07-20,8.0,8.19
2020-07-21,8.39,8.41
2020-07-22,8.57,8.48
2020-07-23,8.49,8.26
2020-07-24,8.35,8.42
2020-07-27,8.82,8.71
2020-07-28,8.55,8.78
2020-07-29,8.83,8.82
2020-07-30,8.62,8.69
2020-07-31,8.91,9.37
2020-08-03,9.39,9.28
2020-08-04,9.28,9.66
2020-08-05,9.88,9.87
2020-08-06,10.1,9.76
2020-08-07,9.55,9.41
2020-08-10,9.49,9.32
2020-08-11,8.58,8.54
2020-08-12,8.81,8.52
2020-08-13,8.65,8.81
2020-08-14,8.8,8.71
2020-08-17,9.1,9.3
2020-08-18,9.61,9.21
2020-08-19,9.09,8.85
2020-08-20,8.76,8.92
2020-08-21,8.75,8.65
2020-08-24,8.76,8.5
2020-08-25,8.52,8.55
2020-08-26,8.41,8.72
2020-08-27,8.86,8.46
2020-08-28,8.67,8.89
2020-08-31,8.97,8.88
2020-09-01,9.07,8.76
2020-09-02,8.65,8.83
2020-09-03,8.67,8.72
2020-09-04,8.64,8.63
2020-09-08,8.38,8.54
2020-09-09,8.65,9.17
2020-09-10,9.28,8.91
2020-09-11,9.02,8.8
2020-09-14,8.94,9.26
2020-09-15,9.44,9.3
2020-09-16,9.45,9.33
2020-09-17,8.98,9.35
2020-09-18,9.67,10.0
2020-09-21,9.66,9.23
2020-09-22,9.3,9.21
2020-09-23,9.0,8.22
2020-09-24,8.09,8.84
2020-09-25,8.75,8.75
2020-09-28,8.89,8.87
2020-09-29,8.92,8.94
2020-09-30,8.9,8.82
2020-10-01,8.97,9.05
2020-10-02,9.01,8.89
2020-10-05,8.94,9.14
2020-10-06,9.2,8.65
2020-10-07,8.76,8.43
2020-10-08,8.52,8.62
2020-10-09,8.86,9.1
2020-10-12,9.09,9.15
2020-10-13,9.04,9.08
2020-10-14,9.2,9.35
2020-10-15,9.2,9.2
2020-10-16,9.25,9.11
2020-10-19,9.19,8.89
2020-10-20,8.94,8.98
2020-10-21,9.12,9.12
2020-10-22,9.0,8.78
2020-10-23,8.76,8.61
2020-10-26,8.54,8.51
2020-10-27,8.57,8.75
2020-10-28,8.43,7.82
2020-10-29,7.73,7.85
2020-10-30,7.98,7.97
2020-11-02,8.13,8.2
2020-11-03,8.28,8.22
2020-11-04,8.22,8.11
2020-11-05,8.58,8.84
2020-11-06,8.93,8.74
2020-11-09,8.01,8.06
2020-11-10,8.09,7.74
2020-11-11,7.67,7.66
2020-11-12,7.78,7.94
2020-11-13,8.07,8.02
2020-11-16,7.92,7.89
2020-11-17,7.89,7.77
2020-11-18,7.74,7.53
2020-11-19,7.43,7.52
2020-11-20,7.62,7.52
2020-11-23,7.43,7.17
2020-11-24,6.9,6.98
2020-11-25,7.08,7.12
2020-11-27,7.01,7.11
2020-11-30,7.12,7.14
2020-12-01,7.37,7.46
2020-12-02,7.47,7.35
2020-12-03,7.41,7.3
2020-12-04,7.34,7.2
2020-12-07,7.18,7.73
2020-12-08,7.74,7.55
2020-12-09,7.47,7.31
2020-12-10,7.39,7.31
2020-12-11,7.36,7.2
2020-12-14,7.12,6.9
2020-12-15,7.16,7.13
2020-12-16,7.2,7.27
2020-12-17,7.51,7.52
2020-12-18,7.56,7.63
2020-12-21,7.53,7.49
2020-12-22,7.52,7.2
2020-12-23,7.26,7.38
2020-12-24,7.36,7.39
2020-12-28,7.52,7.28
2020-12-29,7.32,7.33
2020-12-30,7.36,7.56
2020-12-31,7.56,7.34
