date,open,close
2020-05-12,92.2,101.4
2020-05-13,99.2,106.8
2020-05-14,112.2,109.6
2020-05-15,111.8,98.2
2020-05-18,88.4,90.0
2020-05-19,91.0,97.4
2020-05-20,93.4,89.4
2020-05-21,89.6,91.2
2020-05-22,91.6,87.8
2020-05-26,83.0,94.0
2020-05-27,95.4,93.8
2020-05-28,95.2,96.4
2020-05-29,96.2,93.6
2020-06-01,94.8,91.8
2020-06-02,92.4,88.6
2020-06-03,88.2,92.2
2020-06-04,93.2,97.4
2020-06-05,94.6,95.0
2020-06-08,93.6,89.8
2020-06-09,91.4,90.4
2020-06-10,89.2,90.0
2020-06-11,94.6,104.4
2020-06-12,97.6,100.8
2020-06-15,104.2,92.0
2020-06-16,86.4,87.8
2020-06-17,86.8,87.6
2020-06-18,89.2,84.6
2020-06-19,83.0,77.8
2020-06-22,76.8,70.8
2020-06-23,68.6,67.2
2020-06-24,68.6,71.4
2020-06-25,72.0,66.2
2020-06-26,67.0,72.6
2020-06-29,71.8,72.4
2020-06-30,73.2,69.4
2020-07-01,69.0,68.6
2020-07-02,66.4,67.2
2020-07-06,65.2,68.0
2020-07-07,67.8,64.2
2020-07-08,63.0,61.0
2020-07-09,60.6,62.4
2020-07-10,61.8,64.0
2020-07-13,62.6,69.0
2020-07-14,68.6,63.6
2020-07-15,60.6,59.6
2020-07-16,60.8,61.0
2020-07-17,61.0,57.4
2020-07-20,55.6,54.8
2020-07-21,54.0,58.2
2020-07-22,58.6,58.8
2020-07-23,59.4,62.8
2020-07-24,64.0,67.0
2020-07-27,65.6,61.6
2020-07-28,62.0,66.4
2020-07-29,65.4,69.6
2020-07-30,71.6,66.8
2020-07-31,66.0,71.4
2020-08-03,70.0,62.4
2020-08-04,63.2,63.2
2020-08-05,60.8,61.2
2020-08-06,61.2,62.4
2020-08-07,62.6,62.0
2020-08-10,61.2,62.4
2020-08-11,62.4,69.6
2020-08-12,68.8,68.8
2020-08-13,68.8,66.2
2020-08-14,66.0,68.0
2020-08-17,67.4,60.8
2020-08-18,60.4,62.4
2020-08-19,62.0,62.6
2020-08-20,64.0,62.6
2020-08-21,63.2,65.2
2020-08-24,63.8,69.6
2020-08-25,69.8,67.0
2020-08-26,67.4,69.8
2020-08-27,69.2,71.0
2020-08-28,70.33,69.2
2020-08-31,67.12,63.78
2020-09-01,64.1,67.54
2020-09-02,67.14,65.44
2020-09-03,66.17,72.77
2020-09-04,73.13,75.35
2020-09-08,80.11,78.46
2020-09-09,76.39,73.17
2020-09-10,73.0,76.8
2020-09-11,75.1,76.9
2020-09-14,68.65,60.59
2020-09-15,58.8,58.8
2020-09-16,58.05,55.07
2020-09-17,57.03,55.1
2020-09-18,54.61,53.41
2020-09-21,56.0,59.21
2020-09-22,58.76,58.16
2020-09-23,57.85,63.62
2020-09-24,65.37,65.59
2020-09-25,65.45,60.47
2020-09-28,58.77,60.35
2020-09-29,60.28,58.93
2020-09-30,58.83,59.68
2020-10-01,58.59,57.0
2020-10-02,60.23,61.14
2020-10-05,58.16,51.71
2020-10-06,51.73,53.1
2020-10-07,51.39,47.9
2020-10-08,46.52,47.3
2020-10-09,46.46,45.76
2020-10-12,44.66,45.51
2020-10-13,46.21,43.53
2020-10-14,43.51,46.24
2020-10-15,47.75,45.72
2020-10-16,45.13,45.22
2020-10-19,44.26,47.86
2020-10-20,47.04,49.9
2020-10-21,50.06,53.45
2020-10-22,52.86,48.92
2020-10-23,48.23,48.44
2020-10-26,49.68,50.27
2020-10-27,49.99,48.13
2020-10-28,50.85,52.41
2020-10-29,52.34,50.98
2020-10-30,52.22,54.19
2020-11-02,53.0,54.3
2020-11-03,53.26,49.84
2020-11-04,46.12,40.56
2020-11-05,39.59,40.48
2020-11-06,41.59,43.65
2020-11-09,38.77,43.07
2020-11-10,43.22,41.27
2020-11-11,40.68,39.68
2020-11-12,39.85,39.67
2020-11-13,38.9,38.34
2020-11-16,36.97,37.78
2020-11-17,38.3,36.83
2020-11-18,36.7,38.97
2020-11-19,38.34,38.25
2020-11-20,38.58,37.26
2020-11-23,36.42,36.85
2020-11-24,36.5,37.2
2020-11-25,37.18,36.43
2020-11-27,35.9,32.57
2020-11-30,31.75,31.26
2020-12-01,30.11,31.6
2020-12-02,32.0,31.5
2020-12-03,31.4,30.8
2020-12-04,30.34,29.12
2020-12-07,27.16,28.35
2020-12-08,28.49,26.66
2020-12-09,26.2,28.34
2020-12-10,28.5,25.15
2020-12-11,25.4,25.17
2020-12-14,23.88,23.13
2020-12-15,22.13,23.05
2020-12-16,22.99,23.88
2020-12-17,23.63,22.78
2020-12-18,22.48,22.38
2020-12-21,23.24,21.18
2020-12-22,20.81,20.62
2020-12-23,20.52,20.61
2020-12-24,20.47,21.2
2020-12-28,20.7,22.65
2020-12-29,22.46,24.69
2020-12-30,24.39,23.61
2020-12-31,23.64,25.27
2021-01-04,24.83,25.2
2021-01-05,25.44,25.29
2021-01-06,25.7,23.85
2021-01-07,23.08,20.92
2021-01-08,21.2,20.8
2021-01-11,21.34,21.45
2021-01-12,21.15,20.88
2021-01-13,20.79,21.17
2021-01-14,20.9,19.13
2021-01-15,19.33,19.73
2021-01-19,19.09,18.74
2021-01-20,18.46,18.75
2021-01-21,18.54,19.98
2021-01-22,20.35,19.26
2021-01-25,18.93,17.56
2021-01-26,17.27,18.47
2021-01-27,19.22,19.21
2021-01-28,18.66,19.52
2021-01-29,18.75,19.01
2021-02-01,17.99,16.47
2021-02-02,16.0,15.41
2021-02-03,15.55,15.96
2021-02-04,15.74,15.5
2021-02-05,15.16,14.33
2021-02-08,13.87,12.47
2021-02-09,12.45,12.93
2021-02-10,12.63,13.79
2021-02-11,13.43,14.35
2021-02-12,14.44,14.74
2021-02-16,14.36,15.9
2021-02-17,16.13,15.66
2021-02-18,16.15,16.92
2021-02-19,16.5,16.03
2021-02-22,16.2,17.46
2021-02-23,18.35,18.59
2021-02-24,18.7,17.7
2021-02-25,17.86,19.91
2021-02-26,19.68,19.49
2021-03-01,18.62,18.07
2021-03-02,18.17,19.74
2021-03-03,20.05,22.55
2021-03-04,22.69,24.62
2021-03-05,23.59,22.89
2021-03-08,22.4,24.79
2021-03-09,23.43,21.21
2021-03-10,19.99,21.2
2021-03-11,19.88,18.62
2021-03-12,19.13,18.83
2021-03-15,18.66,18.18
2021-03-16,17.95,19.03
2021-03-17,19.8,18.34
2021-03-18,19.21,20.98
2021-03-19,20.96,19.02
2021-03-22,18.73,18.14
2021-03-23,18.56,21.29
2021-03-24,20.6,24.6
2021-03-25,25.68,22.4
2021-03-26,22.32,23.37
2021-03-29,23.72,25.44
2021-03-30,25.96,24.95
2021-03-31,24.21,21.74
2021-04-01,20.96,21.17
2021-04-05,20.26,20.39
2021-04-06,20.47,21.97
2021-04-07,21.88,23.53
2021-04-08,22.97,23.08
2021-04-09,23.16,24.47
2021-04-12,24.52,26.04
2021-04-13,25.65,24.95
2021-04-14,24.48,23.03
2021-04-15,22.31,22.23
2021-04-16,21.89,23.32
2021-04-19,23.98,24.8
2021-04-20,25.01,24.95
2021-04-21,25.22,22.42
2021-04-22,22.61,21.62
2021-04-23,21.37,21.72
2021-04-26,21.52,19.37
2021-04-27,19.15,19.29
2021-04-28,19.5,19.0
2021-04-29,18.64,19.73
2021-04-30,20.36,20.29
2021-05-03,19.8,21.01
2021-05-04,21.46,23.51
2021-05-05,22.93,24.68
2021-05-06,25.17,25.51
2021-05-07,24.93,24.49
2021-05-10,24.81,27.15
2021-05-11,29.59,25.75
2021-05-12,26.83,26.36
2021-05-13,25.61,27.51
2021-05-14,26.61,24.52
2021-05-17,24.95,24.63
2021-05-18,24.38,24.23
2021-05-19,25.59,25.54
2021-05-20,25.04,23.99
2021-05-21,23.44,24.38
2021-05-24,23.81,24.93
2021-05-25,24.71,25.77
2021-05-26,25.68,24.21
2021-05-27,23.75,23.31
2021-05-28,23.03,23.58
2021-06-01,23.16,24.29
2021-06-02,23.88,23.93
2021-06-03,24.32,24.25
2021-06-04,23.9,24.2
2021-06-07,23.92,20.94
2021-06-08,20.48,20.46
2021-06-09,20.27,19.92
2021-06-10,19.95,19.33
2021-06-11,19.15,19.4
2021-06-14,19.24,19.05
2021-06-15,19.05,20.31
2021-06-16,20.55,20.29
2021-06-17,20.59,19.95
2021-06-18,20.5,20.31
2021-06-21,20.11,19.78
2021-06-22,19.84,20.28
2021-06-23,20.15,19.98
2021-06-24,19.56,18.64
2021-06-25,18.44,18.06
2021-06-28,17.31,18.31
2021-06-29,18.31,19.17
2021-06-30,19.39,19.3
2021-07-01,19.08,18.06
