date,open,close
2020-05-11,29.27,28.47
2020-05-12,28.7,27.11
2020-05-13,26.5,24.62
2020-05-14,25.07,27.03
2020-05-15,26.26,26.61
2020-05-18,29.27,30.44
2020-05-19,29.69,28.55
2020-05-20,29.13,29.62
2020-05-21,29.43,29.72
2020-05-22,29.62,29.99
2020-05-26,31.82,31.67
2020-05-27,33.1,33.79
2020-05-28,34.16,32.14
2020-05-29,31.61,30.59
2020-06-01,30.77,31.79
2020-06-02,31.81,32.39
2020-06-03,33.16,35.12
2020-06-04,34.72,35.77
2020-06-05,39.14,37.15
2020-06-08,37.78,38.6
2020-06-09,37.63,37.64
2020-06-10,37.39,35.98
2020-06-11,32.94,33.22
2020-06-12,34.36,32.82
2020-06-15,31.25,33.74
2020-06-16,35.43,35.21
2020-06-17,35.53,34.26
2020-06-18,33.75,34.61
2020-06-19,35.32,33.92
2020-06-22,33.6,33.9
2020-06-23,34.56,35.52
2020-06-24,34.86,33.76
2020-06-25,33.35,33.49
2020-06-26,33.14,32.43
2020-06-29,32.79,34.61
2020-06-30,34.45,35.15
2020-07-01,35.04,34.38
2020-07-02,35.25,34.34
2020-07-06,35.34,35.21
2020-07-07,34.79,35.09
2020-07-08,35.18,36.08
2020-07-09,35.99,33.51
2020-07-10,33.59,34.9
2020-07-13,35.26,34.7
2020-07-14,34.6,35.44
2020-07-15,36.74,37.52
2020-07-16,37.03,37.38
2020-07-17,37.48,36.54
2020-07-20,36.39,35.69
2020-07-21,35.73,35.8
2020-07-22,35.78,36.7
2020-07-23,36.59,36.35
2020-07-24,36.43,35.93
2020-07-27,35.78,37.3
2020-07-28,37.86,37.8
2020-07-29,37.95,39.4
2020-07-30,38.62,39.79
2020-07-31,39.78,40.09
2020-08-03,40.22,39.7
2020-08-04,38.16,37.98
2020-08-05,38.72,39.03
2020-08-06,38.92,38.68
2020-08-07,38.59,39.15
2020-08-10,39.32,41.07
2020-08-11,41.55,41.27
2020-08-12,42.0,40.81
2020-08-13,40.34,40.17
2020-08-14,39.89,40.29
2020-08-17,40.76,40.65
2020-08-18,40.74,39.63
2020-08-19,39.8,39.54
2020-08-20,39.17,39.21
2020-08-21,39.28,39.85
2020-08-24,40.17,40.63
