date,open,close
2020-05-11,12.6,12.4
2020-05-12,12.41,12.6
2020-05-13,12.5,11.85
2020-05-14,11.5,12.2
2020-05-15,11.93,12.09
2020-05-18,12.71,13.07
2020-05-19,13.09,12.43
2020-05-20,12.8,12.43
2020-05-21,12.37,13.06
2020-05-22,13.05,12.92
2020-05-26,13.5,14.16
2020-05-27,14.7,14.58
2020-05-28,14.59,13.63
2020-05-29,13.36,13.49
2020-06-01,13.45,13.81
2020-06-02,14.05,14.28
2020-06-03,14.59,15.34
2020-06-04,15.05,15.44
2020-06-05,16.3,16.07
2020-06-08,16.52,15.81
2020-06-09,15.33,15.44
2020-06-10,15.27,14.63
2020-06-11,13.73,13.66
2020-06-12,14.13,13.79
2020-06-15,13.21,14.14
2020-06-16,14.93,14.42
2020-06-17,14.56,14.18
2020-06-18,13.95,13.78
2020-06-19,14.0,13.39
2020-06-22,13.39,13.45
2020-06-23,13.7,13.5
2020-06-24,13.42,13.0
2020-06-25,12.83,12.93
2020-06-26,12.8,12.25
2020-06-29,12.4,13.24
2020-06-30,13.04,13.4
2020-07-01,13.38,13.7
2020-07-02,13.95,13.35
2020-07-06,13.74,14.41
2020-07-07,14.16,13.83
2020-07-08,13.19,12.68
2020-07-09,12.78,12.43
2020-07-10,12.43,12.6
2020-07-13,12.74,12.39
2020-07-14,12.3,12.3
2020-07-15,12.53,12.63
2020-07-16,12.5,12.45
2020-07-17,12.51,12.36
2020-07-20,12.3,12.0
2020-07-21,12.1,12.15
2020-07-22,12.06,12.04
2020-07-23,12.12,12.19
2020-07-24,12.45,12.33
2020-07-27,12.22,12.18
2020-07-28,12.18,12.57
2020-07-29,12.57,12.32
2020-07-30,12.24,12.25
2020-07-31,12.19,12.16
2020-08-03,12.18,12.08
2020-08-04,12.07,12.16
2020-08-05,12.19,12.4
2020-08-06,12.29,12.07
2020-08-07,12.08,12.5
2020-08-10,12.5,12.91
2020-08-11,13.15,12.91
2020-08-12,13.02,12.87
2020-08-13,12.76,12.78
2020-08-14,12.7,12.76
2020-08-17,12.75,12.8
2020-08-18,12.72,12.21
2020-08-19,12.31,12.28
2020-08-20,12.2,12.29
2020-08-21,12.31,12.24
2020-08-24,12.24,12.7
2020-08-25,12.79,12.67
2020-08-26,12.6,12.43
2020-08-27,12.54,12.69
2020-08-28,12.8,12.89
2020-08-31,12.83,12.32
2020-09-01,12.31,12.41
2020-09-02,12.52,12.75
2020-09-03,12.75,12.55
2020-09-04,12.64,12.42
2020-09-08,12.3,12.77
2020-09-09,12.77,12.83
2020-09-10,12.82,13.22
2020-09-11,13.32,13.27
2020-09-14,13.36,13.69
2020-09-15,13.77,13.47
2020-09-16,13.47,13.49
2020-09-17,13.33,13.2
2020-09-18,13.07,12.52
2020-09-21,12.26,12.0
2020-09-22,12.08,12.36
2020-09-23,12.54,12.82
2020-09-24,12.71,12.87
2020-09-25,12.59,12.92
2020-09-28,13.0,13.59
2020-09-29,13.52,13.31
2020-09-30,13.32,13.4
2020-10-01,13.64,13.94
2020-10-02,13.56,14.15
2020-10-05,14.36,15.01
2020-10-06,15.0,14.74
2020-10-07,16.81,15.49
2020-10-08,15.53,15.56
2020-10-09,15.63,15.21
2020-10-12,15.81,15.8
2020-10-13,15.7,15.64
2020-10-14,15.64,15.51
2020-10-15,15.25,16.02
2020-10-16,16.11,15.72
2020-10-19,15.74,15.88
2020-10-20,15.98,16.36
2020-10-21,16.23,16.29
2020-10-22,16.29,16.55
2020-10-23,16.63,16.82
2020-10-26,16.53,16.27
2020-10-27,16.38,16.52
2020-10-28,16.18,15.85
2020-10-29,15.85,16.21
2020-10-30,16.17,15.78
2020-11-02,15.99,15.83
2020-11-03,16.08,16.07
2020-11-04,15.85,15.64
2020-11-05,15.84,16.14
2020-11-06,16.05,15.56
2020-11-09,16.34,16.5
2020-11-10,16.95,17.32
2020-11-11,17.37,16.85
2020-11-12,16.65,16.46
2020-11-13,16.62,17.14
2020-11-16,17.56,17.7
2020-11-17,17.58,18.23
2020-11-18,18.37,18.72
2020-11-19,18.46,18.92
2020-11-20,18.86,18.77
2020-11-23,18.82,19.01
2020-11-24,19.44,19.5
2020-11-25,19.35,19.49
2020-11-27,19.58,19.16
2020-11-30,19.19,18.39
2020-12-01,18.71,18.78
2020-12-02,18.7,18.87
2020-12-03,18.97,19.4
2020-12-04,19.52,19.83
2020-12-07,19.62,19.42
2020-12-08,19.28,19.79
2020-12-09,19.76,20.25
2020-12-10,20.76,20.78
2020-12-11,20.55,20.49
2020-12-14,20.76,20.33
2020-12-15,20.56,20.82
2020-12-16,20.84,21.35
2020-12-17,21.36,21.47
2020-12-18,21.37,21.55
2020-12-21,21.1,21.53
2020-12-22,21.69,21.12
2020-12-23,21.02,21.13
2020-12-24,21.1,20.61
2020-12-28,20.69,20.33
2020-12-29,20.1,19.82
2020-12-30,20.0,20.42
2020-12-31,20.46,20.08
2021-01-04,20.15,19.65
2021-01-05,19.62,19.97
2021-01-06,20.34,20.56
2021-01-07,20.87,20.32
2021-01-08,20.32,20.5
2021-01-11,20.52,21.32
2021-01-12,21.26,22.49
2021-01-13,22.3,21.57
2021-01-14,21.76,21.65
2021-01-15,21.64,21.34
2021-01-19,21.35,21.13
2021-01-20,21.0,21.13
2021-01-21,21.15,20.85
2021-01-22,20.71,20.8
2021-01-25,20.8,21.24
2021-01-26,21.6,21.35
2021-01-27,20.96,22.0
2021-01-28,20.91,20.74
2021-01-29,20.3,19.71
2021-02-01,19.76,19.68
2021-02-02,19.73,19.74
2021-02-03,19.94,19.74
2021-02-04,19.99,20.12
2021-02-05,20.35,19.99
2021-02-08,19.97,19.45
2021-02-09,19.49,20.49
2021-02-10,20.5,21.03
2021-02-11,21.03,20.92
2021-02-12,20.7,20.91
2021-02-16,20.99,21.86
2021-02-17,21.71,21.97
2021-02-18,21.82,21.89
2021-02-19,21.98,23.05
2021-02-22,22.87,23.57
2021-02-23,23.41,23.07
2021-02-24,23.04,23.29
2021-02-25,23.13,23.31
2021-02-26,23.29,23.26
2021-03-01,23.45,23.58
2021-03-02,23.5,23.9
2021-03-03,24.0,24.12
2021-03-04,23.9,23.91
2021-03-05,24.06,24.07
2021-03-08,24.62,24.78
2021-03-09,24.6,24.79
2021-03-10,24.77,24.63
2021-03-11,24.71,24.48
2021-03-12,24.51,25.14
2021-03-15,25.16,25.71
2021-03-16,25.48,25.0
2021-03-17,24.92,25.07
2021-03-18,25.24,24.99
2021-03-19,24.84,25.01
2021-03-22,24.88,24.82
2021-03-23,24.58,23.03
2021-03-24,23.27,23.04
2021-03-25,22.72,23.87
2021-03-26,24.11,23.91
2021-03-29,24.06,23.63
2021-03-30,23.62,23.82
2021-03-31,23.73,23.91
2021-04-01,24.19,23.69
2021-04-05,24.1,24.22
2021-04-06,24.17,24.12
2021-04-07,24.48,24.46
2021-04-08,24.6,25.02
2021-04-09,26.66,25.67
2021-04-12,25.68,26.47
2021-04-13,26.54,26.74
2021-04-14,26.7,27.23
2021-04-15,27.33,27.58
2021-04-16,27.74,29.03
2021-04-19,29.05,28.27
2021-04-20,28.33,28.91
2021-04-21,29.0,29.07
2021-04-22,29.47,28.92
2021-04-23,29.11,29.56
2021-04-26,29.3,28.95
2021-04-27,29.5,29.77
2021-04-28,29.64,29.47
2021-04-29,29.75,29.09
2021-04-30,29.0,28.86
2021-05-03,29.07,30.48
2021-05-04,30.4,30.1
2021-05-05,29.59,30.38
2021-05-06,30.35,30.34
2021-05-07,30.33,30.13
2021-05-10,30.15,29.87
2021-05-11,29.63,29.64
2021-05-12,29.55,27.61
2021-05-13,27.75,27.82
2021-05-14,28.03,29.07
2021-05-17,29.1,29.35
2021-05-18,29.72,28.34
2021-05-19,27.84,27.36
2021-05-20,27.36,27.24
2021-05-21,27.4,27.36
2021-05-24,27.46,27.53
2021-05-25,27.39,27.09
2021-05-26,27.52,27.2
2021-05-27,27.46,27.29
2021-05-28,27.29,26.76
2021-06-01,26.92,27.51
2021-06-02,27.38,26.96
2021-06-03,26.79,26.47
2021-06-04,26.57,26.08
2021-06-07,26.23,26.43
2021-06-08,26.37,27.21
2021-06-09,27.21,26.76
2021-06-10,26.94,26.6
2021-06-11,26.7,27.25
2021-06-14,27.3,26.76
2021-06-15,26.73,26.65
2021-06-16,26.63,26.85
2021-06-17,26.71,26.23
2021-06-18,25.72,24.58
2021-06-21,24.87,24.96
2021-06-22,24.84,25.73
2021-06-23,25.73,25.91
2021-06-24,26.17,26.88
2021-06-25,27.19,27.37
2021-06-28,27.36,27.46
2021-06-29,27.62,27.29
2021-06-30,27.3,27.72
2021-07-01,27.9,27.48
2021-07-02,27.55,27.46
2021-07-06,28.04,28.27
2021-07-07,28.11,28.04
2021-07-08,28.04,28.0
2021-07-09,29.4,28.38
2021-07-12,28.4,28.72
2021-07-13,28.29,28.7
2021-07-14,29.48,29.88
2021-07-15,30.0,28.41
2021-07-16,28.33,27.93
2021-07-19,27.0,26.5
2021-07-20,26.53,27.38
2021-07-21,27.74,27.81
2021-07-22,27.75,26.94
2021-07-23,27.15,26.61
2021-07-26,26.88,27.16
2021-07-27,27.06,26.5
2021-07-28,26.81,26.53
2021-07-29,26.66,27.46
2021-07-30,27.34,27.52
2021-08-02,28.25,28.5
2021-08-03,28.69,28.04
2021-08-04,27.81,27.4
2021-08-05,27.42,27.67
2021-08-06,28.12,27.18
2021-08-09,27.11,26.45
2021-08-10,26.4,27.32
2021-08-11,27.11,28.58
2021-08-12,28.57,28.27
2021-08-13,28.11,28.06
2021-08-16,27.87,27.78
2021-08-17,27.43,27.64
2021-08-18,27.63,27.32
2021-08-19,26.53,26.47
2021-08-20,26.64,26.58
2021-08-23,26.78,27.09
2021-08-24,27.06,27.66
2021-08-25,27.6,27.66
2021-08-26,27.59,26.77
2021-08-27,26.9,26.87
2021-08-30,27.26,26.99
2021-08-31,26.91,26.21
2021-09-01,26.66,26.71
2021-09-02,27.01,26.59
2021-09-03,26.51,26.5
2021-09-07,26.53,26.62
2021-09-08,26.43,26.46
2021-09-09,26.57,26.51
2021-09-10,26.65,26.5
2021-09-13,26.73,26.59
2021-09-14,26.44,26.51
2021-09-15,26.52,26.38
2021-09-16,26.38,25.59
2021-09-17,25.67,25.39
2021-09-20,25.0,24.42
2021-09-21,24.59,24.35
2021-09-22,24.41,24.76
2021-09-23,25.0,25.42
2021-09-24,25.0,25.4
2021-09-27,25.43,25.84
2021-09-28,25.69,25.48
2021-09-29,25.92,25.65
2021-09-30,25.57,24.51
2021-10-01,24.77,25.0
2021-10-04,25.3,25.16
2021-10-05,25.15,25.55
2021-10-06,25.48,24.24
2021-10-07,25.53,26.29
2021-10-08,26.36,25.55
2021-10-11,25.48,24.48
2021-10-12,24.61,24.49
2021-10-13,24.6,24.7
2021-10-14,24.87,24.78
2021-10-15,25.0,24.75
2021-10-18,24.52,24.93
2021-10-19,24.89,24.88
2021-10-20,25.0,25.71
2021-10-21,25.64,25.74
2021-10-22,25.48,26.18
2021-10-25,26.41,26.25
2021-10-26,26.32,26.7
2021-10-27,26.8,25.81
2021-10-28,25.82,26.13
2021-10-29,26.03,26.18
2021-11-01,26.54,26.79
2021-11-02,26.97,26.52
2021-11-03,26.66,26.86
2021-11-04,26.9,26.98
2021-11-05,27.15,27.0
2021-11-08,27.32,27.17
2021-11-09,27.02,27.56
2021-11-10,27.33,26.99
2021-11-11,26.99,27.15
2021-11-12,27.21,27.53
2021-11-15,27.61,27.19
2021-11-16,27.19,27.57
2021-11-17,27.68,27.89
2021-11-18,28.0,28.26
2021-11-19,28.07,27.63
2021-11-22,27.8,28.28
2021-11-23,28.14,27.93
2021-11-24,27.49,28.19
2021-11-26,27.19,27.2
2021-11-29,27.3,26.51
2021-11-30,26.29,25.57
2021-12-01,26.11,24.63
2021-12-02,24.94,25.38
2021-12-03,25.58,25.2
2021-12-06,25.57,25.49
