date,open,close
2020-05-12,9.73,9.73
2020-05-13,9.74,9.19
2020-05-14,9.04,9.19
2020-05-15,9.09,9.27
2020-05-18,9.58,9.69
2020-05-19,9.65,9.58
2020-05-20,9.69,9.9
2020-05-21,9.94,9.71
2020-05-22,9.73,9.82
2020-05-26,10.17,9.97
2020-05-27,10.24,10.29
2020-05-28,10.29,10.17
2020-05-29,9.9,9.83
2020-06-01,9.81,10.14
2020-06-02,10.24,10.24
2020-06-03,10.3,10.61
2020-06-04,10.55,10.6
2020-06-05,11.0,10.81
2020-06-08,10.95,11.37
2020-06-09,11.15,11.01
2020-06-10,11.01,10.71
2020-06-11,10.13,9.75
2020-06-12,10.18,10.08
2020-06-15,9.78,10.15
2020-06-16,10.56,10.45
2020-06-17,10.4,10.22
2020-06-18,10.08,10.15
2020-06-19,10.33,10.15
2020-06-22,10.14,10.15
2020-06-23,10.24,10.1
2020-06-24,10.03,9.74
2020-06-25,9.69,10.04
2020-06-26,9.99,9.51
2020-06-29,9.55,9.79
2020-06-30,9.82,10.03
2020-07-01,9.97,9.87
2020-07-02,10.0,9.79
2020-07-06,9.97,9.98
2020-07-07,9.86,9.9
2020-07-08,9.87,9.8
2020-07-09,9.76,9.63
2020-07-10,9.65,9.91
2020-07-13,9.98,9.68
2020-07-14,9.68,9.89
2020-07-15,9.87,9.71
2020-07-16,9.65,9.93
2020-07-17,9.97,9.8
2020-07-20,9.75,9.64
2020-07-21,9.69,9.73
2020-07-22,9.71,9.82
2020-07-23,9.82,9.99
2020-07-24,10.03,10.09
2020-07-27,10.04,9.7
2020-07-28,9.72,9.89
2020-07-29,9.91,9.84
2020-07-30,9.76,9.74
2020-07-31,9.71,9.65
2020-08-03,9.7,9.8
2020-08-04,9.77,9.88
2020-08-05,9.95,9.84
2020-08-06,10.16,10.56
2020-08-07,10.54,10.49
2020-08-10,10.58,10.86
2020-08-11,11.0,11.04
2020-08-12,11.16,10.79
2020-08-13,10.73,10.85
2020-08-14,10.76,11.07
2020-08-17,11.0,10.8
2020-08-18,10.84,10.9
2020-08-19,10.89,11.29
2020-08-20,11.22,11.0
2020-08-21,11.07,11.01
2020-08-24,11.11,11.42
2020-08-25,11.49,11.21
2020-08-26,11.23,11.23
2020-08-27,11.28,11.34
2020-08-28,11.14,10.99
2020-08-31,10.83,10.75
2020-09-01,10.78,10.65
2020-09-02,10.67,10.92
2020-09-03,11.0,10.77
2020-09-04,10.83,10.76
2020-09-08,10.73,10.65
2020-09-09,10.76,10.86
2020-09-10,10.93,10.55
2020-09-11,10.56,10.65
2020-09-14,10.75,10.87
2020-09-15,10.91,10.99
2020-09-16,11.01,11.0
2020-09-17,10.85,11.0
2020-09-18,10.98,10.77
2020-09-21,10.68,10.26
2020-09-22,10.26,10.26
2020-09-23,10.25,10.05
2020-09-24,10.01,10.14
2020-09-25,10.06,10.21
2020-09-28,10.31,10.28
2020-09-29,10.34,10.22
2020-09-30,10.23,10.09
2020-10-01,10.01,9.95
2020-10-02,9.86,10.03
2020-10-05,10.08,10.06
2020-10-06,10.06,9.89
2020-10-07,9.94,10.08
2020-10-08,10.11,10.13
2020-10-09,10.18,10.11
2020-10-12,10.07,10.03
2020-10-13,10.0,9.88
2020-10-14,9.87,9.8
2020-10-15,9.77,9.93
2020-10-16,9.88,9.86
2020-10-19,9.92,9.61
2020-10-20,9.7,9.62
2020-10-21,9.57,9.66
2020-10-22,9.66,9.68
2020-10-23,9.74,9.61
2020-10-26,9.54,9.25
2020-10-27,9.31,8.96
2020-10-28,8.9,8.71
2020-10-29,8.7,8.67
2020-10-30,8.66,8.62
2020-11-02,8.73,8.88
2020-11-03,8.98,9.11
2020-11-04,8.93,8.8
2020-11-05,9.28,9.28
2020-11-06,9.32,9.09
2020-11-09,9.38,9.25
2020-11-10,9.25,9.79
2020-11-11,9.83,9.67
2020-11-12,9.66,9.62
2020-11-13,9.63,9.85
2020-11-16,9.99,10.07
2020-11-17,10.0,10.14
2020-11-18,10.21,9.94
2020-11-19,9.94,9.82
2020-11-20,9.82,10.04
