date,open,close
2020-05-11,10.09,10.04
2020-05-12,9.6,9.35
2020-05-13,9.34,8.69
2020-05-14,8.5,8.71
2020-05-15,8.7,8.77
2020-05-18,9.1,9.23
2020-05-19,9.16,9.04
2020-05-20,9.21,9.26
2020-05-21,9.19,9.26
2020-05-22,9.27,9.26
2020-05-26,9.57,9.48
2020-05-27,9.67,9.66
2020-05-28,9.66,9.6
2020-05-29,9.49,9.72
2020-06-01,9.72,9.66
2020-06-02,9.78,9.95
2020-06-03,10.13,10.48
2020-06-04,10.4,10.34
2020-06-05,10.7,10.69
2020-06-08,10.63,10.71
2020-06-09,10.51,10.49
2020-06-10,10.44,10.19
2020-06-11,9.68,9.75
2020-06-12,10.08,10.24
2020-06-15,9.93,10.6
2020-06-16,10.96,10.99
2020-06-17,11.08,10.99
2020-06-18,10.87,10.99
2020-06-19,11.07,10.67
2020-06-22,10.59,10.68
2020-06-23,10.81,10.61
2020-06-24,10.46,10.41
2020-06-25,10.37,10.52
2020-06-26,10.46,10.33
2020-06-29,10.37,10.35
2020-06-30,10.34,10.55
2020-07-01,10.6,10.81
2020-07-02,11.0,10.82
2020-07-06,11.06,10.8
2020-07-07,10.61,10.54
2020-07-08,10.52,10.43
2020-07-09,10.41,10.39
2020-07-10,10.44,10.4
2020-07-13,10.46,10.36
2020-07-14,10.37,10.42
2020-07-15,10.65,10.45
2020-07-16,10.38,10.23
2020-07-17,10.26,10.48
2020-07-20,10.45,10.42
2020-07-21,10.58,10.8
2020-07-22,10.72,11.06
2020-07-23,10.96,10.95
2020-07-24,10.93,10.86
2020-07-27,10.86,11.14
2020-07-28,11.06,11.34
2020-07-29,11.37,11.61
2020-07-30,11.44,11.61
2020-07-31,11.58,11.6
2020-08-03,11.66,11.48
2020-08-04,11.41,11.69
2020-08-05,11.8,11.89
2020-08-06,11.73,11.92
2020-08-07,11.91,11.94
2020-08-10,11.96,11.92
2020-08-11,12.0,11.66
2020-08-12,11.76,11.73
2020-08-13,11.66,11.59
2020-08-14,11.55,11.56
2020-08-17,11.29,11.73
2020-08-18,11.68,11.68
2020-08-19,11.68,11.45
2020-08-20,11.4,11.51
2020-08-21,11.52,11.58
2020-08-24,11.65,11.66
2020-08-25,11.72,11.66
2020-08-26,11.65,11.59
2020-08-27,11.64,11.61
2020-08-28,11.73,11.52
2020-08-31,11.51,11.37
2020-09-01,11.27,11.37
2020-09-02,11.37,11.46
2020-09-03,11.49,11.4
