date,open,close
2020-05-12,0.714,0.6243
2020-05-13,0.66,0.739
2020-05-14,0.85,0.8597
2020-05-15,0.7799,0.8
2020-05-18,0.861,0.81
2020-05-19,0.82,0.8055
2020-05-20,0.845,0.83
2020-05-21,0.796,0.709
2020-05-22,0.71,0.7295
2020-05-26,0.71,0.7194
2020-05-27,0.73,0.72
2020-05-28,0.748,0.7332
2020-05-29,0.7733,0.7
2020-06-01,0.7166,0.73
2020-06-02,0.8777,0.82
2020-06-03,0.961,0.92
2020-06-04,0.9075,1.09
2020-06-05,1.05,1.0
2020-06-08,0.9898,0.9134
2020-06-09,0.95,0.9
2020-06-10,1.04,1.25
2020-06-11,1.0,0.93
2020-06-12,1.01,0.9301
2020-06-15,0.95,0.9496
2020-06-16,1.0,0.9389
2020-06-17,0.93,0.876
2020-06-18,0.8783,0.86
2020-06-19,0.88,0.8417
2020-06-22,0.8731,1.09
2020-06-23,1.17,1.1
2020-06-24,1.0,0.9801
2020-06-25,0.9631,1.01
2020-06-26,0.9801,0.9225
2020-06-29,0.9,0.8901
2020-06-30,0.8698,0.91
2020-07-01,0.899,0.9336
2020-07-02,0.9613,0.9101
2020-07-06,0.93,0.9389
2020-07-07,0.918,0.9
2020-07-08,0.9201,1.0
2020-07-09,1.02,0.938
2020-07-10,0.92,0.93
2020-07-13,0.931,0.878
2020-07-14,0.92,0.91
2020-07-15,0.91,0.918
2020-07-16,0.9,0.9076
2020-07-17,0.9194,0.8975
2020-07-20,0.91,0.925
2020-07-21,0.95,0.9446
2020-07-22,0.965,1.05
2020-07-23,1.12,0.961
2020-07-24,0.9324,1.04
2020-07-27,1.37,1.42
2020-07-28,1.52,1.71
2020-07-29,1.8,1.82
2020-07-30,1.7162,1.78
2020-07-31,1.73,2.03
2020-08-03,3.11,3.83
2020-08-04,3.01,3.31
2020-08-05,4.2,4.2
2020-08-06,4.5,5.09
2020-08-07,4.55,4.38
2020-08-10,4.89,4.44
2020-08-11,3.93,3.86
2020-08-12,3.95,3.57
2020-08-13,3.25,3.55
2020-08-14,3.8,3.87
2020-08-17,4.039,3.72
2020-08-18,3.67,3.41
2020-08-19,3.2,3.14
2020-08-20,3.14,3.27
2020-08-21,3.16,2.71
2020-08-24,2.8344,2.31
2020-08-25,2.14,2.44
2020-08-26,2.59,2.54
2020-08-27,2.5,2.26
2020-08-28,2.28,2.56
2020-08-31,2.73,2.48
2020-09-01,2.5,2.57
2020-09-02,2.35,2.38
2020-09-03,2.13,2.095
2020-09-04,2.04,2.09
2020-09-08,1.81,1.85
2020-09-09,1.93,1.97
2020-09-10,2.02,1.89
2020-09-11,1.8901,1.8
2020-09-14,1.86,1.98
2020-09-15,2.01,1.98
2020-09-16,2.0,2.07
2020-09-17,1.95,1.99
2020-09-18,2.01,1.92
2020-09-21,1.8111,1.89
2020-09-22,1.89,1.82
2020-09-23,1.81,1.64
2020-09-24,1.6,1.75
2020-09-25,1.76,1.93
2020-09-28,2.05,2.02
2020-09-29,1.99,2.02
2020-09-30,2.0,1.96
2020-10-01,2.01,1.95
2020-10-02,1.85,1.96
2020-10-05,1.96,1.96
2020-10-06,1.93,1.87
2020-10-07,1.87,1.94
2020-10-08,1.98,2.14
2020-10-09,2.24,2.16
2020-10-12,2.22,2.42
2020-10-13,2.5,2.36
2020-10-14,2.25,2.25
2020-10-15,2.12,2.33
2020-10-16,2.3,2.18
2020-10-19,2.29,2.34
2020-10-20,2.48,2.46
2020-10-21,2.8,2.84
2020-10-22,3.08,3.0
2020-10-23,2.88,2.74
2020-10-26,2.91,2.54
2020-10-27,2.76,2.76
2020-10-28,2.5,2.35
2020-10-29,2.275,2.28
2020-10-30,2.27,2.16
2020-11-02,2.12,2.1
2020-11-03,2.16,2.22
2020-11-04,2.26,2.35
2020-11-05,2.51,2.495
2020-11-06,2.53,2.41
2020-11-09,2.3,2.21
2020-11-10,2.16,2.19
2020-11-11,2.23,2.33
2020-11-12,2.38,2.3
2020-11-13,2.32,2.39
2020-11-16,2.39,2.48
2020-11-17,2.58,3.1
2020-11-18,3.45,2.89
2020-11-19,3.06,3.09
2020-11-20,3.18,3.39
2020-11-23,3.75,4.92
2020-11-24,6.01,4.91
2020-11-25,5.07,5.12
2020-11-27,4.19,4.28
2020-11-30,5.13,6.28
2020-12-01,5.88,6.19
2020-12-02,5.97,5.76
2020-12-03,5.95,5.91
2020-12-04,5.75,5.4
2020-12-07,5.43,5.51
2020-12-08,5.42,5.18
2020-12-09,5.26,4.78
2020-12-10,4.51,5.22
2020-12-11,5.0,4.75
2020-12-14,5.3169,5.54
2020-12-15,5.66,7.07
2020-12-16,8.19,8.23
2020-12-17,9.66,9.47
2020-12-18,8.79,9.31
2020-12-21,9.11,11.5
2020-12-22,12.93,13.97
2020-12-23,13.63,10.81
2020-12-24,11.66,10.92
2020-12-28,14.0,12.25
2020-12-29,12.225,11.76
2020-12-30,12.55,10.88
2020-12-31,10.87,10.44
2021-01-04,12.48,11.01
2021-01-05,10.69,13.59
2021-01-06,14.58,16.96
2021-01-07,20.18,22.36
2021-01-08,25.01,26.39
2021-01-11,20.01,23.36
2021-01-12,24.0,26.15
2021-01-13,22.39,23.0
2021-01-14,25.91,24.44
2021-01-15,23.1,22.39
2021-01-19,23.83,22.35
2021-01-20,21.07,19.27
2021-01-21,16.45,17.56
2021-01-22,18.77,18.3
2021-01-25,19.5,18.22
2021-01-26,17.51,18.6
2021-01-27,17.06,17.65
2021-01-28,18.39,19.9
2021-01-29,24.0,20.74
2021-02-01,20.55,20.74
2021-02-02,21.35,22.74
2021-02-03,23.02,23.67
2021-02-04,24.0,22.795
2021-02-05,23.12,22.52
2021-02-08,26.94,32.07
2021-02-09,35.51,37.59
2021-02-10,34.66,34.01
2021-02-11,38.3,37.27
2021-02-12,37.89,38.46
2021-02-16,41.92,43.56
2021-02-17,46.03,47.9
2021-02-18,44.18,40.98
2021-02-19,43.85,43.27
2021-02-22,37.11,37.11
