date,open,close
2022-10-26,26.71,28.97
2022-10-27,26.99,27.4
2022-10-28,27.06,27.0
2022-10-31,27.0,26.38
2022-11-01,26.38,25.9
2022-11-02,25.84,25.49
2022-11-03,25.06,26.01
2022-11-04,26.38,25.89
2022-11-07,25.84,25.89
2022-11-08,25.99,26.2
2022-11-09,26.36,25.89
2022-11-10,26.48,28.09
2022-11-11,28.25,29.95
2022-11-14,30.54,29.39
2022-11-15,30.74,29.91
2022-11-16,29.74,28.81
2022-11-17,27.61,29.01
2022-11-18,29.15,28.42
2022-11-21,29.44,27.22
2022-11-22,27.22,29.55
2022-11-23,29.55,29.31
2022-11-25,29.5,29.4
2022-11-28,29.42,27.87
2022-11-29,27.77,27.44
2022-11-30,27.62,28.51
2022-12-01,29.15,29.77
2022-12-02,29.5,31.94
2022-12-05,32.43,31.5
2022-12-06,31.5,30.49
2022-12-07,32.43,32.13
2022-12-08,33.5,31.59
2022-12-09,31.6,33.7
2022-12-12,34.0,33.05
2022-12-13,35.0,34.66
2022-12-14,35.0,35.43
2022-12-15,35.52,34.5
2022-12-16,34.33,33.81
2022-12-19,34.0,35.04
2022-12-20,35.04,33.72
2022-12-21,34.2,35.47
2022-12-22,35.36,33.88
2022-12-23,34.1,33.98
2022-12-27,34.11,34.32
2022-12-28,34.31,33.58
2022-12-29,33.74,34.51
2022-12-30,34.19,35.06
2023-01-03,35.64,32.71
2023-01-04,32.73,31.13
2023-01-05,31.1,30.04
2023-01-06,30.0,31.62
2023-01-09,31.99,33.41
2023-01-10,33.41,33.43
2023-01-11,33.86,33.15
2023-01-12,33.2,34.37
2023-01-13,34.0,32.98
2023-01-17,33.14,31.55
2023-01-18,32.35,33.48
2023-01-19,33.48,32.68
2023-01-20,33.09,34.36
2023-01-23,34.59,35.23
2023-01-24,35.0,34.12
2023-01-25,33.84,33.95
2023-01-26,36.76,35.97
2023-01-27,36.5,35.79
2023-01-30,35.5,36.12
2023-01-31,36.2,38.6
2023-02-01,39.0,41.06
2023-02-02,42.0,42.22
2023-02-03,41.93,42.78
2023-02-06,42.27,41.46
2023-02-07,41.66,42.8
2023-02-08,42.98,42.08
2023-02-09,42.82,43.82
2023-02-10,43.47,41.9
2023-02-13,42.09,42.88
2023-02-14,42.82,46.95
2023-02-15,46.91,47.02
2023-02-16,45.96,44.76
2023-02-17,44.01,43.95
2023-02-21,43.65,41.07
2023-02-22,41.11,40.95
2023-02-23,42.16,41.43
2023-02-24,40.46,37.87
2023-02-27,38.56,39.76
2023-02-28,39.81,39.51
2023-03-01,39.7,38.22
2023-03-02,37.48,38.48
2023-03-03,39.0,41.78
2023-03-06,42.57,41.45
2023-03-07,41.8,41.52
2023-03-08,41.5,40.77
2023-03-09,41.0,40.63
2023-03-10,40.47,39.27
2023-03-13,38.4,40.05
2023-03-14,40.77,41.76
2023-03-15,40.99,40.93
2023-03-16,40.86,43.27
2023-03-17,42.93,43.58
2023-03-20,42.69,43.24
2023-03-21,43.84,42.55
2023-03-22,42.73,41.43
2023-03-23,41.5,42.99
2023-03-24,42.47,40.77
2023-03-27,40.95,40.31
2023-03-28,40.31,39.18
2023-03-29,39.91,41.75
2023-03-30,42.45,41.62
2023-03-31,41.98,43.27
2023-04-03,42.93,43.39
2023-04-04,44.09,42.18
2023-04-05,41.97,40.6
2023-04-06,40.11,40.13
2023-04-10,39.63,41.43
2023-04-11,41.55,42.29
2023-04-12,42.82,41.37
2023-04-13,41.4,42.84
2023-04-14,42.45,41.68
2023-04-17,41.22,43.13
2023-04-18,43.58,46.01
2023-04-19,45.49,44.86
2023-04-20,43.62,44.54
2023-04-21,44.08,44.44
2023-04-24,45.18,45.83
2023-04-25,45.66,44.82
2023-04-26,45.78,43.09
2023-04-27,31.84,36.14
2023-04-28,36.91,37.64
2023-05-01,37.89,37.46
2023-05-02,37.49,36.8
2023-05-03,36.25,36.05
2023-05-04,35.86,34.82
2023-05-05,35.66,37.61
2023-05-08,37.93,39.04
2023-05-09,40.01,40.07
2023-05-10,41.05,40.49
2023-05-11,40.2,38.9
2023-05-12,38.97,38.02
2023-05-15,38.19,38.29
2023-05-16,38.0,37.64
2023-05-17,37.6,38.27
2023-05-18,38.43,39.11
2023-05-19,39.6,40.83
2023-05-22,40.72,41.07
2023-05-23,40.52,40.05
2023-05-24,39.94,40.38
2023-05-25,42.4,42.48
2023-05-26,42.57,45.14
2023-05-30,46.17,46.34
2023-05-31,45.17,44.57
2023-06-01,44.72,44.74
2023-06-02,45.37,43.56
2023-06-05,43.64,42.37
2023-06-06,41.0,42.32
2023-06-07,43.11,43.52
2023-06-08,41.16,41.78
2023-06-09,42.0,41.77
2023-06-12,41.89,39.9
2023-06-13,40.45,40.31
2023-06-14,40.48,40.76
2023-06-15,40.44,39.73
2023-06-16,40.11,39.16
2023-06-20,39.05,37.23
2023-06-21,37.23,36.61
2023-06-22,36.5,37.41
2023-06-23,37.0,37.16
2023-06-26,37.39,36.0
2023-06-27,35.97,37.53
2023-06-28,37.45,38.12
2023-06-29,38.5,37.72
2023-06-30,38.34,38.42
2023-07-03,38.88,39.81
2023-07-05,39.76,39.42
2023-07-06,38.82,40.1
2023-07-07,40.37,40.61
2023-07-10,40.64,40.44
2023-07-11,40.64,40.84
2023-07-12,41.8,42.98
2023-07-13,43.34,43.18
2023-07-14,43.2,42.02
2023-07-17,42.44,43.36
2023-07-18,43.5,44.36
2023-07-19,44.55,43.49
2023-07-20,41.82,41.06
2023-07-21,41.8,40.64
2023-07-24,40.57,40.84
2023-07-25,40.55,40.39
2023-07-26,40.25,40.44
2023-07-27,39.06,38.01
2023-07-28,38.6,37.66
2023-07-31,38.06,38.18
