date,open,close
2020-06-09,7.88,7.81
2020-06-10,8.0,7.47
2020-06-11,6.76,6.73
2020-06-12,7.02,6.98
2020-06-15,6.61,7.11
2020-06-16,7.59,7.32
2020-06-17,7.39,7.31
2020-06-18,7.11,7.25
2020-06-19,7.36,7.17
2020-06-22,7.53,7.36
2020-06-23,7.41,7.2
2020-06-24,7.1,6.59
2020-06-25,6.46,6.75
2020-06-26,6.8,6.22
2020-06-29,6.33,6.63
2020-06-30,6.83,6.67
2020-07-01,6.22,6.22
2020-07-02,6.8,6.81
2020-07-06,7.45,7.64
2020-07-07,7.4,7.02
2020-07-08,7.06,6.78
2020-07-09,7.13,6.55
2020-07-10,6.59,6.67
2020-07-13,6.72,6.21
2020-07-14,6.2,6.27
2020-07-15,6.49,6.42
2020-07-16,6.43,6.33
2020-07-17,6.32,6.22
2020-07-20,6.32,6.42
2020-07-21,6.45,6.52
2020-07-22,6.51,6.33
2020-07-23,6.28,6.06
2020-07-24,6.0,5.96
2020-07-27,6.01,6.04
2020-07-28,6.0,5.8
2020-07-29,5.8,6.0
2020-07-30,5.81,5.69
2020-07-31,5.89,6.0
2020-08-03,6.08,6.29
2020-08-04,6.22,6.15
2020-08-05,6.25,6.4
2020-08-06,6.34,6.27
2020-08-07,6.4,7.11
2020-08-10,7.19,7.11
2020-08-11,8.08,7.74
2020-08-12,7.6,7.13
2020-08-13,7.23,7.33
2020-08-14,7.22,7.54
2020-08-17,7.7,7.53
2020-08-18,7.5,7.44
2020-08-19,7.42,7.54
2020-08-20,7.38,7.46
2020-08-21,7.49,7.37
2020-08-24,7.41,7.63
2020-08-25,7.59,7.88
2020-08-26,7.89,7.67
2020-08-27,7.69,7.39
2020-08-28,7.49,7.19
2020-08-31,7.44,7.35
2020-09-01,7.36,7.5
2020-09-02,7.59,7.55
2020-09-03,7.7,7.18
2020-09-04,7.24,6.75
2020-09-08,6.66,6.4
2020-09-09,6.48,6.4
2020-09-10,6.47,5.9
2020-09-11,5.98,5.68
2020-09-14,5.75,5.67
2020-09-15,5.85,5.88
2020-09-16,6.17,6.42
2020-09-17,6.26,6.25
2020-09-18,6.34,6.24
2020-09-21,6.06,6.13
2020-09-22,6.16,6.48
2020-09-23,6.48,6.3
2020-09-24,6.25,6.21
2020-09-25,6.17,6.46
2020-09-28,6.51,6.66
2020-09-29,6.73,6.67
2020-09-30,6.68,6.95
2020-10-01,6.88,7.23
2020-10-02,6.8,7.53
2020-10-05,7.58,8.31
2020-10-06,8.39,7.99
2020-10-07,8.14,8.29
2020-10-08,8.53,8.2
2020-10-09,8.21,8.11
2020-10-12,8.19,8.29
2020-10-13,8.26,9.11
2020-10-14,9.5,9.31
2020-10-15,8.97,8.63
2020-10-16,8.66,8.74
2020-10-19,8.85,9.31
2020-10-20,9.36,9.1
2020-10-21,9.15,9.51
2020-10-22,9.5,9.61
2020-10-23,9.75,9.8
2020-10-26,9.71,9.41
2020-10-27,9.43,9.62
2020-10-28,9.22,9.15
2020-10-29,9.3,9.69
2020-10-30,9.51,9.03
2020-11-02,9.28,9.24
2020-11-03,9.31,9.38
2020-11-04,9.5,10.08
2020-11-05,10.21,10.59
2020-11-06,11.31,11.35
2020-11-09,12.23,11.03
2020-11-10,12.3,10.18
2020-11-11,10.3,10.08
2020-11-12,10.04,9.67
2020-11-13,9.93,10.57
2020-11-16,11.01,11.21
2020-11-17,11.19,10.94
2020-11-18,11.22,12.06
2020-11-19,12.2,14.17
2020-11-20,15.0,14.72
2020-11-23,15.27,16.69
2020-11-24,17.06,17.73
2020-11-25,17.71,18.98
2020-11-27,19.45,19.47
2020-11-30,19.44,19.0
2020-12-01,19.67,19.0
2020-12-02,18.6,19.17
2020-12-03,18.93,20.13
2020-12-04,20.53,21.07
2020-12-07,21.71,20.5
2020-12-08,20.0,19.39
2020-12-09,19.48,18.56
2020-12-10,18.19,19.47
2020-12-11,19.51,19.42
2020-12-14,19.68,18.75
2020-12-15,18.97,18.55
2020-12-16,18.7,19.66
2020-12-17,19.79,19.89
2020-12-18,20.47,23.25
2020-12-21,24.7,26.06
2020-12-22,27.55,27.14
2020-12-23,31.67,31.71
2020-12-24,31.44,32.5
2020-12-28,32.86,31.04
2020-12-29,30.3,30.13
2020-12-30,29.95,31.3
2020-12-31,31.02,30.71
2021-01-04,30.7,27.61
2021-01-05,26.65,28.57
2021-01-06,28.21,27.31
2021-01-07,26.81,25.61
2021-01-08,25.85,25.08
2021-01-11,24.51,25.55
2021-01-12,25.56,27.52
2021-01-13,28.31,27.39
2021-01-14,27.41,31.14
2021-01-15,30.61,30.06
2021-01-19,30.08,34.71
2021-01-20,34.92,34.4
2021-01-21,34.88,36.28
2021-01-22,35.66,40.08
2021-01-25,39.57,37.05
2021-01-26,37.48,37.12
2021-01-27,34.56,36.84
2021-01-28,36.96,35.0
2021-01-29,35.24,34.64
2021-02-01,35.74,39.0
2021-02-02,41.13,40.24
2021-02-03,41.1,41.28
2021-02-04,41.77,43.49
2021-02-05,55.95,54.95
2021-02-08,56.72,58.65
2021-02-09,60.3,61.71
2021-02-10,62.3,57.64
2021-02-11,58.87,61.8
2021-02-12,60.72,61.7
2021-02-16,61.99,56.51
2021-02-17,55.94,56.06
2021-02-18,53.34,53.9
2021-02-19,54.01,58.56
2021-02-22,57.03,59.24
2021-02-23,53.14,52.72
2021-02-24,53.5,56.94
2021-02-25,54.0,48.42
2021-02-26,49.97,48.87
2021-03-01,50.41,52.17
2021-03-02,52.35,50.73
2021-03-03,50.72,44.24
2021-03-04,42.61,40.41
2021-03-05,40.26,39.1
2021-03-08,39.48,37.12
2021-03-09,39.27,43.4
2021-03-10,48.04,44.22
2021-03-11,46.87,49.65
2021-03-12,47.51,49.21
2021-03-15,46.96,45.63
2021-03-16,45.09,45.3
2021-03-17,42.58,48.95
2021-03-18,47.5,47.3
2021-03-19,46.63,50.68
2021-03-22,51.25,51.66
2021-03-23,51.08,46.58
2021-03-24,47.07,39.69
2021-03-25,37.37,40.71
2021-03-26,41.15,40.91
2021-03-29,39.57,38.84
2021-03-30,38.54,40.66
2021-03-31,41.17,41.61
2021-04-01,43.63,42.8
2021-04-05,43.81,40.41
2021-04-06,39.11,40.3
2021-04-07,40.39,39.76
2021-04-08,39.76,39.56
2021-04-09,39.25,40.18
2021-04-12,40.08,39.82
2021-04-13,40.38,41.98
2021-04-14,42.34,39.61
2021-04-15,40.07,39.5
2021-04-16,39.29,37.64
2021-04-19,36.44,36.06
2021-04-20,36.45,35.14
2021-04-21,34.42,36.11
2021-04-22,36.3,36.32
2021-04-23,37.17,38.31
2021-04-26,38.24,40.26
2021-04-27,40.95,41.3
2021-04-28,40.52,40.99
2021-04-29,41.8,40.5
2021-04-30,39.61,40.05
2021-05-03,40.7,38.53
2021-05-04,37.76,35.8
2021-05-05,36.09,35.12
2021-05-06,34.24,32.24
2021-05-07,34.01,35.84
2021-05-10,32.85,28.56
2021-05-11,24.09,27.59
2021-05-12,27.0,26.15
2021-05-13,26.23,24.53
2021-05-14,25.01,24.99
2021-05-17,24.91,25.57
2021-05-18,26.71,26.2
2021-05-19,25.33,26.44
2021-05-20,26.66,29.53
2021-05-21,30.05,28.56
2021-05-24,29.08,30.34
2021-05-25,31.03,29.53
2021-05-26,29.85,30.06
2021-05-27,30.08,29.58
2021-05-28,29.65,29.7
2021-06-01,29.58,30.93
2021-06-02,31.07,30.89
2021-06-03,29.81,28.87
2021-06-04,29.02,28.77
2021-06-07,29.65,32.5
2021-06-08,32.4,33.01
2021-06-09,33.15,33.87
2021-06-10,33.21,32.54
2021-06-11,33.25,32.85
2021-06-14,33.22,31.83
2021-06-15,31.94,31.01
2021-06-16,30.72,30.98
2021-06-17,30.83,31.63
2021-06-18,30.97,29.49
2021-06-21,29.51,30.21
2021-06-22,29.95,31.52
2021-06-23,31.49,32.74
2021-06-24,33.58,35.42
2021-06-25,35.42,36.5
2021-06-28,37.41,36.83
2021-06-29,36.96,36.93
2021-06-30,36.53,33.84
2021-07-01,34.53,34.68
2021-07-02,35.15,33.55
2021-07-06,34.01,34.41
2021-07-07,34.68,33.27
2021-07-08,31.23,33.5
2021-07-09,33.68,33.19
2021-07-12,33.3,31.61
2021-07-13,31.31,31.04
2021-07-14,31.57,29.59
2021-07-15,29.27,29.43
2021-07-16,29.75,28.53
2021-07-19,27.1,28.48
2021-07-20,28.45,29.98
2021-07-21,29.94,31.62
2021-07-22,31.78,30.85
2021-07-23,31.64,32.19
2021-07-26,32.0,31.34
2021-07-27,31.03,30.42
2021-07-28,30.7,32.0
2021-07-29,31.94,31.16
2021-07-30,30.42,30.3
2021-08-02,30.82,29.84
2021-08-03,30.01,29.56
2021-08-04,29.39,29.63
2021-08-05,29.36,30.7
2021-08-06,34.24,33.85
2021-08-09,33.79,32.91
2021-08-10,32.94,32.8
2021-08-11,32.64,32.27
2021-08-12,31.95,31.38
2021-08-13,31.41,29.09
2021-08-16,28.92,27.93
2021-08-17,26.86,26.19
2021-08-18,26.46,24.94
2021-08-19,24.41,24.3
2021-08-20,24.26,24.8
2021-08-23,25.2,26.66
2021-08-24,26.93,28.18
2021-08-25,28.19,27.76
2021-08-26,27.74,28.99
2021-08-27,28.95,29.73
2021-08-30,29.86,28.41
2021-08-31,29.18,29.02
2021-09-01,29.25,30.05
2021-09-02,30.18,30.99
2021-09-03,31.0,31.54
2021-09-07,31.87,30.53
2021-09-08,30.42,29.0
2021-09-09,29.0,30.19
2021-09-10,30.27,30.18
2021-09-13,29.93,28.72
2021-09-14,29.68,29.57
2021-09-15,29.28,30.0
2021-09-16,30.0,29.47
2021-09-17,29.63,29.18
2021-09-20,28.17,28.07
2021-09-21,28.39,28.39
2021-09-22,28.98,30.71
2021-09-23,31.0,32.34
2021-09-24,32.15,31.21
2021-09-27,31.02,31.38
2021-09-28,30.84,28.69
2021-09-29,29.09,27.68
2021-09-30,27.7,28.0
2021-10-01,28.37,28.45
2021-10-04,27.57,25.86
2021-10-05,26.31,26.11
2021-10-06,25.5,26.68
2021-10-07,27.15,28.29
2021-10-08,28.26,28.16
2021-10-11,27.88,27.75
2021-10-12,27.91,28.66
2021-10-13,28.99,30.4
2021-10-14,31.0,30.44
2021-10-15,30.72,29.86
2021-10-18,29.53,30.34
2021-10-19,30.57,30.58
2021-10-20,30.62,30.28
2021-10-21,30.19,30.02
2021-10-22,28.45,25.93
2021-10-25,26.31,26.84
2021-10-26,27.43,26.2
2021-10-27,26.01,25.29
2021-10-28,25.56,27.27
2021-10-29,26.99,27.03
2021-11-01,27.26,27.75
2021-11-02,27.75,26.73
2021-11-03,26.75,27.3
2021-11-04,23.9,22.9
2021-11-05,23.2,22.66
2021-11-08,23.27,24.1
2021-11-09,24.21,23.9
2021-11-10,23.82,22.47
2021-11-11,22.84,22.91
2021-11-12,22.83,23.05
2021-11-15,23.27,22.5
2021-11-16,22.08,22.15
2021-11-17,22.14,21.64
2021-11-18,21.63,21.18
2021-11-19,21.08,20.54
2021-11-22,20.54,19.46
2021-11-23,19.4,19.27
2021-11-24,19.19,19.35
2021-11-26,18.6,18.76
2021-11-29,18.99,18.39
2021-11-30,18.11,17.63
2021-12-01,18.2,16.82
2021-12-02,16.81,17.15
2021-12-03,17.15,16.88
2021-12-06,16.7,16.6
2021-12-07,17.24,18.09
2021-12-08,18.08,18.44
2021-12-09,18.53,17.59
2021-12-10,17.92,17.36
2021-12-13,18.0,17.44
2021-12-14,17.01,17.39
2021-12-15,17.08,17.54
2021-12-16,18.25,16.84
2021-12-17,16.42,18.32
2021-12-20,17.76,17.43
2021-12-21,17.78,18.25
2021-12-22,18.28,18.47
2021-12-23,18.45,18.83
2021-12-27,18.76,18.07
2021-12-28,18.07,17.58
2021-12-29,17.5,17.0
2021-12-30,16.97,17.94
2021-12-31,17.82,17.5
2022-01-03,17.9,17.83
2022-01-04,17.88,16.94
2022-01-05,16.83,15.7
2022-01-06,15.49,15.67
2022-01-07,15.64,15.41
2022-01-10,15.06,15.4
2022-01-11,15.43,16.49
2022-01-12,16.59,15.6
2022-01-13,15.63,15.14
2022-01-14,14.92,15.11
2022-01-18,14.82,14.09
2022-01-19,14.2,13.73
2022-01-20,13.94,13.51
2022-01-21,13.1,12.71
2022-01-24,12.31,13.05
2022-01-25,12.68,12.54
2022-01-26,13.04,12.37
2022-01-27,12.71,11.89
2022-01-28,11.79,12.47
2022-01-31,12.66,13.57
2022-02-01,13.63,13.9
2022-02-02,14.21,13.22
2022-02-03,12.3,11.95
2022-02-04,12.21,13.89
2022-02-07,13.7,13.72
2022-02-08,13.66,14.2
2022-02-09,14.45,14.53
2022-02-10,14.2,13.99
2022-02-11,13.94,13.3
2022-02-14,13.04,13.3
2022-02-15,13.66,13.95
2022-02-16,13.41,13.06
2022-02-17,12.78,12.56
2022-02-18,12.35,11.22
2022-02-22,11.08,11.71
2022-02-23,11.63,11.34
2022-02-24,10.48,13.43
2022-02-25,13.43,14.15
2022-02-28,14.19,14.58
2022-03-01,14.53,13.74
2022-03-02,13.83,13.71
2022-03-03,13.71,12.89
2022-03-04,13.32,12.65
2022-03-07,12.69,11.77
2022-03-08,11.86,12.0
2022-03-09,12.49,12.44
2022-03-10,12.15,11.95
2022-03-11,12.11,11.04
2022-03-14,11.0,10.53
2022-03-15,10.41,10.92
2022-03-16,11.19,12.26
2022-03-17,12.15,12.95
2022-03-18,12.72,13.42
2022-03-21,13.43,13.18
2022-03-22,13.31,13.53
2022-03-23,13.33,13.18
2022-03-24,13.24,13.57
2022-03-25,13.61,13.39
2022-03-28,13.53,13.82
2022-03-29,14.1,14.74
2022-03-30,14.5,13.98
2022-03-31,13.85,13.21
2022-04-01,13.4,13.49
2022-04-04,13.72,14.22
2022-04-05,14.12,13.78
2022-04-06,13.48,12.85
2022-04-07,12.74,12.64
2022-04-08,12.49,12.05
2022-04-11,11.72,12.0
2022-04-12,12.31,11.84
2022-04-13,11.79,11.71
2022-04-14,11.79,11.2
2022-04-18,11.12,11.04
2022-04-19,11.05,11.68
2022-04-20,12.12,12.36
2022-04-21,12.63,11.58
2022-04-22,11.43,10.96
2022-04-25,10.79,11.17
2022-04-26,11.0,10.33
2022-04-27,10.09,9.86
2022-04-28,10.05,10.25
2022-04-29,10.27,9.65
2022-05-02,9.64,10.25
2022-05-03,10.15,10.11
2022-05-04,10.12,10.62
2022-05-05,10.75,10.94
2022-05-06,10.85,9.87
2022-05-09,9.56,9.11
2022-05-10,9.34,9.41
2022-05-11,9.29,8.96
2022-05-12,8.65,9.33
2022-05-13,9.83,10.59
2022-05-16,10.43,9.97
2022-05-17,10.43,10.49
2022-05-18,10.19,10.13
2022-05-19,10.0,10.71
2022-05-20,10.94,10.64
2022-05-23,10.65,10.65
2022-05-24,10.02,9.25
2022-05-25,9.13,9.77
2022-05-26,9.72,10.61
2022-05-27,10.83,11.27
2022-05-31,11.05,10.99
2022-06-01,11.16,10.7
2022-06-02,10.67,11.56
2022-06-03,11.25,10.85
2022-06-06,11.16,11.18
2022-06-07,10.9,11.18
2022-06-08,11.23,11.25
2022-06-09,11.06,10.45
2022-06-10,10.05,10.19
2022-06-13,9.68,9.66
2022-06-14,9.75,9.69
2022-06-15,10.06,10.36
2022-06-16,9.72,9.25
2022-06-17,9.36,9.64
2022-06-21,10.01,10.35
2022-06-22,10.13,10.28
2022-06-23,10.43,10.82
2022-06-24,10.88,10.65
2022-06-27,10.76,10.17
2022-06-28,10.25,9.53
2022-06-29,9.5,9.44
2022-06-30,9.19,8.88
2022-07-01,8.88,9.03
2022-07-05,8.8,9.49
2022-07-06,9.36,8.49
2022-07-07,8.56,8.98
2022-07-08,8.75,8.76
2022-07-11,8.61,7.97
2022-07-12,7.93,8.28
2022-07-13,8.04,8.07
2022-07-14,7.86,7.23
2022-07-15,7.47,7.57
2022-07-18,7.76,7.77
2022-07-19,7.99,8.07
2022-07-20,8.14,8.76
2022-07-21,8.75,8.8
2022-07-22,8.33,8.19
2022-07-25,8.21,8.01
2022-07-26,7.81,7.61
2022-07-27,7.85,8.05
2022-07-28,7.96,8.1
2022-07-29,7.97,7.64
2022-08-01,7.56,7.7
2022-08-02,7.66,8.26
2022-08-03,8.49,8.91
2022-08-04,8.94,8.55
2022-08-05,8.33,8.83
2022-08-08,8.91,9.32
2022-08-09,9.27,9.24
2022-08-10,8.98,9.11
2022-08-11,9.25,9.43
2022-08-12,9.54,9.69
2022-08-15,9.54,9.8
2022-08-16,9.78,9.76
2022-08-17,9.58,9.3
2022-08-18,9.38,9.33
2022-08-19,9.05,8.78
2022-08-22,8.52,8.36
2022-08-23,8.54,8.31
2022-08-24,8.26,8.28
2022-08-25,8.37,8.49
2022-08-26,8.51,7.96
2022-08-29,7.82,7.92
2022-08-30,8.05,7.7
2022-08-31,7.98,7.53
2022-09-01,7.46,7.39
2022-09-02,7.6,7.24
2022-09-06,7.31,7.27
2022-09-07,7.2,7.37
2022-09-08,7.2,7.43
2022-09-09,7.64,7.7
2022-09-12,7.78,7.88
2022-09-13,7.48,7.43
2022-09-14,7.48,7.52
2022-09-15,7.4,7.54
2022-09-16,7.36,7.15
2022-09-19,7.05,7.37
2022-09-20,7.24,7.09
2022-09-21,7.11,7.03
2022-09-22,6.98,6.67
2022-09-23,6.5,6.53
2022-09-26,6.48,6.35
2022-09-27,6.48,6.48
2022-09-28,6.59,6.98
2022-09-29,6.83,6.6
2022-09-30,6.58,6.57
2022-10-03,6.64,6.76
2022-10-04,6.94,7.25
2022-10-05,7.05,7.6
2022-10-06,7.62,7.59
2022-10-07,7.37,6.99
2022-10-10,7.04,6.7
2022-10-11,6.63,6.49
2022-10-12,6.49,6.45
2022-10-13,6.23,6.61
2022-10-14,6.78,6.36
2022-10-17,6.61,7.04
2022-10-18,7.37,7.38
2022-10-19,7.38,6.93
2022-10-20,6.93,6.91
2022-10-21,6.89,6.96
2022-10-24,6.97,7.03
2022-10-25,7.07,7.4
2022-10-26,7.28,7.28
2022-10-27,7.35,7.17
2022-10-28,7.2,7.32
2022-10-31,7.31,7.29
2022-11-01,7.51,7.41
2022-11-02,7.36,6.95
2022-11-03,6.81,6.64
2022-11-04,6.75,6.41
2022-11-07,6.47,6.22
2022-11-08,6.25,6.22
2022-11-09,6.2,5.78
2022-11-10,7.2,9.57
2022-11-11,9.34,11.6
2022-11-14,11.35,10.54
2022-11-15,11.08,11.47
2022-11-16,11.1,11.22
2022-11-17,10.82,11.05
2022-11-18,11.33,10.31
2022-11-21,10.25,10.16
2022-11-22,10.12,10.55
2022-11-23,10.55,10.64
2022-11-25,10.55,10.27
2022-11-28,10.12,10.06
2022-11-29,10.1,10.12
2022-11-30,10.21,11.11
2022-12-01,11.18,11.87
2022-12-02,11.55,12.66
2022-12-05,12.57,11.83
2022-12-06,11.78,10.68
2022-12-07,10.57,11.02
2022-12-08,11.24,11.69
2022-12-09,11.52,11.1
2022-12-12,11.04,11.41
2022-12-13,12.15,11.47
