date,open,close
2020-05-11,17.75,17.72
2020-05-12,17.85,16.81
2020-05-13,16.7,16.39
2020-05-14,16.0,16.23
2020-05-15,16.01,16.03
2020-05-18,16.87,17.56
2020-05-19,17.46,17.47
2020-05-20,17.62,17.36
2020-05-21,17.22,17.38
2020-05-22,17.39,17.47
2020-05-26,18.22,18.36
2020-05-27,18.86,18.49
2020-05-28,18.73,18.15
2020-05-29,18.0,18.08
2020-06-01,18.0,18.69
2020-06-02,18.87,18.57
2020-06-03,18.83,19.61
2020-06-04,19.49,19.42
2020-06-05,20.21,20.04
2020-06-08,20.21,20.84
2020-06-09,20.25,20.48
2020-06-10,20.38,20.08
2020-06-11,19.15,18.6
2020-06-12,19.52,19.38
2020-06-15,18.68,19.83
2020-06-16,20.5,20.25
2020-06-17,20.07,19.71
2020-06-18,19.44,19.63
2020-06-19,19.88,19.25
2020-06-22,19.17,19.06
2020-06-23,19.33,18.76
2020-06-24,18.5,17.85
2020-06-25,17.67,18.37
2020-06-26,18.26,18.26
2020-06-29,18.41,18.44
2020-06-30,18.49,18.8
2020-07-01,18.85,19.33
2020-07-02,19.71,19.03
2020-07-06,19.45,19.02
2020-07-07,18.68,18.42
2020-07-08,18.45,18.38
2020-07-09,18.32,18.01
2020-07-10,17.5,17.73
2020-07-13,17.81,17.96
2020-07-14,18.01,18.25
2020-07-15,18.72,18.29
2020-07-16,18.23,18.12
2020-07-17,18.31,18.77
2020-07-20,18.75,18.37
2020-07-21,18.55,18.31
2020-07-22,18.35,19.26
2020-07-23,19.06,19.01
2020-07-24,19.0,18.92
2020-07-27,18.92,19.32
2020-07-28,19.31,19.68
2020-07-29,20.0,20.3
2020-07-30,20.08,20.58
2020-07-31,20.5,20.13
2020-08-03,20.12,19.9
2020-08-04,19.91,19.98
2020-08-05,20.07,19.8
2020-08-06,19.75,19.71
2020-08-07,19.7,19.87
2020-08-10,19.87,19.91
2020-08-11,20.1,19.55
2020-08-12,19.7,19.51
2020-08-13,19.4,19.07
2020-08-14,19.05,19.18
2020-08-17,19.25,19.33
2020-08-18,19.25,19.28
2020-08-19,19.31,18.64
2020-08-20,18.52,18.7
2020-08-21,18.78,18.38
2020-08-24,18.7,18.8
2020-08-25,18.86,18.84
2020-08-26,18.85,18.38
2020-08-27,18.48,18.68
