date,open,close
2021-06-09,32.5,30.52
2021-06-10,31.13,29.9
2021-06-11,30.89,31.5
2021-06-14,31.56,32.0
2021-06-15,32.27,31.99
2021-06-16,31.57,29.97
2021-06-17,30.14,29.7
2021-06-18,29.5,30.2
2021-06-21,30.49,30.0
2021-06-22,29.87,29.2
2021-06-23,29.35,29.25
2021-06-24,29.45,30.08
2021-06-25,30.19,28.5
2021-06-28,29.06,28.12
2021-06-29,28.31,28.15
2021-06-30,28.23,28.07
2021-07-01,27.87,28.1
2021-07-02,28.68,29.69
2021-07-06,29.64,28.7
2021-07-07,29.0,27.91
2021-07-08,27.25,27.03
2021-07-09,27.1,26.78
2021-07-12,26.94,25.64
2021-07-13,25.5,26.39
2021-07-14,26.39,25.09
2021-07-15,25.0,25.94
2021-07-16,25.9,26.53
2021-07-19,25.75,26.18
2021-07-20,26.37,26.07
2021-07-21,26.07,26.6
2021-07-22,26.55,26.79
2021-07-23,26.79,26.77
2021-07-26,26.7,26.0
2021-07-27,26.0,26.56
2021-07-28,26.73,27.19
2021-07-29,27.52,27.68
2021-07-30,27.74,26.83
2021-08-02,27.0,27.18
2021-08-03,27.18,26.6
2021-08-04,26.66,27.84
2021-08-05,27.99,27.54
2021-08-06,27.73,27.28
2021-08-09,28.31,30.17
2021-08-10,30.06,30.11
2021-08-11,30.26,30.07
2021-08-12,28.35,27.51
2021-08-13,27.88,26.61
2021-08-16,26.9,24.82
2021-08-17,24.82,25.16
2021-08-18,25.37,25.35
2021-08-19,25.07,24.3
2021-08-20,23.8,24.71
2021-08-23,25.0,24.88
2021-08-24,25.06,25.87
2021-08-25,26.1,25.94
2021-08-26,25.9,24.51
2021-08-27,24.58,25.82
2021-08-30,29.8,27.01
2021-08-31,27.52,29.04
2021-09-01,29.36,29.22
2021-09-02,29.44,27.85
2021-09-03,27.91,26.96
2021-09-07,27.25,26.53
2021-09-08,26.53,26.07
2021-09-09,26.14,27.0
2021-09-10,27.44,26.87
2021-09-13,27.5,27.4
2021-09-14,27.38,27.55
2021-09-15,27.59,28.41
2021-09-16,28.17,29.47
2021-09-17,29.57,28.2
2021-09-20,27.25,25.89
2021-09-21,26.65,25.97
2021-09-22,26.03,25.97
2021-09-23,26.21,27.12
2021-09-24,27.02,26.88
2021-09-27,26.9,26.01
2021-09-28,25.51,24.22
2021-09-29,24.84,22.97
2021-09-30,23.0,22.12
2021-10-01,22.21,21.89
2021-10-04,21.52,20.84
2021-10-05,21.03,20.87
2021-10-06,20.5,21.73
2021-10-07,22.62,22.15
2021-10-08,22.5,21.84
2021-10-11,21.61,19.84
2021-10-12,20.26,20.67
2021-10-13,20.96,22.46
2021-10-14,22.88,22.72
2021-10-15,23.06,22.51
2021-10-18,22.72,22.99
2021-10-19,23.7,24.63
2021-10-20,25.66,27.48
2021-10-21,26.65,27.47
2021-10-22,27.4,25.41
2021-10-25,25.5,28.28
2021-10-26,29.0,32.1
2021-10-27,33.05,32.36
2021-10-28,31.58,31.19
2021-10-29,30.43,30.6
2021-11-01,31.36,33.25
2021-11-02,34.47,32.53
2021-11-03,31.2,30.81
2021-11-04,30.96,28.23
2021-11-05,27.5,27.28
2021-11-08,27.36,28.1
2021-11-09,28.08,26.5
2021-11-10,25.92,25.11
2021-11-11,29.5,23.75
2021-11-12,24.51,24.29
2021-11-15,24.53,24.47
2021-11-16,24.32,23.4
2021-11-17,23.2,24.18
2021-11-18,24.43,23.95
2021-11-19,23.91,23.88
2021-11-22,23.65,21.38
2021-11-23,20.85,20.47
2021-11-24,20.29,22.49
2021-11-26,22.07,22.05
2021-11-29,22.5,20.51
2021-11-30,20.17,19.66
2021-12-01,20.0,18.54
2021-12-02,18.57,19.26
2021-12-03,19.01,17.89
2021-12-06,17.46,17.7
2021-12-07,18.92,19.28
2021-12-08,19.5,19.11
2021-12-09,18.43,17.81
2021-12-10,18.03,17.74
2021-12-13,17.68,17.01
2021-12-14,16.44,16.98
2021-12-15,16.93,17.1
2021-12-16,18.12,15.76
2021-12-17,15.26,16.88
2021-12-20,15.95,16.53
2021-12-21,16.55,17.52
2021-12-22,17.52,17.4
2021-12-23,17.21,17.44
2021-12-27,17.48,17.09
2021-12-28,17.07,16.92
2021-12-29,16.81,16.83
2021-12-30,16.88,17.39
2021-12-31,17.26,17.17
2022-01-03,17.26,18.0
2022-01-04,18.0,17.22
2022-01-05,16.66,15.63
2022-01-06,15.23,15.34
2022-01-07,15.17,15.57
2022-01-10,15.11,14.71
2022-01-11,14.54,15.78
2022-01-12,15.8,15.16
2022-01-13,15.64,14.48
2022-01-14,14.21,13.71
2022-01-18,13.12,12.68
2022-01-19,12.71,12.54
2022-01-20,12.64,12.53
2022-01-21,12.28,11.81
2022-01-24,11.03,11.45
2022-01-25,11.07,11.2
2022-01-26,11.68,10.74
2022-01-27,10.96,10.28
2022-01-28,10.22,10.53
2022-01-31,10.57,11.8
2022-02-01,11.76,12.43
2022-02-02,12.12,11.13
2022-02-03,10.59,9.82
2022-02-04,9.95,10.15
2022-02-07,10.19,10.18
2022-02-08,10.03,10.48
2022-02-09,10.75,11.12
2022-02-10,11.89,11.03
2022-02-11,10.97,11.01
2022-02-14,11.02,10.99
2022-02-15,11.22,11.96
2022-02-16,11.88,11.49
2022-02-17,11.31,10.43
2022-02-18,10.41,9.97
2022-02-22,9.77,9.27
2022-02-23,9.39,8.97
2022-02-24,8.48,10.03
2022-02-25,10.57,11.11
2022-02-28,11.03,11.73
2022-03-01,11.78,11.56
2022-03-02,11.73,11.58
2022-03-03,11.47,10.66
2022-03-04,10.47,9.5
2022-03-07,9.56,9.27
2022-03-08,9.23,9.73
2022-03-09,10.08,10.71
2022-03-10,11.03,10.22
2022-03-11,10.16,10.01
2022-03-14,9.74,8.52
2022-03-15,8.47,8.72
2022-03-16,8.8,10.25
2022-03-17,10.01,10.88
2022-03-18,10.6,11.61
2022-03-21,11.38,11.03
2022-03-22,10.89,11.36
2022-03-23,11.18,11.2
2022-03-24,11.16,12.1
2022-03-25,12.12,11.02
2022-03-28,11.16,11.14
2022-03-29,11.19,11.73
2022-03-30,11.52,11.27
2022-03-31,11.36,11.04
2022-04-01,11.15,11.1
2022-04-04,11.32,11.55
2022-04-05,11.82,11.43
2022-04-06,11.15,11.02
2022-04-07,10.97,10.91
2022-04-08,10.78,10.78
2022-04-11,10.59,10.95
2022-04-12,11.28,10.99
2022-04-13,10.96,11.52
2022-04-14,11.7,11.22
2022-04-18,11.12,10.74
2022-04-19,10.65,11.51
2022-04-20,11.51,10.87
2022-04-21,10.98,9.67
2022-04-22,9.66,9.33
2022-04-25,9.24,9.76
2022-04-26,9.69,9.26
2022-04-27,9.15,9.28
2022-04-28,9.51,9.83
2022-04-29,9.73,9.3
2022-05-02,9.21,9.75
2022-05-03,9.68,9.29
2022-05-04,9.49,9.66
2022-05-05,9.48,9.03
2022-05-06,8.9,7.83
2022-05-09,7.58,7.21
2022-05-10,7.29,7.03
2022-05-11,6.8,6.63
2022-05-12,6.09,7.88
2022-05-13,8.15,8.85
2022-05-16,8.64,8.71
2022-05-17,8.88,9.22
2022-05-18,9.0,9.1
2022-05-19,9.04,9.84
2022-05-20,9.94,9.84
2022-05-23,9.72,9.73
2022-05-24,9.7,9.39
2022-05-25,9.32,9.9
2022-05-26,9.87,11.04
2022-05-27,10.75,11.0
2022-05-31,11.03,10.47
2022-06-01,10.47,10.43
2022-06-02,10.36,11.08
2022-06-03,10.79,10.98
2022-06-06,11.35,11.57
2022-06-07,11.38,11.42
2022-06-08,11.37,11.62
2022-06-09,11.48,10.0
2022-06-10,9.78,9.59
2022-06-13,9.02,8.73
2022-06-14,8.75,8.82
2022-06-15,8.84,9.45
2022-06-16,8.99,8.75
2022-06-17,8.85,9.34
2022-06-21,9.59,9.62
2022-06-22,9.37,9.61
2022-06-23,9.6,10.25
2022-06-24,10.39,10.11
