date,open,close
2020-05-12,17.14,16.31
2020-05-13,16.3,15.8
2020-05-14,15.41,16.3
2020-05-15,15.95,15.63
2020-05-18,16.23,17.07
2020-05-19,16.81,16.49
2020-05-20,17.03,17.37
2020-05-21,17.38,16.29
2020-05-22,16.39,16.92
2020-05-26,17.58,17.5
2020-05-27,17.8,18.13
2020-05-28,18.35,17.0
2020-05-29,17.01,17.32
2020-06-01,17.3,17.3
2020-06-02,17.51,18.42
2020-06-03,18.8,19.34
2020-06-04,19.32,19.65
2020-06-05,20.83,21.23
2020-06-08,21.41,20.91
2020-06-09,20.5,20.41
2020-06-10,20.35,19.96
2020-06-11,19.17,18.63
2020-06-12,19.43,18.9
2020-06-15,18.4,19.65
2020-06-16,20.47,19.93
2020-06-17,20.13,19.87
2020-06-18,19.64,19.88
2020-06-19,20.13,19.42
2020-06-22,19.44,20.35
2020-06-23,20.51,21.76
2020-06-24,21.75,21.2
2020-06-25,21.29,21.92
2020-06-26,21.68,21.23
2020-06-29,21.45,21.0
2020-06-30,20.95,21.46
2020-07-01,21.37,20.86
2020-07-02,21.32,21.2
2020-07-06,21.75,21.88
2020-07-07,23.12,25.34
2020-07-08,25.48,24.61
2020-07-09,24.55,25.08
2020-07-10,25.22,25.06
2020-07-13,25.49,24.84
2020-07-14,24.76,25.21
2020-07-15,25.71,25.23
2020-07-16,25.06,24.73
2020-07-17,24.91,25.72
2020-07-20,25.84,27.21
2020-07-21,27.51,26.95
2020-07-22,26.85,26.65
2020-07-23,26.5,26.37
2020-07-24,27.68,26.3
2020-07-27,26.33,25.96
2020-07-28,25.55,25.0
2020-07-29,25.06,25.75
2020-07-30,25.24,25.74
2020-07-31,25.7,25.35
2020-08-03,26.32,27.75
2020-08-04,27.95,27.39
2020-08-05,27.25,26.57
2020-08-06,26.52,26.77
2020-08-07,26.61,26.14
2020-08-10,26.16,26.04
2020-08-11,26.11,25.66
2020-08-12,25.9,26.2
2020-08-13,26.02,26.32
2020-08-14,26.13,25.84
2020-08-17,26.07,26.48
2020-08-18,26.63,26.15
2020-08-19,26.04,26.03
2020-08-20,25.61,25.48
2020-08-21,25.35,25.44
2020-08-24,25.9,25.59
2020-08-25,25.56,26.19
2020-08-26,26.22,25.62
2020-08-27,25.74,24.47
2020-08-28,24.64,25.14
2020-08-31,25.0,24.35
2020-09-01,24.48,25.13
2020-09-02,25.3,25.12
2020-09-03,24.74,22.99
2020-09-04,23.01,22.56
2020-09-08,21.6,20.93
2020-09-09,21.43,21.24
2020-09-10,21.87,21.45
2020-09-11,21.75,21.94
2020-09-14,22.21,22.77
2020-09-15,22.98,23.73
2020-09-16,23.7,23.76
2020-09-17,23.07,23.74
2020-09-18,24.18,23.93
2020-09-21,23.37,23.45
2020-09-22,23.57,23.51
2020-09-23,23.48,22.44
2020-09-24,22.3,22.07
2020-09-25,22.0,21.99
2020-09-28,22.56,22.79
2020-09-29,22.71,22.97
2020-09-30,22.88,23.24
2020-10-01,23.54,23.92
2020-10-02,23.15,22.75
2020-10-05,23.0,23.31
2020-10-06,23.53,23.83
2020-10-07,24.09,24.05
2020-10-08,24.29,24.86
2020-10-09,25.09,25.86
2020-10-12,26.23,25.65
2020-10-13,25.52,24.8
2020-10-14,24.74,24.41
2020-10-15,23.9,24.7
2020-10-16,24.7,24.15
2020-10-19,24.3,24.19
2020-10-20,24.49,23.87
2020-10-21,23.85,23.47
2020-10-22,26.67,26.52
2020-10-23,26.74,27.68
2020-10-26,27.3,27.24
2020-10-27,27.19,26.37
2020-10-28,25.65,25.15
2020-10-29,25.25,26.57
2020-10-30,26.33,26.44
2020-11-02,26.81,27.2
2020-11-03,27.6,28.11
2020-11-04,28.16,28.87
2020-11-05,29.5,30.34
2020-11-06,29.4,28.44
2020-11-09,29.17,25.96
2020-11-10,25.95,26.6
2020-11-11,26.73,27.57
2020-11-12,27.61,26.86
2020-11-13,27.25,26.98
2020-11-16,26.95,27.31
2020-11-17,27.24,27.61
2020-11-18,27.9,27.37
2020-11-19,27.2,28.42
2020-11-20,28.6,29.22
2020-11-23,29.97,30.56
2020-11-24,31.0,30.46
2020-11-25,30.24,30.45
2020-11-27,30.67,30.69
2020-11-30,30.54,31.25
2020-12-01,31.54,31.05
2020-12-02,30.82,31.21
2020-12-03,31.67,31.35
2020-12-04,31.67,33.11
2020-12-07,33.16,32.97
2020-12-08,32.6,32.66
2020-12-09,32.79,31.16
2020-12-10,30.65,31.15
2020-12-11,30.73,30.53
2020-12-14,30.68,30.33
2020-12-15,30.8,31.52
2020-12-16,31.78,31.44
2020-12-17,31.85,33.26
2020-12-18,33.33,33.93
2020-12-21,33.01,34.57
2020-12-22,34.68,35.47
2020-12-23,35.65,36.01
2020-12-24,36.35,36.74
2020-12-28,37.28,36.62
2020-12-29,36.62,35.55
2020-12-30,36.23,38.41
2020-12-31,38.51,38.19
2021-01-04,38.69,35.86
2021-01-05,35.78,36.67
2021-01-06,36.8,36.12
2021-01-07,36.85,37.69
2021-01-08,38.04,37.25
2021-01-11,36.11,37.82
2021-01-12,38.28,37.46
2021-01-13,37.72,36.94
2021-01-14,37.24,37.44
2021-01-15,36.65,35.82
2021-01-19,36.66,37.12
2021-01-20,37.1,36.37
2021-01-21,36.83,35.66
2021-01-22,35.15,35.47
2021-01-25,35.5,34.3
2021-01-26,34.3,33.75
2021-01-27,32.83,32.28
2021-01-28,32.91,33.66
2021-01-29,33.67,31.39
2021-02-01,31.92,32.48
2021-02-02,33.06,32.71
2021-02-03,32.69,30.79
2021-02-04,34.5,32.79
2021-02-05,33.29,32.02
2021-02-08,33.21,33.26
2021-02-09,33.22,32.86
2021-02-10,33.21,34.69
2021-02-11,35.6,36.83
2021-02-12,36.85,37.09
2021-02-16,37.72,38.25
2021-02-17,38.06,36.96
2021-02-18,36.21,36.2
2021-02-19,36.65,38.33
2021-02-22,38.81,40.97
2021-02-23,39.98,40.0
2021-02-24,42.16,43.26
2021-02-25,42.63,39.12
2021-02-26,39.66,39.77
2021-03-01,39.97,41.1
2021-03-02,41.01,38.62
2021-03-03,38.51,36.58
2021-03-04,36.08,33.44
2021-03-05,34.21,33.98
2021-03-08,33.78,31.62
2021-03-09,32.96,33.16
2021-03-10,33.43,33.39
2021-03-11,34.65,36.61
2021-03-12,35.42,35.86
2021-03-15,35.62,36.79
2021-03-16,37.15,38.31
2021-03-17,37.47,38.88
2021-03-18,38.27,36.25
2021-03-19,36.41,36.7
2021-03-22,37.62,36.11
2021-03-23,35.72,33.82
2021-03-24,34.62,32.19
2021-03-25,31.11,32.18
2021-03-26,32.43,33.66
2021-03-29,32.99,32.19
2021-03-30,32.08,32.74
2021-03-31,33.18,34.08
2021-04-01,34.87,36.55
2021-04-05,37.32,36.38
2021-04-06,36.38,35.38
2021-04-07,35.16,34.8
2021-04-08,35.28,35.81
2021-04-09,35.42,35.58
2021-04-12,35.27,35.48
2021-04-13,35.81,35.85
2021-04-14,35.89,36.56
2021-04-15,37.0,37.55
2021-04-16,37.77,38.3
2021-04-19,37.61,36.79
2021-04-20,36.54,35.08
2021-04-21,34.99,37.06
2021-04-22,37.33,36.53
2021-04-23,37.02,38.12
2021-04-26,38.12,39.63
2021-04-27,40.0,39.37
2021-04-28,39.04,38.44
2021-04-29,39.43,38.68
2021-04-30,37.72,35.99
2021-05-03,36.07,35.94
2021-05-04,35.36,35.21
2021-05-05,35.79,35.15
2021-05-06,34.83,34.54
2021-05-07,35.18,36.32
2021-05-10,35.67,33.73
2021-05-11,32.59,33.91
2021-05-12,32.94,31.96
2021-05-13,32.68,32.61
2021-05-14,32.97,33.93
2021-05-17,33.36,33.81
2021-05-18,34.03,33.69
2021-05-19,32.63,34.42
2021-05-20,34.68,35.8
2021-05-21,36.1,35.81
2021-05-24,36.28,36.08
2021-05-25,36.28,36.34
2021-05-26,36.41,37.04
2021-05-27,36.91,37.89
2021-05-28,38.06,38.02
2021-06-01,38.34,38.52
2021-06-02,38.36,38.33
2021-06-03,37.8,36.99
2021-06-04,37.33,38.13
2021-06-07,37.71,37.7
2021-06-08,38.02,38.51
2021-06-09,38.61,37.74
2021-06-10,37.86,38.5
2021-06-11,38.72,39.85
2021-06-14,39.91,41.32
2021-06-15,41.05,41.0
2021-06-16,40.65,40.25
2021-06-17,40.1,39.92
2021-06-18,39.72,38.77
2021-06-21,38.66,38.89
2021-06-22,38.56,38.85
2021-06-23,39.13,39.99
2021-06-24,40.65,41.45
2021-06-25,41.7,41.44
2021-06-28,41.56,41.91
2021-06-29,41.97,42.45
2021-06-30,42.3,42.49
2021-07-01,42.51,41.43
2021-07-02,41.85,42.21
2021-07-06,42.7,43.02
2021-07-07,43.35,41.8
2021-07-08,40.32,41.1
2021-07-09,41.09,42.35
2021-07-12,42.8,42.58
2021-07-13,42.26,42.01
2021-07-14,42.41,42.2
2021-07-15,41.94,40.77
2021-07-16,41.23,39.83
