date,open,close
2020-05-11,5.4,5.27
2020-05-12,5.34,4.99
2020-05-13,5.02,5.02
2020-05-14,4.85,5.01
2020-05-15,4.84,5.31
2020-05-18,5.55,5.42
2020-05-19,5.33,5.07
2020-05-20,5.19,5.07
2020-05-21,4.97,5.37
2020-05-22,5.32,5.21
2020-05-26,5.51,6.17
2020-05-27,6.73,7.38
2020-05-28,7.66,6.83
2020-05-29,6.51,6.36
2020-06-01,6.19,6.37
2020-06-02,6.42,6.96
2020-06-03,7.21,7.86
2020-06-04,7.75,8.21
2020-06-05,9.4,8.77
2020-06-08,9.36,9.55
2020-06-09,10.34,8.87
2020-06-10,8.54,7.94
2020-06-11,7.06,6.76
2020-06-12,7.39,7.3
2020-06-15,6.9,7.19
2020-06-16,8.17,7.64
2020-06-17,7.53,7.15
2020-06-18,7.03,7.29
2020-06-19,7.39,6.88
2020-06-22,6.89,7.08
2020-06-23,7.1,7.15
2020-06-24,6.95,6.78
2020-06-25,6.54,6.5
2020-06-26,6.43,6.02
2020-06-29,6.08,6.62
2020-06-30,6.6,6.88
2020-07-01,6.86,6.58
2020-07-02,6.74,6.8
2020-07-06,6.91,6.61
2020-07-07,6.49,6.56
2020-07-08,6.59,6.86
2020-07-09,6.71,6.63
2020-07-10,6.55,6.77
2020-07-13,6.76,6.57
2020-07-14,6.46,6.73
2020-07-15,6.86,7.21
2020-07-16,6.94,6.89
2020-07-17,6.88,6.65
2020-07-20,6.59,6.41
2020-07-21,6.48,6.8
2020-07-22,6.5,6.46
2020-07-23,6.37,6.67
2020-07-24,6.55,6.45
2020-07-27,6.44,6.21
2020-07-28,6.19,6.43
2020-07-29,6.46,6.49
2020-07-30,6.35,6.22
2020-07-31,6.26,6.06
2020-08-03,6.09,6.1
2020-08-04,6.05,6.13
2020-08-05,6.19,6.4
2020-08-06,6.39,6.24
2020-08-07,6.2,6.62
2020-08-10,6.64,7.14
2020-08-11,7.38,7.03
2020-08-12,7.17,7.12
2020-08-13,6.96,6.97
2020-08-14,6.99,7.19
2020-08-17,7.27,7.15
2020-08-18,6.89,6.55
2020-08-19,6.53,6.52
2020-08-20,6.4,6.28
2020-08-21,6.29,6.26
2020-08-24,6.37,6.61
2020-08-25,6.69,6.57
2020-08-26,6.52,6.51
2020-08-27,6.56,6.62
2020-08-28,6.66,6.95
2020-08-31,6.94,6.97
2020-09-01,6.88,7.01
2020-09-02,7.45,7.05
2020-09-03,7.08,7.61
2020-09-04,7.66,7.65
2020-09-08,7.53,7.62
2020-09-09,7.66,7.55
2020-09-10,7.56,7.4
2020-09-11,7.4,7.05
2020-09-14,7.15,7.2
2020-09-15,7.26,6.87
2020-09-16,6.9,6.98
2020-09-17,6.89,6.86
2020-09-18,6.87,6.76
2020-09-21,6.57,6.31
2020-09-22,6.38,6.27
2020-09-23,6.34,6.11
2020-09-24,6.08,6.03
2020-09-25,6.03,6.03
2020-09-28,6.12,5.96
2020-09-29,5.98,5.67
2020-09-30,5.7,5.7
2020-10-01,5.73,5.84
