date,open,close
2020-05-11,3.72,3.74
2020-05-12,3.74,3.62
2020-05-13,3.64,3.44
2020-05-14,3.33,3.45
2020-05-15,3.37,3.37
2020-05-18,3.5,3.61
2020-05-19,3.62,3.69
2020-05-20,3.76,3.48
2020-05-21,3.4,3.33
2020-05-22,3.33,3.27
2020-05-26,3.42,3.82
2020-05-27,4.01,4.17
2020-05-28,3.98,3.83
2020-05-29,3.82,3.98
2020-06-01,4.0,4.26
2020-06-02,4.36,4.7
2020-06-03,5.0,5.6
2020-06-04,6.01,5.97
2020-06-05,6.03,5.59
2020-06-08,5.81,5.97
2020-06-09,5.84,6.68
2020-06-10,6.72,6.3
2020-06-11,5.78,5.91
2020-06-12,6.2,6.1
2020-06-15,5.97,6.83
2020-06-16,7.43,6.99
2020-06-17,6.93,6.84
2020-06-18,6.8,7.18
2020-06-19,7.37,7.34
2020-06-22,7.86,7.43
2020-06-23,7.55,7.23
2020-06-24,6.93,6.86
2020-06-25,6.66,7.08
2020-06-26,7.03,6.9
2020-06-29,6.98,7.23
2020-06-30,7.21,7.72
2020-07-01,7.78,7.91
2020-07-02,9.05,9.38
2020-07-06,11.05,11.51
2020-07-07,11.26,13.22
2020-07-08,14.09,12.88
2020-07-09,13.5,14.57
2020-07-10,15.6,14.98
2020-07-13,15.26,13.84
2020-07-14,13.25,14.09
2020-07-15,13.82,13.52
2020-07-16,12.46,12.94
2020-07-17,11.87,11.09
2020-07-20,11.42,12.82
2020-07-21,13.45,12.88
2020-07-22,12.38,12.38
2020-07-23,12.59,12.15
2020-07-24,11.37,11.82
2020-07-27,12.03,11.69
2020-07-28,11.48,12.27
2020-07-29,12.65,12.7
2020-07-30,12.62,12.2
2020-07-31,12.4,11.94
2020-08-03,12.53,13.6
2020-08-04,14.46,13.64
2020-08-05,13.41,13.92
2020-08-06,14.1,13.84
2020-08-07,13.53,13.42
2020-08-10,13.95,14.21
2020-08-11,15.3,12.99
2020-08-12,13.37,13.36
2020-08-13,13.45,13.36
2020-08-14,13.16,13.1
2020-08-17,13.07,14.05
2020-08-18,14.23,14.3
2020-08-19,14.29,14.06
2020-08-20,13.85,13.78
2020-08-21,13.64,14.12
2020-08-24,14.62,14.97
2020-08-25,15.08,17.84
2020-08-26,19.01,20.44
2020-08-27,19.99,19.88
2020-08-28,18.86,18.5
2020-08-31,17.19,19.03
2020-09-01,19.45,20.12
2020-09-02,20.94,19.9
2020-09-03,19.09,18.7
2020-09-04,18.55,17.98
2020-09-08,17.17,17.03
2020-09-09,17.9,18.09
2020-09-10,18.49,17.74
2020-09-11,18.0,17.97
2020-09-14,18.18,18.73
2020-09-15,19.1,19.19
2020-09-16,19.27,19.01
2020-09-17,18.26,19.3
2020-09-18,19.72,19.41
2020-09-21,19.05,18.81
2020-09-22,18.48,19.23
2020-09-23,19.22,17.96
2020-09-24,17.32,17.85
2020-09-25,18.01,18.32
2020-09-28,18.88,18.81
2020-09-29,18.76,20.85
2020-09-30,21.72,21.22
2020-10-01,21.68,21.76
2020-10-02,20.83,21.18
2020-10-05,21.66,21.59
2020-10-06,21.71,20.67
2020-10-07,21.06,21.56
2020-10-08,22.05,21.44
2020-10-09,21.62,21.47
2020-10-12,21.88,21.85
2020-10-13,21.86,21.62
2020-10-14,23.98,26.5
2020-10-15,27.19,28.07
2020-10-16,29.18,28.48
2020-10-19,28.21,27.63
2020-10-20,27.42,27.96
2020-10-21,27.88,27.86
2020-10-22,28.15,27.38
2020-10-23,27.37,27.16
2020-10-26,26.61,26.01
2020-10-27,26.21,28.44
2020-10-28,27.92,27.51
2020-10-29,28.52,31.99
2020-10-30,31.39,30.58
