date,open,close
2020-05-11,3.58,3.57
2020-05-12,3.6,3.57
2020-05-13,3.57,3.44
2020-05-14,3.34,3.42
2020-05-15,3.46,3.45
2020-05-18,3.58,3.65
2020-05-19,3.66,3.69
2020-05-20,3.74,3.82
2020-05-21,3.88,3.77
2020-05-22,3.8,3.85
2020-05-26,3.9,3.85
2020-05-27,3.91,3.91
2020-05-28,3.94,3.92
2020-05-29,3.96,3.95
2020-06-01,4.15,4.2
2020-06-02,4.27,4.31
2020-06-03,4.32,4.37
2020-06-04,4.33,4.28
2020-06-05,4.44,4.46
2020-06-08,4.52,4.52
2020-06-09,4.51,4.42
2020-06-10,4.45,4.45
2020-06-11,4.31,4.11
2020-06-12,4.28,4.2
2020-06-15,4.15,4.28
2020-06-16,4.4,4.34
2020-06-17,4.42,4.41
2020-06-18,4.39,4.37
2020-06-19,4.42,4.33
2020-06-22,4.31,4.33
2020-06-23,4.39,4.33
2020-06-24,4.31,4.2
2020-06-25,4.18,4.45
2020-06-26,4.42,4.34
2020-06-29,4.36,4.35
2020-06-30,4.3,4.4
2020-07-01,4.36,4.35
2020-07-02,4.43,4.44
2020-07-06,4.63,4.6
2020-07-07,4.57,4.31
2020-07-08,4.16,4.15
2020-07-09,4.14,4.17
2020-07-10,4.11,4.12
2020-07-13,4.24,4.18
2020-07-14,4.24,4.32
2020-07-15,4.39,4.33
2020-07-16,4.27,4.24
2020-07-17,4.36,4.39
2020-07-20,4.4,4.45
2020-07-21,4.51,4.43
2020-07-22,4.47,4.5
2020-07-23,4.48,4.37
2020-07-24,4.34,4.3
2020-07-27,4.33,4.34
2020-07-28,4.31,4.28
2020-07-29,4.31,4.34
2020-07-30,4.22,4.45
2020-07-31,4.86,4.78
2020-08-03,4.96,5.06
2020-08-04,5.04,5.1
2020-08-05,5.07,5.0
2020-08-06,4.97,5.0
2020-08-07,4.95,4.98
2020-08-10,4.96,4.91
2020-08-11,4.95,4.96
2020-08-12,5.06,5.05
2020-08-13,5.03,5.06
2020-08-14,5.01,5.0
2020-08-17,5.04,5.07
2020-08-18,5.13,5.09
