symbol,date,volume,close,open,high,low
NOV,1996-10-29,13418900,3.677659511566162,3.8375578352304482,3.8375578352304482,3.654816396916641
NOV,1996-10-30,2777823,4.157355308532715,3.7005028899260886,4.294410956806176,3.7005028899260886
NOV,1996-10-31,2769395,4.248724460601807,4.157353929872223,4.317252648555873,4.134511973639211
NOV,1996-11-01,1621802,4.020299434661865,4.2487252226419105,4.271567956056945,3.9746143543743706
NOV,1996-11-04,314956,3.974614381790161,4.043141422880222,4.065984542995396,3.974614381790161
NOV,1996-11-05,325602,3.9517695903778076,3.974612700832088,3.997454651659128,3.9517695903778076
NOV,1996-11-06,198733,3.9974560737609863,3.97461411480788,4.020299192341745,3.9289286507314642
NOV,1996-11-07,273258,4.043142795562744,3.9746157312071424,4.043142795562744,3.951772603336526
NOV,1996-11-08,439164,4.203040599822998,4.065984957500491,4.248725685082962,4.043141835056585
NOV,1996-11-11,358429,4.29440975189209,4.225882333525233,4.362937943343995,4.225882333525233
NOV,1996-11-12,261724,4.385782241821289,4.294410908729097,4.431467328553442,4.294410908729097
NOV,1996-11-13,815780,4.65989351272583,4.4771527649813105,4.774106818290981,4.408624549716625
NOV,1996-11-14,675603,4.7969465255737305,4.705576387983214,4.888317049706723,4.705576387983214
NOV,1996-11-15,548733,4.774105072021484,4.842632102592415,4.865475219201094,4.72841999843168
NOV,1996-11-18,397466,4.65989351272583,4.751263693326761,4.751263693326761,4.545680207160679
NOV,1996-11-19,103359,4.705575942993164,4.705575942993164,4.705575942993164,4.637047766467035
NOV,1996-11-20,192966,4.682734489440918,4.70557683272623,4.728419949096569,4.682734489440918
NOV,1996-11-21,507035,4.637049674987793,4.705577879718818,4.705577879718818,4.637049674987793
NOV,1996-11-22,491065,4.65989351272583,4.682736251147392,4.865476998891912,4.63705038776161
NOV,1996-11-25,285678,4.9340033531188965,4.682735218599869,4.979689206430906,4.682735218599869
NOV,1996-11-26,841953,5.025374412536621,4.979689331165409,5.18527200406457,4.979689331165409
