date,open,close
2020-05-12,12.99,12.89
2020-05-13,12.75,11.51
2020-05-14,11.16,11.67
2020-05-15,11.52,11.52
2020-05-18,12.36,12.78
2020-05-19,12.66,12.04
2020-05-20,12.34,13.0
2020-05-21,12.89,12.12
2020-05-22,11.95,12.09
2020-05-26,12.74,12.87
2020-05-27,13.1,13.26
2020-05-28,13.28,12.93
2020-05-29,12.74,12.47
2020-06-01,12.55,12.5
2020-06-02,12.7,12.69
2020-06-03,13.0,13.35
2020-06-04,13.36,13.76
2020-06-05,14.75,15.03
2020-06-08,15.71,16.52
2020-06-09,15.71,15.69
2020-06-10,15.42,14.74
2020-06-11,13.27,12.65
2020-06-12,13.42,12.77
2020-06-15,12.0,12.44
2020-06-16,13.37,12.98
2020-06-17,12.94,12.25
2020-06-18,12.0,12.27
2020-06-19,12.74,11.74
2020-06-22,11.66,11.81
2020-06-23,11.98,12.13
2020-06-24,11.93,11.19
2020-06-25,11.01,12.29
2020-06-26,12.13,12.19
2020-06-29,12.22,12.15
2020-06-30,12.01,12.25
2020-07-01,12.4,11.81
2020-07-02,12.15,12.1
2020-07-06,12.43,12.39
2020-07-07,12.2,11.61
2020-07-08,11.73,11.45
2020-07-09,11.45,10.83
2020-07-10,10.8,11.23
2020-07-13,11.39,11.06
2020-07-14,10.94,11.53
2020-07-15,11.95,11.72
2020-07-16,11.61,11.52
2020-07-17,11.51,11.36
2020-07-20,11.36,11.32
2020-07-21,11.6,12.27
2020-07-22,11.95,12.18
2020-07-23,12.06,12.51
2020-07-24,12.52,12.74
2020-07-27,12.72,12.99
2020-07-28,12.43,11.56
2020-07-29,11.55,11.69
2020-07-30,11.42,11.51
2020-07-31,11.32,11.51
2020-08-03,11.51,11.59
2020-08-04,11.56,11.75
2020-08-05,12.08,12.01
2020-08-06,12.01,11.98
2020-08-07,11.85,11.99
2020-08-10,12.07,12.42
2020-08-11,12.75,13.05
2020-08-12,13.27,13.2
2020-08-13,13.16,13.03
2020-08-14,12.91,13.12
2020-08-17,13.01,12.76
2020-08-18,12.7,12.57
2020-08-19,12.57,12.49
2020-08-20,12.25,12.03
2020-08-21,11.91,11.77
2020-08-24,11.9,12.14
2020-08-25,12.32,12.09
2020-08-26,12.04,11.91
2020-08-27,11.91,12.07
2020-08-28,12.11,12.32
2020-08-31,12.31,12.0
2020-09-01,11.85,11.94
2020-09-02,11.95,11.84
2020-09-03,11.89,11.99
2020-09-04,12.12,12.15
2020-09-08,11.82,11.4
2020-09-09,11.49,11.5
2020-09-10,11.54,11.15
2020-09-11,11.21,11.21
2020-09-14,11.19,11.3
2020-09-15,11.35,11.32
2020-09-16,11.55,11.93
2020-09-17,11.71,11.85
2020-09-18,11.78,11.74
2020-09-21,11.27,10.84
2020-09-22,10.81,10.81
2020-09-23,10.8,10.4
2020-09-24,10.3,10.15
2020-09-25,10.01,9.51
2020-09-28,9.82,9.8
2020-09-29,9.68,9.21
2020-09-30,9.32,9.06
2020-10-01,8.89,8.66
2020-10-02,8.19,8.7
2020-10-05,8.89,8.96
2020-10-06,9.17,8.67
2020-10-07,8.71,8.77
2020-10-08,8.87,9.25
2020-10-09,9.34,9.05
2020-10-12,9.0,9.04
2020-10-13,8.97,8.63
2020-10-14,8.66,8.8
2020-10-15,8.59,8.97
2020-10-16,8.9,8.6
2020-10-19,8.72,8.7
2020-10-20,8.89,9.14
2020-10-21,9.03,9.01
2020-10-22,9.02,9.31
2020-10-23,9.36,9.19
2020-10-26,9.04,8.93
2020-10-27,9.1,8.59
2020-10-28,8.25,8.01
2020-10-29,7.84,8.1
2020-10-30,8.08,8.4
2020-11-02,8.59,9.11
2020-11-03,9.36,9.07
2020-11-04,9.23,9.05
2020-11-05,9.07,9.3
2020-11-06,9.26,9.0
2020-11-09,10.28,11.46
2020-11-10,11.55,11.01
2020-11-11,11.1,10.71
2020-11-12,10.43,10.5
2020-11-13,10.63,10.98
2020-11-16,11.68,12.04
2020-11-17,11.75,12.2
2020-11-18,12.34,11.94
2020-11-19,11.78,12.31
2020-11-20,12.18,12.31
2020-11-23,12.6,13.28
2020-11-24,13.8,14.0
2020-11-25,13.59,13.6
2020-11-27,13.41,13.15
2020-11-30,13.03,12.26
2020-12-01,12.84,12.7
2020-12-02,12.58,13.12
2020-12-03,13.26,13.43
2020-12-04,13.78,14.55
2020-12-07,14.55,14.02
2020-12-08,13.78,14.35
2020-12-09,14.47,14.44
2020-12-10,14.19,14.66
2020-12-11,14.47,14.32
2020-12-14,14.63,13.71
2020-12-15,13.88,14.11
2020-12-16,14.1,13.94
2020-12-17,14.06,13.93
2020-12-18,13.86,13.7
2020-12-21,13.0,13.3
2020-12-22,13.28,13.09
2020-12-23,13.27,13.63
2020-12-24,13.66,13.5
2020-12-28,13.57,13.56
2020-12-29,13.65,13.48
2020-12-30,13.44,13.82
2020-12-31,13.73,13.73
2021-01-04,13.82,13.89
2021-01-05,14.09,14.66
2021-01-06,15.31,15.02
2021-01-07,15.06,15.12
2021-01-08,15.27,15.01
2021-01-11,14.6,15.36
2021-01-12,15.61,16.0
2021-01-13,15.93,15.35
2021-01-14,15.42,15.57
2021-01-15,15.21,14.75
2021-01-19,13.64,13.88
2021-01-20,14.0,13.66
2021-01-21,13.62,13.39
2021-01-22,13.06,13.41
2021-01-25,13.22,12.7
2021-01-26,13.0,12.62
2021-01-27,12.39,12.22
2021-01-28,12.45,12.62
2021-01-29,12.49,12.38
