date,open,close
2020-05-11,13.32,15.59
2020-05-12,15.86,15.89
2020-05-13,15.98,15.75
2020-05-14,15.46,16.35
2020-05-15,16.4,17.66
2020-05-18,18.2,18.7
2020-05-19,18.71,19.44
2020-05-20,20.0,19.8
2020-05-21,19.87,20.57
2020-05-22,20.55,20.99
2020-05-26,21.21,19.1
2020-05-27,19.46,17.85
2020-05-28,17.85,17.52
2020-05-29,17.44,17.51
2020-06-01,19.95,20.92
2020-06-02,20.56,20.26
2020-06-03,20.52,22.33
2020-06-04,22.46,20.64
2020-06-05,21.0,20.35
2020-06-08,20.28,20.0
2020-06-09,19.81,20.23
2020-06-10,20.27,20.61
2020-06-11,20.08,19.05
2020-06-12,19.71,19.34
2020-06-15,18.97,20.27
2020-06-16,20.83,21.1
2020-06-17,21.26,20.8
2020-06-18,20.49,20.72
2020-06-19,20.89,21.17
2020-06-22,21.32,22.87
2020-06-23,23.23,22.38
2020-06-24,22.39,21.59
2020-06-25,21.44,21.49
2020-06-26,21.35,20.51
2020-06-29,20.73,20.42
2020-06-30,20.42,21.02
2020-07-01,21.01,22.0
2020-07-02,22.25,22.3
2020-07-06,22.55,22.49
2020-07-07,22.26,24.03
2020-07-08,24.4,24.93
2020-07-09,24.89,24.57
2020-07-10,24.9,23.81
2020-07-13,24.0,21.45
2020-07-14,21.71,22.28
2020-07-15,22.68,22.61
2020-07-16,22.15,21.44
2020-07-17,21.5,21.6
2020-07-20,21.66,22.23
2020-07-21,22.51,20.96
2020-07-22,20.81,20.25
2020-07-23,20.26,19.65
2020-07-24,19.36,19.15
2020-07-27,19.22,20.03
2020-07-28,19.95,19.05
2020-07-29,19.12,18.35
2020-07-30,18.01,18.71
2020-07-31,18.88,17.81
2020-08-03,18.28,19.25
2020-08-04,19.36,19.59
2020-08-05,20.07,19.65
2020-08-06,20.7,19.99
2020-08-07,19.55,19.83
2020-08-10,20.16,20.42
2020-08-11,20.41,19.57
2020-08-12,19.91,20.42
2020-08-13,20.43,20.51
2020-08-14,20.46,19.89
2020-08-17,19.93,20.85
2020-08-18,20.83,21.2
2020-08-19,21.27,21.21
2020-08-20,21.26,20.61
2020-08-21,20.41,20.28
2020-08-24,20.37,20.2
2020-08-25,20.11,20.82
2020-08-26,20.83,20.75
2020-08-27,20.71,20.47
2020-08-28,20.69,21.34
2020-08-31,21.25,21.58
2020-09-01,21.64,21.22
2020-09-02,21.16,21.26
2020-09-03,20.75,18.41
2020-09-04,18.52,18.12
2020-09-08,17.46,17.47
2020-09-09,17.82,18.82
2020-09-10,18.94,18.94
2020-09-11,19.15,19.26
2020-09-14,19.72,20.91
2020-09-15,21.04,22.27
2020-09-16,22.33,22.97
2020-09-17,22.37,22.45
2020-09-18,23.62,23.51
2020-09-21,22.96,22.25
2020-09-22,22.34,22.58
2020-09-23,22.59,21.08
2020-09-24,20.71,20.82
2020-09-25,20.89,21.28
2020-09-28,21.78,21.22
2020-09-29,21.15,21.61
2020-09-30,21.62,19.88
2020-10-01,20.1,20.09
2020-10-02,19.28,18.83
2020-10-05,19.26,20.77
2020-10-06,20.81,21.01
2020-10-07,21.6,23.78
2020-10-08,24.36,22.94
2020-10-09,23.25,26.31
2020-10-12,26.58,23.91
2020-10-13,23.93,24.61
2020-10-14,25.7,24.71
2020-10-15,24.03,24.25
2020-10-16,24.89,26.11
2020-10-19,26.5,25.77
2020-10-20,25.73,24.35
2020-10-21,22.94,23.49
2020-10-22,23.51,24.81
2020-10-23,24.91,24.88
2020-10-26,24.41,24.5
2020-10-27,25.01,25.44
2020-10-28,24.7,24.4
2020-10-29,24.41,24.95
2020-10-30,24.96,23.94
2020-11-02,24.31,24.32
2020-11-03,24.38,25.27
2020-11-04,25.58,27.17
2020-11-05,28.25,28.48
2020-11-06,28.86,28.06
2020-11-09,30.1,28.73
2020-11-10,29.0,29.51
2020-11-11,29.74,29.63
2020-11-12,29.46,29.71
2020-11-13,30.07,33.23
2020-11-16,33.72,34.35
2020-11-17,34.36,34.84
2020-11-18,35.0,34.23
2020-11-19,33.97,32.26
2020-11-20,32.22,32.34
2020-11-23,32.92,34.28
2020-11-24,34.29,34.81
2020-11-25,34.82,35.86
2020-11-27,36.06,39.38
2020-11-30,39.99,39.27
2020-12-01,38.08,38.1
2020-12-02,37.12,41.08
2020-12-03,41.5,42.92
2020-12-04,43.49,43.44
2020-12-07,46.78,46.59
2020-12-08,46.63,47.26
2020-12-09,47.3,48.71
2020-12-10,48.78,55.86
2020-12-11,55.02,53.26
2020-12-14,55.39,52.1
2020-12-15,53.44,53.63
2020-12-16,54.04,53.37
2020-12-17,53.18,54.52
2020-12-18,55.03,55.41
2020-12-21,54.3,62.73
2020-12-22,63.59,63.53
2020-12-23,64.34,63.35
2020-12-24,64.46,62.14
2020-12-28,66.15,60.87
2020-12-29,60.4,54.62
2020-12-30,54.78,56.58
2020-12-31,56.5,54.4
2021-01-04,55.66,55.91
2021-01-05,55.86,61.01
2021-01-06,59.99,66.74
2021-01-07,69.11,77.48
2021-01-08,79.02,78.36
2021-01-11,77.88,72.78
2021-01-12,72.48,75.69
2021-01-13,75.69,76.01
2021-01-14,77.23,83.3
2021-01-15,84.0,81.89
2021-01-19,84.74,83.68
2021-01-20,83.98,80.56
2021-01-21,81.69,72.59
