date,open,close
2020-05-11,19.81,24.5
2020-05-12,39.02,39.82
2020-05-13,39.32,40.67
2020-05-14,39.23,38.3
2020-05-15,38.16,43.63
2020-05-18,49.26,56.96
2020-05-19,58.23,53.9
2020-05-20,54.01,52.81
2020-05-21,52.75,50.07
2020-05-22,48.85,46.11
2020-05-26,54.44,48.17
2020-05-27,48.21,45.47
2020-05-28,46.1,44.84
2020-05-29,44.72,46.04
2020-06-01,46.0,52.82
2020-06-02,52.74,49.64
2020-06-03,48.9,44.25
2020-06-04,43.99,44.66
2020-06-05,49.4,46.3
2020-06-08,44.47,44.79
2020-06-09,44.05,45.93
2020-06-10,46.17,44.96
2020-06-11,43.21,44.43
2020-06-12,45.55,45.57
2020-06-15,45.94,51.07
2020-06-16,51.18,52.15
2020-06-17,52.03,55.41
2020-06-18,55.25,59.27
2020-06-19,63.39,64.75
2020-06-22,67.6,65.95
2020-06-23,62.96,69.66
2020-06-24,70.05,77.5
2020-06-25,81.31,83.54
2020-06-26,79.72,77.39
2020-06-29,81.48,83.61
2020-06-30,85.11,83.35
2020-07-01,79.31,79.7
2020-07-02,77.3,81.64
2020-07-06,80.15,79.44
2020-07-07,104.02,104.56
2020-07-08,103.98,98.3
2020-07-09,98.3,96.3
2020-07-10,94.0,94.36
2020-07-13,95.33,104.32
2020-07-14,107.34,109.97
2020-07-15,110.3,111.15
2020-07-16,109.4,120.29
2020-07-17,128.89,140.49
2020-07-20,149.5,138.23
2020-07-21,140.51,140.69
2020-07-22,136.0,146.45
2020-07-23,144.69,139.59
2020-07-24,131.31,133.93
2020-07-27,134.34,139.6
2020-07-28,139.6,148.6
2020-07-29,152.5,145.36
2020-07-30,140.85,146.62
2020-07-31,147.61,143.1
2020-08-03,145.01,155.87
2020-08-04,156.5,157.17
2020-08-05,181.94,173.49
2020-08-06,178.27,167.5
2020-08-07,168.46,170.29
2020-08-10,175.58,178.51
2020-08-11,169.99,149.48
2020-08-12,148.06,124.42
2020-08-13,126.24,133.28
2020-08-14,144.0,146.51
2020-08-17,149.01,155.53
2020-08-18,152.78,146.23
2020-08-19,141.56,147.06
2020-08-20,142.94,143.13
2020-08-21,142.79,137.62
2020-08-24,131.56,119.26
2020-08-25,108.0,113.11
2020-08-26,107.0,114.62
2020-08-27,115.36,107.35
2020-08-28,108.1,107.74
2020-08-31,115.6,110.34
2020-09-01,108.59,105.08
2020-09-02,100.02,102.9
2020-09-03,112.91,102.98
2020-09-04,100.94,92.93
2020-09-08,86.22,85.31
2020-09-09,88.21,90.84
2020-09-10,92.04,92.86
2020-09-11,94.0,95.45
2020-09-14,96.38,105.8
2020-09-15,110.27,110.34
2020-09-16,108.09,120.13
2020-09-17,118.83,115.51
2020-09-18,114.93,108.36
2020-09-21,102.49,110.15
2020-09-22,109.75,111.63
2020-09-23,110.96,101.57
2020-09-24,98.55,102.44
2020-09-25,107.86,113.56
2020-09-28,116.89,111.18
2020-09-29,107.79,107.95
2020-09-30,107.0,108.35
2020-10-01,109.12,104.9
2020-10-02,101.7,103.6
2020-10-05,105.45,110.17
2020-10-06,109.44,107.41
2020-10-07,108.31,110.0
2020-10-08,110.95,111.02
2020-10-09,112.3,111.22
2020-10-12,111.25,110.22
2020-10-13,111.0,117.28
2020-10-14,119.61,111.76
2020-10-15,110.28,111.42
2020-10-16,111.68,107.04
2020-10-19,107.79,102.05
2020-10-20,102.82,98.36
2020-10-21,97.03,91.16
2020-10-22,90.29,93.59
2020-10-23,92.84,93.13
2020-10-26,91.03,87.38
2020-10-27,87.44,89.59
2020-10-28,87.52,81.33
2020-10-29,82.94,87.63
2020-10-30,86.26,80.71
2020-11-02,82.27,82.4
2020-11-03,82.25,83.64
2020-11-04,84.1,87.27
2020-11-05,89.39,93.11
2020-11-06,92.4,89.86
2020-11-09,95.0,90.31
2020-11-10,85.3,78.74
2020-11-11,80.01,85.01
2020-11-12,85.54,90.87
