date,open,close
2020-05-12,3.03,2.93
2020-05-13,2.9,2.82
2020-05-14,2.74,2.84
2020-05-15,2.78,2.77
2020-05-18,2.85,2.93
2020-05-19,2.84,2.81
2020-05-20,2.84,2.89
2020-05-21,2.85,2.8
2020-05-22,2.86,2.81
2020-05-26,3.02,3.07
2020-05-27,3.34,3.27
2020-05-28,3.24,3.17
2020-05-29,3.04,2.99
2020-06-01,3.08,3.18
2020-06-02,3.33,3.3
2020-06-03,3.4,3.47
2020-06-04,3.46,3.52
2020-06-05,3.84,3.79
2020-06-08,3.89,3.95
2020-06-09,3.69,3.72
2020-06-10,3.69,3.6
2020-06-11,3.31,3.19
2020-06-12,3.32,3.33
2020-06-15,3.2,3.33
2020-06-16,3.51,3.42
2020-06-17,3.46,3.34
2020-06-18,3.31,3.33
2020-06-19,3.37,3.25
2020-06-22,3.28,3.28
2020-06-23,3.39,3.34
2020-06-24,3.28,3.22
2020-06-25,3.21,3.28
2020-06-26,3.26,3.17
2020-06-29,3.21,3.23
2020-06-30,3.2,3.28
2020-07-01,3.28,3.22
2020-07-02,3.38,3.39
2020-07-06,3.4,3.4
2020-07-07,3.37,3.28
2020-07-08,3.27,3.33
2020-07-09,3.32,3.22
2020-07-10,3.27,3.37
2020-07-13,3.35,3.33
2020-07-14,3.26,3.3
2020-07-15,3.34,3.37
2020-07-16,3.32,3.32
2020-07-17,3.32,3.28
2020-07-20,3.25,3.28
2020-07-21,3.34,3.35
2020-07-22,3.34,3.33
2020-07-23,3.24,3.19
2020-07-24,3.19,3.14
2020-07-27,3.12,3.1
2020-07-28,3.14,3.18
2020-07-29,3.17,3.18
2020-07-30,2.99,3.0
2020-07-31,3.07,2.97
2020-08-03,3.08,3.11
2020-08-04,3.12,3.2
2020-08-05,3.17,3.18
2020-08-06,3.16,3.19
2020-08-07,3.1,3.18
2020-08-10,3.19,3.25
2020-08-11,3.34,3.35
2020-08-12,3.44,3.35
2020-08-13,3.31,3.27
2020-08-14,3.24,3.28
2020-08-17,3.25,3.22
2020-08-18,3.23,3.2
2020-08-19,3.23,3.22
2020-08-20,3.19,3.18
2020-08-21,3.12,3.16
2020-08-24,3.13,3.21
2020-08-25,3.21,3.2
2020-08-26,3.24,3.23
2020-08-27,3.22,3.17
2020-08-28,3.24,3.22
2020-08-31,3.19,3.16
2020-09-01,3.1,3.06
2020-09-02,3.02,3.0
2020-09-03,3.05,2.96
2020-09-04,3.09,3.08
2020-09-08,2.91,2.91
2020-09-09,2.91,2.89
2020-09-10,2.93,2.81
2020-09-11,2.82,2.8
2020-09-14,2.83,2.8
2020-09-15,2.82,2.77
2020-09-16,2.79,2.85
2020-09-17,2.76,2.79
2020-09-18,2.71,2.68
2020-09-21,2.55,2.53
2020-09-22,2.64,2.63
2020-09-23,2.71,2.62
2020-09-24,2.72,2.7
2020-09-25,2.69,2.7
2020-09-28,2.9,2.93
2020-09-29,2.89,2.84
2020-09-30,2.93,2.9
2020-10-01,2.93,2.94
2020-10-02,2.95,3.06
2020-10-05,3.04,3.07
2020-10-06,3.17,3.16
2020-10-07,3.16,3.14
2020-10-08,3.13,3.14
2020-10-09,3.19,3.16
2020-10-12,3.17,3.18
2020-10-13,3.07,2.98
2020-10-14,3.08,3.06
2020-10-15,3.0,3.05
2020-10-16,3.05,3.12
2020-10-19,3.11,3.16
2020-10-20,3.17,3.17
2020-10-21,3.22,3.25
2020-10-22,3.27,3.34
2020-10-23,3.44,3.42
2020-10-26,3.41,3.42
2020-10-27,3.4,3.3
2020-10-28,3.19,3.18
2020-10-29,3.22,3.27
2020-10-30,3.42,3.44
2020-11-02,3.31,3.27
2020-11-03,3.53,3.58
2020-11-04,3.5,3.47
2020-11-05,3.45,3.5
2020-11-06,3.55,3.48
2020-11-09,3.91,3.94
2020-11-10,3.97,4.0
2020-11-11,4.09,4.08
2020-11-12,3.95,4.0
2020-11-13,4.16,4.15
2020-11-16,4.26,4.32
2020-11-17,4.34,4.42
2020-11-18,4.44,4.4
2020-11-19,4.42,4.45
2020-11-20,4.42,4.43
2020-11-23,4.49,4.52
2020-11-24,4.68,4.81
2020-11-25,4.62,4.71
2020-11-27,4.58,4.62
2020-11-30,4.56,4.35
2020-12-01,4.58,4.72
2020-12-02,4.65,4.76
2020-12-03,4.86,4.88
2020-12-04,4.96,4.94
2020-12-07,4.73,4.75
2020-12-08,4.75,4.77
2020-12-09,4.81,4.81
2020-12-10,4.49,4.62
2020-12-11,4.28,4.24
2020-12-14,4.58,4.45
2020-12-15,4.51,4.61
2020-12-16,4.72,4.65
2020-12-17,4.79,4.71
2020-12-18,4.59,4.53
2020-12-21,4.29,4.42
2020-12-22,4.51,4.51
2020-12-23,4.71,4.82
2020-12-24,4.89,4.8
2020-12-28,4.94,4.81
2020-12-29,4.75,4.71
2020-12-30,4.86,4.79
2020-12-31,4.86,4.87
2021-01-04,4.68,4.58
2021-01-05,4.51,4.59
2021-01-06,4.75,4.87
2021-01-07,4.81,4.85
2021-01-08,4.81,4.8
2021-01-11,4.62,4.73
2021-01-12,4.76,4.77
2021-01-13,4.67,4.68
2021-01-14,4.68,4.73
2021-01-15,4.65,4.63
2021-01-19,4.59,4.58
2021-01-20,4.54,4.59
2021-01-21,4.66,4.61
2021-01-22,4.52,4.51
2021-01-25,4.44,4.43
2021-01-26,4.49,4.48
2021-01-27,4.3,4.26
2021-01-28,4.35,4.4
2021-01-29,4.34,4.29
2021-02-01,4.43,4.42
2021-02-02,4.49,4.52
2021-02-03,4.48,4.51
2021-02-04,4.77,4.77
2021-02-05,4.92,4.95
2021-02-08,5.07,5.08
2021-02-09,5.13,5.15
2021-02-10,5.19,5.18
2021-02-11,5.08,5.12
2021-02-12,5.05,5.09
2021-02-16,5.29,5.44
2021-02-17,5.22,5.3
2021-02-18,5.18,5.14
2021-02-19,5.33,5.4
2021-02-22,5.42,5.47
2021-02-23,5.59,5.61
2021-02-24,5.61,5.65
2021-02-25,5.65,5.52
2021-02-26,5.51,5.47
2021-03-01,5.54,5.55
2021-03-02,5.55,5.57
2021-03-03,5.63,5.7
2021-03-04,5.62,5.55
2021-03-05,5.72,5.69
2021-03-08,5.63,5.71
2021-03-09,5.66,5.64
2021-03-10,5.6,5.63
2021-03-11,5.59,5.59
2021-03-12,5.64,5.74
2021-03-15,5.64,5.68
2021-03-16,5.55,5.52
2021-03-17,5.6,5.62
2021-03-18,5.66,5.59
2021-03-19,5.66,5.7
2021-03-22,5.84,5.78
2021-03-23,5.72,5.68
2021-03-24,5.73,5.7
2021-03-25,5.52,5.63
2021-03-26,5.66,5.68
2021-03-29,5.66,5.61
2021-03-30,5.68,5.82
2021-03-31,5.8,5.78
2021-04-01,5.79,5.85
2021-04-05,5.92,5.88
2021-04-06,5.84,5.79
2021-04-07,5.8,5.87
2021-04-08,5.87,5.82
2021-04-09,5.79,5.78
2021-04-12,5.86,5.87
2021-04-13,5.8,5.83
2021-04-14,5.79,5.8
2021-04-15,5.82,5.78
2021-04-16,5.86,5.91
2021-04-19,5.96,5.92
2021-04-20,5.84,5.74
2021-04-21,5.7,5.78
2021-04-22,5.68,5.66
2021-04-23,5.68,5.82
2021-04-26,5.87,5.89
2021-04-27,5.96,6.02
2021-04-28,6.1,6.08
2021-04-29,5.91,5.91
2021-04-30,5.85,5.83
2021-05-03,5.89,5.92
2021-05-04,5.84,5.79
2021-05-05,5.87,5.96
2021-05-06,5.98,5.91
2021-05-07,5.94,6.05
2021-05-10,6.17,5.84
2021-05-11,5.85,5.85
2021-05-12,5.8,5.7
2021-05-13,5.7,5.78
