date,open,close
2020-05-11,4.72,4.73
2020-05-12,4.76,4.88
2020-05-13,4.88,4.64
2020-05-14,4.6,4.77
2020-05-15,4.69,4.71
2020-05-18,5.0,5.76
2020-05-19,5.8,5.03
2020-05-20,5.17,5.36
2020-05-21,5.39,5.42
2020-05-22,5.34,5.27
2020-05-26,5.5,5.85
2020-05-27,6.01,6.02
2020-05-28,6.14,6.29
2020-05-29,6.14,6.42
2020-06-01,6.48,6.16
2020-06-02,6.21,6.43
2020-06-03,6.6,6.44
2020-06-04,6.39,6.95
2020-06-05,7.65,7.83
2020-06-08,8.32,8.84
2020-06-09,8.15,8.23
2020-06-10,8.03,7.54
2020-06-11,6.79,6.59
2020-06-12,7.15,6.99
2020-06-15,6.48,7.23
2020-06-16,7.85,7.34
2020-06-17,7.36,6.76
2020-06-18,6.63,6.87
2020-06-19,7.13,6.68
2020-06-22,6.73,6.71
2020-06-23,6.88,6.78
2020-06-24,6.58,6.06
2020-06-25,5.9,6.4
2020-06-26,6.27,6.02
2020-06-29,6.03,6.05
2020-06-30,5.98,6.39
2020-07-01,6.38,6.03
2020-07-02,6.25,6.03
2020-07-06,6.24,6.28
2020-07-07,6.05,5.99
2020-07-08,5.97,6.17
2020-07-09,6.12,5.68
2020-07-10,5.68,5.82
2020-07-13,5.92,5.39
2020-07-14,5.36,5.75
2020-07-15,5.99,6.09
2020-07-16,6.0,6.06
2020-07-17,6.05,5.8
2020-07-20,5.74,5.49
2020-07-21,5.67,6.21
2020-07-22,5.96,5.75
2020-07-23,5.67,5.81
2020-07-24,5.81,5.91
2020-07-27,5.9,5.98
2020-07-28,5.93,5.72
2020-07-29,5.7,6.2
2020-07-30,5.95,5.66
2020-07-31,5.62,5.62
2020-08-03,5.55,5.49
2020-08-04,5.53,5.6
2020-08-05,5.77,6.09
2020-08-06,6.04,5.66
2020-08-07,5.64,5.87
2020-08-10,5.89,6.14
2020-08-11,6.4,6.22
2020-08-12,6.39,6.14
2020-08-13,6.2,6.04
2020-08-14,5.9,6.07
2020-08-17,5.97,6.12
2020-08-18,6.07,5.91
2020-08-19,5.87,5.76
2020-08-20,5.66,5.34
2020-08-21,5.32,5.02
2020-08-24,5.09,5.4
2020-08-25,5.53,5.36
2020-08-26,5.57,5.18
2020-08-27,5.23,5.29
2020-08-28,5.3,5.42
2020-08-31,5.43,5.39
2020-09-01,5.26,5.35
2020-09-02,5.28,5.2
2020-09-03,5.12,5.33
2020-09-04,5.39,5.32
2020-09-08,5.16,4.69
2020-09-09,4.72,4.44
2020-09-10,4.54,4.07
2020-09-11,4.13,3.99
2020-09-14,4.05,3.95
2020-09-15,4.03,4.19
