date,open,close
2020-05-11,7.67,7.49
2020-05-12,7.5,6.82
2020-05-13,6.77,6.17
2020-05-14,6.01,6.42
2020-05-15,6.3,6.32
2020-05-18,6.7,7.17
2020-05-19,7.13,7.26
2020-05-20,7.42,7.21
2020-05-21,7.15,7.3
2020-05-22,7.37,7.18
2020-05-26,7.57,7.65
2020-05-27,7.9,8.08
2020-05-28,8.24,8.09
2020-05-29,7.97,7.66
2020-06-01,7.72,8.83
2020-06-02,9.05,8.5
2020-06-03,8.7,9.47
2020-06-04,9.49,10.12
2020-06-05,10.81,11.06
2020-06-08,11.52,11.09
2020-06-09,10.62,9.5
2020-06-10,9.31,9.08
2020-06-11,8.23,8.2
2020-06-12,8.83,8.64
2020-06-15,8.25,8.82
2020-06-16,9.52,9.14
2020-06-17,9.1,8.61
2020-06-18,8.47,8.68
2020-06-19,8.76,8.69
2020-06-22,8.6,8.68
2020-06-23,8.89,8.58
2020-06-24,8.37,8.12
2020-06-25,8.03,8.5
2020-06-26,8.36,7.74
2020-06-29,7.99,8.69
2020-06-30,8.58,8.98
2020-07-01,8.9,8.9
2020-07-02,9.24,9.3
2020-07-06,9.45,9.34
2020-07-07,9.19,9.68
2020-07-08,9.57,9.43
2020-07-09,9.52,8.72
2020-07-10,8.74,8.63
2020-07-13,8.73,8.75
2020-07-14,8.71,9.23
2020-07-15,9.66,9.2
2020-07-16,9.4,10.07
2020-07-17,10.06,9.88
2020-07-20,9.79,10.01
2020-07-21,10.16,10.46
2020-07-22,10.35,10.4
2020-07-23,10.3,10.48
2020-07-24,10.5,10.11
2020-07-27,10.05,10.4
2020-07-28,10.29,10.79
2020-07-29,10.77,11.04
2020-07-30,10.8,10.85
2020-07-31,10.77,10.44
2020-08-03,10.53,10.69
2020-08-04,10.59,10.67
2020-08-05,11.14,11.74
2020-08-06,11.57,11.08
2020-08-07,10.94,11.09
2020-08-10,11.0,11.38
2020-08-11,11.67,11.37
2020-08-12,11.63,11.51
2020-08-13,11.42,11.9
2020-08-14,11.7,11.75
2020-08-17,11.84,11.6
2020-08-18,11.54,11.51
2020-08-19,11.57,11.67
2020-08-20,11.39,11.39
2020-08-21,11.3,11.11
2020-08-24,11.2,11.37
2020-08-25,11.51,11.29
2020-08-26,11.35,11.29
2020-08-27,11.34,11.59
2020-08-28,11.41,11.3
2020-08-31,11.27,10.88
2020-09-01,10.78,11.22
2020-09-02,11.32,11.87
2020-09-03,11.91,11.48
2020-09-04,11.76,11.62
2020-09-08,11.43,11.33
2020-09-09,11.48,11.5
2020-09-10,11.54,11.32
2020-09-11,11.37,11.13
2020-09-14,11.29,11.77
2020-09-15,11.87,12.02
2020-09-16,12.06,11.94
2020-09-17,11.68,11.76
2020-09-18,11.81,10.93
2020-09-21,10.51,9.64
2020-09-22,9.67,9.58
2020-09-23,9.63,9.33
2020-09-24,9.25,9.6
2020-09-25,9.49,10.08
2020-09-28,10.1,10.57
2020-09-29,10.62,10.58
2020-09-30,10.66,10.59
2020-10-01,10.69,10.82
2020-10-02,10.52,11.33
2020-10-05,11.53,11.84
2020-10-06,11.98,11.33
2020-10-07,11.56,11.43
2020-10-08,11.58,11.99
2020-10-09,11.99,11.44
2020-10-12,11.48,11.3
2020-10-13,11.18,11.19
2020-10-14,11.21,11.17
2020-10-15,10.94,11.25
2020-10-16,11.28,11.28
2020-10-19,11.35,11.04
2020-10-20,11.28,11.27
2020-10-21,11.28,11.51
2020-10-22,11.35,10.89
2020-10-23,11.04,11.12
2020-10-26,10.87,10.5
2020-10-27,10.4,9.95
2020-10-28,10.7,9.74
2020-10-29,9.63,9.74
2020-10-30,9.69,9.43
2020-11-02,9.65,9.78
2020-11-03,10.05,10.35
2020-11-04,10.04,10.08
2020-11-05,10.2,10.6
2020-11-06,10.67,10.63
2020-11-09,11.75,11.66
2020-11-10,11.8,11.84
2020-11-11,11.94,11.57
2020-11-12,11.34,11.1
2020-11-13,11.27,11.03
2020-11-16,11.5,11.56
2020-11-17,11.39,11.42
2020-11-18,11.5,12.08
2020-11-19,12.03,12.22
2020-11-20,12.1,11.67
2020-11-23,11.91,11.85
2020-11-24,12.57,12.96
2020-11-25,12.86,12.45
2020-11-27,12.45,11.88
2020-11-30,11.7,11.32
2020-12-01,11.56,11.95
2020-12-02,11.87,11.92
2020-12-03,11.96,12.2
2020-12-04,12.11,12.78
2020-12-07,12.7,12.68
2020-12-08,12.52,12.26
2020-12-09,12.41,12.33
2020-12-10,12.15,12.18
2020-12-11,11.98,11.6
2020-12-14,11.82,11.18
2020-12-15,11.35,12.19
2020-12-16,12.33,11.93
2020-12-17,12.04,11.73
2020-12-18,11.8,11.55
2020-12-21,11.17,11.21
2020-12-22,11.14,11.02
2020-12-23,11.15,11.33
2020-12-24,11.31,11.5
2020-12-28,11.52,11.41
2020-12-29,11.54,11.64
2020-12-30,11.76,11.94
2020-12-31,11.86,11.9
2021-01-04,11.81,11.48
2021-01-05,11.52,12.13
2021-01-06,12.38,13.26
2021-01-07,13.3,12.84
2021-01-08,12.9,12.62
2021-01-11,12.44,13.11
2021-01-12,13.11,13.27
2021-01-13,13.18,12.88
2021-01-14,13.04,12.96
2021-01-15,12.57,12.69
2021-01-19,12.92,12.96
2021-01-20,12.67,13.16
2021-01-21,13.06,13.21
2021-01-22,12.97,13.29
2021-01-25,13.19,13.11
2021-01-26,13.27,13.08
2021-01-27,12.62,12.61
2021-01-28,12.8,12.82
2021-01-29,12.77,12.64
2021-02-01,12.76,13.04
2021-02-02,13.27,13.52
2021-02-03,13.29,13.27
2021-02-04,13.17,13.35
2021-02-05,13.56,13.6
2021-02-08,13.74,13.78
2021-02-09,13.76,13.93
2021-02-10,14.03,13.63
2021-02-11,13.8,13.2
2021-02-12,13.08,13.24
2021-02-16,13.33,13.29
2021-02-17,13.01,12.9
2021-02-18,12.69,12.29
2021-02-19,12.38,12.5
2021-02-22,12.38,12.27
2021-02-23,12.23,12.43
2021-02-24,12.29,12.46
2021-02-25,12.41,11.77
2021-02-26,11.84,11.68
2021-03-01,12.0,12.06
2021-03-02,12.0,11.78
2021-03-03,11.81,12.05
2021-03-04,12.13,11.82
2021-03-05,12.08,12.64
2021-03-08,12.72,12.8
2021-03-09,12.94,12.79
2021-03-10,12.9,12.73
2021-03-11,12.82,12.81
2021-03-12,12.86,12.87
2021-03-15,12.8,12.75
2021-03-16,12.69,12.44
2021-03-17,12.41,12.73
2021-03-18,12.68,12.5
2021-03-19,12.54,12.08
2021-03-22,11.97,12.37
2021-03-23,12.19,11.84
2021-03-24,12.03,11.94
2021-03-25,12.79,14.01
2021-03-26,14.0,14.49
2021-03-29,14.31,14.85
2021-03-30,14.85,14.55
2021-03-31,14.61,14.74
2021-04-01,14.61,14.47
2021-04-05,14.7,15.17
2021-04-06,15.1,14.73
2021-04-07,14.73,14.5
2021-04-08,14.42,14.22
2021-04-09,14.33,14.68
2021-04-12,14.57,15.18
2021-04-13,14.89,14.64
2021-04-14,14.68,14.61
2021-04-15,14.72,14.68
2021-04-16,14.82,14.66
2021-04-19,14.7,14.53
2021-04-20,14.49,14.71
2021-04-21,14.69,14.92
2021-04-22,14.96,14.54
2021-04-23,14.69,15.03
2021-04-26,15.55,15.7
2021-04-27,15.69,16.31
2021-04-28,16.17,15.78
2021-04-29,16.15,16.45
2021-04-30,16.33,16.49
2021-05-03,16.75,16.87
2021-05-04,16.81,17.34
2021-05-05,17.5,17.55
2021-05-06,17.69,18.13
2021-05-07,17.76,18.36
2021-05-10,18.53,18.24
2021-05-11,17.95,17.9
2021-05-12,17.91,17.72
2021-05-13,17.72,18.22
2021-05-14,18.34,18.46
2021-05-17,18.32,18.39
2021-05-18,18.43,17.99
2021-05-19,17.7,17.82
2021-05-20,17.75,17.71
2021-05-21,17.95,17.82
2021-05-24,17.87,18.04
2021-05-25,18.06,17.93
2021-05-26,17.82,17.85
2021-05-27,18.16,18.25
2021-05-28,18.26,18.43
2021-06-01,18.44,19.22
2021-06-02,19.25,19.31
2021-06-03,19.16,19.16
2021-06-04,19.22,19.24
2021-06-07,19.21,18.81
2021-06-08,18.84,19.25
2021-06-09,19.28,19.15
2021-06-10,19.29,18.77
2021-06-11,18.94,18.93
2021-06-14,18.91,18.83
2021-06-15,18.83,19.3
2021-06-16,19.2,18.28
2021-06-17,18.17,17.03
2021-06-18,16.14,16.14
2021-06-21,16.43,16.27
2021-06-22,16.24,16.56
2021-06-23,16.47,16.37
2021-06-24,16.5,16.44
2021-06-25,16.62,16.34
2021-06-28,16.31,16.39
2021-06-29,16.43,16.23
2021-06-30,16.21,16.33
2021-07-01,16.55,16.57
2021-07-02,16.55,16.46
2021-07-06,16.54,16.0
2021-07-07,15.9,16.25
2021-07-08,15.92,15.95
2021-07-09,16.37,16.36
2021-07-12,16.15,16.19
2021-07-13,16.25,15.94
2021-07-14,15.98,15.68
2021-07-15,15.49,15.54
2021-07-16,15.66,15.05
2021-07-19,14.63,14.49
2021-07-20,14.49,14.61
2021-07-21,14.83,14.66
2021-07-22,14.6,14.26
2021-07-23,14.45,14.37
2021-07-26,14.4,14.41
2021-07-27,14.22,14.35
2021-07-28,14.45,14.53
2021-07-29,14.74,14.65
2021-07-30,14.66,14.79
2021-08-02,14.8,15.2
2021-08-03,15.24,15.36
2021-08-04,15.18,14.73
2021-08-05,15.13,14.83
2021-08-06,15.0,15.0
2021-08-09,14.92,14.91
2021-08-10,14.84,15.15
2021-08-11,15.27,15.38
2021-08-12,15.31,15.05
2021-08-13,15.03,14.79
2021-08-16,14.69,14.84
2021-08-17,14.63,14.87
2021-08-18,14.78,14.94
2021-08-19,14.7,14.26
2021-08-20,14.29,14.51
2021-08-23,14.7,14.58
2021-08-24,14.67,14.91
2021-08-25,14.88,15.12
