date,open,close
2020-05-11,28.15,27.73
2020-05-12,27.97,26.0
2020-05-13,26.05,23.67
2020-05-14,23.31,23.0
2020-05-15,22.92,24.65
2020-05-18,26.15,27.34
2020-05-19,26.5,27.32
2020-05-20,27.6,26.93
2020-05-21,26.91,26.22
2020-05-22,26.4,26.3
2020-05-26,27.83,28.1
2020-05-27,30.91,30.26
2020-05-28,31.1,29.81
2020-05-29,31.4,31.73
2020-06-01,31.77,33.02
2020-06-02,33.52,32.32
2020-06-03,32.84,34.86
2020-06-04,33.64,35.49
2020-06-05,36.5,36.63
2020-06-08,36.95,36.8
2020-06-09,36.16,37.5
2020-06-10,37.66,37.93
2020-06-11,35.6,34.69
2020-06-12,36.01,36.93
2020-06-15,34.52,36.0
2020-06-16,37.67,37.18
2020-06-17,37.32,36.96
2020-06-18,36.67,36.49
2020-06-19,37.47,36.13
2020-06-22,36.25,35.98
2020-06-23,36.43,36.35
2020-06-24,35.79,35.0
2020-06-25,34.99,35.49
2020-06-26,35.3,34.27
2020-06-29,34.64,35.16
2020-06-30,34.83,35.34
2020-07-01,35.39,35.94
2020-07-02,36.0,37.46
2020-07-06,38.2,37.89
2020-07-07,37.98,38.79
2020-07-08,38.88,38.69
2020-07-09,39.17,37.5
2020-07-10,37.68,37.17
2020-07-13,37.7,35.11
2020-07-14,34.55,35.19
2020-07-15,36.15,35.96
2020-07-16,35.63,35.07
2020-07-17,35.46,36.11
2020-07-20,36.15,38.22
2020-07-21,38.64,37.87
2020-07-22,37.9,38.67
2020-07-23,38.24,37.26
2020-07-24,36.75,37.14
2020-07-27,37.6,37.9
2020-07-28,38.05,37.67
2020-07-29,38.29,39.52
2020-07-30,38.88,39.41
2020-07-31,39.6,38.23
2020-08-03,38.49,38.71
2020-08-04,38.68,39.0
2020-08-05,39.5,39.51
2020-08-06,39.42,40.5
2020-08-07,40.01,40.22
2020-08-10,40.65,38.24
2020-08-11,38.51,37.74
2020-08-12,38.0,39.14
2020-08-13,39.16,40.12
2020-08-14,40.02,39.55
2020-08-17,39.98,41.15
2020-08-18,41.29,42.69
2020-08-19,43.2,41.87
2020-08-20,41.3,42.01
2020-08-21,41.98,43.09
2020-08-24,43.81,43.82
2020-08-25,43.82,44.75
2020-08-26,45.34,44.19
2020-08-27,44.84,44.19
2020-08-28,45.51,44.21
2020-08-31,44.27,42.14
2020-09-01,42.63,43.8
2020-09-02,44.25,42.47
2020-09-03,41.8,39.82
2020-09-04,40.01,39.12
2020-09-08,36.23,37.34
2020-09-09,38.05,37.26
2020-09-10,37.68,36.65
2020-09-11,36.76,35.16
2020-09-14,35.85,36.29
2020-09-15,37.03,37.26
2020-09-16,37.59,37.25
2020-09-17,36.28,37.49
2020-09-18,37.45,37.5
2020-09-21,36.28,37.52
2020-09-22,37.97,38.84
2020-09-23,38.51,36.33
2020-09-24,35.79,36.37
2020-09-25,36.44,37.3
2020-09-28,38.28,37.73
2020-09-29,37.8,37.54
2020-09-30,37.81,37.71
2020-10-01,38.3,39.14
2020-10-02,38.03,38.52
2020-10-05,38.34,38.78
2020-10-06,38.91,38.53
2020-10-07,39.18,40.0
2020-10-08,40.46,40.88
2020-10-09,41.0,41.85
2020-10-12,42.59,40.89
2020-10-13,40.99,40.45
2020-10-14,40.67,39.54
2020-10-15,38.64,39.19
2020-10-16,39.57,39.46
2020-10-19,39.79,38.74
2020-10-20,38.87,39.23
2020-10-21,39.31,40.44
2020-10-22,40.63,39.35
2020-10-23,39.57,40.48
2020-10-26,39.81,38.84
2020-10-27,39.21,38.81
2020-10-28,37.89,36.52
2020-10-29,36.72,37.37
2020-10-30,36.86,36.61
2020-11-02,37.16,37.49
2020-11-03,37.95,38.6
2020-11-04,39.44,40.84
2020-11-05,42.13,43.63
2020-11-06,43.85,44.22
2020-11-09,45.16,43.6
2020-11-10,43.32,43.81
2020-11-11,44.29,44.28
2020-11-12,44.08,43.37
2020-11-13,43.69,43.64
2020-11-16,44.09,44.22
2020-11-17,43.79,45.24
2020-11-18,45.19,43.94
2020-11-19,43.99,43.94
2020-11-20,44.02,42.57
2020-11-23,42.99,44.0
2020-11-24,44.6,46.62
2020-11-25,47.23,48.14
2020-11-27,48.21,47.68
2020-11-30,47.99,47.36
2020-12-01,48.24,48.44
2020-12-02,47.83,47.97
2020-12-03,48.92,47.85
2020-12-04,48.22,48.17
2020-12-07,47.95,47.39
2020-12-08,47.2,48.29
2020-12-09,48.26,46.46
2020-12-10,46.21,46.59
2020-12-11,46.26,47.42
2020-12-14,47.93,49.84
2020-12-15,50.6,52.74
2020-12-16,53.13,53.94
2020-12-17,54.5,54.58
2020-12-18,54.54,54.37
2020-12-21,53.93,54.07
2020-12-22,54.23,54.8
2020-12-23,55.01,53.85
2020-12-24,53.87,53.82
2020-12-28,54.47,54.62
2020-12-29,55.15,54.15
2020-12-30,54.67,55.93
2020-12-31,55.82,56.88
2021-01-04,56.65,54.5
2021-01-05,54.34,54.39
2021-01-06,53.83,52.27
2021-01-07,53.0,53.8
2021-01-08,54.84,54.6
2021-01-11,53.79,52.88
2021-01-12,52.81,52.78
2021-01-13,52.77,52.84
2021-01-14,52.86,53.4
2021-01-15,53.01,52.51
2021-01-19,54.58,54.89
2021-01-20,55.33,58.07
2021-01-21,59.38,57.11
2021-01-22,56.46,56.09
2021-01-25,56.23,53.93
2021-01-26,54.48,51.5
2021-01-27,51.17,46.97
2021-01-28,48.18,49.67
2021-01-29,50.0,48.95
2021-02-01,52.44,52.01
2021-02-02,53.15,54.23
2021-02-03,54.06,53.3
2021-02-04,54.0,55.24
2021-02-05,55.8,56.22
2021-02-08,57.15,57.23
2021-02-09,56.83,59.44
