date,open,close
2021-04-21,65.5,69.0
2021-04-22,73.2,75.5
2021-04-23,76.58,74.84
2021-04-26,76.15,80.81
2021-04-27,82.4,75.37
2021-04-28,76.58,75.41
2021-04-29,76.37,75.29
2021-04-30,73.38,72.0
2021-05-03,72.33,70.93
2021-05-04,69.36,73.98
2021-05-05,74.44,70.87
2021-05-06,70.07,69.29
2021-05-07,69.29,69.02
2021-05-10,68.6,65.4
2021-05-11,62.28,74.81
2021-05-12,71.61,71.76
2021-05-13,71.76,66.42
2021-05-14,68.51,70.48
2021-05-17,67.99,68.0
2021-05-18,68.4,73.26
2021-05-19,71.0,72.46
2021-05-20,74.0,75.4
2021-05-21,77.07,78.75
2021-05-24,80.4,85.12
2021-05-25,85.5,84.0
2021-05-26,84.19,85.0
2021-05-27,85.49,83.54
2021-05-28,84.99,79.82
2021-06-01,80.73,80.81
2021-06-02,80.02,81.0
2021-06-03,79.8,73.52
2021-06-04,75.0,75.75
2021-06-07,76.75,73.88
2021-06-08,74.41,76.0
2021-06-09,69.87,68.71
2021-06-10,67.75,74.03
2021-06-11,73.39,71.5
2021-06-14,71.98,69.8
2021-06-15,69.51,70.0
2021-06-16,69.0,69.77
2021-06-17,68.5,70.0
2021-06-18,69.62,69.75
2021-06-21,69.51,69.32
2021-06-22,69.0,69.85
2021-06-23,68.7,69.25
2021-06-24,69.5,69.05
2021-06-25,69.05,69.77
2021-06-28,69.78,71.28
2021-06-29,70.51,68.9
2021-06-30,69.02,67.93
2021-07-01,67.99,67.38
2021-07-02,67.38,66.55
2021-07-06,66.65,64.75
2021-07-07,65.41,66.61
2021-07-08,64.0,68.38
2021-07-09,68.41,68.49
2021-07-12,66.21,66.4
2021-07-13,66.2,64.36
2021-07-14,64.79,61.99
2021-07-15,62.15,59.58
2021-07-16,60.0,59.36
2021-07-19,58.0,60.17
2021-07-20,60.8,62.28
2021-07-21,62.35,62.8
2021-07-22,63.0,62.25
2021-07-23,63.24,63.69
2021-07-26,62.98,62.39
2021-07-27,62.1,59.83
2021-07-28,60.01,63.06
2021-07-29,62.72,63.05
2021-07-30,62.7,62.56
2021-08-02,61.98,59.67
2021-08-03,60.01,60.55
2021-08-04,60.37,62.0
2021-08-05,63.93,64.59
2021-08-06,64.05,63.06
2021-08-09,62.91,64.5
2021-08-10,65.0,64.83
2021-08-11,65.29,64.51
2021-08-12,63.35,62.15
2021-08-13,62.78,62.0
2021-08-16,61.2,60.03
2021-08-17,59.05,59.92
2021-08-18,60.0,60.55
2021-08-19,59.34,60.37
2021-08-20,60.28,60.76
2021-08-23,60.82,60.19
2021-08-24,60.48,62.06
2021-08-25,62.59,64.92
2021-08-26,64.0,63.85
2021-08-27,63.67,64.97
2021-08-30,65.6,64.55
2021-08-31,64.55,63.2
2021-09-01,63.5,62.04
2021-09-02,62.13,61.55
2021-09-03,61.75,63.37
2021-09-07,64.44,62.46
2021-09-08,56.58,56.45
2021-09-09,56.22,54.4
2021-09-10,54.87,55.34
2021-09-13,54.41,55.54
2021-09-14,55.03,55.89
2021-09-15,55.7,53.56
2021-09-16,53.38,53.9
2021-09-17,54.85,54.28
2021-09-20,53.0,51.89
2021-09-21,52.01,53.36
2021-09-22,52.11,53.0
2021-09-23,53.6,53.8
2021-09-24,53.5,52.7
2021-09-27,52.08,54.46
2021-09-28,53.01,52.35
2021-09-29,52.8,52.0
2021-09-30,52.08,52.61
2021-10-01,52.75,52.16
2021-10-04,51.49,51.35
2021-10-05,51.2,51.32
2021-10-06,49.5,51.32
2021-10-07,51.56,52.32
2021-10-08,52.67,51.38
2021-10-11,50.28,48.08
2021-10-12,48.41,48.09
2021-10-13,49.1,49.99
2021-10-14,50.61,51.3
2021-10-15,51.1,49.99
2021-10-18,49.76,49.99
2021-10-19,49.6,51.72
2021-10-20,51.94,51.7
2021-10-21,51.09,50.95
2021-10-22,50.82,50.8
2021-10-25,51.34,54.37
2021-10-26,54.74,53.5
2021-10-27,53.75,51.19
2021-10-28,52.19,51.19
2021-10-29,50.66,50.25
2021-11-01,50.17,52.78
2021-11-02,53.2,52.71
2021-11-03,52.46,54.36
2021-11-04,54.47,57.51
2021-11-05,59.25,56.14
2021-11-08,56.0,56.5
2021-11-09,57.34,57.48
2021-11-10,56.3,56.01
2021-11-11,56.64,57.45
2021-11-12,56.66,53.7
2021-11-15,54.28,53.54
2021-11-16,54.1,55.95
2021-11-17,56.0,55.3
2021-11-18,55.4,53.9
2021-11-19,54.1,52.57
2021-11-22,52.5,48.9
2021-11-23,48.44,47.87
2021-11-24,47.97,49.16
2021-11-26,48.17,49.67
2021-11-29,50.56,49.49
2021-11-30,49.57,48.25
2021-12-01,48.39,43.93
2021-12-02,43.46,43.27
2021-12-03,44.91,44.32
2021-12-06,43.25,45.16
2021-12-07,45.89,46.98
2021-12-08,46.82,47.71
2021-12-09,46.84,47.05
2021-12-10,46.57,44.05
2021-12-13,43.9,43.5
2021-12-14,42.25,42.72
2021-12-15,42.01,42.15
2021-12-16,41.31,39.81
2021-12-17,39.58,41.31
2021-12-20,40.47,41.46
2021-12-21,42.0,43.43
2021-12-22,43.17,44.16
2021-12-23,43.77,44.4
2021-12-27,44.75,44.21
2021-12-28,44.1,43.88
2021-12-29,43.7,43.28
2021-12-30,43.23,44.42
2021-12-31,44.24,43.13
2022-01-03,43.81,43.87
2022-01-04,43.56,42.49
2022-01-05,41.69,38.1
2022-01-06,38.41,39.61
2022-01-07,39.37,39.2
2022-01-10,38.51,38.82
2022-01-11,38.79,41.44
2022-01-12,41.32,39.75
2022-01-13,40.13,37.61
2022-01-14,37.64,36.73
2022-01-18,35.95,35.51
2022-01-19,35.54,35.26
2022-01-20,36.55,35.32
2022-01-21,35.21,34.73
2022-01-24,33.0,36.49
2022-01-25,36.14,35.3
2022-01-26,36.46,34.1
2022-01-27,34.5,32.85
2022-01-28,32.93,33.43
2022-01-31,33.74,36.53
2022-02-01,37.29,37.14
2022-02-02,37.12,34.77
2022-02-03,33.87,33.36
2022-02-04,33.59,35.32
2022-02-07,35.1,35.46
2022-02-08,35.13,36.49
2022-02-09,37.0,37.52
2022-02-10,36.24,36.87
2022-02-11,37.16,37.36
2022-02-14,36.94,37.24
2022-02-15,37.55,38.88
2022-02-16,38.69,37.89
2022-02-17,37.56,36.57
2022-02-18,36.32,37.95
2022-02-22,37.14,34.37
2022-02-23,34.61,32.09
2022-02-24,29.36,32.4
2022-02-25,32.86,32.79
2022-02-28,32.54,34.71
2022-03-01,35.0,33.95
2022-03-02,34.19,33.93
2022-03-03,34.29,31.26
2022-03-04,31.47,28.3
2022-03-07,28.63,27.19
2022-03-08,26.81,27.62
2022-03-09,28.06,29.19
2022-03-10,28.38,28.45
2022-03-11,28.96,26.21
2022-03-14,25.92,24.56
2022-03-15,24.02,24.89
2022-03-16,25.65,27.82
2022-03-17,27.22,28.61
2022-03-18,28.19,29.89
2022-03-21,29.59,29.45
2022-03-22,29.89,31.01
2022-03-23,30.59,30.24
2022-03-24,30.28,29.98
2022-03-25,30.12,28.8
2022-03-28,28.88,29.43
2022-03-29,30.1,31.4
2022-03-30,30.75,29.04
2022-03-31,23.7,21.59
2022-04-01,21.52,22.18
2022-04-04,22.63,22.79
2022-04-05,22.85,22.06
2022-04-06,21.52,21.25
2022-04-07,21.13,21.08
2022-04-08,20.81,19.94
2022-04-11,19.6,20.23
2022-04-12,20.44,19.82
2022-04-13,19.88,20.21
2022-04-14,20.3,19.04
2022-04-18,18.9,18.7
2022-04-19,18.54,20.14
2022-04-20,19.82,19.09
2022-04-21,19.34,18.04
2022-04-22,18.1,17.95
2022-04-25,17.78,19.18
2022-04-26,19.26,18.19
2022-04-27,18.35,18.36
2022-04-28,18.54,18.89
2022-04-29,18.91,17.83
2022-05-02,18.0,18.57
2022-05-03,18.08,18.18
2022-05-04,18.25,19.12
2022-05-05,18.62,17.63
2022-05-06,17.49,17.13
2022-05-09,16.9,15.86
2022-05-10,16.4,15.67
2022-05-11,15.34,14.26
2022-05-12,14.0,15.28
2022-05-13,15.87,17.63
2022-05-16,17.32,16.64
2022-05-17,17.11,17.06
2022-05-18,16.69,16.54
2022-05-19,16.49,17.13
2022-05-20,17.4,17.41
2022-05-23,17.54,17.25
2022-05-24,16.91,15.95
2022-05-25,15.95,17.03
2022-05-26,17.03,17.98
2022-05-27,17.99,17.74
2022-05-31,17.36,17.07
2022-06-01,17.17,16.83
2022-06-02,18.49,19.64
2022-06-03,19.4,18.93
2022-06-06,19.15,19.39
2022-06-07,19.02,20.4
2022-06-08,20.35,21.36
2022-06-09,21.11,20.42
2022-06-10,19.75,18.85
2022-06-13,17.91,17.34
2022-06-14,17.51,17.75
2022-06-15,18.07,19.14
2022-06-16,18.27,17.49
2022-06-17,17.63,18.45
2022-06-21,18.83,19.26
2022-06-22,18.95,19.61
2022-06-23,19.85,21.02
2022-06-24,21.6,21.92
2022-06-27,22.03,21.36
2022-06-28,21.42,20.02
2022-06-29,19.92,19.75
2022-06-30,19.39,18.19
2022-07-01,18.14,18.71
2022-07-05,18.41,20.55
2022-07-06,20.43,19.89
2022-07-07,20.03,21.22
2022-07-08,20.72,21.06
2022-07-11,20.95,20.03
2022-07-12,20.21,19.35
2022-07-13,18.75,19.0
2022-07-14,18.69,18.3
2022-07-15,18.59,18.78
2022-07-18,19.19,18.58
2022-07-19,18.89,18.87
2022-07-20,19.0,20.69
2022-07-21,20.47,21.0
2022-07-22,21.05,19.41
2022-07-25,19.01,18.08
2022-07-26,17.9,17.34
2022-07-27,17.94,18.51
2022-07-28,18.3,18.62
2022-07-29,18.46,18.33
2022-08-01,18.02,18.76
2022-08-02,18.4,19.24
2022-08-03,19.54,20.96
2022-08-04,20.81,21.29
2022-08-05,20.63,21.24
2022-08-08,21.44,21.94
2022-08-09,21.48,20.65
2022-08-10,22.0,21.82
2022-08-11,22.01,20.0
2022-08-12,20.2,20.7
2022-08-15,20.46,20.82
2022-08-16,20.68,20.8
2022-08-17,20.13,19.51
2022-08-18,19.55,19.46
2022-08-19,19.01,18.0
2022-08-22,17.67,17.06
2022-08-23,17.07,16.87
2022-08-24,17.01,17.24
2022-08-25,17.5,18.07
2022-08-26,18.0,16.95
2022-08-29,16.72,16.52
2022-08-30,16.67,16.45
2022-08-31,16.88,16.45
2022-09-01,16.09,16.16
2022-09-02,16.31,16.1
2022-09-06,16.11,15.59
2022-09-07,12.6,13.84
2022-09-08,13.56,13.95
2022-09-09,14.22,14.64
2022-09-12,14.7,15.5
2022-09-13,14.4,14.32
2022-09-14,14.32,14.33
2022-09-15,14.29,15.17
2022-09-16,14.58,14.03
2022-09-19,13.9,14.04
2022-09-20,13.79,13.79
2022-09-21,13.84,13.67
2022-09-22,13.56,13.04
2022-09-23,12.87,12.87
2022-09-26,12.94,12.75
2022-09-27,13.24,13.44
2022-09-28,13.23,12.94
2022-09-29,12.61,12.57
2022-09-30,12.5,12.61
2022-10-03,12.75,12.75
2022-10-04,13.24,13.75
2022-10-05,13.4,13.61
2022-10-06,13.6,13.67
2022-10-07,13.28,12.96
2022-10-10,12.93,12.21
2022-10-11,12.2,11.78
2022-10-12,11.88,11.98
2022-10-13,11.55,11.76
2022-10-14,11.95,11.12
2022-10-17,11.5,12.13
2022-10-18,12.51,12.26
2022-10-19,12.1,11.74
2022-10-20,11.68,11.59
2022-10-21,11.45,11.75
2022-10-24,11.68,11.69
2022-10-25,11.83,12.4
2022-10-26,12.02,12.05
2022-10-27,12.17,12.42
2022-10-28,12.14,12.86
2022-10-31,12.71,12.65
2022-11-01,13.07,12.33
2022-11-02,12.29,11.16
2022-11-03,10.94,10.74
2022-11-04,11.0,10.79
2022-11-07,11.0,11.01
2022-11-08,11.15,11.27
2022-11-09,11.0,10.55
2022-11-10,11.51,11.87
2022-11-11,11.73,12.57
2022-11-14,12.41,12.05
2022-11-15,13.42,13.41
2022-11-16,13.15,12.96
2022-11-17,12.55,12.66
2022-11-18,12.91,12.5
2022-11-21,12.28,11.8
2022-11-22,11.72,11.94
2022-11-23,11.97,12.49
2022-11-25,12.29,12.42
