date,open,close
2020-05-11,6.74,6.56
2020-05-12,6.76,6.46
2020-05-13,6.47,6.12
2020-05-14,5.93,6.04
2020-05-15,6.25,6.1
2020-05-18,6.65,6.84
2020-05-19,6.86,6.72
2020-05-20,6.94,6.99
2020-05-21,7.23,7.18
2020-05-22,6.95,7.06
2020-05-26,7.76,7.61
2020-05-27,7.83,7.84
2020-05-28,7.81,7.62
2020-05-29,7.55,7.63
2020-06-01,7.7,7.81
2020-06-02,8.02,8.38
2020-06-03,8.77,8.77
2020-06-04,8.59,8.72
2020-06-05,9.34,9.29
2020-06-08,9.34,9.72
2020-06-09,9.24,9.29
2020-06-10,9.36,8.89
2020-06-11,8.2,8.09
2020-06-12,8.49,8.48
2020-06-15,7.81,8.38
2020-06-16,8.8,8.54
2020-06-17,8.53,8.51
2020-06-18,8.28,8.43
2020-06-19,8.63,8.41
2020-06-22,8.52,8.33
2020-06-23,8.58,8.75
2020-06-24,8.6,8.22
2020-06-25,8.27,8.4
2020-06-26,8.23,8.03
2020-06-29,8.21,8.28
2020-06-30,8.12,8.27
2020-07-01,8.37,8.45
2020-07-02,8.52,8.48
2020-07-06,8.72,8.67
2020-07-07,8.64,8.46
2020-07-08,8.69,8.76
2020-07-09,8.88,8.53
2020-07-10,8.49,8.7
2020-07-13,8.64,8.52
2020-07-14,8.34,8.86
2020-07-15,9.02,8.99
2020-07-16,8.9,8.83
2020-07-17,8.97,8.78
2020-07-20,8.72,8.82
2020-07-21,9.11,9.18
2020-07-22,9.29,9.3
2020-07-23,9.19,8.96
2020-07-24,8.96,9.0
2020-07-27,8.91,9.3
2020-07-28,9.08,9.14
2020-07-29,9.22,9.27
2020-07-30,9.08,9.08
2020-07-31,9.06,8.67
2020-08-03,8.63,8.39
2020-08-04,8.28,8.42
2020-08-05,8.94,8.93
2020-08-06,8.97,8.89
2020-08-07,8.63,8.62
2020-08-10,8.78,8.83
2020-08-11,9.06,8.78
2020-08-12,8.89,8.79
2020-08-13,8.91,8.69
2020-08-14,8.66,8.61
2020-08-17,8.6,8.45
2020-08-18,8.67,8.66
2020-08-19,8.7,8.52
2020-08-20,8.23,8.38
2020-08-21,8.29,8.25
2020-08-24,8.38,8.45
2020-08-25,8.47,8.49
2020-08-26,8.48,8.12
2020-08-27,8.25,8.18
2020-08-28,8.26,8.5
2020-08-31,8.36,8.17
2020-09-01,8.47,8.68
2020-09-02,8.73,8.7
2020-09-03,8.8,8.8
2020-09-04,8.86,8.81
2020-09-08,8.39,8.4
2020-09-09,8.64,8.66
2020-09-10,8.61,8.34
2020-09-11,8.36,8.28
2020-09-14,8.28,8.28
2020-09-15,8.39,8.27
2020-09-16,8.32,8.42
2020-09-17,8.26,8.58
2020-09-18,8.41,8.21
2020-09-21,7.94,7.89
2020-09-22,7.99,7.84
2020-09-23,7.69,7.46
2020-09-24,7.46,7.63
2020-09-25,7.36,7.46
2020-09-28,7.56,7.2
2020-09-29,7.13,6.99
2020-09-30,7.09,7.12
2020-10-01,6.95,7.07
2020-10-02,6.9,6.84
2020-10-05,6.96,7.21
2020-10-06,7.51,7.17
2020-10-07,7.14,7.11
2020-10-08,7.13,7.38
2020-10-09,7.35,7.25
2020-10-12,7.25,7.3
2020-10-13,7.15,7.23
2020-10-14,7.27,7.15
2020-10-15,7.0,7.01
2020-10-16,7.02,6.86
2020-10-19,6.91,6.96
2020-10-20,7.03,7.23
2020-10-21,7.16,7.19
2020-10-22,7.21,7.45
2020-10-23,7.51,7.32
2020-10-26,7.26,7.19
2020-10-27,7.07,6.98
2020-10-28,6.7,6.47
2020-10-29,6.24,6.69
2020-10-30,6.65,6.63
2020-11-02,6.71,6.72
