date,open,close
2020-05-11,11.5,11.3
2020-05-12,11.32,11.19
2020-05-13,11.03,11.11
2020-05-14,10.91,11.1
2020-05-15,11.14,11.33
2020-05-18,12.0,12.27
2020-05-19,12.14,11.86
2020-05-20,12.18,12.0
2020-05-21,12.02,11.83
2020-05-22,11.83,11.7
2020-05-26,12.02,11.08
2020-05-27,11.18,10.93
2020-05-28,11.13,11.68
2020-05-29,12.05,11.86
2020-06-01,11.52,11.87
2020-06-02,11.87,11.84
2020-06-03,11.8,11.83
2020-06-04,11.85,11.87
2020-06-05,12.11,12.52
2020-06-08,13.02,12.57
2020-06-09,12.66,11.81
2020-06-10,11.85,12.04
2020-06-11,11.54,11.0
2020-06-12,11.26,11.02
2020-06-15,10.78,10.98
2020-06-16,11.23,10.95
2020-06-17,11.1,11.05
2020-06-18,10.89,10.8
2020-06-19,10.89,10.22
2020-06-22,10.4,9.97
2020-06-23,10.04,9.91
2020-06-24,9.83,9.8
2020-06-25,9.72,9.73
2020-06-26,9.73,9.13
2020-06-29,9.11,9.06
2020-06-30,9.03,8.87
2020-07-01,8.93,9.03
2020-07-02,9.21,9.45
2020-07-06,9.63,9.15
2020-07-07,9.07,8.96
2020-07-08,8.98,8.78
2020-07-09,8.72,8.59
2020-07-10,8.5,9.09
2020-07-13,9.05,9.06
2020-07-14,8.97,9.36
2020-07-15,9.43,9.2
2020-07-16,9.19,9.02
2020-07-17,8.92,9.22
2020-07-20,9.11,9.33
2020-07-21,9.3,9.49
2020-07-22,9.45,9.5
2020-07-23,9.46,9.47
2020-07-24,9.47,9.36
2020-07-27,9.49,9.05
2020-07-28,9.05,8.94
2020-07-29,9.0,9.2
2020-07-30,9.14,9.28
2020-07-31,9.25,9.35
2020-08-03,9.3,9.1
2020-08-04,9.12,9.04
2020-08-05,9.08,8.88
2020-08-06,8.98,9.1
2020-08-07,9.02,9.1
2020-08-10,9.09,9.13
2020-08-11,9.21,9.09
2020-08-12,9.19,9.28
2020-08-13,9.41,9.62
2020-08-14,9.56,9.41
2020-08-17,9.45,9.17
2020-08-18,9.15,9.36
2020-08-19,9.25,9.23
2020-08-20,9.16,8.93
2020-08-21,8.93,9.08
2020-08-24,9.14,9.13
2020-08-25,9.14,9.11
2020-08-26,9.06,8.87
2020-08-27,8.94,9.17
2020-08-28,9.2,9.13
2020-08-31,9.12,9.26
2020-09-01,9.18,9.12
2020-09-02,9.15,9.27
2020-09-03,9.21,9.16
2020-09-04,9.14,9.19
2020-09-08,9.14,9.22
2020-09-09,9.19,9.11
2020-09-10,9.06,9.0
2020-09-11,9.0,9.06
2020-09-14,9.1,9.64
2020-09-15,9.64,9.78
2020-09-16,9.83,9.79
2020-09-17,9.63,9.78
2020-09-18,9.76,9.71
2020-09-21,9.49,9.63
2020-09-22,9.57,9.85
2020-09-23,9.83,9.6
2020-09-24,9.56,9.79
2020-09-25,9.8,10.0
2020-09-28,9.96,9.45
2020-09-29,9.45,9.39
2020-09-30,9.45,9.39
2020-10-01,9.49,9.83
2020-10-02,9.69,9.9
2020-10-05,9.93,9.94
2020-10-06,9.95,10.15
2020-10-07,10.27,10.26
2020-10-08,10.31,10.57
2020-10-09,10.56,10.76
2020-10-12,10.13,10.45
2020-10-13,10.4,10.32
2020-10-14,10.3,10.37
2020-10-15,10.31,10.51
2020-10-16,10.51,10.53
2020-10-19,10.59,10.82
2020-10-20,10.9,10.92
2020-10-21,10.92,10.58
2020-10-22,10.5,10.23
2020-10-23,10.3,10.25
2020-10-26,10.18,10.03
2020-10-27,10.03,9.91
2020-10-28,9.8,9.7
2020-10-29,9.65,9.74
2020-10-30,9.71,9.56
2020-11-02,9.6,9.65
2020-11-03,9.69,9.67
2020-11-04,9.62,10.06
2020-11-05,10.25,9.83
2020-11-06,9.96,10.15
2020-11-09,10.23,10.42
2020-11-10,10.42,10.41
2020-11-11,10.49,10.71
2020-11-12,10.85,11.1
2020-11-13,11.18,11.4
2020-11-16,11.46,11.54
2020-11-17,11.75,11.72
2020-11-18,12.1,12.65
2020-11-19,12.63,12.29
2020-11-20,12.36,12.66
2020-11-23,12.77,12.7
2020-11-24,12.83,12.82
2020-11-25,12.77,12.64
2020-11-27,12.66,12.73
2020-11-30,12.73,12.7
2020-12-01,12.75,12.69
2020-12-02,12.62,12.53
2020-12-03,12.6,12.6
2020-12-04,12.66,12.49
2020-12-07,12.3,12.53
2020-12-08,12.45,12.32
2020-12-09,12.32,12.39
2020-12-10,12.47,12.02
2020-12-11,11.89,11.94
2020-12-14,11.93,11.85
2020-12-15,11.8,12.2
2020-12-16,12.33,12.06
2020-12-17,12.17,12.24
2020-12-18,12.2,12.27
2020-12-21,12.07,12.26
2020-12-22,12.22,12.44
2020-12-23,12.44,12.51
2020-12-24,12.5,12.39
2020-12-28,12.31,12.32
2020-12-29,12.32,11.96
2020-12-30,11.99,12.34
2020-12-31,12.26,12.46
2021-01-04,12.48,12.21
2021-01-05,12.32,12.38
2021-01-06,12.29,12.38
2021-01-07,12.35,12.31
2021-01-08,12.3,12.24
2021-01-11,12.13,12.21
2021-01-12,12.15,12.18
2021-01-13,12.2,12.1
2021-01-14,12.16,11.83
2021-01-15,11.91,12.24
2021-01-19,12.27,12.03
2021-01-20,12.05,12.24
2021-01-21,12.16,11.99
2021-01-22,11.96,11.72
2021-01-25,11.72,11.35
2021-01-26,11.35,11.06
2021-01-27,10.89,10.79
2021-01-28,10.8,11.56
2021-01-29,11.41,11.43
2021-02-01,11.43,11.49
2021-02-02,11.56,11.73
2021-02-03,11.77,11.97
2021-02-04,12.01,12.0
2021-02-05,12.01,11.86
2021-02-08,11.83,11.89
2021-02-09,11.91,11.76
2021-02-10,11.82,12.08
2021-02-11,12.1,12.0
2021-02-12,11.98,11.8
2021-02-16,11.8,11.8
2021-02-17,11.76,11.71
2021-02-18,11.62,11.76
2021-02-19,11.7,11.64
2021-02-22,11.64,11.41
2021-02-23,11.32,11.23
2021-02-24,11.28,11.41
2021-02-25,11.4,10.88
2021-02-26,10.87,10.51
2021-03-01,10.68,10.97
2021-03-02,10.99,10.88
2021-03-03,10.9,10.75
2021-03-04,10.91,10.73
2021-03-05,10.7,10.85
2021-03-08,10.88,11.16
2021-03-09,11.33,11.34
2021-03-10,11.42,11.46
2021-03-11,11.46,11.45
2021-03-12,11.46,11.51
2021-03-15,11.61,11.85
2021-03-16,11.8,11.87
2021-03-17,11.8,11.82
2021-03-18,11.71,11.3
2021-03-19,11.37,11.26
2021-03-22,11.18,11.11
2021-03-23,11.13,10.92
2021-03-24,10.96,11.31
2021-03-25,11.33,11.89
2021-03-26,11.86,12.07
2021-03-29,12.0,11.51
2021-03-30,11.45,11.49
2021-03-31,11.55,11.71
2021-04-01,11.7,11.5
2021-04-05,11.64,11.66
2021-04-06,11.57,11.44
2021-04-07,11.38,11.34
2021-04-08,11.34,11.29
2021-04-09,11.29,11.51
2021-04-12,11.51,11.58
2021-04-13,11.41,11.66
2021-04-14,11.63,11.79
2021-04-15,11.77,11.87
2021-04-16,11.9,11.58
2021-04-19,11.59,11.2
2021-04-20,11.13,11.2
2021-04-21,11.09,11.15
2021-04-22,11.25,10.99
2021-04-23,10.98,10.97
2021-04-26,11.03,10.8
2021-04-27,10.83,10.64
2021-04-28,10.7,10.79
2021-04-29,10.76,10.79
2021-04-30,10.72,11.32
2021-05-03,11.3,11.43
2021-05-04,11.5,11.32
2021-05-05,11.34,10.98
2021-05-06,11.02,10.94
2021-05-07,10.93,10.94
2021-05-10,10.96,10.88
2021-05-11,10.79,10.89
2021-05-12,10.89,10.47
2021-05-13,10.55,10.63
2021-05-14,10.67,10.81
2021-05-17,10.78,10.85
2021-05-18,10.85,10.77
2021-05-19,10.64,10.53
2021-05-20,10.52,10.4
2021-05-21,10.41,10.28
2021-05-24,10.3,10.58
2021-05-25,10.53,10.06
2021-05-26,10.07,10.03
2021-05-27,10.08,9.92
2021-05-28,9.95,10.14
2021-06-01,10.16,10.15
2021-06-02,10.18,10.23
2021-06-03,10.21,10.43
2021-06-04,10.45,10.38
2021-06-07,10.38,10.3
2021-06-08,10.3,10.23
2021-06-09,10.25,10.28
2021-06-10,10.32,10.49
2021-06-11,10.49,10.5
2021-06-14,10.53,10.65
2021-06-15,10.62,10.53
2021-06-16,10.54,10.23
2021-06-17,10.2,10.23
2021-06-18,10.24,10.2
2021-06-21,10.16,10.26
2021-06-22,10.29,10.11
2021-06-23,10.09,10.05
2021-06-24,10.11,10.0
2021-06-25,10.0,10.17
2021-06-28,10.21,10.35
2021-06-29,10.32,10.1
2021-06-30,10.14,10.17
2021-07-01,10.18,10.34
2021-07-02,10.37,10.42
2021-07-06,10.4,10.5
2021-07-07,10.53,10.36
2021-07-08,10.27,10.16
2021-07-09,10.18,10.37
2021-07-12,10.32,10.21
2021-07-13,10.18,9.99
2021-07-14,10.02,9.92
2021-07-15,9.87,9.97
2021-07-16,9.97,9.79
2021-07-19,9.67,9.21
2021-07-20,9.22,9.42
2021-07-21,9.53,9.49
2021-07-22,9.49,9.33
2021-07-23,9.39,9.22
2021-07-26,9.18,8.75
2021-07-27,8.76,8.99
2021-07-28,9.05,9.15
2021-07-29,9.18,9.08
2021-07-30,9.01,8.79
2021-08-02,8.84,8.95
2021-08-03,9.0,8.99
2021-08-04,8.94,8.67
2021-08-05,8.54,8.29
2021-08-06,8.38,8.53
2021-08-09,8.45,8.63
2021-08-10,8.66,9.2
2021-08-11,9.08,9.44
2021-08-12,9.45,9.24
2021-08-13,9.29,9.12
2021-08-16,9.22,9.17
2021-08-17,9.09,9.13
2021-08-18,9.19,9.12
2021-08-19,9.03,8.93
2021-08-20,8.89,9.28
2021-08-23,9.28,9.11
2021-08-24,9.3,9.25
2021-08-25,9.21,9.26
2021-08-26,9.18,9.12
2021-08-27,9.15,9.12
2021-08-30,9.15,9.01
2021-08-31,9.01,9.17
2021-09-01,9.2,9.21
2021-09-02,9.18,9.28
2021-09-03,9.32,9.15
2021-09-07,9.19,9.42
2021-09-08,9.35,9.32
2021-09-09,9.3,9.36
2021-09-10,9.38,9.31
2021-09-13,9.44,9.83
2021-09-14,9.8,9.8
2021-09-15,9.76,9.86
2021-09-16,9.81,9.69
2021-09-17,9.62,9.84
2021-09-20,9.67,9.58
2021-09-21,9.59,9.79
2021-09-22,9.88,9.87
2021-09-23,9.9,9.97
2021-09-24,9.98,9.94
2021-09-27,9.95,9.97
2021-09-28,9.96,9.74
2021-09-29,9.77,9.51
2021-09-30,9.5,9.6
2021-10-01,9.74,9.61
2021-10-04,9.65,9.82
2021-10-05,9.87,9.89
2021-10-06,9.79,10.19
2021-10-07,10.2,10.52
2021-10-08,10.51,10.71
2021-10-11,10.42,10.15
2021-10-12,10.2,10.25
2021-10-13,10.25,10.5
2021-10-14,10.59,10.77
2021-10-15,10.82,11.2
2021-10-18,11.02,11.0
2021-10-19,11.1,11.18
2021-10-20,11.23,11.51
2021-10-21,11.44,11.65
2021-10-22,11.73,11.9
2021-10-25,11.89,11.66
2021-10-26,11.76,11.57
2021-10-27,11.62,11.58
2021-10-28,11.67,11.68
2021-10-29,11.62,11.6
2021-11-01,11.65,11.41
2021-11-02,11.47,11.34
2021-11-03,11.32,11.67
2021-11-04,11.63,11.66
2021-11-05,11.82,11.65
2021-11-08,11.65,11.61
2021-11-09,11.77,12.18
2021-11-10,12.2,12.4
2021-11-11,12.48,12.35
2021-11-12,12.39,12.26
2021-11-15,12.28,12.38
2021-11-16,12.38,12.32
2021-11-17,12.25,12.47
2021-11-18,12.51,12.1
2021-11-19,12.08,12.38
2021-11-22,12.38,12.24
2021-11-23,12.25,12.33
2021-11-24,12.32,12.46
2021-11-26,12.25,12.24
2021-11-29,12.29,12.38
2021-11-30,12.34,11.88
2021-12-01,12.1,11.75
2021-12-02,11.8,12.0
2021-12-03,11.99,11.81
2021-12-06,12.04,12.54
2021-12-07,12.59,12.44
2021-12-08,12.44,12.63
2021-12-09,12.63,12.49
2021-12-10,12.61,12.35
2021-12-13,12.3,12.27
2021-12-14,12.24,12.16
2021-12-15,12.18,12.26
