date,open,close
2020-05-11,14.14,14.15
2020-05-12,14.18,14.13
2020-05-13,14.13,13.99
2020-05-14,13.86,13.91
2020-05-15,13.88,13.88
2020-05-18,13.94,13.95
2020-05-19,13.95,14.0
2020-05-20,14.08,14.04
2020-05-21,14.04,14.09
2020-05-22,14.11,14.16
2020-05-26,14.25,14.21
2020-05-27,14.28,14.3
2020-05-28,14.35,14.32
2020-05-29,14.35,14.38
2020-06-01,14.39,14.42
2020-06-02,14.46,14.44
2020-06-03,14.5,14.44
2020-06-04,14.45,14.47
2020-06-05,14.52,14.48
2020-06-08,14.53,14.56
2020-06-09,14.55,14.53
2020-06-10,14.55,14.47
2020-06-11,14.35,14.19
2020-06-12,14.29,14.14
2020-06-15,14.09,14.19
2020-06-16,14.28,14.32
2020-06-17,14.37,14.33
2020-06-18,14.32,14.31
2020-06-19,14.37,14.38
2020-06-22,14.35,14.22
2020-06-23,14.23,14.25
2020-06-24,14.24,14.19
2020-06-25,14.19,14.19
2020-06-26,14.18,14.13
2020-06-29,14.15,14.12
2020-06-30,14.16,14.12
2020-07-01,14.14,14.18
2020-07-02,14.2,14.22
2020-07-06,14.24,14.21
2020-07-07,14.22,14.22
2020-07-08,14.24,14.25
2020-07-09,14.23,14.29
2020-07-10,14.29,14.32
2020-07-13,14.33,14.25
2020-07-14,14.2,14.21
2020-07-15,14.23,14.3
2020-07-16,14.31,14.4
2020-07-17,14.43,14.43
2020-07-20,14.38,14.41
2020-07-21,14.42,14.45
2020-07-22,14.42,14.47
2020-07-23,14.47,14.5
2020-07-24,14.5,14.51
2020-07-27,14.55,14.54
2020-07-28,14.54,14.57
2020-07-29,14.57,14.65
2020-07-30,14.64,14.68
2020-07-31,14.71,14.72
2020-08-03,14.72,14.71
2020-08-04,14.71,14.66
2020-08-05,14.69,14.71
2020-08-06,14.69,14.67
2020-08-07,14.68,14.69
2020-08-10,14.71,14.72
2020-08-11,14.75,14.74
2020-08-12,14.77,14.8
2020-08-13,14.81,14.8
2020-08-14,14.82,14.82
2020-08-17,14.84,14.86
2020-08-18,14.87,14.91
2020-08-19,14.92,14.93
2020-08-20,14.91,14.94
2020-08-21,14.94,14.93
2020-08-24,14.9,14.9
2020-08-25,14.92,14.92
2020-08-26,14.93,14.93
2020-08-27,14.91,14.93
2020-08-28,14.95,14.9
2020-08-31,14.92,14.92
2020-09-01,14.92,14.9
2020-09-02,14.89,14.9
2020-09-03,14.9,14.86
2020-09-04,14.86,14.8
2020-09-08,14.78,14.7
2020-09-09,14.74,14.79
2020-09-10,14.82,14.79
2020-09-11,14.83,14.78
2020-09-14,14.84,14.83
2020-09-15,14.87,14.89
2020-09-16,14.92,14.91
2020-09-17,14.89,14.88
2020-09-18,14.89,14.84
2020-09-21,14.75,14.71
2020-09-22,14.72,14.74
2020-09-23,14.78,14.57
2020-09-24,14.52,14.56
2020-09-25,14.52,14.7
2020-09-28,14.78,14.81
2020-09-29,14.81,14.8
2020-09-30,14.82,14.73
2020-10-01,14.8,14.86
2020-10-02,14.75,14.86
2020-10-05,14.89,14.9
2020-10-06,14.92,14.92
2020-10-07,14.97,14.95
2020-10-08,14.99,14.97
2020-10-09,15.0,14.95
2020-10-12,14.97,14.98
2020-10-13,14.99,14.99
2020-10-14,15.0,14.93
2020-10-15,14.87,14.97
2020-10-16,14.99,14.91
2020-10-19,14.9,14.8
2020-10-20,14.84,14.87
2020-10-21,14.85,14.73
2020-10-22,14.74,14.82
2020-10-23,14.85,14.92
2020-10-26,14.9,14.82
2020-10-27,14.85,14.82
2020-10-28,14.76,14.64
2020-10-29,14.67,14.66
2020-10-30,14.66,14.64
2020-11-02,14.7,14.68
2020-11-03,14.72,14.69
2020-11-04,14.75,14.85
2020-11-05,14.88,14.84
2020-11-06,14.84,14.78
2020-11-09,14.93,14.96
2020-11-10,14.96,14.95
2020-11-11,14.98,14.97
2020-11-12,14.93,14.96
2020-11-13,14.99,14.98
2020-11-16,15.0,15.12
2020-11-17,15.11,15.1
2020-11-18,15.14,15.07
2020-11-19,15.09,15.12
2020-11-20,15.13,15.1
2020-11-23,15.07,15.09
2020-11-24,15.12,15.08
2020-11-25,15.08,15.07
2020-11-27,15.07,15.08
2020-11-30,15.09,15.03
2020-12-01,15.05,15.02
2020-12-02,15.04,15.05
2020-12-03,15.06,15.1
2020-12-04,15.12,15.12
2020-12-07,15.08,15.13
2020-12-08,15.11,15.15
2020-12-09,15.15,15.17
2020-12-10,15.16,15.13
2020-12-11,15.13,15.17
2020-12-14,15.2,15.19
2020-12-15,15.2,15.22
2020-12-16,15.24,15.25
2020-12-17,15.27,15.26
2020-12-18,15.25,15.27
2020-12-21,15.15,15.21
2020-12-22,15.23,15.15
2020-12-23,15.16,15.15
2020-12-24,15.17,15.19
2020-12-28,15.22,15.17
2020-12-29,15.21,15.17
2020-12-30,15.19,15.2
2020-12-31,15.21,15.26
2021-01-04,15.27,15.14
2021-01-05,15.12,15.16
2021-01-06,15.15,14.98
2021-01-07,14.99,14.91
2021-01-08,14.93,14.95
2021-01-11,14.93,14.8
2021-01-12,14.8,14.75
2021-01-13,14.78,14.98
2021-01-14,14.98,14.96
2021-01-15,14.97,15.0
2021-01-19,14.99,14.98
2021-01-20,14.98,15.03
2021-01-21,15.04,14.97
2021-01-22,14.97,15.03
2021-01-25,15.02,14.99
2021-01-26,14.98,14.97
2021-01-27,14.96,14.82
2021-01-28,14.83,14.87
2021-01-29,14.91,14.86
2021-02-01,14.88,14.92
2021-02-02,14.93,14.96
2021-02-03,14.92,14.9
2021-02-04,14.92,14.92
2021-02-05,14.95,14.95
2021-02-08,14.92,14.95
2021-02-09,14.95,14.95
2021-02-10,14.98,14.94
2021-02-11,14.95,14.91
2021-02-12,14.9,14.89
2021-02-16,14.87,14.77
2021-02-17,14.77,14.78
2021-02-18,14.77,14.78
2021-02-19,14.78,14.75
2021-02-22,14.7,14.66
2021-02-23,14.67,14.66
2021-02-24,14.64,14.61
2021-02-25,14.6,14.51
2021-02-26,14.53,14.6
2021-03-01,14.61,14.63
2021-03-02,14.62,14.68
2021-03-03,14.67,14.72
2021-03-04,14.72,14.67
2021-03-05,14.69,14.78
2021-03-08,14.76,14.76
2021-03-09,14.79,14.83
2021-03-10,14.86,14.86
2021-03-11,14.88,14.93
2021-03-12,14.91,14.89
2021-03-15,14.9,14.96
2021-03-16,14.96,14.97
2021-03-17,14.96,14.95
2021-03-18,14.91,14.78
2021-03-19,14.81,14.89
2021-03-22,14.88,14.87
2021-03-23,14.89,14.88
2021-03-24,14.9,14.94
2021-03-25,14.94,14.92
2021-03-26,14.94,14.92
2021-03-29,14.91,14.88
2021-03-30,14.89,14.9
2021-03-31,14.93,15.0
2021-04-01,15.01,15.01
2021-04-05,15.02,15.08
2021-04-06,15.09,15.1
2021-04-07,15.13,15.13
2021-04-08,15.15,15.12
2021-04-09,15.13,15.11
2021-04-12,15.12,15.09
2021-04-13,15.1,15.12
2021-04-14,15.14,15.11
2021-04-15,15.14,15.15
2021-04-16,15.17,15.15
2021-04-19,15.12,15.07
2021-04-20,15.06,15.05
2021-04-21,15.06,15.07
2021-04-22,15.07,15.08
2021-04-23,15.1,15.09
2021-04-26,15.1,15.13
2021-04-27,15.14,15.1
2021-04-28,15.11,15.11
2021-04-29,15.12,15.06
2021-04-30,15.08,15.07
2021-05-03,15.08,15.09
2021-05-04,15.09,15.09
2021-05-05,15.11,15.08
2021-05-06,15.09,15.06
2021-05-07,15.09,15.12
2021-05-10,15.13,15.06
2021-05-11,15.03,14.97
2021-05-12,14.96,14.87
2021-05-13,14.89,14.91
2021-05-14,14.92,14.98
2021-05-17,14.99,14.98
2021-05-18,15.0,14.99
2021-05-19,14.96,14.99
2021-05-20,15.01,15.07
2021-05-21,15.1,15.07
2021-05-24,15.05,15.05
2021-05-25,15.05,15.03
2021-05-26,15.05,15.03
2021-05-27,15.03,15.03
2021-05-28,15.05,15.09
2021-06-01,15.1,15.14
2021-06-02,15.13,15.17
2021-06-03,15.16,15.19
2021-06-04,15.2,15.2
2021-06-07,15.21,15.2
2021-06-08,15.23,15.18
2021-06-09,15.2,15.21
2021-06-10,15.23,15.21
2021-06-11,15.23,15.24
2021-06-14,15.25,15.25
2021-06-15,15.27,15.26
2021-06-16,15.28,15.26
2021-06-17,15.26,15.29
2021-06-18,15.26,15.29
2021-06-21,15.23,15.22
