date,open,close
2020-05-11,5.75,5.73
2020-05-12,5.75,5.72
2020-05-13,5.75,5.72
2020-05-14,5.75,5.8
2020-05-15,6.04,6.11
2020-05-18,6.35,6.22
2020-05-19,6.38,6.37
2020-05-20,6.4,6.42
2020-05-21,6.39,6.29
2020-05-22,6.3,6.27
2020-05-26,6.37,6.26
2020-05-27,6.23,6.31
2020-05-28,6.39,6.35
2020-05-29,6.48,6.5
2020-06-01,6.6,6.62
2020-06-02,6.66,6.55
2020-06-03,6.46,6.41
2020-06-04,6.46,6.45
2020-06-05,6.37,6.28
2020-06-08,6.35,6.45
2020-06-09,6.44,6.42
2020-06-10,6.5,6.56
2020-06-11,6.52,6.38
2020-06-12,6.47,6.36
2020-06-15,6.24,6.33
2020-06-16,6.36,6.37
2020-06-17,6.35,6.41
2020-06-18,6.38,6.34
2020-06-19,6.45,6.41
2020-06-22,6.54,6.47
2020-06-23,6.5,6.54
2020-06-24,6.43,6.39
2020-06-25,6.36,6.46
2020-06-26,6.43,6.51
2020-06-29,6.51,6.54
2020-06-30,6.52,6.61
2020-07-01,6.65,6.61
2020-07-02,6.61,6.6
2020-07-06,6.73,6.68
2020-07-07,6.68,6.71
2020-07-08,6.8,6.83
2020-07-09,6.95,6.86
2020-07-10,6.9,6.86
2020-07-13,7.04,6.93
2020-07-14,6.96,7.05
2020-07-15,7.08,7.12
2020-07-16,7.09,7.01
2020-07-17,7.11,7.07
2020-07-20,7.2,7.29
2020-07-21,7.7,7.73
2020-07-22,8.21,8.24
2020-07-23,8.2,8.21
2020-07-24,8.26,8.29
2020-07-27,8.72,8.8
2020-07-28,8.73,8.84
2020-07-29,8.83,8.76
2020-07-30,8.48,8.41
2020-07-31,8.65,8.63
2020-08-03,8.64,8.81
2020-08-04,8.81,9.31
2020-08-05,9.62,9.62
2020-08-06,10.1,10.28
2020-08-07,10.15,10.04
2020-08-10,10.2,10.39
2020-08-11,9.71,8.92
2020-08-12,9.2,8.92
2020-08-13,9.31,9.56
2020-08-14,9.45,9.3
2020-08-17,9.79,9.62
2020-08-18,9.85,9.82
2020-08-19,9.83,9.46
2020-08-20,9.45,9.68
2020-08-21,9.38,9.36
2020-08-24,9.52,9.23
2020-08-25,9.3,9.35
2020-08-26,9.33,9.75
2020-08-27,9.89,9.64
2020-08-28,9.8,9.83
2020-08-31,10.0,10.01
2020-09-01,10.27,9.99
2020-09-02,9.89,9.73
2020-09-03,9.67,9.37
2020-09-04,9.37,9.51
2020-09-08,9.31,9.41
2020-09-09,9.48,9.58
2020-09-10,9.71,9.5
2020-09-11,9.51,9.48
2020-09-14,9.61,9.66
2020-09-15,9.77,9.67
2020-09-16,9.73,9.69
2020-09-17,9.49,9.67
2020-09-18,9.6,9.56
2020-09-21,9.29,8.88
2020-09-22,8.8,8.74
2020-09-23,8.44,8.07
2020-09-24,7.88,8.24
2020-09-25,8.12,8.12
2020-09-28,8.32,8.39
2020-09-29,8.45,8.62
2020-09-30,8.48,8.27
2020-10-01,8.43,8.4
2020-10-02,8.47,8.4
2020-10-05,8.45,8.6
2020-10-06,8.61,8.22
2020-10-07,8.32,8.39
2020-10-08,8.5,8.42
2020-10-09,8.66,8.8
2020-10-12,8.82,8.86
2020-10-13,8.62,8.55
2020-10-14,8.62,8.49
2020-10-15,8.35,8.52
2020-10-16,8.56,8.49
2020-10-19,8.66,8.54
2020-10-20,8.65,8.7
2020-10-21,8.8,8.81
2020-10-22,8.81,8.75
2020-10-23,8.75,8.71
2020-10-26,8.6,8.58
2020-10-27,8.6,8.62
2020-10-28,8.32,8.25
2020-10-29,8.1,8.25
2020-10-30,8.35,8.36
2020-11-02,8.46,8.52
2020-11-03,8.58,8.54
2020-11-04,8.48,8.43
2020-11-05,8.76,8.88
2020-11-06,8.98,8.99
2020-11-09,8.65,8.54
2020-11-10,8.52,8.49
2020-11-11,8.39,8.5
2020-11-12,8.5,8.49
2020-11-13,8.69,8.65
2020-11-16,8.66,8.66
2020-11-17,8.63,8.56
2020-11-18,8.51,8.47
2020-11-19,8.36,8.41
2020-11-20,8.48,8.42
2020-11-23,8.38,8.21
2020-11-24,8.05,8.05
2020-11-25,8.12,8.15
2020-11-27,7.9,7.92
2020-11-30,7.78,7.86
2020-12-01,8.15,8.37
2020-12-02,8.27,8.39
2020-12-03,8.4,8.41
2020-12-04,8.41,8.42
2020-12-07,8.54,8.58
2020-12-08,8.59,8.59
2020-12-09,8.52,8.34
2020-12-10,8.37,8.36
2020-12-11,8.36,8.33
2020-12-14,8.35,8.3
2020-12-15,8.52,8.53
2020-12-16,8.71,8.9
2020-12-17,9.07,9.12
2020-12-18,9.09,9.0
2020-12-21,9.08,9.23
2020-12-22,9.14,8.87
2020-12-23,8.99,9.02
2020-12-24,9.01,9.11
2020-12-28,9.34,9.26
2020-12-29,9.25,9.22
2020-12-30,9.24,9.38
2020-12-31,9.35,9.34
2021-01-04,9.62,9.58
2021-01-05,9.65,9.72
2021-01-06,9.62,9.66
2021-01-07,9.62,9.63
2021-01-08,9.43,8.99
2021-01-11,8.76,8.82
2021-01-12,8.96,9.05
2021-01-13,8.99,8.89
2021-01-14,8.94,9.08
2021-01-15,8.88,8.73
2021-01-19,8.91,8.93
2021-01-20,9.0,9.1
2021-01-21,9.13,9.18
2021-01-22,8.93,8.98
2021-01-25,9.06,8.93
2021-01-26,8.94,8.93
2021-01-27,8.8,8.76
2021-01-28,9.21,9.26
2021-01-29,9.71,9.58
2021-02-01,11.01,10.41
2021-02-02,9.96,9.78
2021-02-03,9.86,9.71
2021-02-04,9.56,9.63
2021-02-05,9.7,9.69
2021-02-08,9.86,9.8
2021-02-09,9.9,9.85
2021-02-10,9.91,9.86
2021-02-11,9.85,9.81
2021-02-12,9.81,9.81
2021-02-16,9.89,9.89
2021-02-17,9.87,9.87
2021-02-18,9.89,9.9
2021-02-19,10.0,9.81
2021-02-22,9.96,10.22
2021-02-23,10.07,10.14
2021-02-24,10.03,10.16
2021-02-25,10.08,10.03
2021-02-26,9.87,9.81
2021-03-01,9.85,9.61
2021-03-02,9.61,9.64
2021-03-03,9.51,9.43
2021-03-04,9.38,9.08
2021-03-05,9.1,9.05
2021-03-08,9.05,9.08
2021-03-09,9.35,9.26
2021-03-10,9.31,9.43
2021-03-11,9.39,9.46
2021-03-12,9.21,9.41
2021-03-15,9.49,9.47
2021-03-16,9.38,9.39
2021-03-17,9.38,9.45
2021-03-18,9.3,9.33
2021-03-19,9.39,9.41
2021-03-22,9.28,9.32
2021-03-23,9.17,9.07
2021-03-24,9.16,9.06
2021-03-25,8.98,9.03
2021-03-26,9.03,9.03
2021-03-29,9.0,8.98
2021-03-30,8.8,8.69
2021-03-31,8.71,8.78
2021-04-01,8.84,8.96
2021-04-05,8.95,8.99
2021-04-06,9.06,9.04
2021-04-07,9.0,8.98
2021-04-08,9.1,9.08
2021-04-09,8.93,9.02
2021-04-12,9.01,8.94
2021-04-13,9.03,9.06
2021-04-14,9.03,9.12
2021-04-15,9.19,9.27
2021-04-16,9.32,9.31
2021-04-19,9.28,9.26
2021-04-20,9.26,9.25
2021-04-21,9.33,9.52
2021-04-22,9.42,9.39
2021-04-23,9.43,9.36
2021-04-26,9.41,9.39
2021-04-27,9.42,9.4
2021-04-28,9.36,9.47
2021-04-29,9.45,9.45
2021-04-30,9.44,9.38
2021-05-03,9.57,9.63
2021-05-04,9.67,9.53
2021-05-05,9.52,9.51
2021-05-06,9.64,9.73
2021-05-07,9.73,9.84
2021-05-10,9.99,9.81
2021-05-11,9.76,9.88
2021-05-12,9.83,9.71
2021-05-13,9.7,9.71
2021-05-14,9.79,9.78
2021-05-17,9.85,10.03
2021-05-18,10.12,10.11
2021-05-19,9.92,9.95
2021-05-20,9.96,9.93
2021-05-21,10.01,9.89
2021-05-24,9.95,9.94
2021-05-25,9.87,10.0
2021-05-26,9.99,9.96
2021-05-27,9.96,10.0
2021-05-28,9.94,10.02
2021-06-01,10.2,10.03
2021-06-02,10.06,10.09
2021-06-03,9.9,9.84
2021-06-04,9.95,9.97
2021-06-07,9.95,9.97
2021-06-08,9.95,9.89
2021-06-09,9.97,9.93
2021-06-10,9.91,10.01
2021-06-11,10.04,9.97
2021-06-14,9.89,9.97
2021-06-15,9.93,9.88
2021-06-16,9.94,9.76
2021-06-17,9.46,9.31
2021-06-18,9.33,9.28
2021-06-21,9.31,9.28
2021-06-22,9.23,9.22
2021-06-23,9.27,9.18
2021-06-24,9.3,9.25
2021-06-25,9.3,9.27
2021-06-28,9.28,9.3
2021-06-29,9.15,9.17
2021-06-30,9.18,9.28
2021-07-01,9.34,9.23
2021-07-02,9.38,9.38
2021-07-06,9.44,9.24
2021-07-07,9.3,9.25
2021-07-08,9.28,9.19
2021-07-09,9.19,9.21
2021-07-12,9.23,9.26
2021-07-13,9.2,9.15
2021-07-14,9.32,9.26
2021-07-15,9.26,9.26
2021-07-16,9.17,9.04
2021-07-19,8.91,8.79
2021-07-20,8.74,8.72
2021-07-21,8.73,8.82
2021-07-22,8.8,8.86
2021-07-23,8.8,8.8
2021-07-26,8.81,8.78
2021-07-27,8.77,8.65
2021-07-28,8.65,8.74
2021-07-29,8.93,8.95
2021-07-30,8.96,8.9
2021-08-02,8.86,8.88
2021-08-03,8.89,8.95
2021-08-04,9.08,8.89
2021-08-05,8.9,8.82
2021-08-06,8.59,8.55
2021-08-09,8.42,8.26
2021-08-10,8.22,8.21
2021-08-11,8.27,8.31
2021-08-12,8.25,8.18
2021-08-13,8.28,8.37
2021-08-16,8.38,8.4
2021-08-17,8.41,8.32
2021-08-18,8.32,8.27
2021-08-19,8.24,8.17
2021-08-20,8.14,8.11
2021-08-23,8.24,8.27
2021-08-24,8.33,8.35
2021-08-25,8.35,8.35
2021-08-26,8.31,8.27
2021-08-27,8.25,8.45
2021-08-30,8.47,8.45
2021-08-31,8.46,8.4
2021-09-01,8.45,8.49
2021-09-02,8.46,8.39
2021-09-03,8.54,8.64
2021-09-07,8.55,8.5
2021-09-08,8.49,8.36
2021-09-09,8.45,8.4
2021-09-10,8.41,8.3
2021-09-13,8.24,8.29
2021-09-14,8.3,8.34
2021-09-15,8.34,8.34
2021-09-16,8.1,8.02
2021-09-17,7.96,7.83
2021-09-20,7.78,7.76
2021-09-21,7.82,7.85
2021-09-22,7.93,7.9
2021-09-23,7.89,7.85
2021-09-24,7.73,7.78
2021-09-27,7.89,7.85
2021-09-28,7.81,7.8
2021-09-29,7.58,7.5
2021-09-30,7.58,7.68
2021-10-01,7.8,7.82
2021-10-04,7.81,7.89
2021-10-05,7.84,7.87
2021-10-06,7.82,7.89
2021-10-07,7.86,7.86
2021-10-08,8.04,7.88
2021-10-11,7.87,7.87
2021-10-12,7.86,7.88
2021-10-13,7.96,8.05
2021-10-14,8.18,8.24
2021-10-15,8.17,8.17
2021-10-18,8.19,8.13
2021-10-19,8.4,8.28
2021-10-20,8.37,8.5
2021-10-21,8.45,8.44
2021-10-22,8.53,8.51
2021-10-25,8.56,8.58
2021-10-26,8.49,8.46
2021-10-27,8.46,8.43
2021-10-28,8.46,8.42
2021-10-29,8.37,8.36
2021-11-01,8.4,8.41
2021-11-02,8.29,8.22
2021-11-03,8.11,8.23
2021-11-04,8.37,8.32
2021-11-05,8.41,8.44
2021-11-08,8.51,8.55
2021-11-09,8.52,8.49
2021-11-10,8.73,8.61
2021-11-11,8.75,8.81
2021-11-12,8.75,8.81
2021-11-15,8.77,8.75
2021-11-16,8.75,8.66
2021-11-17,8.74,8.75
2021-11-18,8.71,8.67
2021-11-19,8.67,8.56
2021-11-22,8.55,8.41
2021-11-23,8.2,8.25
2021-11-24,8.21,8.21
2021-11-26,8.24,8.08
2021-11-29,8.03,7.97
2021-11-30,8.0,7.96
2021-12-01,7.94,7.75
2021-12-02,7.84,7.82
2021-12-03,7.79,7.87
2021-12-06,7.75,7.81
2021-12-07,7.8,7.83
2021-12-08,7.79,7.83
2021-12-09,7.73,7.65
2021-12-10,7.74,7.73
2021-12-13,7.76,7.78
2021-12-14,7.58,7.64
2021-12-15,7.6,7.66
2021-12-16,7.77,7.81
2021-12-17,7.85,7.79
2021-12-20,7.75,7.73
2021-12-21,7.82,7.82
2021-12-22,7.86,7.93
2021-12-23,7.91,7.92
2021-12-27,7.95,7.99
2021-12-28,8.03,7.97
2021-12-29,7.85,7.9
2021-12-30,7.92,7.98
2021-12-31,8.01,8.02
2022-01-03,7.88,7.91
2022-01-04,7.92,7.96
2022-01-05,7.98,7.84
2022-01-06,7.62,7.64
2022-01-07,7.65,7.68
2022-01-10,7.68,7.72
2022-01-11,7.75,7.83
2022-01-12,7.89,7.97
2022-01-13,7.98,7.93
2022-01-14,7.91,7.88
2022-01-18,8.0,8.08
2022-01-19,8.2,8.35
2022-01-20,8.49,8.45
2022-01-21,8.47,8.35
2022-01-24,8.22,8.26
2022-01-25,8.15,8.2
2022-01-26,8.18,8.08
2022-01-27,7.88,7.83
2022-01-28,7.8,7.74
2022-01-31,7.77,7.78
2022-02-01,7.95,7.84
2022-02-02,7.88,7.83
2022-02-03,7.78,7.75
2022-02-04,7.76,7.78
2022-02-07,7.92,7.98
2022-02-08,7.97,8.05
2022-02-09,8.06,8.07
2022-02-10,8.07,8.03
2022-02-11,7.99,8.17
2022-02-14,8.26,8.27
2022-02-15,8.07,8.13
2022-02-16,8.13,8.2
2022-02-17,8.22,8.28
2022-02-18,8.32,8.29
2022-02-22,8.4,8.38
2022-02-23,8.38,8.5
2022-02-24,8.78,8.38
2022-02-25,8.33,8.39
2022-02-28,8.51,8.48
2022-03-01,8.6,8.81
2022-03-02,8.68,8.75
2022-03-03,8.71,8.72
2022-03-04,8.78,8.9
2022-03-07,8.88,8.95
2022-03-08,9.21,9.18
2022-03-09,9.0,8.93
2022-03-10,9.04,9.04
2022-03-11,8.98,9.01
2022-03-14,8.84,8.75
2022-03-15,8.69,8.71
2022-03-16,8.72,8.78
2022-03-17,8.88,8.89
2022-03-18,8.82,8.86
2022-03-21,8.85,8.92
2022-03-22,8.8,8.77
2022-03-23,8.87,8.87
2022-03-24,8.98,9.0
2022-03-25,8.95,8.96
2022-03-28,8.86,8.77
2022-03-29,8.58,8.78
2022-03-30,8.8,8.76
2022-03-31,8.81,8.77
2022-04-01,8.69,8.73
2022-04-04,8.74,8.73
2022-04-05,8.79,8.62
2022-04-06,8.64,8.67
2022-04-07,8.61,8.71
2022-04-08,8.68,8.77
2022-04-11,8.96,8.83
2022-04-12,8.93,8.92
2022-04-13,8.98,9.04
2022-04-14,8.96,9.01
2022-04-18,9.13,9.1
2022-04-19,9.01,8.87
2022-04-20,8.85,8.9
2022-04-21,8.78,8.7
2022-04-22,8.58,8.52
2022-04-25,8.34,8.29
2022-04-26,8.28,8.21
2022-04-27,8.23,8.09
2022-04-28,8.01,8.07
2022-04-29,8.03,7.94
2022-05-02,7.79,7.86
2022-05-03,7.86,7.82
2022-05-04,7.8,8.0
2022-05-05,8.04,7.83
2022-05-06,7.78,7.75
2022-05-09,7.66,7.5
2022-05-10,7.61,7.32
2022-05-11,7.51,7.44
2022-05-12,7.3,7.15
2022-05-13,7.11,7.21
2022-05-16,7.27,7.4
2022-05-17,7.44,7.4
2022-05-18,7.42,7.35
2022-05-19,7.46,7.53
2022-05-20,7.51,7.46
2022-05-23,7.53,7.46
2022-05-24,7.55,7.57
2022-05-25,7.51,7.57
2022-05-26,7.49,7.55
2022-05-27,7.64,7.56
2022-05-31,7.47,7.38
2022-06-01,7.48,7.45
2022-06-02,7.53,7.63
2022-06-03,7.62,7.53
2022-06-06,7.64,7.55
2022-06-07,7.55,7.62
2022-06-08,7.57,7.56
2022-06-09,7.53,7.44
2022-06-10,7.38,7.51
2022-06-13,7.34,7.26
2022-06-14,7.27,7.2
2022-06-15,7.34,7.41
2022-06-16,7.4,7.5
2022-06-17,7.45,7.39
2022-06-21,7.4,7.38
2022-06-22,7.34,7.32
2022-06-23,7.3,7.18
2022-06-24,7.14,7.2
2022-06-27,7.21,7.2
2022-06-28,7.23,7.1
2022-06-29,7.13,7.08
2022-06-30,7.02,6.9
2022-07-01,6.7,6.77
2022-07-05,6.7,6.56
2022-07-06,6.56,6.52
2022-07-07,6.58,6.53
2022-07-08,6.55,6.55
2022-07-11,6.55,6.5
2022-07-12,6.5,6.46
2022-07-13,6.45,6.54
2022-07-14,6.31,6.29
2022-07-15,6.35,6.36
2022-07-18,6.48,6.37
2022-07-19,6.4,6.42
2022-07-20,6.52,6.37
2022-07-21,6.36,6.46
2022-07-22,6.45,6.37
2022-07-25,6.35,6.34
2022-07-26,6.36,6.39
2022-07-27,6.39,6.52
2022-07-28,6.75,6.83
2022-07-29,6.83,6.94
2022-08-01,6.96,6.95
2022-08-02,6.98,6.84
2022-08-03,6.86,6.88
2022-08-04,6.86,6.92
2022-08-05,6.77,6.82
2022-08-08,7.0,7.09
2022-08-09,7.08,7.04
2022-08-10,7.08,7.06
2022-08-11,7.07,6.98
2022-08-12,7.02,7.18
2022-08-15,7.0,6.98
2022-08-16,6.94,6.96
2022-08-17,6.9,6.85
2022-08-18,6.87,6.76
2022-08-19,6.69,6.61
2022-08-22,6.59,6.61
2022-08-23,6.56,6.62
2022-08-24,6.63,6.65
2022-08-25,6.69,6.69
2022-08-26,6.73,6.59
2022-08-29,6.5,6.56
2022-08-30,6.54,6.41
2022-08-31,6.33,6.3
2022-09-01,6.24,6.25
2022-09-02,6.34,6.31
2022-09-06,6.4,6.31
2022-09-07,6.33,6.45
2022-09-08,6.47,6.46
2022-09-09,6.5,6.55
2022-09-12,6.87,6.79
2022-09-13,6.72,6.69
2022-09-14,6.76,6.76
2022-09-15,6.72,6.63
2022-09-16,6.57,6.78
2022-09-19,6.68,6.75
2022-09-20,6.66,6.67
2022-09-21,6.8,6.79
2022-09-22,6.78,6.79
2022-09-23,6.65,6.55
2022-09-26,6.55,6.38
2022-09-27,6.41,6.36
2022-09-28,6.44,6.58
2022-09-29,6.5,6.54
2022-09-30,6.61,6.62
2022-10-03,6.99,7.12
2022-10-04,7.16,7.23
2022-10-05,6.97,7.13
2022-10-06,7.08,7.14
2022-10-07,7.06,6.94
2022-10-10,6.84,6.79
2022-10-11,6.72,6.64
2022-10-12,6.63,6.62
2022-10-13,6.48,6.57
2022-10-14,6.5,6.36
2022-10-17,6.53,6.47
2022-10-18,6.56,6.49
2022-10-19,6.4,6.42
2022-10-20,6.45,6.45
2022-10-21,6.48,6.65
2022-10-24,6.62,6.65
2022-10-25,6.66,6.73
2022-10-26,6.75,6.81
2022-10-27,6.85,6.8
2022-10-28,6.73,6.73
2022-10-31,6.64,6.69
2022-11-01,6.91,6.81
2022-11-02,6.85,6.7
2022-11-03,6.6,6.77
2022-11-04,7.07,7.2
2022-11-07,7.16,7.17
2022-11-08,7.19,7.31
2022-11-09,7.29,7.2
2022-11-10,7.4,7.42
2022-11-11,7.34,7.41
2022-11-14,7.39,7.51
2022-11-15,7.46,7.37
2022-11-16,7.41,7.31
2022-11-17,7.12,7.18
2022-11-18,7.18,7.11
2022-11-21,7.1,7.1
2022-11-22,7.18,7.21
2022-11-23,7.24,7.32
2022-11-25,7.28,7.3
2022-11-28,7.3,7.14
2022-11-29,7.22,7.22
2022-11-30,7.41,7.53
2022-12-01,7.63,7.71
2022-12-02,7.63,7.86
2022-12-05,7.72,7.53
2022-12-06,7.62,7.53
2022-12-07,7.61,7.71
2022-12-08,7.84,7.83
2022-12-09,7.9,7.95
2022-12-12,7.93,7.9
2022-12-13,8.13,8.04
2022-12-14,8.1,8.12
2022-12-15,7.95,7.94
2022-12-16,7.9,7.97
2022-12-19,7.96,7.9
2022-12-20,8.21,8.28
2022-12-21,8.22,8.21
2022-12-22,8.08,8.08
2022-12-23,8.08,8.12
2022-12-27,8.18,8.27
2022-12-28,8.2,8.1
2022-12-29,8.26,8.23
2022-12-30,8.19,8.24
2023-01-03,8.35,8.28
2023-01-04,8.34,8.22
2023-01-05,8.11,8.05
2023-01-06,8.16,8.23
2023-01-09,8.21,8.12
2023-01-10,8.1,8.11
2023-01-11,8.17,8.01
2023-01-12,8.23,8.13
2023-01-13,8.08,8.24
2023-01-17,8.22,8.15
2023-01-18,8.25,7.98
2023-01-19,7.98,8.14
2023-01-20,8.17,8.14
2023-01-23,7.92,7.99
2023-01-24,8.0,8.08
2023-01-25,7.99,8.15
2023-01-26,8.18,8.14
2023-01-27,8.02,8.02
2023-01-30,8.06,8.02
2023-01-31,8.0,8.07
2023-02-01,8.03,8.14
2023-02-02,8.29,7.98
2023-02-03,7.73,7.64
2023-02-06,7.68,7.59
2023-02-07,7.6,7.58
2023-02-08,7.67,7.63
2023-02-09,7.7,7.52
2023-02-10,7.58,7.55
2023-02-13,7.5,7.51
2023-02-14,7.45,7.48
2023-02-15,7.38,7.42
2023-02-16,7.37,7.4
2023-02-17,7.31,7.47
2023-02-21,7.5,7.49
2023-02-22,7.48,7.36
2023-02-23,7.42,7.34
2023-02-24,7.21,7.14
2023-02-27,7.13,7.05
2023-02-28,7.06,7.17
2023-03-01,7.2,7.18
2023-03-02,7.12,7.2
2023-03-03,7.23,7.29
2023-03-06,7.25,7.21
2023-03-07,7.1,6.87
2023-03-08,6.9,6.86
2023-03-09,6.93,6.89
2023-03-10,7.03,7.01
2023-03-13,7.29,7.4
2023-03-14,7.4,7.36
2023-03-15,7.54,7.46
2023-03-16,7.56,7.41
2023-03-17,7.5,7.72
2023-03-20,7.74,7.7
2023-03-21,7.72,7.65
2023-03-22,7.65,7.92
2023-03-23,7.95,8.0
2023-03-24,8.13,7.97
2023-03-27,8.0,7.98
2023-03-28,7.99,8.11
2023-03-29,8.12,8.13
2023-03-30,8.2,8.28
2023-03-31,8.3,8.34
2023-04-03,8.33,8.31
2023-04-04,8.38,8.6
2023-04-05,8.55,8.59
2023-04-06,8.55,8.57
2023-04-10,8.62,8.6
2023-04-11,8.63,8.64
2023-04-12,8.79,8.82
2023-04-13,8.93,8.93
2023-04-14,8.96,8.72
2023-04-17,8.72,8.55
2023-04-18,8.51,8.6
2023-04-19,8.55,8.62
2023-04-20,8.64,8.65
2023-04-21,8.65,8.58
2023-04-24,8.54,8.61
2023-04-25,8.56,8.55
2023-04-26,8.6,8.48
2023-04-27,8.44,8.5
2023-04-28,8.54,8.56
2023-05-01,8.8,8.53
2023-05-02,8.46,8.69
2023-05-03,8.7,8.76
2023-05-04,8.8,8.97
2023-05-05,8.79,8.82
2023-05-08,8.81,8.8
2023-05-09,8.79,8.82
2023-05-10,8.86,8.74
2023-05-11,8.5,8.34
2023-05-12,8.32,8.3
2023-05-15,8.34,8.31
2023-05-16,8.29,8.19
2023-05-17,8.2,8.19
2023-05-18,8.1,8.07
2023-05-19,8.11,8.17
2023-05-22,8.23,8.13
2023-05-23,8.12,8.04
2023-05-24,8.04,7.97
2023-05-25,7.98,7.86
2023-05-26,7.99,8.02
2023-05-30,8.0,7.99
2023-05-31,8.01,8.14
2023-06-01,8.13,8.28
2023-06-02,8.3,8.16
2023-06-05,8.08,8.13
2023-06-06,8.13,8.12
2023-06-07,8.15,8.04
2023-06-08,8.19,8.28
2023-06-09,8.29,8.3
2023-06-12,8.22,8.2
2023-06-13,8.23,8.07
2023-06-14,8.15,8.16
2023-06-15,8.03,8.13
2023-06-16,8.18,8.21
2023-06-20,7.95,7.87
2023-06-21,7.75,7.72
2023-06-22,7.66,7.63
2023-06-23,7.67,7.66
2023-06-26,7.79,7.79
2023-06-27,7.9,7.84
2023-06-28,7.76,7.77
2023-06-29,7.68,7.72
2023-06-30,7.68,7.79
2023-07-03,7.89,7.85
2023-07-05,7.95,7.92
2023-07-06,7.84,7.76
2023-07-07,7.79,7.91
2023-07-10,7.87,7.91
2023-07-11,7.92,7.91
2023-07-12,8.12,8.22
2023-07-13,8.3,8.5
2023-07-14,8.46,8.5
2023-07-17,8.45,8.49
2023-07-18,8.48,8.54
2023-07-19,8.55,8.6
2023-07-20,8.61,8.45
2023-07-21,8.45,8.42
2023-07-24,8.33,8.37
2023-07-25,8.43,8.45
2023-07-26,8.46,8.57
2023-07-27,8.41,8.25
2023-07-28,8.29,8.32
2023-07-31,8.4,8.45
2023-08-01,8.34,8.3
2023-08-02,8.26,8.12
2023-08-03,8.06,8.06
2023-08-04,8.07,8.06
2023-08-07,8.05,7.91
2023-08-08,7.81,7.82
2023-08-09,7.8,7.78
