date,open,close
2020-05-11,3.25,3.35
2020-05-12,3.42,3.4
2020-05-13,3.4,3.15
2020-05-14,3.01,3.19
2020-05-15,3.18,3.27
2020-05-18,3.56,3.79
2020-05-19,3.79,3.58
2020-05-20,3.7,3.88
2020-05-21,3.91,3.89
2020-05-22,3.81,3.55
2020-05-26,3.75,3.885
2020-05-27,4.11,4.17
2020-05-28,4.15,4.28
2020-05-29,4.23,3.69
2020-06-01,3.88,3.79
2020-06-02,3.86,4.19
2020-06-03,4.3,4.44
2020-06-04,4.36,5.17
2020-06-05,5.47,5.79
2020-06-08,6.21,6.16
2020-06-09,5.75,5.5
2020-06-10,5.43,5.16
2020-06-11,4.6,4.16
2020-06-12,4.63,4.46
2020-06-15,4.1,4.57
2020-06-16,5.05,4.805
2020-06-17,4.83,4.37
2020-06-18,4.31,4.52
2020-06-19,4.69,4.34
2020-06-22,4.33,4.31
2020-06-23,4.56,4.21
2020-06-24,4.12,3.69
2020-06-25,3.65,3.88
2020-06-26,3.85,3.57
2020-06-29,3.57,3.46
2020-06-30,3.41,3.47
2020-07-01,3.52,3.255
2020-07-02,3.34,3.36
2020-07-06,3.47,3.5
2020-07-07,3.44,3.345
2020-07-08,3.33,3.53
2020-07-09,3.49,3.32
2020-07-10,3.25,3.39
2020-07-13,3.43,3.26
2020-07-14,3.22,3.53
2020-07-15,3.63,3.66
2020-07-16,3.45,3.5
2020-07-17,3.52,3.32
2020-07-20,3.32,3.4
2020-07-21,3.46,3.84
2020-07-22,3.72,3.665
2020-07-23,3.76,3.94
2020-07-24,3.97,3.925
2020-07-27,3.97,4.16
2020-07-28,4.1,4.01
2020-07-29,4.03,4.07
2020-07-30,3.97,3.95
2020-07-31,3.9,3.875
2020-08-03,3.9,3.95
2020-08-04,3.96,4.2
2020-08-05,4.34,4.345
2020-08-06,4.35,4.15
2020-08-07,4.14,4.12
2020-08-10,4.14,4.4
2020-08-11,4.54,4.48
2020-08-12,4.59,4.56
2020-08-13,4.51,4.42
2020-08-14,4.34,4.5
2020-08-17,4.5,4.43
2020-08-18,4.37,4.14
2020-08-19,4.14,4.1
2020-08-20,4.01,3.94
2020-08-21,3.85,3.72
2020-08-24,3.76,3.96
2020-08-25,4.01,3.935
2020-08-26,3.96,3.86
2020-08-27,3.89,3.85
2020-08-28,3.87,3.97
2020-08-31,3.97,3.85
2020-09-01,3.81,3.89
2020-09-02,3.92,3.64
2020-09-03,3.61,3.595
2020-09-04,3.67,3.66
2020-09-08,3.52,3.36
2020-09-09,3.46,3.46
2020-09-10,3.46,3.21
2020-09-11,3.22,3.165
2020-09-14,3.19,3.23
2020-09-15,3.27,3.29
2020-09-16,3.32,3.49
2020-09-17,3.43,3.47
2020-09-18,3.48,3.45
2020-09-21,3.35,3.17
2020-09-22,3.16,3.17
2020-09-23,3.18,2.88
2020-09-24,2.91,2.9
2020-09-25,2.84,2.855
2020-09-28,2.96,3.0
2020-09-29,3.0,2.91
2020-09-30,2.94,2.85
2020-10-01,2.83,2.57
2020-10-02,2.42,2.57
2020-10-05,2.64,2.62
2020-10-06,2.66,2.69
2020-10-07,2.72,2.835
2020-10-08,2.93,3.04
2020-10-09,3.09,2.96
2020-10-12,2.93,2.935
2020-10-13,2.98,2.79
2020-10-14,2.84,2.865
2020-10-15,2.8,2.84
2020-10-16,2.8,2.65
2020-10-19,2.66,2.615
2020-10-20,2.66,2.68
2020-10-21,2.66,2.61
2020-10-22,2.59,2.81
2020-10-23,2.87,2.89
2020-10-26,2.82,2.665
2020-10-27,2.68,2.65
2020-10-28,2.51,2.49
2020-10-29,2.49,2.52
2020-10-30,2.49,2.56
2020-11-02,2.6,2.78
2020-11-03,2.87,2.8
2020-11-04,2.85,2.87
2020-11-05,2.88,2.9
2020-11-06,2.89,2.87
2020-11-09,3.25,3.475
2020-11-10,3.49,3.55
2020-11-11,3.64,3.46
2020-11-12,3.4,3.28
2020-11-13,3.27,3.56
2020-11-16,3.71,4.025
2020-11-17,3.92,4.08
2020-11-18,4.17,4.16
2020-11-19,4.14,4.24
2020-11-20,4.16,4.09
2020-11-23,4.27,4.5
2020-11-24,4.71,4.84
2020-11-25,4.82,4.835
2020-11-27,4.84,4.65
2020-11-30,4.59,4.31
2020-12-01,4.47,4.505
2020-12-02,4.5,4.68
2020-12-03,4.7,4.84
2020-12-04,4.97,5.17
2020-12-07,5.1,5.13
2020-12-08,5.02,5.345
2020-12-09,5.4,5.18
2020-12-10,5.28,5.61
2020-12-11,5.52,5.56
2020-12-14,5.7,5.47
2020-12-15,5.47,5.72
2020-12-16,5.74,5.58
2020-12-17,5.64,5.745
2020-12-18,5.74,5.43
2020-12-21,5.18,5.39
2020-12-22,5.4,5.27
2020-12-23,5.27,5.42
2020-12-24,5.49,5.3
2020-12-28,5.36,5.25
2020-12-29,5.34,5.21
2020-12-30,5.22,5.36
2020-12-31,5.33,5.26
2021-01-04,5.35,5.42
2021-01-05,5.5,6.08
2021-01-06,6.2049,6.28
2021-01-07,6.33,6.3
2021-01-08,6.43,6.2
2021-01-11,6.01,6.11
2021-01-12,6.19,6.595
2021-01-13,6.58,6.35
2021-01-14,6.44,6.87
2021-01-15,6.7,6.59
2021-01-19,6.78,6.575
2021-01-20,6.68,6.62
2021-01-21,6.55,5.96
2021-01-22,5.74,6.24
2021-01-25,6.08,6.23
2021-01-26,6.33,5.91
2021-01-27,5.75,6.06
2021-01-28,6.19,6.23
2021-01-29,6.15,6.15
2021-02-01,6.2,6.36
2021-02-02,6.54,6.44
2021-02-03,6.49,6.69
2021-02-04,6.48,6.07
2021-02-05,6.19,6.24
2021-02-08,6.31,6.41
2021-02-09,6.31,6.21
2021-02-10,6.27,6.29
2021-02-11,6.2,6.08
2021-02-12,6.03,6.25
2021-02-16,6.38,6.35
2021-02-17,6.34,6.3
2021-02-18,6.24,6.16
2021-02-19,6.13,6.28
2021-02-22,6.34,6.92
2021-02-23,6.98,6.84
2021-02-24,6.89,7.465
2021-02-25,7.49,7.5
2021-02-26,7.43,7.4
2021-03-01,7.64,7.91
2021-03-02,7.86,7.59
2021-03-03,7.66,7.6
2021-03-04,7.7,8.04
2021-03-05,8.35,9.31
2021-03-08,9.36,9.65
2021-03-09,9.67,9.095
2021-03-10,9.02,9.55
2021-03-11,9.55,9.42
2021-03-12,9.51,9.0
2021-03-15,9.0,8.97
2021-03-16,8.81,8.47
2021-03-17,8.39,8.64
2021-03-18,8.61,7.78
2021-03-19,7.77,7.95
2021-03-22,7.9,7.58
2021-03-23,7.5,7.02
2021-03-24,7.25,6.98
2021-03-25,6.72,7.4
2021-03-26,7.52,7.47
2021-03-29,7.3,7.115
2021-03-30,7.04,7.16
2021-03-31,7.16,7.13
2021-04-01,7.16,7.35
2021-04-05,7.27,6.95
2021-04-06,7.05,6.97
2021-04-07,7.03,7.12
2021-04-08,6.97,7.05
2021-04-09,6.97,6.85
2021-04-12,6.98,6.82
2021-04-13,6.82,6.76
2021-04-14,6.82,7.145
2021-04-15,7.14,6.9
2021-04-16,7.0,6.77
2021-04-19,6.77,6.72
2021-04-20,6.71,6.35
2021-04-21,6.22,6.43
2021-04-22,6.48,6.24
2021-04-23,6.3,6.315
2021-04-26,6.35,6.42
2021-04-27,6.42,6.37
2021-04-28,6.41,6.81
2021-04-29,7.0,7.035
2021-04-30,6.93,6.76
2021-05-03,7.04,7.39
2021-05-04,7.44,7.56
2021-05-05,7.68,8.08
2021-05-06,8.14,8.01
2021-05-07,7.8,8.56
2021-05-10,8.74,8.32
2021-05-11,7.93,8.24
2021-05-12,8.35,8.26
2021-05-13,8.05,8.05
2021-05-14,8.21,8.52
2021-05-17,8.42,8.98
2021-05-18,8.98,8.62
2021-05-19,8.28,8.28
2021-05-20,8.27,8.26
