date,open,close
2020-05-11,42.51,42.8
2020-05-12,44.32,46.17
2020-05-13,46.69,45.17
2020-05-14,45.4,45.11
2020-05-15,45.25,48.42
2020-05-18,47.0,43.61
2020-05-19,45.08,44.8
2020-05-20,44.75,45.11
2020-05-21,44.98,45.3
2020-05-22,45.14,45.81
2020-05-26,44.58,41.7
2020-05-27,41.04,41.07
2020-05-28,40.85,42.61
2020-05-29,43.08,42.19
2020-06-01,42.1,45.85
2020-06-02,45.73,49.01
2020-06-03,48.28,47.83
2020-06-04,47.4,47.88
2020-06-05,45.12,45.9
2020-06-08,45.18,44.78
2020-06-09,45.43,47.64
2020-06-10,48.2,47.11
2020-06-11,45.93,45.98
2020-06-12,47.08,47.1
2020-06-15,48.27,49.94
2020-06-16,48.56,49.91
2020-06-17,50.25,49.17
2020-06-18,49.72,51.08
2020-06-19,51.09,50.89
2020-06-22,51.99,53.03
2020-06-23,54.44,54.88
2020-06-24,56.03,55.55
2020-06-25,56.39,58.06
2020-06-26,58.5,58.43
2020-06-29,58.05,57.21
2020-06-30,56.18,57.77
2020-07-01,57.54,60.25
2020-07-02,60.78,59.16
2020-07-06,59.25,60.48
2020-07-07,60.98,60.82
2020-07-08,61.0,62.52
2020-07-09,64.0,64.49
2020-07-10,64.98,68.47
2020-07-13,69.25,61.58
2020-07-14,62.95,62.95
2020-07-15,61.22,63.13
2020-07-16,61.94,61.29
2020-07-17,61.52,58.53
2020-07-20,59.96,64.71
2020-07-21,64.85,62.88
2020-07-22,62.9,64.14
2020-07-23,64.31,62.31
2020-07-24,61.56,61.82
2020-07-27,62.57,63.68
2020-07-28,64.3,64.11
2020-07-29,64.72,66.65
2020-07-30,66.17,65.28
2020-07-31,66.69,68.22
2020-08-03,69.6,72.68
2020-08-04,70.89,70.01
2020-08-05,69.74,71.21
2020-08-06,71.73,69.72
2020-08-07,69.99,68.3
2020-08-10,68.48,67.12
2020-08-11,65.76,64.96
2020-08-12,65.21,64.36
2020-08-13,62.98,65.71
2020-08-14,66.77,64.34
2020-08-17,64.82,65.26
2020-08-18,65.85,69.82
2020-08-19,69.32,67.59
2020-08-20,67.59,68.72
2020-08-21,68.71,69.35
2020-08-24,69.95,66.87
2020-08-25,66.47,66.45
2020-08-26,67.0,67.3
2020-08-27,72.4,70.3
2020-08-28,72.38,75.96
2020-08-31,75.99,76.67
2020-09-01,78.15,83.67
2020-09-02,91.79,91.06
2020-09-03,87.8,82.28
2020-09-04,81.27,80.63
2020-09-08,79.38,85.6
2020-09-09,89.94,91.17
2020-09-10,93.55,87.75
2020-09-11,98.04,84.04
2020-09-14,81.75,82.01
2020-09-15,83.5,85.45
2020-09-16,83.75,82.59
2020-09-17,79.68,85.2
2020-09-18,85.22,89.7
2020-09-21,89.54,94.8
2020-09-22,90.33,94.39
2020-09-23,95.81,95.23
2020-09-24,93.9,88.56
2020-09-25,90.73,97.73
2020-09-28,97.3,96.91
2020-09-29,96.84,100.47
2020-09-30,100.0,99.24
2020-10-01,99.93,105.2
2020-10-02,105.0,107.51
2020-10-05,107.67,110.74
2020-10-06,110.78,111.31
2020-10-07,113.49,116.96
2020-10-08,119.18,115.0
2020-10-09,115.71,123.02
2020-10-12,124.83,127.3
2020-10-13,126.72,130.97
2020-10-14,132.11,131.44
2020-10-15,127.82,136.43
2020-10-16,137.47,131.33
2020-10-19,130.91,133.01
2020-10-20,133.31,131.93
2020-10-21,132.79,124.3
2020-10-22,119.77,120.8
2020-10-23,121.06,122.53
2020-10-26,123.02,118.1
2020-10-27,120.36,121.15
2020-10-28,122.24,122.12
2020-10-29,124.2,115.91
2020-10-30,113.83,110.21
2020-11-02,112.48,113.44
2020-11-03,113.56,111.7
2020-11-04,113.74,118.6
2020-11-05,122.93,126.63
2020-11-06,123.11,125.46
2020-11-09,106.7,100.01
2020-11-10,103.1,105.21
2020-11-11,102.45,106.21
2020-11-12,107.03,108.72
2020-11-13,109.03,100.79
2020-11-16,97.3,101.9
2020-11-17,102.33,102.49
2020-11-18,101.51,104.49
2020-11-19,104.0,105.26
2020-11-20,106.0,110.9
2020-11-23,110.41,112.05
2020-11-24,109.12,105.42
2020-11-25,106.29,106.94
2020-11-27,107.33,108.98
2020-11-30,110.02,116.35
2020-12-01,113.73,112.03
2020-12-02,110.79,113.18
2020-12-03,112.92,116.2
2020-12-04,115.25,114.45
2020-12-07,114.12,116.63
2020-12-08,116.0,118.25
2020-12-09,117.52,110.79
2020-12-10,109.54,117.99
2020-12-11,117.97,117.1
2020-12-14,118.09,121.91
2020-12-15,122.01,127.78
2020-12-16,128.45,134.0
2020-12-17,133.91,136.8
2020-12-18,137.88,139.84
2020-12-21,141.8,144.39
2020-12-22,159.2,161.21
2020-12-23,160.51,162.76
2020-12-24,161.9,162.72
2020-12-28,164.0,152.18
2020-12-29,150.0,150.1
2020-12-30,150.7,154.96
2020-12-31,155.01,151.72
2021-01-04,152.26,145.96
2021-01-05,145.96,148.53
2021-01-06,143.94,143.76
2021-01-07,145.65,154.0
2021-01-08,155.82,158.88
2021-01-11,156.77,152.34
2021-01-12,152.76,156.04
2021-01-13,156.5,167.42
2021-01-14,166.1,165.25
2021-01-15,166.18,157.81
2021-01-19,152.55,150.14
2021-01-20,153.43,155.79
2021-01-21,155.79,158.13
2021-01-22,157.67,159.75
2021-01-25,160.82,157.14
2021-01-26,156.5,147.79
2021-01-27,146.45,144.96
2021-01-28,145.13,145.83
2021-01-29,144.97,146.13
2021-02-01,147.51,146.79
2021-02-02,148.64,147.73
2021-02-03,149.51,147.17
2021-02-04,148.4,157.53
2021-02-05,149.0,148.3
2021-02-08,148.84,144.99
2021-02-09,147.02,147.76
2021-02-10,148.75,145.04
2021-02-11,146.51,146.48
2021-02-12,145.95,154.67
2021-02-16,155.5,145.88
2021-02-17,145.48,139.23
2021-02-18,136.13,138.45
2021-02-19,139.66,139.71
2021-02-22,137.55,125.75
2021-02-23,122.23,126.89
2021-02-24,122.95,122.72
