date,open,close
2020-05-11,10.22,10.31
2020-05-12,10.11,10.17
2020-05-13,10.18,9.98
2020-05-14,9.88,10.07
2020-05-15,9.97,9.93
2020-05-18,9.85,9.86
2020-05-19,9.87,9.73
2020-05-20,10.38,10.35
2020-05-21,10.18,10.11
2020-05-22,10.2,10.28
2020-05-26,10.33,10.19
2020-05-27,10.33,10.15
2020-05-28,10.3,10.28
2020-05-29,10.61,10.69
2020-06-01,10.55,10.49
2020-06-02,10.45,10.49
2020-06-03,10.63,10.45
2020-06-04,10.47,10.59
2020-06-05,10.67,10.61
2020-06-08,10.53,10.46
2020-06-09,10.76,10.93
2020-06-10,10.86,10.89
2020-06-11,10.58,10.5
2020-06-12,10.44,10.48
2020-06-15,10.48,10.77
2020-06-16,10.55,10.61
2020-06-17,10.52,10.69
2020-06-18,10.59,10.66
2020-06-19,10.68,10.64
2020-06-22,10.73,10.65
2020-06-23,10.91,10.87
2020-06-24,10.75,10.62
2020-06-25,10.61,10.64
2020-06-26,10.59,10.44
2020-06-29,10.51,10.61
2020-06-30,10.48,10.6
2020-07-01,10.52,10.46
2020-07-02,10.73,10.58
2020-07-06,10.56,10.46
2020-07-07,10.34,10.29
2020-07-08,10.36,10.45
2020-07-09,10.42,10.38
2020-07-10,10.31,10.4
2020-07-13,10.44,10.28
2020-07-14,10.5,10.6
2020-07-15,10.79,10.74
2020-07-16,10.96,10.96
2020-07-17,10.97,10.99
2020-07-20,10.98,11.0
2020-07-21,10.94,10.91
2020-07-22,10.97,10.95
2020-07-23,11.02,10.89
2020-07-24,10.81,10.9
2020-07-27,10.85,10.73
2020-07-28,10.77,10.9
2020-07-29,11.59,11.72
2020-07-30,11.91,11.98
2020-07-31,12.05,12.16
2020-08-03,12.13,12.02
2020-08-04,12.24,12.28
2020-08-05,12.3,12.26
2020-08-06,12.22,12.24
2020-08-07,12.2,12.16
2020-08-10,12.43,12.46
2020-08-11,12.38,12.25
2020-08-12,12.14,12.18
2020-08-13,12.08,12.14
2020-08-14,12.12,12.16
2020-08-17,12.23,12.22
2020-08-18,12.27,12.19
2020-08-19,12.11,11.92
2020-08-20,11.89,11.93
2020-08-21,11.98,12.01
2020-08-24,12.1,12.02
2020-08-25,11.97,11.98
2020-08-26,11.99,11.97
2020-08-27,12.0,11.94
2020-08-28,11.89,11.88
2020-08-31,11.62,11.63
2020-09-01,11.94,11.82
2020-09-02,11.85,11.93
2020-09-03,12.0,11.92
2020-09-04,11.64,11.76
2020-09-08,11.67,11.73
2020-09-09,11.98,12.16
2020-09-10,12.0,11.96
2020-09-11,12.04,11.98
2020-09-14,11.95,11.94
2020-09-15,12.11,12.1
2020-09-16,12.55,12.53
2020-09-17,12.97,13.31
2020-09-18,14.55,14.48
2020-09-21,14.03,13.96
2020-09-22,14.01,14.0
2020-09-23,13.82,13.71
2020-09-24,13.61,13.55
2020-09-25,13.78,13.92
2020-09-28,13.92,13.8
2020-09-29,13.73,13.73
2020-09-30,13.95,13.91
2020-10-01,13.87,13.95
2020-10-02,13.81,13.86
2020-10-05,13.98,14.09
2020-10-06,13.95,13.83
2020-10-07,13.81,13.73
2020-10-08,14.05,14.08
2020-10-09,14.01,14.01
2020-10-12,14.12,14.15
2020-10-13,14.01,14.01
2020-10-14,13.92,13.96
2020-10-15,13.7,13.66
2020-10-16,13.75,13.76
2020-10-19,13.75,13.59
2020-10-20,13.67,13.7
2020-10-21,13.6,13.52
2020-10-22,13.5,13.56
2020-10-23,13.54,13.46
2020-10-26,13.33,13.38
2020-10-27,13.61,13.6
2020-10-28,13.14,12.98
2020-10-29,13.1,13.25
2020-10-30,13.07,12.96
2020-11-02,12.98,13.18
2020-11-03,13.15,13.29
2020-11-04,13.47,13.55
2020-11-05,13.53,13.51
2020-11-06,13.29,13.34
2020-11-09,13.43,12.88
2020-11-10,12.82,12.59
