date,open,close
2020-05-12,7.6,7.601
2020-05-13,8.0,6.699
2020-05-14,7.18,6.6
2020-05-15,6.3,5.99
2020-05-18,5.99,6.2
2020-05-19,6.3,6.15
2020-05-20,6.14,6.181
2020-05-21,6.1,6.7
2020-05-22,6.324,6.85
2020-05-26,7.05,6.68
2020-05-27,6.8,6.58
2020-05-28,6.7,7.3
2020-05-29,7.313,7.5
2020-06-01,7.207,7.421
2020-06-02,7.4,8.0
2020-06-03,8.381,8.0
2020-06-04,7.94,8.394
2020-06-05,8.82,8.3
2020-06-08,8.457,8.483
2020-06-09,9.4,9.199
2020-06-10,9.5,8.964
2020-06-11,8.323,8.6
2020-06-12,8.7,9.5
2020-06-15,9.5,9.401
2020-06-16,9.4,9.3
2020-06-17,9.205,8.827
2020-06-18,9.2,8.85
2020-06-19,9.0,8.439
2020-06-22,8.444,7.914
2020-06-23,7.91,8.14
2020-06-24,8.166,8.17
2020-06-25,8.15,7.964
2020-06-26,8.015,7.32
2020-06-29,7.9,7.15
2020-06-30,7.175,6.815
2020-07-01,7.035,7.1
2020-07-02,7.1,6.926
2020-07-06,7.1,8.25
2020-07-07,8.46,8.58
2020-07-08,8.38,8.449
2020-07-09,8.397,8.33
2020-07-10,8.154,8.231
2020-07-13,8.132,7.6
2020-07-14,7.67,7.681
2020-07-15,7.684,7.801
2020-07-16,8.198,8.5
2020-07-17,8.63,8.73
2020-07-20,9.063,9.637
2020-07-21,10.0,9.546
2020-07-22,9.19,8.441
2020-07-23,8.34,7.884
2020-07-24,7.983,8.3
2020-07-27,8.31,8.2
2020-07-28,8.58,8.0
2020-07-29,9.2,8.418
2020-07-30,7.71,7.597
2020-07-31,7.352,7.026
2020-08-03,7.07,6.879
2020-08-04,6.85,7.449
2020-08-05,7.48,7.746
2020-08-06,7.71,7.25
2020-08-07,7.299,7.115
2020-08-10,7.1,7.159
2020-08-11,7.24,7.078
2020-08-12,7.006,6.8
2020-08-13,6.1,6.385
2020-08-14,6.5,6.098
2020-08-17,6.05,6.0
2020-08-18,6.02,6.187
2020-08-19,6.29,6.356
2020-08-20,6.3,6.239
2020-08-21,6.332,5.856
2020-08-24,5.694,5.649
2020-08-25,5.5,5.877
2020-08-26,5.659,5.726
2020-08-27,5.75,5.559
2020-08-28,5.51,5.699
2020-08-31,5.466,5.3
2020-09-01,5.3,5.032
2020-09-02,5.071,4.753
2020-09-03,4.753,4.84
2020-09-04,4.85,4.599
2020-09-08,4.6,4.464
2020-09-09,4.4,4.779
2020-09-10,4.6,5.099
2020-09-11,5.15,5.198
2020-09-14,5.3,5.727
2020-09-15,5.4,5.56
2020-09-16,5.6,5.632
2020-09-17,5.53,5.758
2020-09-18,5.9,5.529
2020-09-21,5.611,5.45
2020-09-22,5.442,5.203
2020-09-23,5.2,4.752
2020-09-24,4.7,4.609
2020-09-25,4.8,4.8
2020-09-28,4.9,5.366
2020-09-29,5.473,5.483
2020-09-30,5.462,5.14
