date,open,close
2022-03-02,9.75,9.43
2022-03-03,10.0,8.27
2022-03-04,8.44,7.45
2022-03-07,7.5,6.87
2022-03-08,6.94,6.82
2022-03-09,7.76,7.62
2022-03-10,7.8,7.39
2022-03-11,7.56,6.94
2022-03-14,7.0,6.35
2022-03-15,6.46,5.92
2022-03-16,6.0,6.28
2022-03-17,6.24,6.63
2022-03-18,6.74,6.83
2022-03-21,7.07,6.37
2022-03-22,6.52,6.75
2022-03-23,6.68,7.14
2022-03-24,7.23,7.63
2022-03-25,7.77,7.31
2022-03-28,7.29,6.93
2022-03-29,7.06,6.79
2022-03-30,6.8,6.67
2022-03-31,6.84,6.3
2022-04-01,6.56,6.22
2022-04-04,6.3,6.52
2022-04-05,6.43,5.96
2022-04-06,5.9,5.83
2022-04-07,6.0,6.22
2022-04-08,6.16,6.15
2022-04-11,6.05,5.85
2022-04-12,6.02,6.15
2022-04-13,6.17,6.42
2022-04-14,6.42,6.34
2022-04-18,6.25,6.17
2022-04-19,6.11,5.83
2022-04-20,5.83,5.9
2022-04-21,5.97,5.78
2022-04-22,5.94,5.63
2022-04-25,5.58,5.9
2022-04-26,5.81,6.0
2022-04-27,6.0,6.47
2022-04-28,6.46,6.74
2022-04-29,6.65,6.95
2022-05-02,6.91,7.04
2022-05-03,7.04,7.15
2022-05-04,7.09,6.78
2022-05-05,6.8,6.99
2022-05-06,7.02,7.42
2022-05-09,7.37,6.42
2022-05-10,6.44,5.68
2022-05-11,5.82,6.07
2022-05-12,6.08,6.85
2022-05-13,6.86,7.76
2022-05-16,8.07,7.46
2022-05-17,7.24,7.68
2022-05-18,7.56,7.3
2022-05-19,7.18,7.98
2022-05-20,8.24,8.65
2022-05-23,8.79,8.87
2022-05-24,8.65,8.16
2022-05-25,8.03,8.51
2022-05-26,8.63,8.34
2022-05-27,8.49,8.81
2022-05-31,8.9,8.98
2022-06-01,8.97,9.16
2022-06-02,8.05,8.23
2022-06-03,8.03,8.22
2022-06-06,8.3,7.25
2022-06-07,7.1,6.73
2022-06-08,6.84,6.57
2022-06-09,6.6,5.86
2022-06-10,5.71,5.19
2022-06-13,5.14,4.62
2022-06-14,4.7,4.32
2022-06-15,4.36,4.5
2022-06-16,4.35,4.7
2022-06-17,4.63,4.96
2022-06-21,5.17,4.72
2022-06-22,4.59,4.33
2022-06-23,4.45,4.34
2022-06-24,4.34,3.99
2022-06-27,4.25,3.71
2022-06-28,3.82,3.6
2022-06-29,3.74,3.38
2022-06-30,3.48,3.67
2022-07-01,3.69,3.74
2022-07-05,3.73,4.27
2022-07-06,4.15,4.62
2022-07-07,4.68,5.18
2022-07-08,5.04,5.3
2022-07-11,5.3,4.665
2022-07-12,4.81,4.54
2022-07-13,4.54,4.47
2022-07-14,4.4,4.3
2022-07-15,4.39,4.4
2022-07-18,4.6,4.46
2022-07-19,4.47,4.52
2022-07-20,4.51,4.53
2022-07-21,4.55,4.24
2022-07-22,4.19,4.03
2022-07-25,4.1,4.18
2022-07-26,4.12,3.9
2022-07-27,4.0,4.19
2022-07-28,4.07,4.41
2022-07-29,4.41,4.43
2022-08-01,4.45,4.11
2022-08-02,4.01,4.06
2022-08-03,4.11,4.31
2022-08-04,4.33,4.27
2022-08-05,4.37,4.45
2022-08-08,4.55,4.55
2022-08-09,4.58,4.35
2022-08-10,4.49,4.47
2022-08-11,4.5,4.34
2022-08-12,4.33,4.84
2022-08-15,4.75,4.97
2022-08-16,5.02,5.39
2022-08-17,5.26,5.23
2022-08-18,5.16,5.67
2022-08-19,5.45,5.02
2022-08-22,4.81,4.58
2022-08-23,4.58,4.53
2022-08-24,4.5,4.44
2022-08-25,4.47,4.25
2022-08-26,4.32,3.99
2022-08-29,4.0,4.04
2022-08-30,4.05,3.95
2022-08-31,3.99,3.98
2022-09-01,3.96,3.51
2022-09-02,3.66,3.64
2022-09-06,3.53,2.29
2022-09-07,2.4,2.36
2022-09-08,2.44,2.4
2022-09-09,2.47,2.42
2022-09-12,2.45,2.45
2022-09-13,2.4,2.41
2022-09-14,2.41,2.45
2022-09-15,2.47,2.28
2022-09-16,2.25,2.29
2022-09-19,2.33,2.09
2022-09-20,2.06,2.0
2022-09-21,2.0,2.0
2022-09-22,2.03,1.92
2022-09-23,1.9,1.83
2022-09-26,1.85,1.77
2022-09-27,1.8,1.82
2022-09-28,1.81,1.87
2022-09-29,1.81,1.73
2022-09-30,1.73,1.88
2022-10-03,1.92,1.93
2022-10-04,1.97,2.08
2022-10-05,2.09,1.96
2022-10-06,1.94,1.96
2022-10-07,1.95,1.89
2022-10-10,1.94,1.94
2022-10-11,1.99,1.9
2022-10-12,1.88,1.89
2022-10-13,1.82,1.79
2022-10-14,1.79,1.61
2022-10-17,1.69,1.92
2022-10-18,1.95,1.89
2022-10-19,1.86,1.87
2022-10-20,1.88,1.98
2022-10-21,1.98,2.05
2022-10-24,2.05,2.09
2022-10-25,2.08,2.27
2022-10-26,2.19,2.1
2022-10-27,2.13,2.13
2022-10-28,2.12,2.09
2022-10-31,2.08,2.1
2022-11-01,2.08,1.88
2022-11-02,1.89,1.82
2022-11-03,1.84,1.8
2022-11-04,1.89,1.79
2022-11-07,1.82,1.69
2022-11-08,1.75,1.57
2022-11-09,1.54,1.11
2022-11-10,1.1,1.19
2022-11-11,1.2,1.18
2022-11-14,1.23,1.2
2022-11-15,1.27,1.25
2022-11-16,1.25,1.14
2022-11-17,1.11,1.22
2022-11-18,1.23,1.24
2022-11-21,1.32,1.39
2022-11-22,1.36,1.32
2022-11-23,1.38,1.44
2022-11-25,1.46,1.4
2022-11-28,1.42,1.28
2022-11-29,1.26,1.31
2022-11-30,1.34,1.3
2022-12-01,1.35,1.16
2022-12-02,1.17,1.18
2022-12-05,1.16,1.11
2022-12-06,1.12,1.05
2022-12-07,1.05,1.0
2022-12-08,1.07,1.02
2022-12-09,1.02,0.9908
2022-12-12,1.0,0.9638
2022-12-13,0.99,0.9693
2022-12-14,0.9849,0.9893
2022-12-15,0.915,0.995
2022-12-16,0.97,0.8948
2022-12-19,0.9101,0.8001
2022-12-20,0.8085,0.786
2022-12-21,0.77,0.8102
2022-12-22,0.8,0.7771
2022-12-23,0.78,0.8266
2022-12-27,0.84,0.6802
2022-12-28,0.7,0.6801
2022-12-29,0.69,0.7183
2022-12-30,0.7183,0.7292
2023-01-03,0.75,0.7276
2023-01-04,0.7494,0.8139
2023-01-05,0.8239,0.7631
2023-01-06,0.7791,0.7497
2023-01-09,0.7604,0.76
2023-01-10,0.77,0.7754
2023-01-11,0.8,0.7994
2023-01-12,0.8148,0.848
2023-01-13,0.8649,0.9201
2023-01-17,0.96,1.0
2023-01-18,1.01,0.9458
2023-01-19,0.948,0.8711
2023-01-20,0.9162,0.8929
2023-01-23,0.8952,0.8991
2023-01-24,0.9036,0.8704
2023-01-25,0.86,0.8499
2023-01-26,0.888,0.8087
2023-01-27,0.806,0.8038
2023-01-30,0.8242,0.7719
2023-01-31,0.7876,0.7806
2023-02-01,0.79,0.8
2023-02-02,0.85,0.8619
2023-02-03,0.87,1.05
2023-02-06,1.21,1.16
2023-02-07,1.2,1.12
2023-02-08,1.12,1.39
2023-02-09,1.37,1.06
2023-02-10,1.08,1.19
2023-02-13,1.2,1.03
2023-02-14,1.05,0.9767
2023-02-15,0.9747,1.12
2023-02-16,1.11,1.12
2023-02-17,1.11,1.07
2023-02-21,1.06,1.01
2023-02-22,1.02,1.0
2023-02-23,1.01,1.01
2023-02-24,0.9906,0.8369
2023-02-27,0.8369,0.7655
2023-02-28,0.78,0.7497
2023-03-01,0.7554,0.76
2023-03-02,0.76,0.7496
2023-03-03,0.7597,0.7989
2023-03-06,0.82,0.7958
2023-03-07,0.79,0.756
2023-03-08,0.77,0.7268
2023-03-09,0.725,0.6891
2023-03-10,0.69,0.6093
2023-03-13,0.6008,0.5952
2023-03-14,0.588,0.5977
2023-03-15,0.5953,0.5342
2023-03-16,0.5451,0.5047
2023-03-17,0.5043,0.4993
2023-03-20,0.5,0.5139
2023-03-21,0.53,0.5844
2023-03-22,0.6132,0.5732
2023-03-23,0.5741,0.5956
2023-03-24,0.5874,0.56
2023-03-27,0.58,0.5506
2023-03-28,0.6123,0.55
2023-03-29,0.549,0.55
2023-03-30,0.56,0.6
2023-03-31,0.6049,0.7234
2023-04-03,0.71,0.6713
2023-04-04,0.68,0.6679
2023-04-05,0.69,0.5873
2023-04-06,0.5999,0.6041
2023-04-10,0.6111,0.5762
2023-04-11,0.58,0.5502
2023-04-12,0.57,0.5238
2023-04-13,0.5298,0.515
2023-04-14,0.514,0.4998
2023-04-17,0.5,0.491
2023-04-18,0.52,0.557
2023-04-19,0.5499,0.5488
2023-04-20,0.5529,0.5119
2023-04-21,0.5119,0.4949
2023-04-24,0.5,0.4772
2023-04-25,0.48,0.4687
2023-04-26,0.4766,0.4517
2023-04-27,0.45,0.4481
2023-04-28,0.4501,0.47
2023-05-01,0.4977,0.42
2023-05-02,0.418,0.4034
2023-05-03,0.4,0.3751
2023-05-04,0.377,0.3892
2023-05-05,0.3829,0.4092
2023-05-08,0.4297,0.4517
2023-05-09,0.4524,0.4378
2023-05-10,0.45,0.4874
2023-05-11,0.52,0.5
2023-05-12,0.49,0.4612
2023-05-15,0.465,0.5149
2023-05-16,0.5149,0.5135
2023-05-17,0.5212,0.5325
2023-05-18,0.54,0.5792
2023-05-19,0.6,0.5068
2023-05-22,0.5208,0.7342
2023-05-23,0.7799,0.738
2023-05-24,0.7386,0.7701
2023-05-25,0.8746,0.797
2023-05-26,0.81,1.07
2023-05-30,1.12,1.03
2023-05-31,0.9828,0.9388
2023-06-01,0.9061,0.9542
2023-06-02,1.01,0.878
2023-06-05,0.8758,0.9123
2023-06-06,0.9144,1.1
2023-06-07,1.16,1.035
2023-06-08,1.04,1.38
2023-06-09,1.61,1.33
2023-06-12,1.46,1.25
2023-06-13,1.27,1.31
2023-06-14,1.29,1.215
2023-06-15,1.18,1.23
2023-06-16,1.24,1.11
2023-06-20,1.11,1.085
2023-06-21,1.09,0.975
2023-06-22,0.9942,0.98
2023-06-23,0.961,0.913
2023-06-26,0.91,0.9952
2023-06-27,1.04,1.08
2023-06-28,1.11,1.24
2023-06-29,1.3,1.16
2023-06-30,1.21,1.175
2023-07-03,1.23,1.34
2023-07-05,1.34,1.59
2023-07-06,1.58,1.47
2023-07-07,1.51,1.37
2023-07-10,1.4,1.48
2023-07-11,1.52,1.53
2023-07-12,1.64,1.74
2023-07-13,1.77,2.0
2023-07-14,2.0,1.76
2023-07-17,1.8,2.1
2023-07-18,2.1,2.21
2023-07-19,2.34,2.06
2023-07-20,1.995,1.89
2023-07-21,1.98,1.64
2023-07-24,1.67,1.72
2023-07-25,1.74,2.11
2023-07-26,2.08,1.97
2023-07-27,2.05,1.84
2023-07-28,1.93,2.2
2023-07-31,2.29,2.49
2023-08-01,2.87,3.25
2023-08-02,3.06,2.99
2023-08-03,2.85,2.73
2023-08-04,2.79,2.74
2023-08-07,2.78,2.32
2023-08-08,2.0,1.87
2023-08-09,1.91,1.65
2023-08-10,1.73,1.64
2023-08-11,1.91,2.28
2023-08-14,2.32,2.67
2023-08-15,2.6,2.24
2023-08-16,2.29,2.09
2023-08-17,2.05,1.97
2023-08-18,1.87,2.06
2023-08-21,2.04,2.02
2023-08-22,2.14,1.97
2023-08-23,1.91,1.97
2023-08-24,2.07,1.81
2023-08-25,1.81,1.74
2023-08-28,1.76,1.89
2023-08-29,1.86,1.86
2023-08-30,1.84,1.76
2023-08-31,1.75,1.8
2023-09-01,1.8,1.84
2023-09-05,1.82,2.03
2023-09-06,2.03,2.08
2023-09-07,2.01,1.93
2023-09-08,1.94,1.98
2023-09-11,1.98,2.03
2023-09-12,2.0,1.95
2023-09-13,2.0,2.0
2023-09-14,2.04,1.93
2023-09-15,1.93,1.86
2023-09-18,1.85,1.78
2023-09-19,1.86,1.79
2023-09-20,1.81,1.74
2023-09-21,1.64,1.6
2023-09-22,1.6,1.57
2023-09-25,1.5,1.46
2023-09-26,1.4,1.38
2023-09-27,1.39,1.42
2023-09-28,1.4,1.31
2023-09-29,1.32,1.33
2023-10-02,1.31,1.29
2023-10-03,1.28,1.19
2023-10-04,1.17,1.26
2023-10-05,1.25,1.21
2023-10-06,1.21,1.4
2023-10-09,1.35,1.36
2023-10-10,1.34,1.53
2023-10-11,1.64,1.51
2023-10-12,1.53,1.48
2023-10-13,1.51,1.4
2023-10-16,1.41,1.41
2023-10-17,1.34,1.43
2023-10-18,1.41,1.35
2023-10-19,1.36,1.26
2023-10-20,1.26,1.2
2023-10-23,1.18,1.16
