date,open,close
2020-05-11,1.8,1.59
2020-05-12,1.61,1.6
2020-05-13,1.64,1.89
2020-05-14,2.1,2.28
2020-05-15,2.27,2.08
2020-05-18,2.18,2.19
2020-05-19,2.2,2.23
2020-05-20,2.45,2.53
2020-05-21,2.43,2.33
2020-05-22,2.37,2.24
2020-05-26,2.18,1.95
2020-05-27,2.13,2.12
2020-05-28,2.22,2.21
2020-05-29,2.2,2.14
2020-06-01,2.14,2.27
2020-06-02,2.64,2.51
2020-06-03,2.6,2.41
2020-06-04,2.54,2.63
2020-06-05,2.57,2.6
2020-06-08,2.58,2.57
2020-06-09,2.55,2.62
2020-06-10,2.68,3.1
2020-06-11,2.67,2.18
2020-06-12,2.45,2.29
2020-06-15,2.1,2.31
2020-06-16,2.46,2.35
2020-06-17,2.35,2.27
2020-06-18,2.28,2.19
2020-06-19,2.25,2.11
2020-06-22,2.23,2.51
2020-06-23,2.5679,2.6
2020-06-24,2.48,2.37
2020-06-25,2.22,2.33
2020-06-26,2.28,2.2
2020-06-29,2.163,2.14
2020-06-30,2.1,2.22
2020-07-01,2.21,2.34
2020-07-02,2.38,2.29
2020-07-06,2.35,2.38
2020-07-07,2.38,2.29
2020-07-08,2.36,2.54
2020-07-09,2.59,2.34
2020-07-10,2.3,2.33
2020-07-13,2.34,2.18
2020-07-14,2.15,2.25
2020-07-15,2.27,2.26
2020-07-16,2.2,2.22
2020-07-17,2.25,2.23
2020-07-20,2.2201,2.26
2020-07-21,2.35,2.3
2020-07-22,2.3,2.34
2020-07-23,2.38,2.29
2020-07-24,2.25,2.22
2020-07-27,2.62,2.64
2020-07-28,2.88,2.77
2020-07-29,2.87,2.75
2020-07-30,2.57,2.55
2020-07-31,2.6,2.64
2020-08-03,2.9,3.5
2020-08-04,3.22,3.4
2020-08-05,4.07,4.01
2020-08-06,4.37,4.25
2020-08-07,4.12,3.77
2020-08-10,4.255,4.13
2020-08-11,3.77,3.62
2020-08-12,3.75,3.54
2020-08-13,3.42,3.61
2020-08-14,3.67,3.78
2020-08-17,3.95,4.15
2020-08-18,4.0,4.04
2020-08-19,3.86,3.69
2020-08-20,3.73,3.99
2020-08-21,3.84,3.725
2020-08-24,3.78,3.63
2020-08-25,3.43,3.58
2020-08-26,3.4,3.41
2020-08-27,3.46,3.27
2020-08-28,3.25,3.59
2020-08-31,3.66,3.5
2020-09-01,3.52,3.75
