date,open,close
2020-05-11,14.52,14.56
2020-05-12,14.67,13.97
2020-05-13,13.91,13.54
2020-05-14,13.21,13.96
2020-05-15,13.89,14.07
2020-05-18,14.74,15.14
2020-05-19,15.0,15.51
2020-05-20,15.84,15.91
2020-05-21,15.91,16.07
2020-05-22,16.23,15.86
2020-05-26,16.5,16.33
2020-05-27,16.77,16.85
2020-05-28,16.95,16.43
2020-05-29,16.19,16.7
2020-06-01,16.6,17.67
2020-06-02,17.96,17.94
2020-06-03,18.24,18.6
2020-06-04,18.63,18.29
2020-06-05,18.78,18.69
2020-06-08,19.0,19.64
2020-06-09,19.14,19.33
2020-06-10,19.11,18.62
2020-06-11,16.89,17.16
2020-06-12,17.93,17.93
2020-06-15,17.55,18.99
2020-06-16,19.75,20.1
2020-06-17,20.16,19.29
2020-06-18,18.68,19.8
2020-06-19,19.97,19.89
2020-06-22,19.94,19.97
2020-06-23,20.27,19.74
2020-06-24,19.5,19.72
2020-06-25,19.53,19.88
2020-06-26,19.78,18.58
2020-06-29,18.83,19.52
2020-06-30,19.41,19.72
2020-07-01,19.72,19.84
2020-07-02,20.0,20.0
2020-07-06,20.61,21.34
2020-07-07,24.02,26.17
2020-07-08,26.77,28.27
2020-07-09,28.06,27.83
2020-07-10,27.28,28.89
2020-07-13,29.23,30.09
2020-07-14,29.28,33.78
2020-07-15,34.5,35.81
2020-07-16,35.68,36.65
2020-07-17,36.8,36.81
2020-07-20,36.73,38.4
2020-07-21,38.92,38.98
2020-07-22,39.43,40.35
2020-07-23,40.4,42.46
2020-07-24,42.0,40.99
2020-07-27,41.44,42.5
2020-07-28,41.83,40.46
2020-07-29,39.14,36.61
2020-07-30,37.51,36.67
2020-07-31,36.54,36.69
2020-08-03,37.18,39.78
2020-08-04,40.19,43.54
2020-08-05,42.94,46.4
2020-08-06,46.4,46.53
2020-08-07,46.27,46.0
2020-08-10,45.59,47.28
2020-08-11,47.76,42.37
2020-08-12,43.19,44.94
2020-08-13,45.21,46.73
2020-08-14,46.55,45.63
2020-08-17,46.19,47.73
2020-08-18,47.84,46.31
2020-08-19,46.48,48.14
2020-08-20,47.33,45.99
2020-08-21,46.27,48.23
2020-08-24,48.8,51.0
2020-08-25,51.23,50.79
2020-08-26,51.3,50.03
2020-08-27,50.51,52.1
2020-08-28,52.59,55.51
2020-08-31,55.3,56.55
2020-09-01,56.3,58.27
2020-09-02,58.85,57.08
2020-09-03,55.91,51.15
2020-09-04,51.94,49.23
2020-09-08,46.44,51.89
2020-09-09,52.81,55.24
2020-09-10,55.28,56.19
2020-09-11,56.41,55.88
2020-09-14,56.33,59.1
2020-09-15,59.0,61.01
2020-09-16,61.9,62.33
2020-09-17,59.88,59.52
2020-09-18,59.94,60.86
2020-09-21,58.75,60.2
2020-09-22,60.5,62.8
2020-09-23,63.15,61.72
2020-09-24,60.32,60.63
2020-09-25,60.8,66.46
2020-09-28,67.71,71.98
2020-09-29,72.6,72.8
2020-09-30,71.55,77.07
2020-10-01,79.34,79.97
2020-10-02,77.51,76.45
2020-10-05,78.15,78.62
2020-10-06,77.84,78.57
2020-10-07,80.18,78.05
2020-10-08,77.12,70.54
2020-10-09,71.48,71.43
2020-10-12,72.05,63.79
2020-10-13,63.21,65.35
2020-10-14,64.55,63.27
2020-10-15,61.94,64.21
2020-10-16,66.1,62.39
2020-10-19,63.3,62.38
2020-10-20,62.54,62.58
2020-10-21,60.87,56.82
2020-10-22,57.14,57.47
2020-10-23,58.13,56.03
2020-10-26,55.28,56.3
2020-10-27,55.68,54.66
2020-10-28,53.94,55.84
2020-10-29,56.0,54.26
2020-10-30,54.13,52.02
2020-11-02,52.89,54.18
2020-11-03,54.81,54.0
2020-11-04,51.09,54.0
2020-11-05,57.45,58.0
2020-11-06,60.37,57.73
2020-11-09,61.2,55.49
2020-11-10,55.73,53.59
2020-11-11,54.85,54.0
2020-11-12,57.8,53.38
2020-11-13,54.1,55.4
2020-11-16,55.13,55.53
2020-11-17,55.57,58.49
2020-11-18,58.44,56.73
2020-11-19,57.36,59.5
2020-11-20,60.69,61.44
2020-11-23,63.0,63.79
2020-11-24,64.51,66.34
2020-11-25,65.47,67.97
2020-11-27,68.68,66.75
2020-11-30,67.81,64.08
2020-12-01,64.72,62.49
2020-12-02,60.8,60.99
2020-12-03,61.63,58.24
2020-12-04,58.39,57.71
2020-12-07,57.85,58.63
2020-12-08,59.0,61.31
2020-12-09,61.73,57.12
2020-12-10,56.59,57.58
2020-12-11,57.49,58.28
2020-12-14,59.11,57.1
2020-12-15,57.89,63.17
2020-12-16,62.98,61.8
2020-12-17,62.55,62.31
2020-12-18,62.12,62.7
2020-12-21,61.71,66.18
2020-12-22,67.82,69.27
2020-12-23,70.0,69.87
