date,open,close
2022-10-27,22.0,21.0
2022-10-28,23.0,21.5
2022-10-31,25.5,21.0
2022-11-01,20.25,19.06
2022-11-02,19.13,16.1
2022-11-03,15.51,16.02
2022-11-04,16.78,15.98
2022-11-07,15.98,16.55
2022-11-08,16.32,18.1
2022-11-09,17.52,17.18
2022-11-10,17.29,17.43
2022-11-11,16.95,17.91
2022-11-14,17.52,17.52
2022-11-15,17.88,16.95
2022-11-16,16.99,17.65
2022-11-17,17.5,18.14
2022-11-18,18.36,19.16
2022-11-21,19.01,18.3
2022-11-22,18.21,18.33
2022-11-23,18.33,19.02
2022-11-25,18.73,19.05
2022-11-28,18.41,18.69
2022-11-29,18.59,18.22
2022-11-30,18.23,19.0
2022-12-01,19.08,18.9
2022-12-02,18.39,18.69
2022-12-05,18.4,17.98
2022-12-06,18.1,18.12
2022-12-07,17.87,18.12
2022-12-08,18.05,17.89
2022-12-09,17.89,17.51
2022-12-12,17.52,17.25
2022-12-13,17.8,17.53
2022-12-14,17.07,16.88
2022-12-15,16.5,16.78
2022-12-16,16.41,16.27
2022-12-19,16.17,16.36
2022-12-20,16.17,16.29
2022-12-21,16.37,16.03
2022-12-22,15.82,16.02
2022-12-23,15.81,16.26
2022-12-27,16.12,16.3
2022-12-28,16.19,16.32
2022-12-29,17.05,17.69
2022-12-30,17.6,17.2
2023-01-03,17.24,17.2
2023-01-04,17.18,17.0
2023-01-05,16.84,16.5
2023-01-06,16.58,16.87
2023-01-09,16.58,16.5
2023-01-10,16.5,17.0
2023-01-11,16.6,16.54
2023-01-12,16.5,16.71
2023-01-13,16.56,17.11
2023-01-17,16.95,16.95
2023-01-18,16.97,16.97
2023-01-19,16.75,16.74
2023-01-20,16.84,16.91
2023-01-23,16.81,17.14
2023-01-24,17.05,17.41
2023-01-25,17.4,17.48
2023-01-26,17.55,17.62
2023-01-27,17.63,18.06
2023-01-30,17.92,17.56
2023-01-31,17.64,18.32
2023-02-01,18.25,19.27
2023-02-02,19.35,20.09
2023-02-03,19.74,20.4
2023-02-06,20.21,20.04
2023-02-07,20.17,20.23
2023-02-08,20.4,21.97
2023-02-09,22.03,20.99
2023-02-10,20.82,20.96
2023-02-13,20.84,21.14
2023-02-14,20.98,21.64
2023-02-15,21.32,21.03
2023-02-16,20.83,20.85
2023-02-17,21.0,21.1
2023-02-21,20.89,20.45
2023-02-22,20.48,20.36
2023-02-23,20.45,20.61
2023-02-24,20.3,20.29
2023-02-27,20.4,20.42
2023-02-28,20.32,20.57
2023-03-01,20.45,20.22
2023-03-02,20.18,20.88
2023-03-03,20.91,21.07
2023-03-06,20.89,20.59
2023-03-07,20.51,20.68
2023-03-08,20.62,20.66
2023-03-09,20.65,20.81
2023-03-10,20.76,20.12
2023-03-13,19.91,19.75
2023-03-14,20.18,19.72
2023-03-15,19.28,19.59
2023-03-16,19.43,19.99
2023-03-17,19.99,19.54
2023-03-20,19.59,19.24
2023-03-21,19.48,19.13
2023-03-22,19.25,19.15
2023-03-23,19.16,18.92
2023-03-24,18.77,18.62
2023-03-27,18.84,18.68
2023-03-28,18.74,19.28
2023-03-29,19.44,19.38
2023-03-30,19.6,19.31
2023-03-31,19.38,19.64
2023-04-03,19.61,19.67
2023-04-04,19.52,18.72
2023-04-05,18.62,18.39
2023-04-06,18.35,18.32
2023-04-10,18.21,18.68
2023-04-11,18.74,19.03
2023-04-12,19.0,19.25
2023-04-13,19.3,18.84
2023-04-14,18.78,18.89
2023-04-17,19.0,18.65
2023-04-18,18.56,18.64
2023-04-19,18.55,18.5
2023-04-20,18.53,18.71
2023-04-21,18.8,18.64
2023-04-24,18.62,18.9
2023-04-25,18.74,18.12
2023-04-26,18.06,17.33
2023-04-27,17.39,17.62
2023-04-28,17.66,18.09
2023-05-01,18.13,18.49
2023-05-02,18.44,18.44
2023-05-03,19.01,19.54
2023-05-04,19.41,19.08
2023-05-05,19.16,19.45
2023-05-08,19.42,19.35
2023-05-09,19.21,19.13
2023-05-10,19.31,19.24
2023-05-11,19.25,19.43
2023-05-12,19.58,18.88
2023-05-15,18.88,19.2
2023-05-16,19.19,19.15
2023-05-17,19.27,19.57
2023-05-18,19.51,19.98
2023-05-19,20.02,19.94
2023-05-22,19.95,19.99
2023-05-23,19.87,20.45
2023-05-24,20.62,20.22
2023-05-25,20.37,20.64
2023-05-26,20.62,20.56
2023-05-30,20.56,20.9
2023-05-31,20.85,20.87
2023-06-01,20.82,21.33
2023-06-02,21.38,22.0
2023-06-05,21.91,21.77
2023-06-06,21.54,21.81
2023-06-07,22.02,22.67
2023-06-08,22.74,22.29
2023-06-09,22.11,21.88
2023-06-12,21.98,21.88
2023-06-13,22.01,21.87
2023-06-14,21.92,21.81
2023-06-15,21.67,22.34
2023-06-16,22.32,22.35
2023-06-20,22.13,21.94
2023-06-21,21.8,21.98
2023-06-22,21.94,22.0
2023-06-23,21.74,21.06
2023-06-26,20.91,21.47
2023-06-27,21.57,22.45
2023-06-28,22.26,22.43
2023-06-29,22.21,23.27
2023-06-30,23.5,22.67
2023-07-03,22.44,22.85
2023-07-05,22.61,22.19
2023-07-06,21.82,21.78
2023-07-07,21.72,21.63
2023-07-10,21.38,21.64
2023-07-11,21.62,21.96
2023-07-12,21.39,20.89
2023-07-13,20.95,20.84
2023-07-14,20.64,20.37
2023-07-17,20.37,20.27
2023-07-18,20.43,20.68
2023-07-19,20.76,21.44
2023-07-20,21.58,20.9
2023-07-21,20.89,21.1
2023-07-24,21.09,20.93
2023-07-25,20.85,21.28
2023-07-26,21.19,22.0
2023-07-27,22.08,21.48
2023-07-28,21.74,21.87
2023-07-31,21.93,22.05
2023-08-01,22.1,21.92
2023-08-02,21.76,19.65
2023-08-03,19.21,19.64
2023-08-04,19.53,20.19
2023-08-07,20.02,20.11
2023-08-08,19.84,19.85
2023-08-09,19.95,19.87
2023-08-10,19.89,19.75
2023-08-11,19.62,19.39
2023-08-14,19.27,19.39
2023-08-15,19.35,19.2
2023-08-16,19.29,19.22
2023-08-17,19.26,18.95
2023-08-18,18.73,19.22
2023-08-21,19.08,18.81
2023-08-22,18.83,18.63
2023-08-23,18.68,18.88
2023-08-24,18.84,19.15
2023-08-25,19.03,18.96
2023-08-28,19.03,18.46
2023-08-29,18.56,18.46
2023-08-30,18.54,18.81
2023-08-31,18.36,18.08
2023-09-01,18.21,18.27
2023-09-05,18.0,17.56
2023-09-06,17.54,17.52
2023-09-07,17.69,17.75
2023-09-08,17.67,17.59
2023-09-11,17.74,17.92
2023-09-12,17.72,17.82
2023-09-13,17.83,17.71
2023-09-14,17.93,18.1
2023-09-15,18.11,18.27
2023-09-18,18.33,18.6
2023-09-19,18.55,18.41
2023-09-20,19.0,18.4
2023-09-21,18.19,18.1
2023-09-22,18.15,18.29
2023-09-25,18.2,18.87
2023-09-26,18.72,19.23
2023-09-27,19.38,19.82
2023-09-28,19.79,20.03
2023-09-29,20.2,19.73
2023-10-02,19.53,19.5
2023-10-03,19.09,18.82
2023-10-04,18.86,19.46
2023-10-05,19.47,18.74
2023-10-06,18.67,18.93
2023-10-09,18.73,19.41
2023-10-10,19.62,19.72
