date,open,close
2020-05-11,7.99,7.72
2020-05-12,7.82,7.85
2020-05-13,8.15,7.86
2020-05-14,7.88,8.03
2020-05-15,8.46,8.55
2020-05-18,8.7,8.54
2020-05-19,8.63,8.81
2020-05-20,8.83,8.74
2020-05-21,8.65,8.49
2020-05-22,8.57,8.71
2020-05-26,8.73,8.34
2020-05-27,8.02,8.36
2020-05-28,8.59,8.31
2020-05-29,8.6,8.34
2020-06-01,8.35,8.73
2020-06-02,8.75,8.31
2020-06-03,8.1,8.26
2020-06-04,8.38,8.32
2020-06-05,8.02,8.16
2020-06-08,8.27,8.29
2020-06-09,8.45,8.2
2020-06-10,8.33,8.49
2020-06-11,8.47,8.09
2020-06-12,8.23,8.09
2020-06-15,7.92,8.4
2020-06-16,8.44,8.24
2020-06-17,8.29,8.31
2020-06-18,8.25,8.16
2020-06-19,8.28,8.5
2020-06-22,8.73,9.14
2020-06-23,9.27,9.39
2020-06-24,9.4,9.04
2020-06-25,9.05,9.24
2020-06-26,9.14,9.35
2020-06-29,9.39,9.25
2020-06-30,9.2,9.62
2020-07-01,9.61,9.57
2020-07-02,9.47,9.5
2020-07-06,9.65,9.52
2020-07-07,9.5,9.73
2020-07-08,9.95,9.79
2020-07-09,9.91,9.75
2020-07-10,9.8,9.72
2020-07-13,9.89,9.26
2020-07-14,9.19,9.7
2020-07-15,9.67,9.74
2020-07-16,9.7,9.6
2020-07-17,9.7,9.74
2020-07-20,9.85,9.95
2020-07-21,10.1,9.99
2020-07-22,10.07,10.13
2020-07-23,10.1,9.68
2020-07-24,9.77,9.95
2020-07-27,10.35,10.54
2020-07-28,10.37,10.38
2020-07-29,10.46,10.1
2020-07-30,9.86,9.68
2020-07-31,9.95,9.62
2020-08-03,9.62,9.48
2020-08-04,9.42,9.97
2020-08-05,10.24,9.82
2020-08-06,9.96,9.51
2020-08-07,9.25,9.27
2020-08-10,9.4,9.16
2020-08-11,8.72,8.53
2020-08-12,8.73,8.5
2020-08-13,8.66,8.88
2020-08-14,8.87,8.82
2020-08-17,9.16,9.28
2020-08-18,9.53,9.2
2020-08-19,9.07,8.75
2020-08-20,8.74,9.05
2020-08-21,8.86,8.8
2020-08-24,8.9,8.56
2020-08-25,8.56,8.67
2020-08-26,8.53,9.02
2020-08-27,9.17,8.83
2020-08-28,8.99,9.12
2020-08-31,9.12,9.14
2020-09-01,9.33,8.94
2020-09-02,8.8,9.01
2020-09-03,8.86,9.0
2020-09-04,8.93,8.91
2020-09-08,8.64,8.76
2020-09-09,8.84,9.18
2020-09-10,9.26,9.02
2020-09-11,9.1,8.99
2020-09-14,9.09,9.5
2020-09-15,9.64,9.52
2020-09-16,9.62,9.5
2020-09-17,9.31,9.46
2020-09-18,9.52,9.25
2020-09-21,9.0,8.64
