date,open,close
2020-05-11,8.13,8.06
2020-05-12,8.12,7.63
2020-05-13,7.6,7.31
2020-05-14,7.07,7.5
2020-05-15,7.41,7.67
2020-05-18,8.2,8.48
2020-05-19,8.37,8.29
2020-05-20,8.55,8.53
2020-05-21,8.49,8.5
2020-05-22,8.58,8.47
2020-05-26,8.77,8.61
2020-05-27,8.82,9.25
2020-05-28,9.41,8.83
2020-05-29,8.72,8.69
2020-06-01,8.66,8.7
2020-06-02,8.79,8.82
2020-06-03,9.06,9.17
2020-06-04,9.05,9.22
2020-06-05,9.66,10.15
2020-06-08,10.3,10.12
2020-06-09,9.94,9.76
2020-06-10,9.73,9.19
2020-06-11,8.62,8.33
2020-06-12,8.81,8.46
2020-06-15,8.06,8.73
2020-06-16,8.39,8.3
2020-06-17,8.34,7.84
2020-06-18,7.77,7.83
2020-06-19,7.94,7.67
2020-06-22,7.59,7.75
2020-06-23,7.91,7.79
2020-06-24,7.68,7.33
2020-06-25,7.31,7.53
2020-06-26,7.45,7.33
2020-06-29,7.51,7.73
2020-06-30,7.67,7.93
2020-07-01,7.94,7.82
2020-07-02,8.02,7.78
2020-07-06,8.0,7.92
2020-07-07,7.86,7.63
2020-07-08,7.63,7.63
2020-07-09,7.56,7.43
2020-07-10,7.37,7.52
2020-07-13,7.56,7.67
2020-07-14,7.68,7.77
2020-07-15,8.04,8.21
2020-07-16,8.14,8.14
2020-07-17,8.17,8.01
2020-07-20,7.94,7.79
2020-07-21,7.94,8.16
2020-07-22,8.14,8.42
2020-07-23,8.35,8.44
2020-07-24,8.48,8.53
2020-07-27,8.51,8.98
2020-07-28,8.93,8.72
2020-07-29,8.83,9.06
2020-07-30,8.98,9.04
2020-07-31,9.94,10.25
2020-08-03,10.32,10.22
2020-08-04,10.23,10.39
2020-08-05,10.55,10.54
2020-08-06,10.53,10.88
2020-08-07,10.85,11.18
2020-08-10,11.28,11.16
2020-08-11,11.39,10.86
2020-08-12,11.04,10.93
2020-08-13,10.83,10.73
2020-08-14,10.64,10.64
2020-08-17,10.72,10.86
2020-08-18,10.82,10.59
2020-08-19,10.61,10.76
2020-08-20,10.6,10.59
2020-08-21,10.47,10.31
2020-08-24,10.46,10.53
2020-08-25,10.57,10.57
2020-08-26,10.57,10.45
2020-08-27,10.5,10.78
2020-08-28,10.82,10.97
2020-08-31,10.89,10.81
2020-09-01,10.73,10.87
2020-09-02,10.89,11.13
2020-09-03,11.13,10.99
2020-09-04,11.21,10.9
2020-09-08,10.81,10.64
2020-09-09,10.74,10.72
2020-09-10,10.85,10.66
2020-09-11,10.7,10.56
2020-09-14,10.67,10.79
2020-09-15,10.89,10.81
2020-09-16,10.92,10.92
2020-09-17,10.8,10.88
2020-09-18,10.96,10.65
2020-09-21,10.23,10.25
2020-09-22,10.3,10.35
2020-09-23,10.34,9.95
2020-09-24,9.99,10.13
2020-09-25,10.06,10.42
2020-09-28,10.6,10.67
2020-09-29,10.77,10.7
2020-09-30,10.81,11.21
2020-10-01,11.31,11.3
2020-10-02,11.08,11.45
2020-10-05,11.56,11.73
2020-10-06,11.88,11.56
2020-10-07,11.73,11.74
2020-10-08,11.85,11.97
2020-10-09,12.09,12.09
2020-10-12,12.08,11.97
2020-10-13,11.78,12.04
2020-10-14,11.98,12.06
2020-10-15,11.89,12.33
2020-10-16,12.32,12.29
2020-10-19,12.32,12.06
2020-10-20,12.14,12.12
2020-10-21,12.08,12.09
2020-10-22,12.28,12.46
2020-10-23,12.6,12.48
2020-10-26,12.22,12.29
