date,open,close
2024-03-11,23.05,5.32
2024-03-12,5.0,4.0
2024-03-13,3.9825,5.7
2024-03-14,5.65,7.25
2024-03-15,7.5,5.51
2024-03-18,6.0,5.6
2024-03-19,5.75,5.0
2024-03-20,4.83,4.66
2024-03-21,5.24,5.0
2024-03-22,5.0,4.82
2024-03-25,5.02,4.37
2024-03-26,4.5,4.5
2024-03-27,4.36,4.455
2024-03-28,4.54,5.15
2024-04-01,5.5,4.9
2024-04-02,5.0,4.85
2024-04-03,5.5,5.15
2024-04-04,5.01,4.5
2024-04-05,4.5,4.5
2024-04-08,4.85,5.1
2024-04-09,5.0,4.8
2024-04-10,4.97,4.6
2024-04-11,4.5,4.44
2024-04-12,4.95,4.41
2024-04-15,4.446,4.43
2024-04-16,4.45,5.24
2024-04-17,5.38,5.3
2024-04-18,4.75,3.11
2024-04-19,2.95,3.14
2024-04-22,3.17,3.15
2024-04-23,3.15,3.17
2024-04-24,3.17,2.82
2024-04-25,2.9,3.04
2024-04-26,3.01,2.99
2024-04-29,3.07,2.66
2024-04-30,2.79,2.66
2024-05-01,2.65,2.71
2024-05-02,2.76,2.38
2024-05-03,2.44,2.44
2024-05-06,2.59,2.67
2024-05-07,2.75,2.66
2024-05-08,2.64,2.72
2024-05-09,2.72,2.88
2024-05-10,3.1,3.03
2024-05-13,3.21,3.34
2024-05-14,3.39,3.85
2024-05-15,4.1,3.48
2024-05-16,3.27,3.16
2024-05-17,3.29,3.24
2024-05-20,3.3,3.2
2024-05-21,3.3,3.1
2024-05-22,3.09,2.92
2024-05-23,2.95,2.37
2024-05-24,2.37,2.53
2024-05-28,2.77,2.6
2024-05-29,2.72,2.77
2024-05-30,3.02,3.04
2024-05-31,3.25,2.88
2024-06-03,2.9,2.8
2024-06-04,2.85,2.69
2024-06-05,2.68,2.94
2024-06-06,2.96,2.89
2024-06-07,2.78,2.8
2024-06-10,2.8,2.8
2024-06-11,2.81,2.7
2024-06-12,2.7,2.31
2024-06-13,2.31,2.26
2024-06-14,2.3,2.07
2024-06-17,2.05,2.01
2024-06-18,2.03,2.05
2024-06-20,2.03,1.86
2024-06-21,1.94,2.0
2024-06-24,2.04,1.9
2024-06-25,1.88,1.91
2024-06-26,1.87,1.82
2024-06-27,1.82,2.0
2024-06-28,2.02,1.95
2024-07-01,1.98,1.94
2024-07-02,1.88,1.82
2024-07-03,1.82,2.1
2024-07-05,2.1,2.43
2024-07-08,2.45,2.22
2024-07-09,2.21,2.07
2024-07-10,2.29,2.36
2024-07-11,2.36,2.38
2024-07-12,2.38,2.29
2024-07-15,2.32,2.3
2024-07-16,2.36,2.38
2024-07-17,2.32,2.34
2024-07-18,2.42,2.63
2024-07-19,4.27,7.55
2024-07-22,11.27,8.77
2024-07-23,8.12,9.4
2024-07-24,8.99,8.56
2024-07-25,8.9,12.13
2024-07-26,12.1,13.22
2024-07-29,14.08,19.39
2024-07-30,21.62,15.0
2024-07-31,16.19,17.52
2024-08-01,17.01,17.26
2024-08-02,15.5,14.63
2024-08-05,10.18,13.62
2024-08-06,15.16,15.67
2024-08-07,15.8,14.31
2024-08-08,15.12,13.99
2024-08-09,13.75,13.79
2024-08-12,13.79,11.21
2024-08-13,12.12,10.37
2024-08-14,13.9,11.37
2024-08-15,11.85,11.44
2024-08-16,10.96,11.16
2024-08-19,10.8,11.62
2024-08-20,11.65,11.23
2024-08-21,11.1,10.71
2024-08-22,10.72,10.095
2024-08-23,10.14,10.19
2024-08-26,10.15,9.58
2024-08-27,9.4,9.47
2024-08-28,9.5,9.35
2024-08-29,9.09,8.98
2024-08-30,8.98,8.495
2024-09-03,8.21,7.19
2024-09-04,7.03,8.15
2024-09-05,7.8,7.53
2024-09-06,7.29,7.22
2024-09-09,7.22,7.22
2024-09-10,7.15,6.72
2024-09-11,6.68,6.93
2024-09-12,6.9,7.34
2024-09-13,7.34,8.67
2024-09-16,8.7,7.89
2024-09-17,8.01,7.23
2024-09-18,7.28,7.48
2024-09-19,7.9,7.85
2024-09-20,7.78,7.48
2024-09-23,7.48,7.95
2024-09-24,7.94,8.08
2024-09-25,8.05,7.64
2024-09-26,7.83,7.69
2024-09-27,7.79,8.58
2024-09-30,8.33,7.95
2024-10-01,8.16,7.99
2024-10-02,7.87,7.91
2024-10-03,7.94,7.9
2024-10-04,7.82,8.77
2024-10-07,9.12,9.8
2024-10-08,10.07,9.66
2024-10-09,9.45,10.1
2024-10-10,10.0,9.4
2024-10-11,9.16,8.68
2024-10-14,8.62,8.92
2024-10-15,8.71,8.66
2024-10-16,9.31,9.0
2024-10-17,9.09,8.56
2024-10-18,8.74,9.36
2024-10-21,9.49,10.17
2024-10-22,10.14,9.68
2024-10-23,9.5,9.05
2024-10-24,9.2,9.54
2024-10-25,9.68,9.74
2024-10-28,10.05,11.8
2024-10-29,11.82,11.68
2024-10-30,11.39,11.37
2024-10-31,11.12,10.13
2024-11-01,10.43,10.04
2024-11-04,10.02,9.45
2024-11-05,9.45,9.81
2024-11-06,10.15,10.09
2024-11-07,10.36,10.83
2024-11-08,9.9,9.04
2024-11-11,9.3,9.35
2024-11-12,9.1,8.62
2024-11-13,8.74,8.36
2024-11-14,8.24,7.85
2024-11-15,7.92,8.0
2024-11-18,8.09,8.03
2024-11-19,8.07,8.61
2024-11-20,8.78,8.74
2024-11-21,8.78,8.46
2024-11-22,8.43,8.33
2024-11-25,8.58,8.81
2024-11-26,8.64,8.78
2024-11-27,8.7,8.59
2024-11-29,8.56,8.7
2024-12-02,8.83,9.15
2024-12-03,8.79,8.78
2024-12-04,8.97,8.68
2024-12-05,8.53,9.53
2024-12-06,9.75,11.8
2024-12-09,12.81,11.98
2024-12-10,11.82,13.74
2024-12-11,14.69,12.38
2024-12-12,12.46,11.34
2024-12-13,11.27,13.08
2024-12-16,13.4,14.98
2024-12-17,15.45,16.68
2024-12-18,16.3,14.14
2024-12-19,15.0,13.36
2024-12-20,12.82,14.61
2024-12-23,15.12,14.73
2024-12-24,14.55,14.14
2024-12-26,14.37,17.64
2024-12-27,17.53,16.29
2024-12-30,16.51,15.26
2024-12-31,15.56,13.5
2025-01-02,14.15,14.76
2025-01-03,15.0,19.03
2025-01-06,20.92,22.89
2025-01-07,19.51,18.61
2025-01-08,17.73,16.8
2025-01-10,17.035,18.735
2025-01-13,17.52,14.78
2025-01-14,16.28,16.41
2025-01-15,17.46,18.49
2025-01-16,19.0,18.88
2025-01-17,18.95,18.26
2025-01-21,18.59,19.41
2025-01-22,19.42,17.91
2025-01-23,17.83,17.82
2025-01-24,17.97,19.26
2025-01-27,18.0,16.57
2025-01-28,17.48,17.51
2025-01-29,17.05,16.11
2025-01-30,16.5,16.34
2025-01-31,16.38,16.59
2025-02-03,15.5,15.78
2025-02-04,16.21,16.06
2025-02-05,15.95,16.05
2025-02-06,16.29,16.7
2025-02-07,17.25,19.47
2025-02-10,19.85,21.1
2025-02-11,20.34,18.84
2025-02-12,18.275,19.57
2025-02-13,19.98,22.92
2025-02-14,14.66,13.85
2025-02-18,13.32,11.82
2025-02-19,13.19,13.365
2025-02-20,13.14,13.1
2025-02-21,13.27,12.01
2025-02-24,11.93,10.37
2025-02-25,10.06,9.84
2025-02-26,10.15,9.37
2025-02-27,9.67,8.72
2025-02-28,8.54,9.01
2025-03-03,9.25,8.37
2025-03-04,8.0,8.4
2025-03-05,8.4,8.28
2025-03-06,7.99,7.92
2025-03-07,7.5,7.43
2025-03-10,7.265,6.68
2025-03-11,6.73,6.97
2025-03-12,7.3,7.53
2025-03-13,7.28,7.02
2025-03-14,7.32,7.66
2025-03-17,7.775,7.83
2025-03-18,7.76,7.19
2025-03-19,7.3,7.4
2025-03-20,7.2,6.93
2025-03-21,6.72,7.01
2025-03-24,7.35,7.79
2025-03-25,7.745,7.68
2025-03-26,7.675,7.03
2025-03-27,7.04,6.77
2025-03-28,6.6,6.29
2025-03-31,6.0,5.75
2025-04-01,5.84,5.67
2025-04-02,5.5,5.88
2025-04-03,5.4,5.41
2025-04-04,5.03,5.22
2025-04-07,4.7,5.43
2025-04-08,5.76,5.13
2025-04-09,5.15,5.86
2025-04-10,5.68,5.29
2025-04-11,5.34,5.31
2025-04-14,5.76,5.79
2025-04-15,5.74,5.86
2025-04-16,5.655,5.41
2025-04-17,5.42,5.45
2025-04-21,5.26,5.17
2025-04-22,5.23,5.27
2025-04-23,5.61,5.9
2025-04-24,5.88,6.66
2025-04-25,6.65,6.5
2025-04-28,6.87,6.64
2025-04-29,6.62,6.45
2025-04-30,6.235,6.17
2025-05-01,6.28,6.22
2025-05-02,6.31,7.05
2025-05-05,6.93,6.34
2025-05-06,6.2,6.25
2025-05-07,6.21,5.99
2025-05-08,6.19,6.56
2025-05-09,6.59,7.46
