date,open,close
2020-05-11,5.18,5.19
2020-05-12,5.14,5.07
2020-05-13,5.16,5.11
2020-05-14,4.98,5.07
2020-05-15,5.18,5.09
2020-05-18,5.24,5.37
2020-05-19,5.37,5.35
2020-05-20,5.36,5.41
2020-05-21,5.35,5.36
2020-05-22,5.31,5.28
2020-05-26,5.5,5.58
2020-05-27,5.74,5.79
2020-05-28,5.85,5.87
2020-05-29,5.8,5.76
2020-06-01,5.74,5.8
2020-06-02,5.89,5.91
2020-06-03,5.88,5.92
2020-06-04,5.92,5.92
2020-06-05,6.18,6.15
2020-06-08,6.31,6.37
2020-06-09,6.23,6.16
2020-06-10,6.11,6.04
2020-06-11,5.84,5.73
2020-06-12,5.88,5.84
2020-06-15,5.71,5.85
2020-06-16,6.01,5.99
2020-06-17,5.95,5.91
2020-06-18,5.84,5.89
2020-06-19,5.95,5.8
2020-06-22,5.78,5.82
2020-06-23,5.93,5.83
2020-06-24,5.75,5.72
2020-06-25,5.61,5.69
2020-06-26,5.66,5.59
2020-06-29,5.63,5.66
2020-06-30,5.61,5.62
2020-07-01,5.61,5.59
2020-07-02,5.68,5.69
2020-07-06,5.77,5.8
2020-07-07,5.71,5.66
2020-07-08,5.63,5.61
2020-07-09,5.61,5.54
2020-07-10,5.56,5.67
2020-07-13,5.7,5.69
2020-07-14,5.69,5.72
2020-07-15,5.78,5.79
2020-07-16,5.79,5.83
2020-07-17,5.72,5.72
2020-07-20,5.7,5.7
2020-07-21,5.67,5.71
2020-07-22,5.65,5.69
2020-07-23,5.65,5.64
2020-07-24,5.63,5.62
2020-07-27,5.69,5.67
2020-07-28,5.64,5.65
2020-07-29,5.59,5.62
2020-07-30,5.45,5.46
2020-07-31,5.36,5.35
2020-08-03,5.37,5.39
2020-08-04,5.42,5.51
2020-08-05,5.49,5.51
2020-08-06,5.41,5.49
2020-08-07,5.46,5.56
2020-08-10,5.55,5.59
2020-08-11,5.76,5.77
2020-08-12,5.87,5.84
2020-08-13,5.82,5.79
2020-08-14,5.75,5.76
2020-08-17,5.78,5.76
2020-08-18,5.73,5.74
2020-08-19,5.75,5.76
2020-08-20,5.7,5.74
2020-08-21,5.66,5.66
2020-08-24,5.72,5.76
2020-08-25,5.84,5.86
2020-08-26,5.83,5.84
2020-08-27,5.77,5.78
2020-08-28,5.91,5.95
2020-08-31,5.99,5.88
2020-09-01,5.9,5.91
2020-09-02,5.92,5.94
2020-09-03,5.9,5.81
2020-09-04,5.92,5.95
2020-09-08,5.92,5.81
2020-09-09,5.78,5.79
