date,open,close
2020-05-11,18.1,18.09
2020-05-12,18.2,17.38
2020-05-13,17.4,16.77
2020-05-14,16.65,16.93
2020-05-15,16.8,17.1
2020-05-18,17.5,17.49
2020-05-19,17.28,17.48
2020-05-20,17.67,18.23
2020-05-21,18.2,17.55
2020-05-22,17.67,17.67
2020-05-26,18.0,17.41
2020-05-27,17.39,17.0
2020-05-28,16.9,18.25
2020-05-29,18.29,18.94
2020-06-01,19.0,19.55
2020-06-02,19.71,19.75
2020-06-03,19.83,19.73
2020-06-04,19.49,19.26
2020-06-05,19.45,20.33
2020-06-08,20.3,20.65
2020-06-09,20.46,21.09
2020-06-10,21.24,21.2
2020-06-11,20.05,19.71
2020-06-12,20.42,20.18
2020-06-15,19.81,20.75
2020-06-16,21.3,20.9
2020-06-17,21.0,21.82
2020-06-18,21.81,21.99
2020-06-19,22.41,22.66
2020-06-22,22.84,23.2
2020-06-23,23.45,23.67
2020-06-24,23.52,23.63
2020-06-25,23.51,24.48
2020-06-26,24.84,23.07
2020-06-29,22.86,23.09
2020-06-30,23.06,23.49
2020-07-01,23.65,23.72
2020-07-02,24.01,23.22
2020-07-06,23.51,23.42
2020-07-07,23.73,24.81
2020-07-08,25.28,26.41
2020-07-09,26.05,25.94
2020-07-10,25.92,25.53
2020-07-13,25.82,24.27
2020-07-14,24.0,23.74
2020-07-15,24.15,24.54
2020-07-16,24.18,23.9
2020-07-17,23.94,24.54
2020-07-20,24.86,25.27
2020-07-21,25.59,24.74
2020-07-22,23.48,23.2
2020-07-23,22.79,21.97
2020-07-24,21.88,22.15
2020-07-27,22.34,22.84
2020-07-28,22.66,22.59
2020-07-29,22.85,22.9
2020-07-30,22.7,22.41
2020-07-31,22.83,22.42
2020-08-03,21.89,21.22
2020-08-04,21.19,21.76
2020-08-05,21.78,21.7
2020-08-06,21.8,21.35
2020-08-07,21.36,21.58
2020-08-10,21.7,22.02
2020-08-11,21.83,21.6
2020-08-12,21.84,21.86
2020-08-13,22.0,21.9
2020-08-14,21.9,21.69
2020-08-17,21.83,21.79
2020-08-18,21.94,21.77
2020-08-19,21.71,21.92
2020-08-20,21.76,21.83
2020-08-21,21.9,21.6
2020-08-24,21.76,20.87
2020-08-25,20.9,21.12
2020-08-26,21.15,21.36
2020-08-27,21.5,21.74
2020-08-28,21.79,22.31
2020-08-31,22.83,22.59
2020-09-01,22.76,22.41
2020-09-02,22.52,23.53
2020-09-03,23.25,23.2
2020-09-04,22.9,22.44
2020-09-08,21.7,22.69
2020-09-09,23.08,23.65
2020-09-10,24.17,23.31
2020-09-11,23.75,24.19
2020-09-14,23.59,24.13
2020-09-15,24.49,24.47
2020-09-16,24.49,24.86
2020-09-17,24.23,24.3
2020-09-18,24.75,23.82
2020-09-21,23.11,23.88
2020-09-22,24.1,25.47
2020-09-23,25.67,25.37
2020-09-24,24.85,24.32
2020-09-25,24.4,24.69
2020-09-28,25.35,25.74
2020-09-29,25.83,25.99
2020-09-30,25.87,26.11
2020-10-01,26.28,26.78
2020-10-02,26.23,26.64
2020-10-05,26.95,27.54
2020-10-06,27.5,26.73
2020-10-07,27.1,26.67
2020-10-08,27.0,27.05
2020-10-09,27.16,27.0
2020-10-12,27.36,26.96
2020-10-13,27.27,27.0
2020-10-14,27.22,27.32
2020-10-15,27.05,28.06
2020-10-16,28.5,27.83
2020-10-19,28.25,28.66
2020-10-20,28.28,28.45
2020-10-21,34.97,36.5
2020-10-22,36.94,38.97
2020-10-23,39.43,43.17
2020-10-26,43.19,41.27
2020-10-27,41.55,41.54
2020-10-28,40.31,42.86
2020-10-29,43.3,42.22
2020-10-30,42.03,39.39
2020-11-02,39.45,40.79
2020-11-03,40.7,41.17
2020-11-04,41.56,41.99
2020-11-05,42.24,41.55
2020-11-06,41.68,45.38
2020-11-09,43.2,41.1
2020-11-10,40.67,38.54
2020-11-11,39.59,38.46
2020-11-12,39.52,40.3
2020-11-13,40.45,40.43
2020-11-16,39.03,39.08
2020-11-17,39.01,39.27
2020-11-18,39.31,40.63
2020-11-19,40.6,42.29
2020-11-20,42.62,44.29
2020-11-23,47.1,45.26
2020-11-24,45.6,44.29
2020-11-25,44.12,45.56
2020-11-27,45.82,46.03
2020-11-30,46.02,44.42
2020-12-01,44.9,44.5
2020-12-02,44.44,47.49
2020-12-03,47.05,47.95
2020-12-04,47.99,48.1
2020-12-07,47.92,49.45
2020-12-08,49.33,50.0
2020-12-09,50.0,49.15
2020-12-10,48.85,53.15
2020-12-11,52.88,53.33
2020-12-14,53.68,51.6
2020-12-15,51.79,51.35
2020-12-16,52.11,51.65
2020-12-17,52.56,53.25
2020-12-18,53.56,52.99
2020-12-21,52.38,52.36
2020-12-22,52.59,52.09
2020-12-23,52.14,51.74
2020-12-24,51.92,50.15
2020-12-28,50.77,48.26
2020-12-29,51.48,51.23
2020-12-30,51.37,49.35
2020-12-31,49.5,50.07
2021-01-04,50.44,49.59
2021-01-05,49.4,50.31
2021-01-06,49.11,49.82
2021-01-07,50.35,52.44
2021-01-08,53.43,52.73
2021-01-11,51.86,54.38
2021-01-12,55.22,56.45
2021-01-13,56.75,53.43
2021-01-14,53.3,49.03
2021-01-15,50.7,50.31
2021-01-19,51.34,50.39
2021-01-20,50.61,52.2
2021-01-21,53.96,54.4
2021-01-22,53.9,53.57
2021-01-25,54.9,53.65
2021-01-26,54.12,53.29
2021-01-27,51.76,48.95
2021-01-28,50.81,53.13
2021-01-29,52.6,52.94
2021-02-01,54.0,56.85
2021-02-02,57.35,58.87
2021-02-03,60.35,59.26
2021-02-04,60.13,58.31
2021-02-05,56.39,63.64
2021-02-08,63.34,63.78
2021-02-09,63.16,62.8
2021-02-10,63.43,62.6
2021-02-11,63.94,62.23
2021-02-12,62.06,61.97
2021-02-16,62.28,62.81
2021-02-17,62.04,62.72
2021-02-18,61.98,62.87
2021-02-19,63.92,65.52
2021-02-22,66.35,63.41
2021-02-23,61.05,70.45
2021-02-24,70.91,69.47
2021-02-25,69.13,63.26
2021-02-26,64.86,65.66
2021-03-01,66.93,66.67
2021-03-02,67.0,64.51
2021-03-03,64.52,60.02
2021-03-04,60.01,57.71
2021-03-05,57.9,57.43
2021-03-08,57.8,52.89
2021-03-09,55.41,56.3
2021-03-10,57.41,55.07
2021-03-11,56.75,59.62
2021-03-12,58.33,62.69
2021-03-15,62.5,63.74
2021-03-16,64.4,62.23
2021-03-17,60.82,63.95
2021-03-18,63.17,58.49
2021-03-19,58.65,58.36
2021-03-22,57.2,58.16
2021-03-23,58.1,55.26
2021-03-24,55.7,50.51
2021-03-25,49.35,51.41
2021-03-26,51.5,51.6
2021-03-29,51.01,49.57
2021-03-30,49.07,49.61
2021-03-31,50.57,52.29
2021-04-01,53.69,54.49
2021-04-05,55.18,54.11
2021-04-06,56.78,56.88
2021-04-07,57.12,60.23
2021-04-08,61.04,63.2
2021-04-09,62.68,63.27
2021-04-12,62.81,62.44
2021-04-13,63.48,62.44
2021-04-14,64.01,62.01
2021-04-15,62.51,63.89
2021-04-16,63.72,61.25
2021-04-19,60.47,60.44
2021-04-20,59.69,58.49
2021-04-21,57.65,58.3
2021-04-22,59.11,57.05
2021-04-23,62.01,61.3
2021-04-26,60.97,60.02
2021-04-27,58.73,60.51
2021-04-28,59.85,62.04
2021-04-29,62.52,62.28
2021-04-30,60.86,61.82
2021-05-03,62.04,59.17
2021-05-04,57.95,55.78
2021-05-05,56.75,54.07
2021-05-06,53.33,52.59
2021-05-07,53.84,54.7
2021-05-10,53.17,52.14
2021-05-11,50.61,53.29
2021-05-12,52.2,51.56
2021-05-13,52.01,50.96
2021-05-14,51.36,52.99
2021-05-17,52.66,53.91
2021-05-18,54.17,53.36
2021-05-19,51.61,53.91
2021-05-20,54.25,57.07
2021-05-21,57.21,56.61
2021-05-24,57.35,60.12
2021-05-25,60.42,59.15
2021-05-26,59.97,60.59
2021-05-27,60.3,61.07
2021-05-28,61.08,62.12
2021-06-01,62.9,63.69
2021-06-02,62.76,62.79
2021-06-03,61.78,60.6
2021-06-04,61.0,61.0
2021-06-07,60.99,61.37
2021-06-08,61.7,60.15
2021-06-09,60.53,61.77
2021-06-10,61.2,62.63
2021-06-11,62.95,64.09
2021-06-14,64.56,63.57
2021-06-15,63.06,62.28
2021-06-16,62.41,60.2
2021-06-17,59.62,62.29
2021-06-18,61.8,63.17
2021-06-21,63.06,63.6
2021-06-22,63.62,62.93
2021-06-23,63.2,66.35
2021-06-24,67.94,67.65
2021-06-25,68.11,67.67
2021-06-28,67.76,66.22
2021-06-29,66.52,67.57
2021-06-30,66.85,68.14
2021-07-01,68.58,67.66
2021-07-02,68.12,68.49
2021-07-06,69.69,69.06
2021-07-07,69.61,65.13
2021-07-08,62.92,61.96
2021-07-09,62.5,65.81
2021-07-12,65.9,64.79
2021-07-13,64.75,63.95
2021-07-14,64.51,62.47
2021-07-15,61.64,60.5
2021-07-16,61.22,59.31
2021-07-19,57.88,59.58
2021-07-20,60.59,62.33
2021-07-21,62.09,63.39
2021-07-22,62.82,62.97
2021-07-23,74.14,77.97
2021-07-26,77.24,76.32
2021-07-27,75.56,73.97
2021-07-28,74.5,76.16
2021-07-29,75.88,74.92
2021-07-30,74.01,74.42
2021-08-02,74.3,73.5
2021-08-03,73.86,73.38
2021-08-04,73.0,76.9
2021-08-05,75.76,77.32
2021-08-06,76.39,75.98
2021-08-09,75.7,78.15
2021-08-10,78.35,75.8
2021-08-11,76.41,76.53
2021-08-12,76.38,75.26
2021-08-13,75.26,74.62
2021-08-16,74.03,72.44
2021-08-17,71.09,71.81
2021-08-18,71.29,71.96
2021-08-19,70.5,70.86
2021-08-20,71.2,72.72
2021-08-23,74.01,75.5
2021-08-24,75.53,74.63
2021-08-25,74.31,74.69
2021-08-26,74.72,71.61
2021-08-27,72.18,73.12
2021-08-30,73.3,74.51
2021-08-31,74.86,76.11
2021-09-01,75.98,74.17
2021-09-02,74.6,73.92
2021-09-03,73.92,75.08
2021-09-07,75.83,76.49
2021-09-08,76.22,74.13
2021-09-09,74.11,74.62
2021-09-10,75.25,74.5
2021-09-13,75.61,71.26
2021-09-14,71.69,71.31
2021-09-15,71.33,73.62
2021-09-16,73.29,72.48
2021-09-17,72.42,74.76
2021-09-20,72.38,71.73
2021-09-21,72.76,76.09
2021-09-22,74.37,78.6
2021-09-23,78.97,79.37
2021-09-24,78.94,83.11
2021-09-27,82.0,80.08
2021-09-28,78.54,74.42
2021-09-29,75.26,71.76
2021-09-30,72.92,73.87
2021-10-01,74.82,75.25
2021-10-04,74.03,71.23
2021-10-05,72.4,73.41
2021-10-06,72.37,73.13
2021-10-07,74.36,76.28
2021-10-08,76.91,75.0
2021-10-11,74.61,73.53
2021-10-12,74.12,75.26
2021-10-13,76.15,74.95
2021-10-14,77.06,76.64
2021-10-15,76.81,77.34
2021-10-18,78.6,75.8
2021-10-19,75.14,76.43
2021-10-20,76.57,75.65
2021-10-21,74.81,75.11
2021-10-22,58.75,55.14
2021-10-25,55.96,54.5
2021-10-26,55.24,55.39
2021-10-27,55.05,52.02
2021-10-28,52.68,54.39
2021-10-29,53.97,52.58
2021-11-01,52.99,53.98
2021-11-02,53.57,52.2
2021-11-03,51.95,52.94
2021-11-04,53.08,52.26
2021-11-05,52.15,53.17
2021-11-08,53.36,54.9
2021-11-09,55.3,54.82
2021-11-10,53.99,52.88
2021-11-11,53.46,53.29
2021-11-12,53.82,53.7
2021-11-15,54.14,55.53
2021-11-16,55.78,55.11
2021-11-17,54.45,54.56
2021-11-18,54.51,53.47
2021-11-19,53.93,51.32
2021-11-22,51.52,49.26
2021-11-23,48.57,50.67
2021-11-24,49.0,49.66
2021-11-26,48.77,49.76
2021-11-29,51.1,48.85
2021-11-30,48.78,47.61
2021-12-01,49.13,47.26
2021-12-02,47.24,47.91
2021-12-03,47.77,46.79
2021-12-06,46.21,47.92
2021-12-07,49.38,50.4
2021-12-08,50.62,53.42
2021-12-09,52.88,52.36
2021-12-10,52.63,50.82
2021-12-13,50.32,48.14
2021-12-14,47.6,46.85
2021-12-15,46.35,46.41
2021-12-16,47.41,44.7
2021-12-17,43.64,45.29
2021-12-20,44.22,44.42
2021-12-21,44.89,46.1
2021-12-22,45.98,46.77
2021-12-23,47.35,48.68
2021-12-27,48.45,48.64
2021-12-28,48.5,47.71
2021-12-29,47.59,47.06
2021-12-30,46.81,48.03
2021-12-31,47.8,47.03
2022-01-03,47.63,46.59
2022-01-04,46.85,44.03
2022-01-05,43.5,41.33
2022-01-06,41.25,41.68
2022-01-07,41.54,41.36
2022-01-10,40.74,41.71
2022-01-11,42.06,43.31
2022-01-12,43.81,42.73
2022-01-13,40.64,38.38
2022-01-14,37.72,38.04
2022-01-18,36.98,35.7
2022-01-19,36.03,35.05
2022-01-20,35.8,34.99
2022-01-21,33.98,32.12
2022-01-24,30.05,31.8
2022-01-25,31.01,30.66
2022-01-26,31.38,28.63
2022-01-27,29.63,28.3
2022-01-28,28.63,30.42
