date,open,close
2020-05-11,18.21,18.47
2020-05-12,18.73,18.95
2020-05-13,19.0,18.22
2020-05-14,18.07,18.52
2020-05-15,18.5,20.98
2020-05-18,20.78,20.73
2020-05-19,20.81,19.1
2020-05-20,19.5,20.18
2020-05-21,20.25,20.5
2020-05-22,17.0,16.0
2020-05-26,16.61,15.69
2020-05-27,15.55,16.85
2020-05-28,16.87,16.05
2020-05-29,16.01,16.2
2020-06-01,16.15,16.3
2020-06-02,16.17,16.76
2020-06-03,16.75,16.35
2020-06-04,16.27,16.78
2020-06-05,16.76,16.89
2020-06-08,16.89,16.99
2020-06-09,16.89,17.02
2020-06-10,17.1,16.58
2020-06-11,16.25,15.52
2020-06-12,15.98,15.5
2020-06-15,15.3,16.26
2020-06-16,16.6,16.43
2020-06-17,16.43,16.32
2020-06-18,16.19,15.54
2020-06-19,15.55,15.14
2020-06-22,15.18,15.31
2020-06-23,15.49,15.02
2020-06-24,15.0,15.28
2020-06-25,15.23,15.69
2020-06-26,15.55,14.77
2020-06-29,14.9,14.46
2020-06-30,14.48,14.82
2020-07-01,14.8,14.55
2020-07-02,14.79,14.58
2020-07-06,14.8,14.81
2020-07-07,14.64,15.44
2020-07-08,15.52,15.68
2020-07-09,15.66,15.41
2020-07-10,15.4,15.35
2020-07-13,15.41,14.39
2020-07-14,14.14,14.46
2020-07-15,14.72,14.8
2020-07-16,14.64,13.9
2020-07-17,13.99,13.66
2020-07-20,13.79,13.86
2020-07-21,13.91,13.77
2020-07-22,13.75,13.93
2020-07-23,13.9,13.55
2020-07-24,13.41,13.39
2020-07-27,13.59,14.08
2020-07-28,14.08,13.8
2020-07-29,13.91,13.77
2020-07-30,13.7,14.4
2020-07-31,14.48,14.11
2020-08-03,14.22,14.6
2020-08-04,14.58,14.89
2020-08-05,15.03,14.88
2020-08-06,14.85,15.0
2020-08-07,14.87,15.84
2020-08-10,15.79,15.23
2020-08-11,15.25,14.74
2020-08-12,14.76,15.2
2020-08-13,15.25,15.78
2020-08-14,15.84,15.83
2020-08-17,15.78,16.22
2020-08-18,16.34,16.86
2020-08-19,16.88,16.86
2020-08-20,16.67,16.85
2020-08-21,16.78,16.86
2020-08-24,16.96,16.71
2020-08-25,16.65,16.77
2020-08-26,16.78,16.43
2020-08-27,16.44,16.47
2020-08-28,16.57,16.52
2020-08-31,16.61,16.31
2020-09-01,16.29,15.78
2020-09-02,15.77,15.87
2020-09-03,15.74,15.59
2020-09-04,15.68,14.98
2020-09-08,14.71,15.06
2020-09-09,15.17,15.94
2020-09-10,16.0,16.09
2020-09-11,16.13,16.1
2020-09-14,16.34,16.91
2020-09-15,17.0,17.48
2020-09-16,17.58,17.48
2020-09-17,17.25,17.06
2020-09-18,17.28,17.01
2020-09-21,16.56,15.16
2020-09-22,15.27,14.63
2020-09-23,14.55,13.7
2020-09-24,13.69,13.69
2020-09-25,13.67,13.9
2020-09-28,14.07,13.8
2020-09-29,13.73,14.02
2020-09-30,14.06,14.76
2020-10-01,14.91,15.1
2020-10-02,14.8,15.44
2020-10-05,15.53,17.04
2020-10-06,17.06,16.74
2020-10-07,16.93,17.0
2020-10-08,17.22,17.1
2020-10-09,17.0,15.83
2020-10-12,15.85,15.45
2020-10-13,15.42,16.13
2020-10-14,16.1,15.96
2020-10-15,15.68,16.65
2020-10-16,16.64,17.6
2020-10-19,17.61,17.28
2020-10-20,17.46,16.35
2020-10-21,16.31,15.65
2020-10-22,15.52,15.14
2020-10-23,15.24,16.01
2020-10-26,15.86,16.38
2020-10-27,16.28,17.84
2020-10-28,17.59,17.75
2020-10-29,17.74,18.04
2020-10-30,17.98,17.41
2020-11-02,17.45,17.09
2020-11-03,16.01,18.95
2020-11-04,20.5,19.75
2020-11-05,19.92,21.93
2020-11-06,21.68,20.97
2020-11-09,20.94,19.91
2020-11-10,20.29,19.76
2020-11-11,19.81,19.22
2020-11-12,19.26,20.68
2020-11-13,20.67,21.0
2020-11-16,21.17,22.84
2020-11-17,22.89,22.56
2020-11-18,22.63,22.29
