date,open,close
2022-04-28,8.72,7.79
2022-04-29,8.49,6.5
2022-05-02,12.2,10.95
2022-05-03,15.92,12.62
2022-05-04,10.93,14.51
2022-05-05,14.75,14.98
2022-05-06,14.34,13.47
2022-05-09,13.52,10.35
2022-05-10,10.46,8.94
2022-05-11,8.36,7.19
2022-05-12,6.3,6.62
2022-05-13,6.36,6.79
2022-05-16,6.75,6.1
2022-05-17,7.02,6.22
2022-05-18,6.06,5.19
2022-05-19,5.23,4.86
2022-05-20,4.75,4.79
2022-05-23,4.8,5.14
2022-05-24,5.1,5.45
2022-05-25,5.59,5.95
2022-05-26,5.94,6.52
2022-05-27,6.66,7.91
2022-05-31,8.0,7.68
2022-06-01,7.53,8.57
2022-06-02,8.45,7.95
2022-06-03,7.73,7.94
2022-06-06,7.95,4.1
2022-06-07,4.44,4.0
2022-06-08,4.0,4.18
2022-06-09,4.79,4.2
2022-06-10,4.06,3.62
2022-06-13,3.4,3.2
2022-06-14,3.24,2.93
2022-06-15,2.92,2.84
2022-06-16,2.74,2.67
2022-06-17,2.67,4.0
2022-06-21,4.07,3.75
2022-06-22,3.74,3.59
2022-06-23,3.57,3.45
2022-06-24,3.44,3.2
2022-06-27,3.41,2.94
2022-06-28,2.93,2.95
2022-06-29,2.99,2.715
2022-06-30,2.82,2.68
2022-07-01,2.58,2.59
2022-07-05,2.57,3.07
2022-07-06,3.1,3.03
2022-07-07,2.95,3.14
2022-07-08,3.09,3.1
2022-07-11,3.02,3.25
2022-07-12,3.28,3.5
2022-07-13,3.24,3.37
2022-07-14,3.27,3.23
2022-07-15,3.22,3.52
2022-07-18,3.57,3.63
2022-07-19,3.65,3.68
2022-07-20,3.69,4.25
2022-07-21,4.16,4.17
2022-07-22,4.13,3.73
2022-07-25,3.73,4.1
2022-07-26,4.05,3.6
2022-07-27,3.62,3.79
2022-07-28,3.71,3.69
2022-07-29,3.65,3.5
2022-08-01,3.46,3.65
2022-08-02,3.65,3.93
2022-08-03,3.84,3.8
2022-08-04,3.78,3.7
2022-08-05,3.69,3.77
2022-08-08,3.76,3.51
2022-08-09,3.51,3.21
2022-08-10,3.22,3.57
2022-08-11,3.6,3.57
2022-08-12,3.59,3.66
2022-08-15,3.62,3.75
2022-08-16,3.74,3.68
2022-08-17,3.62,3.42
2022-08-18,3.37,3.36
2022-08-19,3.31,3.23
2022-08-22,3.15,2.855
2022-08-23,2.96,2.965
2022-08-24,3.11,3.01
2022-08-25,3.05,3.15
2022-08-26,3.12,2.95
2022-08-29,2.88,2.86
2022-08-30,2.95,2.88
2022-08-31,2.92,2.85
2022-09-01,2.94,3.2
2022-09-02,3.26,3.31
2022-09-06,3.17,2.91
2022-09-07,2.9,3.01
2022-09-08,2.95,3.16
2022-09-09,3.23,3.24
2022-09-12,3.3,3.26
2022-09-13,3.23,3.23
2022-09-14,3.17,3.32
2022-09-15,3.32,3.25
2022-09-16,3.32,3.74
2022-09-19,3.73,3.24
2022-09-20,3.12,3.04
2022-09-21,3.0,2.85
2022-09-22,2.89,3.24
2022-09-23,3.29,3.07
2022-09-26,3.06,3.08
2022-09-27,3.12,3.26
2022-09-28,3.12,3.34
2022-09-29,3.23,3.24
2022-09-30,3.27,3.28
2022-10-03,3.37,3.52
2022-10-04,3.55,3.77
2022-10-05,3.58,3.61
2022-10-06,3.59,3.68
2022-10-07,3.63,3.42
2022-10-10,3.37,3.59
2022-10-11,3.58,3.5
2022-10-12,3.51,3.47
2022-10-13,3.34,3.37
2022-10-14,3.36,3.93
2022-10-17,4.0,3.5
2022-10-18,3.55,3.19
2022-10-19,3.2,3.13
2022-10-20,3.11,2.92
2022-10-21,2.92,2.95
2022-10-24,2.94,2.685
2022-10-25,2.71,2.83
2022-10-26,2.82,2.8
2022-10-27,2.81,2.68
2022-10-28,2.74,2.55
2022-10-31,2.62,2.71
2022-11-01,2.74,2.61
2022-11-02,2.6,2.4
2022-11-03,2.46,2.2
2022-11-04,2.2,2.11
2022-11-07,2.13,1.99
2022-11-08,2.0,2.04
2022-11-09,2.0,2.06
2022-11-10,2.16,1.89
2022-11-11,2.33,1.81
2022-11-14,1.86,1.85
2022-11-15,1.94,1.82
2022-11-16,1.8,1.91
2022-11-17,1.85,2.03
2022-11-18,2.09,1.92
2022-11-21,1.84,1.62
2022-11-22,1.65,1.45
2022-11-23,1.4,1.45
2022-11-25,1.35,1.52
2022-11-28,1.52,1.33
2022-11-29,1.31,1.32
2022-11-30,1.37,1.28
2022-12-01,1.29,1.25
2022-12-02,1.23,1.35
2022-12-05,1.37,1.27
2022-12-06,1.27,1.29
2022-12-07,1.23,1.19
2022-12-08,1.19,1.2
2022-12-09,1.24,1.37
2022-12-12,1.36,1.12
2022-12-13,1.15,1.14
2022-12-14,1.12,1.15
2022-12-15,1.13,1.21
2022-12-16,1.24,1.16
2022-12-19,1.13,1.13
2022-12-20,1.11,1.1
