date,open,close
2020-05-11,8.99,9.24
2020-05-12,9.43,8.46
2020-05-13,8.69,8.0
2020-05-14,7.82,8.64
2020-05-15,7.82,8.1
2020-05-18,8.67,9.23
2020-05-19,9.19,9.12
2020-05-20,9.69,10.16
2020-05-21,10.16,9.37
2020-05-22,9.45,9.51
2020-05-26,10.25,9.8
2020-05-27,9.9,10.22
2020-05-28,10.05,9.55
2020-05-29,9.68,10.27
2020-06-01,10.07,10.15
2020-06-02,10.23,10.8
2020-06-03,11.22,11.75
2020-06-04,11.64,12.06
2020-06-05,12.92,12.93
2020-06-08,13.26,12.86
2020-06-09,12.41,12.88
2020-06-10,13.15,13.0
2020-06-11,12.0,10.52
2020-06-12,11.49,10.95
2020-06-15,10.26,11.43
2020-06-16,12.41,12.04
2020-06-17,12.3,12.37
2020-06-18,12.21,12.31
2020-06-19,12.74,12.07
2020-06-22,12.13,12.39
2020-06-23,12.62,12.49
2020-06-24,12.26,11.65
2020-06-25,11.64,11.94
2020-06-26,11.8,11.22
2020-06-29,11.25,11.61
2020-06-30,11.75,12.55
2020-07-01,12.56,12.02
2020-07-02,12.53,12.47
2020-07-06,13.11,13.47
2020-07-07,13.3,12.97
2020-07-08,13.3,13.51
2020-07-09,13.67,14.05
2020-07-10,14.07,13.91
2020-07-13,14.49,13.21
2020-07-14,12.99,13.91
2020-07-15,14.2,13.77
2020-07-16,13.33,13.6
2020-07-17,13.85,13.86
2020-07-20,13.92,14.71
2020-07-21,14.96,14.4
2020-07-22,14.53,14.57
2020-07-23,14.55,13.89
2020-07-24,13.16,13.23
2020-07-27,13.73,14.48
2020-07-28,14.23,13.63
2020-07-29,14.05,14.51
2020-07-30,14.34,15.36
2020-07-31,15.49,15.1
2020-08-03,15.39,16.0
2020-08-04,15.93,16.69
2020-08-05,16.63,16.65
2020-08-06,16.54,16.59
2020-08-07,16.47,16.03
2020-08-10,16.12,16.04
2020-08-11,15.99,15.51
2020-08-12,15.91,17.07
2020-08-13,17.05,16.51
2020-08-14,16.65,16.45
2020-08-17,16.86,17.08
2020-08-18,17.28,16.79
2020-08-19,16.81,16.47
2020-08-20,15.98,16.04
2020-08-21,16.01,16.39
2020-08-24,16.89,16.85
2020-08-25,16.93,17.39
2020-08-26,17.5,17.58
2020-08-27,17.66,16.9
2020-08-28,17.01,17.86
2020-08-31,17.84,17.81
2020-09-01,18.13,18.81
2020-09-02,19.63,20.5
2020-09-03,19.57,17.0
2020-09-04,16.62,16.53
2020-09-08,14.71,14.17
2020-09-09,15.21,15.35
2020-09-10,15.85,14.71
2020-09-11,15.03,14.66
2020-09-14,15.55,15.58
2020-09-15,16.15,16.39
2020-09-16,16.59,15.89
2020-09-17,14.75,15.82
2020-09-18,16.07,15.08
2020-09-21,14.2,15.01
2020-09-22,15.36,15.55
2020-09-23,15.46,14.4
2020-09-24,14.09,14.82
2020-09-25,14.9,15.46
2020-09-28,16.04,16.72
2020-09-29,16.61,16.86
2020-09-30,16.7,16.88
2020-10-01,17.52,17.93
2020-10-02,16.68,16.33
2020-10-05,16.79,17.92
2020-10-06,17.86,17.62
2020-10-07,18.37,18.68
2020-10-08,19.17,19.33
2020-10-09,20.06,20.34
2020-10-12,21.09,21.23
2020-10-13,21.25,21.2
2020-10-14,21.34,20.86
2020-10-15,19.8,20.7
2020-10-16,21.22,20.4
2020-10-19,20.87,20.08
2020-10-20,20.36,20.01
2020-10-21,20.16,19.59
2020-10-22,19.72,19.66
2020-10-23,19.48,19.37
2020-10-26,18.92,18.13
2020-10-27,18.52,17.95
2020-10-28,17.07,16.16
2020-10-29,16.27,17.45
2020-10-30,16.9,16.6
2020-11-02,17.14,16.86
2020-11-03,17.33,17.87
2020-11-04,18.96,19.74
2020-11-05,21.33,22.34
2020-11-06,22.15,23.49
2020-11-09,24.94,22.6
2020-11-10,22.0,20.56
2020-11-11,21.53,22.8
2020-11-12,22.84,21.92
2020-11-13,22.66,22.73
2020-11-16,23.27,24.41
2020-11-17,24.16,23.82
2020-11-18,23.96,23.31
2020-11-19,23.23,24.39
2020-11-20,24.37,24.0
2020-11-23,24.43,25.08
2020-11-24,25.6,25.49
2020-11-25,25.37,25.22
2020-11-27,25.72,26.08
2020-11-30,26.24,27.06
2020-12-01,27.75,28.5
2020-12-02,28.22,28.72
2020-12-03,29.22,28.76
2020-12-04,29.2,31.15
2020-12-07,31.42,31.56
2020-12-08,31.45,31.96
2020-12-09,31.73,29.23
2020-12-10,28.62,29.17
2020-12-11,28.41,28.16
2020-12-14,28.99,29.22
2020-12-15,30.28,30.44
2020-12-16,30.71,30.38
2020-12-17,30.92,30.54
2020-12-18,30.73,30.14
2020-12-21,28.97,29.55
2020-12-22,29.7,29.43
2020-12-23,29.62,28.82
2020-12-24,29.17,29.65
2020-12-28,30.62,29.49
2020-12-29,29.87,29.26
2020-12-30,29.67,30.77
2020-12-31,30.77,31.1
2021-01-04,31.67,30.67
2021-01-05,30.45,32.45
2021-01-06,31.53,32.21
2021-01-07,33.65,35.76
2021-01-08,37.51,35.79
2021-01-11,34.97,37.09
2021-01-12,37.67,37.82
2021-01-13,38.62,37.92
2021-01-14,39.19,40.39
2021-01-15,40.19,37.82
2021-01-19,39.51,41.67
2021-01-20,43.16,41.32
2021-01-21,42.39,43.16
2021-01-22,42.0,40.79
2021-01-25,42.01,40.97
2021-01-26,41.05,39.06
2021-01-27,37.04,33.14
2021-01-28,35.0,35.13
2021-01-29,35.34,33.4
2021-02-01,35.09,37.35
2021-02-02,39.13,39.05
2021-02-03,39.47,36.63
2021-02-04,36.35,37.54
2021-02-05,38.33,36.72
2021-02-08,37.47,40.13
2021-02-09,39.63,39.62
2021-02-10,40.67,40.0
2021-02-11,40.88,44.16
2021-02-12,43.57,45.77
2021-02-16,47.34,46.58
2021-02-17,45.1,44.01
2021-02-18,42.2,42.69
2021-02-19,44.54,45.8
2021-02-22,44.0,40.81
2021-02-23,38.5,39.98
2021-02-24,38.98,43.75
2021-02-25,42.07,36.22
2021-02-26,37.94,38.71
2021-03-01,40.59,42.56
2021-03-02,42.99,38.55
2021-03-03,38.8,35.01
2021-03-04,34.83,29.98
2021-03-05,32.22,32.75
2021-03-08,32.69,27.52
2021-03-09,30.34,32.45
2021-03-10,34.19,30.72
2021-03-11,33.29,34.47
2021-03-12,32.55,33.42
2021-03-15,33.81,35.57
2021-03-16,36.83,36.98
2021-03-17,35.29,38.42
2021-03-18,36.76,33.71
2021-03-19,34.07,34.75
2021-03-22,35.96,37.0
2021-03-23,37.36,34.03
2021-03-24,35.56,32.59
2021-03-25,30.93,32.81
2021-03-26,32.81,37.69
2021-03-29,36.4,35.79
2021-03-30,35.12,35.52
2021-03-31,36.43,38.21
2021-04-01,40.11,42.41
2021-04-05,44.53,45.0
2021-04-06,44.12,43.38
2021-04-07,43.8,43.38
2021-04-08,44.73,44.79
2021-04-09,43.83,44.48
2021-04-12,43.72,43.09
2021-04-13,44.0,42.69
2021-04-14,42.47,41.27
2021-04-15,42.35,43.47
