date,open,close
2020-05-12,7.87,7.76
2020-05-13,7.68,7.48
2020-05-14,7.27,7.4
2020-05-15,7.42,7.42
2020-05-18,7.89,8.03
2020-05-19,7.77,7.59
2020-05-20,7.57,7.57
2020-05-21,7.72,7.64
2020-05-22,7.78,7.7
2020-05-26,8.3,8.18
2020-05-27,8.64,8.54
2020-05-28,8.62,8.51
2020-05-29,8.39,8.39
2020-06-01,8.53,8.75
2020-06-02,8.84,8.86
2020-06-03,9.19,9.32
2020-06-04,9.27,9.37
2020-06-05,10.0,9.87
2020-06-08,10.24,10.22
2020-06-09,9.69,9.66
2020-06-10,9.54,9.29
2020-06-11,8.68,8.36
2020-06-12,8.87,8.86
2020-06-15,8.6,8.93
2020-06-16,9.17,8.97
2020-06-17,9.04,8.85
2020-06-18,8.8,8.87
2020-06-19,9.0,8.79
2020-06-22,9.19,9.15
2020-06-23,9.68,9.67
2020-06-24,9.5,9.23
2020-06-25,9.33,9.48
2020-06-26,9.35,9.17
2020-06-29,9.36,9.41
2020-06-30,9.42,9.71
2020-07-01,9.42,9.39
2020-07-02,9.65,9.44
2020-07-06,9.72,9.71
2020-07-07,9.7,9.57
2020-07-08,9.42,9.47
2020-07-09,9.49,9.28
2020-07-10,9.36,9.59
2020-07-13,9.74,9.55
2020-07-14,9.54,9.75
2020-07-15,9.89,9.89
2020-07-16,9.84,9.96
2020-07-17,10.01,9.95
2020-07-20,9.95,9.99
2020-07-21,10.08,9.95
2020-07-22,9.96,10.08
2020-07-23,10.19,10.01
2020-07-24,9.98,9.97
2020-07-27,10.04,10.17
2020-07-28,10.32,10.3
2020-07-29,10.24,10.37
2020-07-30,9.83,9.96
2020-07-31,10.08,9.63
2020-08-03,9.97,10.03
2020-08-04,10.39,10.48
2020-08-05,10.58,10.58
2020-08-06,10.53,10.52
2020-08-07,10.34,10.43
2020-08-10,10.43,10.65
2020-08-11,11.02,10.93
2020-08-12,11.26,11.05
2020-08-13,10.98,10.94
2020-08-14,10.79,10.84
2020-08-17,10.92,10.89
2020-08-18,10.95,10.8
2020-08-19,10.88,10.74
2020-08-20,10.59,10.64
2020-08-21,10.39,10.43
2020-08-24,10.64,10.73
2020-08-25,10.83,10.64
2020-08-26,10.73,10.71
2020-08-27,10.76,10.61
2020-08-28,10.58,10.63
2020-08-31,10.65,10.46
2020-09-01,10.26,10.33
2020-09-02,10.28,10.42
2020-09-03,10.63,10.32
2020-09-04,10.69,10.71
2020-09-08,10.62,10.59
2020-09-09,10.77,10.74
2020-09-10,11.25,11.03
2020-09-11,11.07,11.15
2020-09-14,11.25,11.32
2020-09-15,12.47,12.15
2020-09-16,12.05,12.0
