date,open,close
2020-05-11,29.13,27.13
2020-05-12,26.6,23.8
2020-05-13,24.0,21.15
2020-05-14,20.92,22.1
2020-05-15,21.85,21.88
2020-05-18,23.17,24.4
2020-05-19,24.64,24.26
2020-05-20,24.76,24.41
2020-05-21,24.59,24.7
2020-05-22,24.78,24.46
2020-05-26,25.72,26.7
2020-05-27,32.95,34.01
2020-05-28,33.9,31.38
2020-05-29,30.04,31.68
2020-06-01,31.65,31.89
2020-06-02,32.02,32.62
2020-06-03,33.08,35.45
2020-06-04,35.23,36.31
2020-06-05,37.9,39.23
2020-06-08,40.02,39.31
2020-06-09,37.86,38.6
2020-06-10,38.76,38.42
2020-06-11,35.05,34.58
2020-06-12,36.46,36.99
2020-06-15,35.51,36.95
2020-06-16,38.93,37.43
2020-06-17,37.76,37.25
2020-06-18,36.64,38.57
2020-06-19,39.49,38.14
2020-06-22,38.22,39.69
2020-06-23,40.45,41.55
2020-06-24,41.28,38.43
2020-06-25,38.59,39.96
2020-06-26,39.51,37.94
2020-06-29,38.26,38.2
2020-06-30,37.97,38.76
2020-07-01,38.94,39.51
2020-07-02,40.07,40.11
2020-07-06,41.17,40.57
2020-07-07,40.39,40.13
2020-07-08,40.24,41.53
2020-07-09,42.02,41.48
2020-07-10,40.5,39.84
2020-07-13,40.44,38.55
2020-07-14,37.71,38.39
2020-07-15,39.68,40.71
2020-07-16,39.38,40.36
2020-07-17,40.57,40.54
2020-07-20,40.54,41.91
2020-07-21,42.5,42.36
2020-07-22,42.28,42.79
2020-07-23,42.67,43.01
2020-07-24,42.39,42.68
2020-07-27,43.3,45.03
2020-07-28,45.18,44.24
2020-07-29,45.25,46.9
2020-07-30,46.29,47.03
2020-07-31,47.47,47.71
2020-08-03,48.17,48.12
2020-08-04,47.98,47.2
2020-08-05,48.09,47.86
2020-08-06,48.13,49.09
2020-08-07,49.95,49.06
2020-08-10,49.72,47.18
2020-08-11,47.41,52.39
2020-08-12,49.73,49.29
2020-08-13,48.6,49.01
2020-08-14,48.5,48.21
2020-08-17,48.6,48.86
2020-08-18,49.23,51.28
2020-08-19,51.51,50.62
2020-08-20,50.13,49.41
2020-08-21,49.35,49.84
2020-08-24,50.56,50.0
2020-08-25,50.4,50.78
2020-08-26,50.57,48.9
2020-08-27,49.25,50.56
2020-08-28,50.6,51.87
2020-08-31,51.87,51.0
2020-09-01,51.49,52.81
2020-09-02,53.21,52.38
2020-09-03,51.72,50.29
2020-09-04,49.19,50.0
2020-09-08,48.02,49.81
2020-09-09,51.18,50.66
2020-09-10,51.14,51.04
2020-09-11,51.31,50.49
2020-09-14,51.43,51.68
2020-09-15,52.22,53.72
2020-09-16,54.34,53.66
2020-09-17,52.13,52.26
2020-09-18,52.39,51.5
2020-09-21,49.88,51.41
2020-09-22,52.37,52.94
2020-09-23,52.92,52.25
2020-09-24,51.56,52.42
2020-09-25,52.5,53.13
2020-09-28,54.54,52.83
2020-09-29,52.75,53.34
2020-09-30,53.33,52.89
2020-10-01,53.8,54.41
2020-10-02,53.2,52.74
2020-10-05,53.38,54.3
2020-10-06,54.17,55.26
2020-10-07,56.96,57.99
2020-10-08,58.55,58.42
2020-10-09,58.28,58.59
2020-10-12,59.72,58.12
2020-10-13,58.09,58.51
2020-10-14,58.55,57.57
2020-10-15,56.56,58.0
2020-10-16,58.66,57.9
2020-10-19,58.57,57.08
2020-10-20,57.28,59.2
2020-10-21,59.29,59.86
2020-10-22,60.5,57.88
2020-10-23,59.25,59.0
2020-10-26,58.24,56.15
2020-10-27,58.0,55.98
2020-10-28,53.9,53.62
2020-10-29,54.14,55.52
2020-10-30,56.65,52.54
2020-11-02,53.11,52.95
2020-11-03,53.55,53.38
2020-11-04,54.99,58.82
2020-11-05,59.92,61.07
2020-11-06,60.76,62.22
2020-11-09,62.34,63.04
2020-11-10,62.31,62.56
2020-11-11,62.75,64.17
2020-11-12,64.35,64.55
2020-11-13,65.19,64.44
2020-11-16,64.36,65.52
2020-11-17,65.58,66.8
2020-11-18,67.66,67.93
2020-11-19,67.87,68.82
2020-11-20,68.93,69.75
2020-11-23,70.96,72.67
2020-11-24,73.63,71.84
2020-11-25,71.6,70.51
2020-11-27,71.52,73.28
2020-11-30,73.25,73.22
2020-12-01,73.82,73.31
2020-12-02,72.2,70.72
2020-12-03,71.2,71.14
2020-12-04,72.05,73.75
2020-12-07,74.22,73.5
2020-12-08,73.37,74.26
2020-12-09,74.44,71.68
2020-12-10,70.95,74.57
2020-12-11,74.15,75.11
2020-12-14,76.03,77.45
2020-12-15,77.86,78.08
2020-12-16,78.57,78.65
2020-12-17,79.4,81.23
2020-12-18,81.91,84.29
2020-12-21,83.89,84.97
2020-12-22,86.19,85.54
2020-12-23,85.47,84.13
2020-12-24,84.71,85.17
2020-12-28,86.16,83.0
2020-12-29,83.79,83.1
2020-12-30,83.46,83.24
2020-12-31,83.17,83.92
2021-01-04,85.0,82.67
2021-01-05,81.47,82.88
2021-01-06,81.83,77.95
2021-01-07,78.38,80.23
2021-01-08,81.01,80.09
2021-01-11,78.84,79.77
2021-01-12,80.0,79.88
2021-01-13,80.27,79.58
2021-01-14,79.83,79.41
2021-01-15,79.29,78.23
2021-01-19,79.71,79.92
2021-01-20,80.83,82.55
2021-01-21,83.2,79.68
2021-01-22,78.72,79.0
2021-01-25,79.15,75.81
2021-01-26,76.03,73.4
2021-01-27,71.77,69.46
2021-01-28,71.88,74.18
2021-01-29,75.5,71.9
2021-02-01,73.0,74.85
2021-02-02,76.32,78.28
2021-02-03,78.74,78.64
2021-02-04,79.3,81.22
2021-02-05,83.57,85.71
2021-02-08,86.9,88.58
2021-02-09,88.24,89.14
2021-02-10,89.83,87.92
2021-02-11,88.29,90.36
2021-02-12,90.42,92.14
2021-02-16,93.18,93.81
2021-02-17,93.75,94.09
2021-02-18,93.24,90.5
2021-02-19,91.64,92.34
2021-02-22,88.0,87.56
2021-02-23,83.6,88.19
2021-02-24,88.11,87.99
2021-02-25,86.65,84.45
2021-02-26,84.38,85.81
2021-03-01,87.3,89.67
2021-03-02,89.67,87.77
2021-03-03,86.88,82.31
2021-03-04,81.5,77.25
2021-03-05,79.16,76.67
2021-03-08,75.43,69.33
2021-03-09,72.6,70.91
2021-03-10,72.02,70.71
2021-03-11,73.46,76.41
2021-03-12,70.35,71.79
2021-03-15,71.76,70.79
2021-03-16,71.17,69.53
2021-03-17,68.39,70.21
2021-03-18,68.87,66.79
2021-03-19,67.06,66.91
2021-03-22,67.14,67.37
2021-03-23,67.01,66.32
2021-03-24,67.05,62.68
2021-03-25,61.24,64.0
2021-03-26,64.49,62.16
2021-03-29,62.13,59.89
2021-03-30,59.58,61.28
2021-03-31,61.86,61.22
2021-04-01,63.34,64.22
2021-04-05,65.51,63.26
2021-04-06,63.09,65.42
2021-04-07,65.41,64.64
2021-04-08,65.33,67.85
2021-04-09,67.9,67.81
2021-04-12,67.09,67.74
2021-04-13,68.37,68.19
2021-04-14,68.19,66.12
2021-04-15,67.19,67.4
2021-04-16,67.4,68.27
2021-04-19,68.04,66.2
2021-04-20,66.1,65.62
2021-04-21,65.0,66.88
2021-04-22,67.81,65.76
2021-04-23,66.16,67.67
2021-04-26,67.59,69.9
2021-04-27,70.33,69.64
2021-04-28,69.32,69.39
2021-04-29,70.26,67.13
2021-04-30,65.82,64.64
2021-05-03,64.98,63.98
2021-05-04,63.09,61.99
2021-05-05,63.2,62.35
2021-05-06,61.77,61.28
2021-05-07,62.03,62.49
2021-05-10,62.48,59.8
2021-05-11,55.59,59.97
2021-05-12,58.44,57.05
2021-05-13,57.92,56.15
2021-05-14,56.95,59.21
2021-05-17,58.41,59.41
2021-05-18,59.81,59.37
2021-05-19,58.39,58.92
2021-05-20,59.55,61.2
2021-05-21,62.02,62.89
2021-05-24,65.1,62.99
2021-05-25,63.42,64.74
2021-05-26,65.28,65.97
2021-05-27,65.47,66.32
2021-05-28,66.8,65.97
2021-06-01,66.59,65.14
2021-06-02,63.45,66.07
2021-06-03,65.42,63.84
2021-06-04,64.38,64.13
2021-06-07,63.81,63.48
2021-06-08,64.5,62.86
2021-06-09,62.86,62.39
2021-06-10,62.08,63.04
2021-06-11,63.43,63.32
2021-06-14,63.12,63.98
2021-06-15,64.14,63.56
2021-06-16,63.44,63.34
2021-06-17,62.78,66.31
2021-06-18,66.39,68.29
2021-06-21,68.27,69.22
2021-06-22,69.0,69.23
2021-06-23,69.02,69.1
2021-06-24,70.42,70.42
2021-06-25,71.08,67.45
2021-06-28,68.0,67.91
2021-06-29,67.95,68.29
2021-06-30,67.83,67.06
2021-07-01,67.28,68.35
2021-07-02,68.93,69.91
2021-07-06,69.73,68.72
2021-07-07,69.51,66.77
2021-07-08,65.56,64.82
2021-07-09,64.6,64.3
2021-07-12,64.26,63.23
2021-07-13,63.03,62.47
2021-07-14,62.85,60.49
2021-07-15,60.4,58.24
2021-07-16,58.51,56.98
2021-07-19,55.93,55.79
2021-07-20,55.71,57.66
2021-07-21,58.0,59.3
2021-07-22,59.44,58.57
2021-07-23,58.81,59.46
2021-07-26,59.17,56.85
2021-07-27,56.52,55.47
2021-07-28,56.27,57.09
2021-07-29,57.14,59.0
2021-07-30,58.08,58.84
2021-08-02,59.65,58.58
2021-08-03,58.62,57.06
2021-08-04,57.2,56.64
2021-08-05,56.6,57.39
2021-08-06,57.66,56.86
2021-08-09,57.3,58.15
2021-08-10,58.56,55.92
2021-08-11,56.0,56.68
2021-08-12,56.39,55.12
2021-08-13,55.22,53.23
2021-08-16,52.66,51.02
2021-08-17,50.43,50.13
2021-08-18,50.21,48.63
2021-08-19,48.16,49.94
2021-08-20,49.95,50.08
2021-08-23,50.44,52.94
2021-08-24,53.48,55.05
2021-08-25,53.61,52.88
2021-08-26,51.9,50.41
2021-08-27,50.59,51.61
2021-08-30,51.76,49.5
2021-08-31,45.96,46.54
2021-09-01,47.09,47.8
2021-09-02,47.82,44.61
2021-09-03,45.01,44.63
2021-09-07,45.0,44.83
2021-09-08,44.77,42.85
2021-09-09,42.69,43.91
2021-09-10,44.46,43.37
2021-09-13,43.5,43.32
2021-09-14,43.71,41.72
2021-09-15,41.6,40.84
2021-09-16,40.36,40.9
2021-09-17,41.16,41.74
2021-09-20,40.44,40.45
2021-09-21,40.73,40.15
2021-09-22,40.41,40.24
2021-09-23,40.56,40.16
2021-09-24,39.69,40.01
2021-09-27,39.66,38.27
2021-09-28,37.68,36.31
2021-09-29,36.51,34.68
2021-09-30,34.81,34.72
2021-10-01,34.95,35.41
2021-10-04,35.21,33.15
2021-10-05,33.33,33.5
2021-10-06,32.8,33.1
2021-10-07,33.47,34.26
2021-10-08,34.36,33.14
2021-10-11,32.72,30.87
2021-10-12,31.0,31.57
2021-10-13,32.0,32.05
2021-10-14,32.7,33.56
2021-10-15,33.67,37.31
2021-10-18,37.63,37.17
2021-10-19,37.16,37.54
2021-10-20,37.77,39.46
2021-10-21,39.05,38.9
2021-10-22,38.47,36.84
2021-10-25,37.23,37.75
2021-10-26,38.24,36.45
2021-10-27,36.35,33.81
2021-10-28,34.02,34.61
2021-10-29,34.5,33.86
2021-11-01,34.0,33.89
2021-11-02,33.58,32.05
2021-11-03,32.16,31.8
2021-11-04,32.0,30.99
2021-11-05,31.38,30.34
2021-11-08,30.53,30.34
2021-11-09,30.5,29.57
2021-11-10,29.19,28.58
2021-11-11,29.3,28.75
2021-11-12,29.5,30.21
2021-11-15,30.27,31.31
2021-11-16,31.6,31.66
2021-11-17,26.2,20.7
2021-11-18,21.12,19.23
2021-11-19,19.27,19.13
2021-11-22,19.03,17.01
2021-11-23,17.07,17.53
2021-11-24,17.23,17.07
2021-11-26,16.63,16.34
2021-11-29,16.51,16.24
2021-11-30,16.07,15.6
2021-12-01,15.8,15.0
2021-12-02,15.03,16.01
2021-12-03,16.04,15.25
2021-12-06,15.21,15.17
2021-12-07,15.9,16.8
2021-12-08,16.82,17.6
2021-12-09,17.49,17.57
2021-12-10,17.61,17.68
2021-12-13,17.52,16.76
2021-12-14,16.5,16.25
2021-12-15,16.17,17.04
2021-12-16,17.19,15.64
2021-12-17,15.58,15.64
2021-12-20,15.2,14.95
2021-12-21,15.22,16.19
2021-12-22,16.1,15.93
2021-12-23,15.56,17.41
2021-12-27,17.31,17.24
2021-12-28,17.01,16.39
2021-12-29,16.32,15.75
2021-12-30,15.75,17.0
2021-12-31,16.96,16.86
2022-01-03,17.06,19.32
2022-01-04,18.77,17.07
2022-01-05,16.7,15.81
2022-01-06,16.1,15.91
2022-01-07,15.91,16.12
2022-01-10,16.07,16.38
2022-01-11,16.35,17.25
2022-01-12,17.75,17.65
2022-01-13,17.64,16.69
2022-01-14,16.37,16.62
2022-01-18,16.22,15.11
2022-01-19,15.32,15.23
2022-01-20,15.56,15.14
2022-01-21,14.9,14.46
2022-01-24,13.81,14.68
2022-01-25,14.25,14.26
2022-01-26,14.84,14.51
2022-01-27,14.72,13.87
2022-01-28,14.02,14.66
2022-01-31,14.58,15.58
2022-02-01,15.95,16.0
2022-02-02,15.59,14.01
2022-02-03,13.64,13.1
2022-02-04,13.26,13.41
2022-02-07,13.43,13.41
2022-02-08,13.21,12.94
2022-02-09,13.33,13.6
2022-02-10,13.22,13.14
2022-02-11,13.17,12.68
2022-02-14,12.68,12.45
2022-02-15,12.75,13.0
2022-02-16,12.73,12.32
2022-02-17,12.24,11.16
2022-02-18,11.09,10.71
2022-02-22,10.49,10.71
2022-02-23,10.84,10.51
2022-02-24,9.79,11.39
2022-02-25,11.42,11.42
2022-02-28,11.21,11.24
2022-03-01,11.15,10.87
2022-03-02,10.99,11.01
2022-03-03,11.07,10.48
2022-03-04,10.28,9.73
2022-03-07,9.87,9.2
2022-03-08,9.21,9.55
2022-03-09,9.84,10.42
2022-03-10,10.08,9.51
2022-03-11,9.65,8.93
2022-03-14,8.84,8.36
2022-03-15,8.37,8.26
2022-03-16,8.42,9.44
2022-03-17,9.23,9.61
2022-03-18,12.34,13.65
2022-03-21,13.46,13.33
2022-03-22,13.46,14.32
2022-03-23,14.14,14.23
2022-03-24,14.43,14.35
2022-03-25,14.14,12.3
2022-03-28,12.51,12.28
2022-03-29,12.61,13.0
2022-03-30,12.8,12.09
2022-03-31,12.12,11.7
2022-04-01,11.82,12.14
2022-04-04,12.27,12.56
2022-04-05,12.54,11.64
2022-04-06,11.31,11.47
2022-04-07,11.33,11.25
2022-04-08,11.26,11.01
2022-04-11,10.75,10.96
2022-04-12,11.29,10.45
2022-04-13,10.42,10.71
2022-04-14,10.6,10.19
2022-04-18,10.08,10.33
2022-04-19,10.19,11.06
2022-04-20,10.98,10.14
2022-04-21,10.35,9.56
2022-04-22,9.64,9.28
2022-04-25,9.21,9.69
2022-04-26,9.56,9.3
2022-04-27,9.46,9.5
2022-04-28,9.68,9.7
2022-04-29,9.68,9.42
2022-05-02,9.38,9.89
2022-05-03,9.83,9.64
2022-05-04,9.72,9.99
2022-05-05,9.72,8.89
2022-05-06,8.87,8.51
2022-05-09,8.21,7.78
2022-05-10,8.04,7.86
2022-05-11,7.8,7.24
2022-05-12,7.0,7.26
2022-05-13,7.58,8.72
2022-05-16,9.03,8.36
2022-05-17,8.61,8.9
2022-05-18,8.63,8.76
2022-05-19,8.69,9.35
2022-05-20,9.51,9.33
2022-05-23,9.3,9.6
2022-05-24,9.3,9.03
2022-05-25,8.98,9.43
2022-05-26,9.34,9.71
2022-05-27,9.86,10.28
2022-05-31,10.36,10.04
2022-06-01,10.05,9.72
2022-06-02,9.66,10.42
2022-06-03,11.29,11.8
2022-06-06,11.92,12.06
2022-06-07,11.66,12.13
2022-06-08,12.15,11.89
2022-06-09,11.69,10.12
2022-06-10,9.77,9.07
2022-06-13,8.47,8.11
2022-06-14,8.33,8.23
2022-06-15,8.33,8.51
2022-06-16,8.14,7.63
2022-06-17,7.73,8.1
2022-06-21,8.35,8.1
2022-06-22,7.92,8.2
2022-06-23,8.22,8.5
2022-06-24,8.65,8.86
2022-06-27,8.9,8.84
2022-06-28,8.83,8.24
2022-06-29,8.13,8.08
2022-06-30,7.88,7.7
2022-07-01,7.65,7.77
2022-07-05,7.58,8.28
2022-07-06,8.28,8.21
2022-07-07,8.25,8.52
2022-07-08,8.28,8.42
2022-07-11,8.2,7.86
2022-07-12,7.85,8.5
2022-07-13,8.19,8.74
2022-07-14,8.65,8.08
2022-07-15,8.31,8.59
2022-07-18,8.8,8.65
2022-07-19,8.89,9.27
2022-07-20,9.33,9.5
2022-07-21,9.41,9.52
2022-07-22,9.55,9.17
2022-07-25,9.22,9.26
2022-07-26,9.08,8.8
2022-07-27,9.12,9.77
2022-07-28,9.6,9.66
2022-07-29,9.58,9.58
2022-08-01,9.42,9.42
2022-08-02,9.24,9.48
2022-08-03,9.82,10.5
2022-08-04,10.72,11.07
2022-08-05,10.57,11.07
2022-08-08,11.27,11.66
2022-08-09,11.53,11.37
2022-08-10,11.99,11.94
2022-08-11,12.2,11.31
2022-08-12,11.66,12.06
2022-08-15,11.87,12.1
2022-08-16,12.33,11.79
2022-08-17,11.55,11.72
2022-08-18,11.6,11.66
2022-08-19,9.76,9.06
2022-08-22,8.51,8.72
2022-08-23,8.75,9.35
2022-08-24,9.39,9.9
2022-08-25,10.0,9.99
2022-08-26,9.93,9.6
2022-08-29,9.37,9.54
2022-08-30,9.76,9.51
2022-08-31,9.65,9.48
2022-09-01,9.38,9.19
2022-09-02,9.34,8.9
2022-09-06,8.51,8.26
2022-09-07,8.25,8.76
2022-09-08,8.55,8.74
2022-09-09,8.97,9.45
2022-09-12,9.58,9.79
2022-09-13,9.07,9.28
2022-09-14,9.26,9.43
2022-09-15,9.24,9.48
2022-09-16,9.14,9.04
2022-09-19,8.91,9.38
2022-09-20,9.23,9.68
2022-09-21,9.8,9.94
2022-09-22,9.88,9.57
2022-09-23,9.29,9.27
2022-09-26,9.17,8.73
2022-09-27,9.01,9.1
2022-09-28,9.17,9.81
2022-09-29,9.51,9.07
2022-09-30,8.97,9.53
2022-10-03,9.81,10.55
2022-10-04,11.05,11.69
2022-10-05,11.32,11.75
2022-10-06,11.72,11.88
2022-10-07,11.5,11.64
2022-10-10,11.69,11.33
2022-10-11,11.23,10.61
2022-10-12,10.64,10.75
2022-10-13,10.15,10.77
2022-10-14,11.08,10.01
2022-10-17,10.41,10.69
2022-10-18,11.13,10.8
2022-10-19,10.49,10.42
2022-10-20,10.41,10.1
2022-10-21,10.02,10.42
2022-10-24,10.39,10.29
2022-10-25,10.32,10.45
2022-10-26,10.25,10.22
2022-10-27,10.26,9.89
2022-10-28,9.86,10.17
2022-10-31,10.04,10.5
2022-11-01,10.87,11.01
2022-11-02,10.96,10.49
2022-11-03,10.25,12.04
2022-11-04,11.99,10.81
2022-11-07,10.91,10.7
2022-11-08,10.69,10.75
2022-11-09,10.5,10.23
2022-11-10,10.97,10.22
2022-11-11,10.34,11.05
2022-11-14,10.92,10.95
2022-11-15,11.41,11.39
2022-11-16,11.15,10.47
2022-11-17,10.15,9.87
2022-11-18,11.26,11.53
2022-11-21,11.41,11.18
2022-11-22,11.11,11.24
2022-11-23,11.09,10.44
2022-11-25,10.35,10.31
2022-11-28,10.61,10.58
2022-11-29,10.65,10.92
2022-11-30,11.0,11.68
2022-12-01,11.97,11.75
2022-12-02,11.49,11.91
2022-12-05,11.82,11.27
2022-12-06,11.31,10.96
2022-12-07,10.66,10.27
2022-12-08,10.4,10.28
2022-12-09,10.2,9.86
2022-12-12,9.81,9.5
2022-12-13,9.98,9.41
2022-12-14,9.4,9.52
2022-12-15,9.3,9.16
2022-12-16,9.04,8.99
