date,open,close
2020-05-11,13.75,13.09
2020-05-12,13.26,12.74
2020-05-13,12.6,11.75
2020-05-14,11.29,12.03
2020-05-15,11.84,11.63
2020-05-18,12.32,12.67
2020-05-19,12.75,12.55
2020-05-20,12.72,13.13
2020-05-21,13.2,12.78
2020-05-22,12.8,13.07
2020-05-26,13.87,13.79
2020-05-27,14.47,14.37
2020-05-28,14.57,13.91
2020-05-29,13.91,13.26
2020-06-01,13.22,13.9
2020-06-02,14.15,14.39
2020-06-03,14.71,15.7
2020-06-04,15.62,15.91
2020-06-05,17.5,16.46
2020-06-08,17.22,17.31
2020-06-09,16.53,16.65
2020-06-10,16.54,15.25
2020-06-11,14.12,14.34
2020-06-12,15.29,15.24
2020-06-15,14.41,15.03
2020-06-16,15.8,15.29
2020-06-17,15.94,15.7
2020-06-18,15.38,15.6
2020-06-19,15.68,15.2
2020-06-22,15.04,15.4
2020-06-23,15.48,15.73
2020-06-24,15.42,15.05
2020-06-25,14.87,15.37
2020-06-26,15.21,15.14
2020-06-29,14.78,14.9
2020-06-30,14.82,14.96
2020-07-01,14.92,14.81
2020-07-02,15.06,14.5
2020-07-06,14.75,14.49
2020-07-07,14.32,13.88
2020-07-08,13.79,13.88
2020-07-09,13.78,13.33
2020-07-10,13.3,13.79
2020-07-13,14.03,13.95
2020-07-14,13.97,14.09
2020-07-15,14.71,14.8
2020-07-16,14.62,14.97
2020-07-17,14.92,14.69
2020-07-20,14.56,14.46
2020-07-21,14.62,14.82
2020-07-22,14.78,15.1
2020-07-23,15.0,14.76
2020-07-24,14.75,14.47
2020-07-27,14.4,14.67
2020-07-28,14.75,14.93
2020-07-29,14.96,15.06
2020-07-30,14.88,15.06
2020-07-31,15.05,14.95
2020-08-03,14.84,14.89
2020-08-04,14.88,14.94
2020-08-05,15.06,15.3
2020-08-06,15.4,15.63
2020-08-07,15.57,15.68
2020-08-10,15.8,16.0
2020-08-11,16.37,16.4
2020-08-12,16.56,16.42
2020-08-13,16.3,16.06
2020-08-14,16.03,16.25
2020-08-17,16.25,16.0
2020-08-18,15.95,15.67
2020-08-19,15.63,15.56
2020-08-20,15.5,15.51
2020-08-21,15.57,15.36
2020-08-24,15.42,15.93
2020-08-25,15.98,15.79
2020-08-26,15.84,15.49
2020-08-27,15.46,15.79
2020-08-28,15.9,16.01
2020-08-31,16.09,15.6
2020-09-01,15.5,15.9
2020-09-02,15.89,15.89
2020-09-03,15.84,15.66
2020-09-04,15.73,15.63
2020-09-08,15.58,15.34
2020-09-09,15.44,15.69
2020-09-10,15.72,15.68
2020-09-11,15.67,15.34
2020-09-14,15.34,15.96
2020-09-15,15.91,15.64
2020-09-16,15.78,16.03
2020-09-17,16.07,16.37
2020-09-18,16.25,16.09
2020-09-21,15.7,15.53
2020-09-22,15.6,15.55
2020-09-23,15.6,15.0
2020-09-24,15.05,14.87
2020-09-25,14.78,15.29
2020-09-28,15.64,15.95
2020-09-29,15.45,15.1
2020-09-30,15.17,15.09
2020-10-01,15.2,15.22
2020-10-02,14.9,15.53
2020-10-05,15.68,15.55
2020-10-06,15.65,15.33
2020-10-07,15.42,15.37
2020-10-08,15.48,15.93
2020-10-09,16.0,15.63
2020-10-12,15.59,15.8
2020-10-13,15.67,15.57
2020-10-14,15.58,15.59
2020-10-15,15.58,15.45
2020-10-16,15.39,15.32
2020-10-19,15.32,14.94
2020-10-20,15.05,14.99
2020-10-21,14.95,14.75
2020-10-22,14.75,14.89
2020-10-23,14.99,15.18
2020-10-26,15.0,14.7
2020-10-27,14.74,14.59
2020-10-28,14.41,13.91
2020-10-29,13.86,14.23
2020-10-30,14.19,13.97
2020-11-02,14.14,14.39
2020-11-03,14.61,14.67
2020-11-04,14.6,14.37
2020-11-05,14.47,14.69
2020-11-06,14.82,14.27
2020-11-09,15.5,16.71
2020-11-10,16.83,17.02
2020-11-11,17.06,16.53
2020-11-12,16.35,16.16
2020-11-13,16.26,16.65
2020-11-16,17.21,17.55
2020-11-17,17.27,17.31
2020-11-18,17.44,17.34
2020-11-19,17.31,17.44
2020-11-20,17.4,17.49
2020-11-23,17.71,18.23
2020-11-24,18.74,19.12
2020-11-25,19.0,18.61
2020-11-27,18.64,18.53
2020-11-30,18.45,17.94
2020-12-01,18.19,18.32
2020-12-02,18.35,18.67
2020-12-03,18.76,18.69
2020-12-04,18.94,19.1
2020-12-07,19.0,18.84
2020-12-08,18.8,18.84
2020-12-09,19.06,18.97
2020-12-10,18.8,18.91
2020-12-11,18.79,18.73
2020-12-14,19.02,18.93
2020-12-15,19.07,19.46
2020-12-16,19.45,19.44
2020-12-17,19.44,19.44
2020-12-18,19.69,19.4
2020-12-21,19.04,19.1
2020-12-22,19.2,19.25
2020-12-23,19.34,19.71
2020-12-24,19.71,19.52
2020-12-28,19.56,19.9
2020-12-29,20.0,19.78
2020-12-30,19.33,19.28
2020-12-31,19.22,19.3
2021-01-04,19.34,18.52
2021-01-05,18.5,18.34
2021-01-06,18.6,18.98
2021-01-07,19.22,18.8
2021-01-08,18.97,18.8
2021-01-11,18.69,18.7
2021-01-12,18.71,18.97
2021-01-13,19.02,18.77
2021-01-14,18.81,18.81
2021-01-15,18.95,18.74
2021-01-19,18.84,18.92
2021-01-20,18.94,19.01
2021-01-21,19.03,19.03
2021-01-22,18.77,19.52
2021-01-25,19.52,19.42
2021-01-26,19.47,19.23
2021-01-27,19.07,19.0
2021-01-28,19.06,19.22
2021-01-29,19.05,18.76
2021-02-01,18.91,19.16
2021-02-02,19.24,19.67
2021-02-03,19.73,19.59
2021-02-04,19.71,20.11
2021-02-05,20.24,20.41
2021-02-08,20.5,20.81
2021-02-09,20.78,20.75
2021-02-10,20.8,20.9
2021-02-11,20.89,21.1
2021-02-12,21.1,21.5
2021-02-16,21.7,22.01
2021-02-17,22.0,21.55
2021-02-18,21.44,21.48
2021-02-19,21.55,22.1
2021-02-22,21.99,22.49
2021-02-23,22.47,22.23
2021-02-24,22.42,23.22
2021-02-25,23.38,22.71
2021-02-26,22.73,22.83
2021-03-01,23.35,23.26
2021-03-02,23.2,23.34
2021-03-03,23.4,23.27
2021-03-04,23.26,22.71
2021-03-05,22.96,22.95
2021-03-08,23.17,23.52
2021-03-09,23.55,23.1
2021-03-10,23.31,23.63
2021-03-11,23.73,23.96
2021-03-12,24.15,24.39
2021-03-15,24.5,24.85
2021-03-16,24.9,24.57
2021-03-17,24.6,25.28
2021-03-18,25.3,24.99
2021-03-19,24.93,24.87
2021-03-22,24.88,24.97
2021-03-23,24.75,24.27
2021-03-24,24.42,24.36
2021-03-25,24.19,24.82
2021-03-26,25.0,25.25
2021-03-29,25.07,24.87
2021-03-30,24.24,24.91
2021-03-31,24.87,24.74
2021-04-01,24.75,24.78
2021-04-05,24.86,24.8
2021-04-06,24.8,24.76
2021-04-07,24.83,24.72
2021-04-08,24.7,24.78
2021-04-09,24.8,24.84
2021-04-12,24.9,24.93
2021-04-13,24.94,25.11
2021-04-14,25.19,25.26
2021-04-15,25.4,25.43
2021-04-16,25.52,25.51
2021-04-19,25.55,25.31
2021-04-20,25.21,24.99
2021-04-21,24.88,25.38
2021-04-22,25.41,25.03
2021-04-23,25.12,25.53
2021-04-26,25.6,25.38
2021-04-27,25.5,25.59
2021-04-28,25.63,25.83
2021-04-29,25.96,25.87
2021-04-30,25.85,25.82
2021-05-03,25.94,25.63
2021-05-04,25.6,25.44
2021-05-05,25.44,25.36
2021-05-06,25.2,25.09
2021-05-07,25.1,25.18
2021-05-10,25.25,24.87
2021-05-11,24.66,24.78
2021-05-12,24.72,23.72
2021-05-13,23.77,24.45
2021-05-14,24.55,24.86
2021-05-17,24.75,24.89
2021-05-18,24.89,24.74
2021-05-19,24.5,24.88
2021-05-20,24.84,24.9
2021-05-21,25.0,24.87
2021-05-24,25.01,25.08
2021-05-25,25.1,24.75
2021-05-26,24.81,25.09
2021-05-27,25.24,25.13
2021-05-28,25.17,25.39
2021-06-01,25.45,25.62
2021-06-02,25.76,25.7
2021-06-03,25.68,25.63
2021-06-04,25.63,25.68
2021-06-07,25.77,26.1
2021-06-08,26.15,26.64
2021-06-09,26.68,26.57
2021-06-10,26.8,26.61
2021-06-11,26.61,26.77
2021-06-14,26.69,26.57
2021-06-15,26.53,26.26
2021-06-16,26.21,26.34
2021-06-17,26.42,25.72
