date,open,close
2021-06-30,46.0,42.5
2021-07-01,44.28,40.04
2021-07-02,42.11,44.59
2021-07-06,45.81,49.5
2021-07-07,52.98,51.49
2021-07-08,50.0,50.0
2021-07-09,51.38,49.24
2021-07-12,50.46,50.58
2021-07-13,50.63,49.01
2021-07-14,49.01,46.0
2021-07-15,47.06,43.4
2021-07-16,43.5,44.15
2021-07-19,43.91,47.0
2021-07-20,47.24,47.45
2021-07-21,47.45,47.1
2021-07-22,46.35,47.77
2021-07-23,48.09,46.56
2021-07-26,48.49,49.5
2021-07-27,49.75,47.6
2021-07-28,48.0,49.81
2021-07-29,50.4,50.56
2021-07-30,50.0,49.31
2021-08-02,50.7,51.97
2021-08-03,52.12,51.87
2021-08-04,51.5,50.06
2021-08-05,50.0,52.5
2021-08-06,52.53,50.89
2021-08-09,51.08,50.61
2021-08-10,50.59,49.31
2021-08-11,49.01,46.64
2021-08-12,47.1,49.68
2021-08-13,49.68,50.36
2021-08-16,49.49,49.35
2021-08-17,48.5,47.02
2021-08-18,47.24,48.7
2021-08-19,47.99,50.36
2021-08-20,50.01,51.29
2021-08-23,51.2,53.13
2021-08-24,54.97,56.7
2021-08-25,57.7,59.39
2021-08-26,59.64,61.01
2021-08-27,62.5,64.9
2021-08-30,65.03,65.19
2021-08-31,64.73,63.93
2021-09-01,63.43,67.26
2021-09-02,68.61,64.78
2021-09-03,64.68,69.04
2021-09-07,69.48,71.01
2021-09-08,70.25,68.24
2021-09-09,69.11,66.04
2021-09-10,67.0,63.75
2021-09-13,64.18,61.0
2021-09-14,61.5,62.1
2021-09-15,61.5,67.51
2021-09-16,67.06,72.75
2021-09-17,71.7,69.25
2021-09-20,64.0,63.88
2021-09-21,64.81,64.16
2021-09-22,64.62,64.36
2021-09-23,64.53,60.87
2021-09-24,60.01,61.06
2021-09-27,60.05,57.1
2021-09-28,55.38,55.65
2021-09-29,55.8,54.38
2021-09-30,55.16,53.57
2021-10-01,54.03,55.24
2021-10-04,55.32,51.37
2021-10-05,51.5,51.35
2021-10-06,50.5,53.49
2021-10-07,54.51,56.76
2021-10-08,57.32,54.65
2021-10-11,54.12,52.39
2021-10-12,53.56,54.94
2021-10-13,55.28,59.06
2021-10-14,61.06,60.0
2021-10-15,61.05,59.58
2021-10-18,59.61,62.64
2021-10-19,63.61,62.49
2021-10-20,63.0,62.56
2021-10-21,62.78,65.76
2021-10-22,66.13,63.79
2021-10-25,64.07,65.26
2021-10-26,66.36,66.0
2021-10-27,66.11,63.79
2021-10-28,63.7,64.01
2021-10-29,64.0,66.4
2021-11-01,66.68,66.97
2021-11-02,67.0,64.23
2021-11-03,64.14,65.83
2021-11-04,65.79,69.27
2021-11-05,69.5,66.91
2021-11-08,66.78,69.89
2021-11-09,70.52,74.87
2021-11-10,72.58,70.72
2021-11-11,72.17,73.15
2021-11-12,74.37,76.3
2021-11-15,76.87,71.55
2021-11-16,72.0,74.69
2021-11-17,75.0,73.71
2021-11-18,74.54,72.13
2021-11-19,72.87,70.3
2021-11-22,70.63,64.03
2021-11-23,63.01,58.26
2021-11-24,57.56,58.44
2021-11-26,57.75,57.63
2021-11-29,59.0,58.07
2021-11-30,58.0,53.97
2021-12-01,55.42,48.57
2021-12-02,49.01,50.04
2021-12-03,50.16,46.23
2021-12-06,46.22,45.01
2021-12-07,47.43,51.04
2021-12-08,44.8,48.6
2021-12-09,46.73,48.11
2021-12-10,47.9,50.3
2021-12-13,49.5,47.16
2021-12-14,45.0,46.47
2021-12-15,46.82,50.09
2021-12-16,50.08,47.37
2021-12-17,45.62,47.97
2021-12-20,46.58,49.15
2021-12-21,49.5,50.3
2021-12-22,50.11,51.69
2021-12-23,51.97,51.6
2021-12-27,52.0,53.2
2021-12-28,53.3,52.22
2021-12-29,51.99,50.63
2021-12-30,50.54,52.31
2021-12-31,52.05,50.49
2022-01-03,52.0,47.62
2022-01-04,47.22,46.56
2022-01-05,46.03,43.61
2022-01-06,43.0,43.34
2022-01-07,43.46,44.33
2022-01-10,42.76,45.87
2022-01-11,44.54,48.88
2022-01-12,49.15,46.99
2022-01-13,47.12,42.21
2022-01-14,41.97,42.68
2022-01-18,41.65,41.2
2022-01-19,41.05,41.38
2022-01-20,42.56,41.84
2022-01-21,41.23,40.11
2022-01-24,38.48,41.49
2022-01-25,39.51,39.26
2022-01-26,40.93,39.93
2022-01-27,41.38,38.44
2022-01-28,38.83,40.54
2022-01-31,41.88,44.75
2022-02-01,44.96,46.89
2022-02-02,45.41,43.89
2022-02-03,41.81,40.9
2022-02-04,41.43,42.85
2022-02-07,43.0,43.67
2022-02-08,42.37,43.34
2022-02-09,43.7,46.56
2022-02-10,43.79,46.43
2022-02-11,46.37,45.08
2022-02-14,44.07,44.2
2022-02-15,44.5,45.99
2022-02-16,46.05,44.88
2022-02-17,44.1,41.26
2022-02-18,41.5,38.99
2022-02-22,38.53,37.51
2022-02-23,35.82,34.09
2022-02-24,32.09,39.13
2022-02-25,38.1,38.82
2022-02-28,39.57,41.5
2022-03-01,42.42,42.02
2022-03-02,42.19,42.77
2022-03-03,42.09,41.05
2022-03-04,39.0,36.74
2022-03-07,37.5,33.92
2022-03-08,34.0,32.29
2022-03-09,32.73,34.64
2022-03-10,34.75,35.24
2022-03-11,34.42,32.91
2022-03-14,32.95,29.55
2022-03-15,30.51,30.89
2022-03-16,30.77,35.05
2022-03-17,33.58,37.67
2022-03-18,37.09,40.57
2022-03-21,39.15,38.48
2022-03-22,39.56,41.27
2022-03-23,40.2,41.7
2022-03-24,41.44,42.38
2022-03-25,42.84,40.48
2022-03-28,40.54,40.46
2022-03-29,40.16,40.78
2022-03-30,40.41,38.87
2022-03-31,38.93,38.74
2022-04-01,38.81,38.88
2022-04-04,39.38,41.54
2022-04-05,41.54,38.22
2022-04-06,37.41,35.45
2022-04-07,35.75,35.28
2022-04-08,35.07,34.02
2022-04-11,33.27,34.05
2022-04-12,34.84,34.04
2022-04-13,34.04,38.35
2022-04-14,37.6,37.12
2022-04-18,37.0,36.49
2022-04-19,36.4,37.93
2022-04-20,38.19,36.23
2022-04-21,36.5,33.53
2022-04-22,33.8,32.68
2022-04-25,32.07,35.38
2022-04-26,34.83,34.11
2022-04-27,34.13,33.3
2022-04-28,33.34,34.93
2022-04-29,34.97,33.27
2022-05-02,32.99,33.79
2022-05-03,33.27,32.47
2022-05-04,32.57,32.8
2022-05-05,31.88,29.29
2022-05-06,28.61,26.11
2022-05-09,25.21,21.94
2022-05-10,22.83,21.71
2022-05-11,21.39,19.64
