date,open,close
2020-05-11,17.63,17.67
2020-05-12,17.79,17.69
2020-05-13,19.02,18.76
2020-05-14,18.8,18.67
2020-05-15,18.57,18.59
2020-05-18,18.7,18.97
2020-05-19,18.97,18.83
2020-05-20,19.1,19.09
2020-05-21,19.3,19.17
2020-05-22,19.0,18.93
2020-05-26,19.55,19.4
2020-05-27,19.4,19.27
2020-05-28,19.26,19.22
2020-05-29,19.48,19.5
2020-06-01,19.1,19.21
2020-06-02,19.21,19.21
2020-06-03,19.07,19.05
2020-06-04,18.51,18.4
2020-06-05,18.48,18.58
2020-06-08,18.52,18.78
2020-06-09,18.9,18.92
2020-06-10,18.95,18.93
2020-06-11,18.77,18.32
2020-06-12,18.56,18.47
2020-06-15,18.25,18.38
2020-06-16,18.99,19.17
2020-06-17,18.77,18.64
2020-06-18,18.57,18.77
2020-06-19,18.85,18.61
2020-06-22,18.72,18.85
2020-06-23,18.91,19.02
2020-06-24,18.78,18.32
2020-06-25,18.24,18.48
2020-06-26,18.48,18.34
2020-06-29,18.22,18.11
2020-06-30,17.85,17.93
2020-07-01,17.59,17.64
2020-07-02,17.84,17.79
2020-07-06,17.77,17.66
2020-07-07,17.52,17.49
2020-07-08,17.46,17.48
2020-07-09,17.31,17.28
2020-07-10,17.27,17.27
2020-07-13,17.35,17.1
2020-07-14,17.1,17.33
2020-07-15,17.48,17.5
2020-07-16,17.45,17.24
2020-07-17,17.31,17.36
2020-07-20,17.65,17.76
2020-07-21,17.78,17.63
2020-07-22,17.6,17.44
2020-07-23,17.44,17.35
2020-07-24,17.39,17.42
2020-07-27,17.89,17.97
2020-07-28,17.92,17.87
2020-07-29,17.98,18.28
2020-07-30,18.16,18.16
2020-07-31,18.45,18.2
2020-08-03,18.36,18.52
2020-08-04,18.37,18.37
2020-08-05,18.49,18.43
2020-08-06,18.2,18.19
2020-08-07,18.4,18.15
2020-08-10,18.25,18.19
2020-08-11,18.67,18.49
2020-08-12,18.64,18.69
2020-08-13,18.58,18.55
2020-08-14,18.53,18.49
2020-08-17,18.59,18.82
2020-08-18,18.88,18.86
2020-08-19,19.0,18.96
2020-08-20,18.86,18.91
2020-08-21,18.86,18.84
2020-08-24,19.22,19.19
2020-08-25,19.06,18.88
2020-08-26,18.89,18.99
2020-08-27,18.87,18.78
2020-08-28,18.88,18.78
2020-08-31,18.64,18.61
2020-09-01,18.67,18.55
2020-09-02,18.41,18.58
2020-09-03,18.44,18.12
2020-09-04,18.07,18.05
2020-09-08,17.94,17.97
2020-09-09,18.01,18.06
2020-09-10,18.07,17.98
2020-09-11,18.32,18.34
2020-09-14,18.43,18.37
2020-09-15,18.39,18.42
2020-09-16,18.67,18.73
2020-09-17,18.73,18.84
2020-09-18,18.96,18.71
2020-09-21,18.54,18.48
2020-09-22,18.48,18.59
2020-09-23,18.66,18.6
2020-09-24,18.62,18.53
2020-09-25,18.43,18.53
2020-09-28,18.83,18.99
2020-09-29,18.45,18.14
2020-09-30,17.75,17.84
2020-10-01,17.79,17.65
2020-10-02,17.21,17.16
2020-10-05,17.2,17.33
2020-10-06,17.53,17.47
2020-10-07,17.34,17.29
2020-10-08,17.5,17.77
2020-10-09,17.75,17.8
2020-10-12,17.9,17.89
2020-10-13,17.55,17.39
2020-10-14,17.39,17.43
2020-10-15,17.1,16.89
2020-10-16,16.8,16.67
2020-10-19,16.92,16.75
2020-10-20,16.72,16.67
2020-10-21,16.68,16.76
2020-10-22,16.64,16.64
2020-10-23,16.64,16.66
2020-10-26,16.54,16.58
2020-10-27,16.66,16.55
2020-10-28,16.22,16.1
2020-10-29,16.6,15.95
2020-10-30,15.64,15.39
2020-11-02,15.65,15.74
2020-11-03,15.94,15.84
2020-11-04,16.14,16.31
2020-11-05,16.73,16.87
2020-11-06,16.71,16.7
2020-11-09,17.07,16.79
2020-11-10,16.95,17.08
2020-11-11,17.25,17.3
2020-11-12,16.97,16.88
2020-11-13,17.06,17.29
2020-11-16,17.54,17.25
2020-11-17,17.12,17.37
2020-11-18,17.47,17.38
2020-11-19,17.33,17.45
2020-11-20,17.6,17.55
2020-11-23,17.6,17.61
2020-11-24,17.55,17.61
2020-11-25,17.52,17.72
2020-11-27,17.89,17.97
2020-11-30,18.01,17.83
2020-12-01,17.97,17.98
2020-12-02,18.24,18.34
2020-12-03,18.34,18.41
2020-12-04,18.55,18.75
2020-12-07,18.5,18.77
2020-12-08,18.61,18.97
2020-12-09,18.84,18.68
2020-12-10,18.69,18.78
2020-12-11,18.62,18.79
2020-12-14,18.9,18.84
2020-12-15,18.69,18.78
2020-12-16,18.58,18.54
2020-12-17,18.73,18.77
2020-12-18,18.87,18.88
2020-12-21,18.63,18.6
2020-12-22,18.47,18.46
2020-12-23,18.33,18.28
2020-12-24,18.13,18.11
2020-12-28,17.95,18.14
2020-12-29,18.46,18.33
2020-12-30,18.29,18.18
2020-12-31,18.29,18.2
2021-01-04,18.2,17.99
2021-01-05,17.89,17.83
2021-01-06,17.7,17.9
2021-01-07,17.86,17.9
2021-01-08,17.99,18.25
2021-01-11,18.28,18.32
2021-01-12,18.39,18.27
2021-01-13,18.1,18.06
2021-01-14,17.92,17.9
2021-01-15,17.5,17.44
2021-01-19,17.47,17.44
2021-01-20,17.47,17.58
2021-01-21,17.44,17.3
2021-01-22,17.37,18.13
2021-01-25,18.27,18.37
2021-01-26,18.54,18.18
2021-01-27,18.03,17.55
2021-01-28,17.82,17.95
2021-01-29,17.88,17.63
2021-02-01,17.83,17.75
2021-02-02,17.65,17.45
2021-02-03,17.55,17.43
2021-02-04,17.61,17.2
2021-02-05,17.38,17.18
2021-02-08,17.27,17.42
2021-02-09,17.51,17.71
2021-02-10,17.83,17.53
2021-02-11,17.56,17.53
2021-02-12,17.48,17.54
2021-02-16,17.6,17.55
2021-02-17,17.51,17.53
2021-02-18,17.47,17.47
2021-02-19,17.53,17.67
2021-02-22,17.46,17.35
2021-02-23,17.0,17.15
2021-02-24,16.98,17.22
2021-02-25,17.07,16.75
2021-02-26,16.87,16.71
2021-03-01,16.93,16.98
2021-03-02,17.27,17.24
2021-03-03,17.61,17.71
2021-03-04,17.63,17.44
2021-03-05,17.55,17.47
2021-03-08,17.9,18.1
2021-03-09,18.29,18.22
2021-03-10,18.43,18.53
2021-03-11,18.37,18.53
2021-03-12,18.32,18.44
2021-03-15,18.69,18.87
2021-03-16,18.93,18.91
2021-03-17,19.31,19.52
2021-03-18,19.43,19.3
2021-03-19,19.45,19.81
2021-03-22,19.7,19.9
2021-03-23,19.64,19.37
2021-03-24,19.3,19.26
2021-03-25,19.02,19.23
2021-03-26,19.23,19.18
2021-03-29,18.89,18.78
