date,open,close
2020-05-11,53.99,54.13
2020-05-12,54.3,54.17
2020-05-13,54.25,54.39
2020-05-14,52.66,53.77
2020-05-15,53.7,54.0
2020-05-18,54.91,55.01
2020-05-19,55.5,55.94
2020-05-20,56.71,54.6
2020-05-21,52.77,54.66
2020-05-22,53.34,53.3
2020-05-26,55.0,57.32
2020-05-27,57.16,55.98
2020-05-28,55.95,55.54
2020-05-29,55.5,56.46
2020-06-01,56.94,61.03
2020-06-02,61.46,61.79
2020-06-03,62.55,64.39
2020-06-04,63.51,63.26
2020-06-05,64.63,65.84
2020-06-08,67.18,65.85
2020-06-09,65.5,65.58
2020-06-10,65.29,65.54
2020-06-11,63.51,63.04
2020-06-12,64.43,63.71
2020-06-15,62.51,64.84
2020-06-16,66.0,62.42
2020-06-17,62.72,64.16
2020-06-18,64.72,64.58
2020-06-19,67.02,67.05
2020-06-22,66.6,66.76
2020-06-23,67.96,67.6
2020-06-24,67.26,67.55
2020-06-25,67.15,67.93
2020-06-26,68.14,68.33
2020-06-29,68.06,67.44
2020-06-30,67.96,68.38
2020-07-01,68.54,69.95
2020-07-02,71.4,72.93
2020-07-06,76.01,74.15
2020-07-07,72.78,70.85
2020-07-08,73.08,73.09
2020-07-09,75.27,76.39
2020-07-10,75.91,73.56
2020-07-13,75.31,73.18
2020-07-14,72.42,71.95
2020-07-15,73.0,74.05
2020-07-16,73.25,72.64
2020-07-17,72.91,73.76
2020-07-20,74.49,77.04
2020-07-21,77.72,78.45
2020-07-22,77.49,78.31
2020-07-23,78.71,74.31
2020-07-24,71.32,75.74
2020-07-27,76.35,78.5
2020-07-28,77.4,78.69
2020-07-29,79.14,78.47
2020-07-30,78.19,78.0
2020-07-31,78.55,78.17
2020-08-03,79.5,80.97
2020-08-04,79.12,78.84
2020-08-05,79.69,82.02
2020-08-06,82.2,81.3
2020-08-07,80.0,76.58
2020-08-10,76.5,74.0
2020-08-11,73.73,74.89
2020-08-12,75.09,75.57
2020-08-13,75.63,77.11
2020-08-14,76.35,73.58
2020-08-17,74.76,76.6
2020-08-18,77.1,77.62
2020-08-19,77.71,74.09
2020-08-20,73.6,72.98
2020-08-21,73.0,74.09
2020-08-24,76.05,74.56
2020-08-25,74.78,76.62
2020-08-26,77.0,76.78
2020-08-27,76.12,76.43
2020-08-28,76.34,76.93
2020-08-31,74.33,73.81
2020-09-01,75.37,78.2
2020-09-02,81.49,79.81
2020-09-03,78.46,75.83
2020-09-04,75.55,75.13
2020-09-08,72.92,72.65
2020-09-09,73.01,74.28
2020-09-10,74.25,71.82
2020-09-11,72.93,72.98
2020-09-14,73.9,75.05
2020-09-15,75.88,75.44
2020-09-16,75.73,75.25
2020-09-17,74.0,75.74
2020-09-18,76.13,75.67
2020-09-21,74.04,73.05
2020-09-22,73.4,73.71
2020-09-23,74.0,73.82
2020-09-24,73.0,72.78
2020-09-25,72.93,72.08
2020-09-28,72.96,74.28
2020-09-29,74.2,74.73
2020-09-30,74.81,76.04
