date,open,close
2020-05-11,2.77,2.9
2020-05-12,2.9,2.86
2020-05-13,2.85,2.81
2020-05-14,2.91,2.87
2020-05-15,2.84,3.0
2020-05-18,3.05,3.14
2020-05-19,3.22,3.32
2020-05-20,3.42,3.48
2020-05-21,3.38,3.3
2020-05-22,3.26,3.08
2020-05-26,3.21,3.43
2020-05-27,3.85,3.66
2020-05-28,3.85,3.4
2020-05-29,3.41,3.33
2020-06-01,3.33,3.33
2020-06-02,3.45,3.42
2020-06-03,3.48,3.53
2020-06-04,3.5,3.74
2020-06-05,3.8,3.8
2020-06-08,3.78,3.8
2020-06-09,3.75,4.16
2020-06-10,4.11,3.96
2020-06-11,3.73,3.83
2020-06-12,3.9,3.89
2020-06-15,3.76,3.96
2020-06-16,4.12,3.88
2020-06-17,3.9,4.05
2020-06-18,4.05,3.98
2020-06-19,4.06,4.12
2020-06-22,4.2,4.06
2020-06-23,4.12,4.29
2020-06-24,4.26,4.41
2020-06-25,4.34,4.35
2020-06-26,4.32,4.24
2020-06-29,4.25,4.1
2020-06-30,4.11,4.16
2020-07-01,4.17,4.15
2020-07-02,4.22,4.14
2020-07-06,4.8,5.5
2020-07-07,5.06,5.49
2020-07-08,6.43,6.9
2020-07-09,7.49,6.97
2020-07-10,6.87,6.41
2020-07-13,6.66,6.3
2020-07-14,5.98,5.87
2020-07-15,6.2,5.78
2020-07-16,5.52,5.31
2020-07-17,5.46,5.32
2020-07-20,5.55,5.83
2020-07-21,5.9,6.06
2020-07-22,5.71,5.58
2020-07-23,5.6,5.31
2020-07-24,5.02,5.3
2020-07-27,5.36,5.19
2020-07-28,5.15,5.03
2020-07-29,5.3,5.25
2020-07-30,5.13,5.39
2020-07-31,5.46,5.27
2020-08-03,5.4,5.55
2020-08-04,5.67,5.63
2020-08-05,5.68,5.57
2020-08-06,5.68,5.52
2020-08-07,5.39,5.4
2020-08-10,5.8,5.56
2020-08-11,5.67,5.67
2020-08-12,5.77,6.88
2020-08-13,6.54,6.76
2020-08-14,6.62,6.52
2020-08-17,6.65,7.0
2020-08-18,6.9,6.24
2020-08-19,6.31,6.04
2020-08-20,5.96,6.1
2020-08-21,6.05,5.9
2020-08-24,5.93,5.67
2020-08-25,5.62,5.74
2020-08-26,5.68,5.57
2020-08-27,5.53,5.74
2020-08-28,5.83,5.58
2020-08-31,5.57,5.37
2020-09-01,5.35,5.3
2020-09-02,5.3,5.11
2020-09-03,5.05,5.01
2020-09-04,4.94,4.94
2020-09-08,4.75,4.7
2020-09-09,4.82,4.76
2020-09-10,4.8,4.69
2020-09-11,4.71,4.69
2020-09-14,4.75,4.83
2020-09-15,4.91,4.97
2020-09-16,5.0,4.93
2020-09-17,4.85,4.86
2020-09-18,5.0,4.93
2020-09-21,4.8,4.69
2020-09-22,4.72,4.69
2020-09-23,4.7,4.47
2020-09-24,4.44,4.65
2020-09-25,4.65,4.72
2020-09-28,4.78,4.69
2020-09-29,4.71,4.69
2020-09-30,4.7,4.74
2020-10-01,4.75,4.7
2020-10-02,4.56,4.69
2020-10-05,4.69,4.67
2020-10-06,4.77,5.0
2020-10-07,5.12,5.16
2020-10-08,5.25,5.25
2020-10-09,5.28,5.23
2020-10-12,5.3,5.05
2020-10-13,5.12,4.95
2020-10-14,5.0,4.73
2020-10-15,4.7,4.57
2020-10-16,4.74,4.74
2020-10-19,4.74,4.68
2020-10-20,4.72,4.72
2020-10-21,4.82,4.76
2020-10-22,4.72,4.81
2020-10-23,4.81,5.06
2020-10-26,4.96,4.82
2020-10-27,4.77,4.87
2020-10-28,4.8,4.77
2020-10-29,4.76,4.74
2020-10-30,4.73,4.55
2020-11-02,4.61,4.35
2020-11-03,4.4,4.38
2020-11-04,4.46,4.47
2020-11-05,4.6,4.72
2020-11-06,4.7,4.97
2020-11-09,5.25,5.22
2020-11-10,5.15,4.94
2020-11-11,4.9,5.09
2020-11-12,5.16,5.08
2020-11-13,5.11,5.38
2020-11-16,6.06,5.96
2020-11-17,5.8,6.13
2020-11-18,6.22,5.64
2020-11-19,5.9,7.17
2020-11-20,7.04,7.15
2020-11-23,7.34,7.1
2020-11-24,7.12,6.95
2020-11-25,6.45,6.65
2020-11-27,6.69,6.24
2020-11-30,6.2,5.94
2020-12-01,5.94,5.35
2020-12-02,5.35,5.42
2020-12-03,5.65,5.72
2020-12-04,5.72,5.51
2020-12-07,5.51,5.52
2020-12-08,5.65,5.54
2020-12-09,5.52,5.35
2020-12-10,5.34,5.49
2020-12-11,5.4,5.35
2020-12-14,5.39,5.67
2020-12-15,5.77,5.62
2020-12-16,5.68,5.51
2020-12-17,5.56,6.11
2020-12-18,6.15,6.11
2020-12-21,5.99,5.9
2020-12-22,6.22,7.88
2020-12-23,7.54,6.94
2020-12-24,7.16,6.79
2020-12-28,6.84,6.61
2020-12-29,6.7,7.29
2020-12-30,7.4,7.23
2020-12-31,7.15,7.94
2021-01-04,8.12,8.66
2021-01-05,8.48,9.57
2021-01-06,9.32,9.25
2021-01-07,9.31,9.35
2021-01-08,9.65,10.75
2021-01-11,10.26,9.89
2021-01-12,10.36,12.19
2021-01-13,12.5,12.48
2021-01-14,12.95,13.75
2021-01-15,13.94,13.91
2021-01-19,14.68,14.93
2021-01-20,15.92,14.88
2021-01-21,14.41,18.41
2021-01-22,17.79,17.76
2021-01-25,19.1,17.48
2021-01-26,18.33,17.22
2021-01-27,16.05,16.36
2021-01-28,16.38,16.48
2021-01-29,16.4,15.78
2021-02-01,16.15,18.7
2021-02-02,20.19,20.2
2021-02-03,20.99,23.47
2021-02-04,24.33,27.05
2021-02-05,25.98,26.15
2021-02-08,25.92,26.58
2021-02-09,28.55,28.85
2021-02-10,31.35,29.45
2021-02-11,29.45,27.85
2021-02-12,26.24,29.97
2021-02-16,31.31,36.72
2021-02-17,35.79,34.2
2021-02-18,32.68,31.42
2021-02-19,35.47,34.98
2021-02-22,33.37,31.1
2021-02-23,27.5,27.98
2021-02-24,28.1,26.97
2021-02-25,26.64,24.76
2021-02-26,24.98,23.85
2021-03-01,25.69,25.71
2021-03-02,25.8,23.75
2021-03-03,23.88,21.96
2021-03-04,20.92,20.33
2021-03-05,21.07,19.3
2021-03-08,18.72,16.69
2021-03-09,17.5,19.62
2021-03-10,21.8,19.23
2021-03-11,20.29,23.77
2021-03-12,21.86,23.74
2021-03-15,24.27,22.6
2021-03-16,23.56,21.27
2021-03-17,20.1,21.41
2021-03-18,20.76,20.99
2021-03-19,21.13,20.76
2021-03-22,20.96,19.22
2021-03-23,18.81,17.8
2021-03-24,18.29,16.02
2021-03-25,14.43,16.43
2021-03-26,17.53,14.47
2021-03-29,14.92,14.29
2021-03-30,14.49,14.71
2021-03-31,14.86,17.79
