date,open,close
2020-05-11,17.78,16.7
2020-05-12,16.74,16.9
2020-05-13,16.76,15.59
2020-05-14,15.2,15.61
2020-05-15,15.4,15.66
2020-05-18,16.49,19.02
2020-05-19,18.57,18.47
2020-05-20,18.82,19.53
2020-05-21,19.48,19.48
2020-05-22,19.58,18.92
2020-05-26,20.27,21.87
2020-05-27,22.75,23.35
2020-05-28,23.21,21.14
2020-05-29,21.0,19.28
2020-06-01,19.37,21.85
2020-06-02,21.9,21.19
2020-06-03,21.87,22.83
2020-06-04,22.99,22.01
2020-06-05,23.17,25.49
2020-06-08,26.54,25.45
2020-06-09,24.68,23.86
2020-06-10,23.77,22.22
2020-06-11,20.73,19.9
2020-06-12,20.98,20.41
2020-06-15,19.7,20.82
2020-06-16,21.76,20.51
2020-06-17,20.42,18.95
2020-06-18,18.82,18.96
2020-06-19,19.23,18.17
2020-06-22,17.84,18.18
2020-06-23,18.45,20.11
2020-06-24,19.4,18.15
2020-06-25,17.98,18.34
2020-06-26,18.16,18.03
2020-06-29,18.24,19.06
2020-06-30,18.73,19.01
2020-07-01,19.02,19.21
2020-07-02,19.79,19.1
2020-07-06,19.61,19.51
2020-07-07,19.2,18.5
2020-07-08,18.6,19.02
2020-07-09,18.93,19.38
2020-07-10,18.89,19.61
2020-07-13,19.8,18.87
2020-07-14,18.78,18.85
2020-07-15,19.65,20.57
2020-07-16,20.08,19.64
2020-07-17,19.78,19.71
2020-07-20,19.55,19.63
2020-07-21,19.85,20.05
2020-07-22,20.09,20.25
2020-07-23,20.05,20.33
2020-07-24,20.26,20.03
2020-07-27,20.08,20.84
2020-07-28,20.79,21.15
2020-07-29,21.32,21.44
2020-07-30,21.03,21.03
2020-07-31,20.81,20.23
2020-08-03,20.34,20.36
2020-08-04,20.38,20.72
2020-08-05,20.97,21.09
2020-08-06,21.13,21.57
2020-08-07,21.24,21.06
2020-08-10,21.32,21.17
2020-08-11,21.94,22.13
2020-08-12,22.28,23.01
2020-08-13,22.65,22.26
2020-08-14,22.05,22.29
2020-08-17,22.49,22.21
2020-08-18,22.0,21.96
2020-08-19,21.91,21.92
2020-08-20,21.6,21.99
2020-08-21,21.91,22.0
2020-08-24,22.08,23.38
2020-08-25,23.51,23.67
2020-08-26,23.7,22.93
2020-08-27,23.22,24.37
2020-08-28,24.55,24.56
2020-08-31,24.48,23.37
2020-09-01,23.24,23.16
2020-09-02,23.21,23.71
2020-09-03,23.75,22.8
2020-09-04,23.31,22.6
2020-09-08,22.04,22.03
2020-09-09,22.23,21.23
2020-09-10,21.45,21.43
2020-09-11,21.74,21.27
2020-09-14,21.52,21.32
2020-09-15,21.54,21.04
2020-09-16,21.0,21.32
2020-09-17,21.0,21.1
2020-09-18,21.11,20.75
2020-09-21,20.1,19.47
2020-09-22,19.57,19.88
2020-09-23,20.0,19.03
2020-09-24,18.69,18.93
2020-09-25,18.85,19.32
2020-09-28,19.56,19.82
2020-09-29,19.76,19.58
2020-09-30,19.75,19.59
2020-10-01,19.69,19.87
2020-10-02,19.22,19.35
2020-10-05,19.56,19.3
2020-10-06,19.37,19.7
2020-10-07,20.12,20.17
2020-10-08,20.62,20.22
2020-10-09,20.12,20.37
2020-10-12,20.55,21.02
2020-10-13,20.7,20.08
2020-10-14,20.26,19.9
2020-10-15,19.41,19.78
2020-10-16,19.81,19.51
2020-10-19,19.67,19.15
2020-10-20,19.34,19.64
2020-10-21,19.56,19.75
2020-10-22,19.78,20.75
2020-10-23,20.95,20.91
2020-10-26,20.4,20.11
2020-10-27,20.05,19.59
