date,open,close
2024-12-13,15.86,16.24
2024-12-16,16.64,18.22
2024-12-17,19.3,19.61
2024-12-18,18.81,16.82
2024-12-19,17.18,16.04
2024-12-20,15.35,14.89
2024-12-23,15.61,15.62
2024-12-24,15.97,17.89
2024-12-26,18.04,17.22
2024-12-27,16.8,15.5
2024-12-30,14.6,14.51
2024-12-31,14.91,13.51
2025-01-02,12.62,11.89
2025-01-03,11.97,13.81
2025-01-06,14.59,13.82
2025-01-07,13.45,12.72
2025-01-08,12.58,12.72
2025-01-10,12.39,12.71
2025-01-13,11.95,13.24
2025-01-14,14.02,12.8
2025-01-15,13.62,14.82
2025-01-16,14.52,13.82
2025-01-17,14.34,14.65
2025-01-21,15.08,14.47
2025-01-22,13.99,13.88
2025-01-23,13.93,13.67
2025-01-24,13.79,13.29
2025-01-27,12.5,12.67
2025-01-28,12.62,12.72
2025-01-29,12.54,12.08
2025-01-30,13.49,12.84
2025-01-31,12.92,13.11
2025-02-03,11.9,11.76
2025-02-04,11.66,12.27
2025-02-05,11.94,11.38
2025-02-06,11.06,11.14
2025-02-07,10.88,10.37
2025-02-10,10.07,9.74
2025-02-11,9.47,8.52
2025-02-12,8.55,8.94
2025-02-13,9.37,9.95
2025-02-14,10.19,9.92
2025-02-18,9.88,9.81
2025-02-19,9.79,10.17
2025-02-20,10.22,9.83
2025-02-21,9.75,8.88
2025-02-24,8.89,8.5
2025-02-25,8.32,7.07
2025-02-26,7.11,6.52
2025-02-27,6.5,6.12
2025-02-28,5.99,6.6
2025-03-03,6.92,6.2
2025-03-04,5.6,5.66
2025-03-05,5.7,5.95
2025-03-06,5.61,5.28
2025-03-07,5.1,5.24
2025-03-10,4.83,3.61
2025-03-11,3.72,3.9
2025-03-12,4.44,4.49
2025-03-13,4.47,4.2
2025-03-14,4.44,4.53
2025-03-17,4.36,4.1
2025-03-18,3.76,3.67
2025-03-19,3.87,4.0
2025-03-20,3.92,4.01
2025-03-21,3.96,4.44
2025-03-24,4.76,5.48
2025-03-25,5.69,5.87
2025-03-26,5.65,5.21
2025-03-27,5.21,5.25
2025-03-28,5.33,4.88
2025-03-31,4.34,4.71
2025-04-01,4.86,5.05
2025-04-02,4.53,5.57
2025-04-03,4.88,4.96
2025-04-04,4.54,3.93
2025-04-07,3.4,3.72
2025-04-08,4.1,3.36
2025-04-09,3.45,4.89
2025-04-10,4.44,4.17
2025-04-11,4.16,4.15
2025-04-14,4.36,4.15
2025-04-15,4.08,4.22
2025-04-16,4.01,3.81
2025-04-17,3.86,3.79
2025-04-21,3.45,3.36
2025-04-22,3.45,3.67
2025-04-23,4.18,4.06
2025-04-24,4.04,4.34
2025-04-25,4.41,5.17
2025-04-28,5.32,5.22
2025-04-29,5.2,5.43
2025-04-30,4.98,5.08
2025-05-01,4.98,5.01
2025-05-02,5.16,5.24
2025-05-05,5.14,4.98
2025-05-06,4.72,4.81
2025-05-07,4.84,4.84
2025-05-08,4.96,5.13
2025-05-09,5.33,5.62
