date,open,close
2022-08-09,25.23,24.13
2022-08-10,25.87,25.45
2022-08-11,25.75,24.52
2022-08-12,24.81,26.13
2022-08-15,26.45,27.35
2022-08-16,27.7,27.02
2022-08-17,26.53,26.68
2022-08-18,26.94,26.5
2022-08-19,25.98,25.7
2022-08-22,25.06,24.8
2022-08-23,24.99,25.65
2022-08-24,25.79,25.7
2022-08-25,26.38,25.58
2022-08-26,25.75,24.54
2022-08-29,23.84,24.13
2022-08-30,24.48,23.22
2022-08-31,23.57,22.92
2022-09-01,22.54,23.15
2022-09-02,23.61,22.27
2022-09-06,22.49,22.77
2022-09-07,22.59,23.92
2022-09-08,23.58,24.62
2022-09-09,24.9,25.93
2022-09-12,26.02,26.54
2022-09-13,25.02,24.93
2022-09-14,24.95,26.25
2022-09-15,26.15,26.4
2022-09-16,25.82,26.32
2022-09-19,25.85,27.07
2022-09-20,26.77,27.0
2022-09-21,26.95,25.97
2022-09-22,25.83,24.38
2022-09-23,23.67,22.7
2022-09-26,22.25,22.78
2022-09-27,23.75,23.64
2022-09-28,23.62,24.22
2022-09-29,23.57,21.78
2022-09-30,21.46,21.39
2022-10-03,20.05,18.62
2022-10-04,19.56,19.47
2022-10-05,18.88,18.38
2022-10-06,18.27,18.11
2022-10-07,17.61,16.38
2022-10-10,16.46,16.34
2022-10-11,16.12,15.63
2022-10-12,15.51,15.72
2022-10-13,14.74,16.2
2022-10-14,16.43,14.36
2022-10-17,14.89,15.87
2022-10-18,16.93,15.96
2022-10-19,15.9,16.19
2022-10-20,14.63,14.54
2022-10-21,14.43,15.28
2022-10-24,14.35,14.94
2022-10-25,14.8,16.1
2022-10-26,15.78,16.35
2022-10-27,16.91,16.4
2022-10-28,16.4,16.76
2022-10-31,16.49,16.65
2022-11-01,17.37,16.68
2022-11-02,16.46,15.26
2022-11-03,14.86,15.29
2022-11-04,16.06,14.46
2022-11-07,14.57,13.37
2022-11-08,13.04,12.78
2022-11-09,12.69,11.4
2022-11-10,12.56,12.66
2022-11-11,12.18,13.15
2022-11-14,12.86,12.67
2022-11-15,13.14,13.01
2022-11-16,12.7,12.26
2022-11-17,11.94,11.88
2022-11-18,12.04,11.58
2022-11-21,11.15,10.4
2022-11-22,10.46,10.57
2022-11-23,10.92,11.82
2022-11-25,11.99,11.78
2022-11-28,11.48,11.78
2022-11-29,11.97,11.58
2022-11-30,11.75,12.88
2022-12-01,13.13,12.91
2022-12-02,12.59,12.91
2022-12-05,12.36,11.68
2022-12-06,11.55,11.43
2022-12-07,10.96,10.87
2022-12-08,10.63,10.78
2022-12-09,10.79,11.29
2022-12-12,11.0,10.22
2022-12-13,10.86,9.6
2022-12-14,9.47,9.22
2022-12-15,8.92,9.31
2022-12-16,9.45,8.63
2022-12-19,8.95,8.59
2022-12-20,8.21,7.51
2022-12-21,7.64,7.49
2022-12-22,7.36,6.49
2022-12-23,6.57,6.31
2022-12-27,5.87,5.23
2022-12-28,5.33,5.48
2022-12-29,6.05,6.15
2022-12-30,6.01,6.25
2023-01-03,5.88,5.09
2023-01-04,5.17,5.48
2023-01-05,5.25,5.25
2023-01-06,4.72,5.44
2023-01-09,5.87,5.92
2023-01-10,6.01,5.86
2023-01-11,6.1,6.17
2023-01-12,6.11,6.19
2023-01-13,5.67,6.1
2023-01-17,6.35,6.78
2023-01-18,7.17,6.58
2023-01-19,6.46,6.44
2023-01-20,6.56,6.92
2023-01-23,7.12,7.72
2023-01-24,7.67,7.74
2023-01-25,7.57,7.78
2023-01-26,9.03,9.05
2023-01-27,9.24,10.55
2023-01-30,10.56,9.55
2023-01-31,9.36,10.1
2023-02-01,10.16,10.82
2023-02-02,11.35,11.43
2023-02-03,11.04,11.58
2023-02-06,11.86,12.03
2023-02-07,12.18,12.21
2023-02-08,12.14,12.63
2023-02-09,13.23,13.19
2023-02-10,12.69,12.16
2023-02-13,11.95,11.96
2023-02-14,11.71,13.32
2023-02-15,13.56,13.78
2023-02-16,13.46,12.62
2023-02-17,12.41,13.2
2023-02-21,12.87,12.15
2023-02-22,12.19,12.46
2023-02-23,12.74,12.56
2023-02-24,12.04,12.08
2023-02-27,12.56,13.07
2023-02-28,13.37,12.9
2023-03-01,12.93,12.6
2023-03-02,11.11,11.5
2023-03-03,11.85,12.13
2023-03-06,12.18,11.74
2023-03-07,11.53,11.19
2023-03-08,10.94,10.69
2023-03-09,10.53,9.89
2023-03-10,10.05,9.92
2023-03-13,9.4,10.0
2023-03-14,10.25,10.77
2023-03-15,10.55,10.5
2023-03-16,10.51,10.82
2023-03-17,10.85,10.47
2023-03-20,10.29,10.74
2023-03-21,11.15,11.95
2023-03-22,12.11,11.36
2023-03-23,11.73,11.47
2023-03-24,11.41,11.3
2023-03-27,11.65,11.42
2023-03-28,11.43,11.19
2023-03-29,11.51,11.59
2023-03-30,11.75,11.72
2023-03-31,11.92,12.79
2023-04-03,12.1,11.63
2023-04-04,11.86,11.44
2023-04-05,11.24,10.8
2023-04-06,10.55,10.76
2023-04-10,10.31,10.69
2023-04-11,10.88,10.89
2023-04-12,11.24,10.35
2023-04-13,10.56,10.79
2023-04-14,10.63,10.72
2023-04-17,10.84,10.9
2023-04-18,10.9,10.66
2023-04-19,10.2,10.33
2023-04-20,9.09,8.82
2023-04-21,8.97,8.99
2023-04-24,8.94,8.77
2023-04-25,8.55,8.61
2023-04-26,8.59,8.06
2023-04-27,7.97,8.56
2023-04-28,8.62,8.89
2023-05-01,8.8,8.68
2023-05-02,8.69,8.57
2023-05-03,8.54,8.59
2023-05-04,8.75,8.62
2023-05-05,8.84,9.33
2023-05-08,9.64,9.48
2023-05-09,9.24,9.25
2023-05-10,9.53,9.21
2023-05-11,9.22,9.5
2023-05-12,9.82,9.15
2023-05-15,9.11,9.02
2023-05-16,8.95,9.03
2023-05-17,9.17,9.62
2023-05-18,9.65,9.86
2023-05-19,9.9,10.14
2023-05-22,10.19,10.86
2023-05-23,10.64,10.59
2023-05-24,10.29,10.34
2023-05-25,10.65,10.47
2023-05-26,10.48,11.21
2023-05-30,11.82,11.91
2023-05-31,11.78,12.14
2023-06-01,12.04,12.47
2023-06-02,12.69,13.05
2023-06-05,13.39,13.38
2023-06-06,13.24,13.71
2023-06-07,14.35,14.03
2023-06-08,13.98,14.98
2023-06-09,16.34,15.88
2023-06-12,16.24,16.4
2023-06-13,16.77,17.3
2023-06-14,17.42,17.07
2023-06-15,16.22,17.0
2023-06-16,17.27,17.45
2023-06-20,17.54,18.85
2023-06-21,18.83,17.2
2023-06-22,16.34,17.72
2023-06-23,17.18,16.9
2023-06-26,16.26,15.36
2023-06-27,15.57,16.25
2023-06-28,16.2,16.84
2023-06-29,17.01,16.95
2023-06-30,17.24,17.36
2023-07-03,18.81,19.16
2023-07-05,19.04,19.41
2023-07-06,18.96,18.8
2023-07-07,18.99,18.58
2023-07-10,18.79,18.07
2023-07-11,17.98,18.1
2023-07-12,18.76,18.31
2023-07-13,18.57,18.9
2023-07-14,18.84,19.25
2023-07-17,19.79,20.18
2023-07-18,20.14,20.48
2023-07-19,20.76,20.26
2023-07-20,19.04,17.31
2023-07-21,17.79,17.01
2023-07-24,16.58,17.9
2023-07-25,18.22,17.5
2023-07-26,17.3,17.42
2023-07-27,17.8,16.55
2023-07-28,16.94,17.6
2023-07-31,17.68,17.67
2023-08-01,17.57,17.05
2023-08-02,16.5,16.37
2023-08-03,16.15,16.86
2023-08-04,17.01,16.31
2023-08-07,16.08,16.07
2023-08-08,15.69,15.91
2023-08-09,16.03,15.2
2023-08-10,15.48,15.49
2023-08-11,15.13,15.21
2023-08-14,14.55,14.95
2023-08-15,14.83,14.31
2023-08-16,13.85,13.62
2023-08-17,13.67,13.03
2023-08-18,12.56,12.7
2023-08-21,13.23,14.1
2023-08-22,14.91,14.27
2023-08-23,13.9,14.59
2023-08-24,14.75,13.96
2023-08-25,14.07,14.73
2023-08-28,15.1,14.76
2023-08-29,14.71,16.44
2023-08-30,16.16,16.43
2023-08-31,16.34,16.52
2023-09-01,16.44,15.26
2023-09-05,15.23,16.33
2023-09-06,16.2,15.9
2023-09-07,15.23,15.83
2023-09-08,15.82,15.55
2023-09-11,17.01,17.91
2023-09-12,17.62,17.3
2023-09-13,17.55,17.67
2023-09-14,17.65,18.12
2023-09-15,18.27,17.96
2023-09-18,17.64,17.06
2023-09-19,16.87,17.05
2023-09-20,17.12,16.69
2023-09-21,16.21,16.02
2023-09-22,16.17,14.99
2023-09-25,14.85,15.18
2023-09-26,14.82,14.93
2023-09-27,14.95,14.57
2023-09-28,14.55,15.11
2023-09-29,15.44,15.47
2023-10-02,14.96,15.59
2023-10-03,15.32,15.12
2023-10-04,15.26,16.46
2023-10-05,16.33,16.32
2023-10-06,15.73,16.37
2023-10-09,15.88,16.28
2023-10-10,16.12,16.65
2023-10-11,16.91,16.61
2023-10-12,16.6,16.22
2023-10-13,16.21,15.46
2023-10-16,15.37,15.74
2023-10-17,15.35,15.82
2023-10-18,15.62,14.68
2023-10-19,13.15,12.63
2023-10-20,12.35,11.92
2023-10-23,11.74,11.92
2023-10-24,12.29,12.3
2023-10-25,12.24,11.95
2023-10-26,11.85,11.37
2023-10-27,11.78,11.5
2023-10-30,11.67,10.67
2023-10-31,10.57,10.95
2023-11-01,11.21,11.35
2023-11-02,11.94,12.41
2023-11-03,12.62,12.51
2023-11-06,12.87,12.45
2023-11-07,12.51,12.71
2023-11-08,12.78,12.7
2023-11-09,12.49,11.65
2023-11-10,11.65,12.03
2023-11-13,12.11,12.79
2023-11-14,13.77,13.96
2023-11-15,14.13,14.45
2023-11-16,14.13,13.6
2023-11-17,13.46,13.69
2023-11-20,13.64,13.78
2023-11-21,13.72,14.26
2023-11-22,14.33,13.64
2023-11-24,13.59,13.75
2023-11-27,13.86,13.8
2023-11-28,13.85,14.73
2023-11-29,14.95,14.5
2023-11-30,14.59,14.11
2023-12-01,13.5,14.0
2023-12-04,13.73,13.72
2023-12-05,13.56,14.01
2023-12-06,14.36,14.05
2023-12-07,14.25,14.33
2023-12-08,13.84,14.14
2023-12-11,14.08,13.78
2023-12-12,13.68,13.55
2023-12-13,13.31,13.75
2023-12-14,13.91,14.76
2023-12-15,14.77,14.95
2023-12-18,15.01,14.85
2023-12-19,14.95,15.29
2023-12-20,15.23,14.4
2023-12-21,14.7,14.91
2023-12-22,15.11,14.73
2023-12-26,14.9,15.08
2023-12-27,15.23,15.51
2023-12-28,15.7,14.77
2023-12-29,14.93,14.36
2024-01-02,14.49,14.35
2024-01-03,14.04,13.47
2024-01-04,13.53,13.43
2024-01-05,13.33,13.37
2024-01-08,13.27,13.63
2024-01-09,13.43,13.15
2024-01-10,13.17,13.07
2024-01-11,12.78,12.5
2024-01-12,11.92,11.81
2024-01-16,11.52,11.9
2024-01-17,11.47,11.54
2024-01-18,11.65,11.24
2024-01-19,11.07,11.26
2024-01-22,11.26,10.98
2024-01-23,11.18,11.01
2024-01-24,11.23,10.9
2024-01-25,9.46,8.93
2024-01-26,9.12,8.96
2024-01-29,9.14,9.52
2024-01-30,9.84,9.56
2024-01-31,9.22,9.24
2024-02-01,9.32,9.34
2024-02-02,9.05,9.28
2024-02-05,9.0,8.77
2024-02-06,8.5,9.05
2024-02-07,9.28,9.25
2024-02-08,9.33,9.38
2024-02-09,9.44,9.68
2024-02-12,9.58,9.26
2024-02-13,8.96,8.96
2024-02-14,9.04,9.31
2024-02-15,9.34,10.16
2024-02-16,10.31,10.12
2024-02-20,9.84,9.65
2024-02-21,9.61,9.72
2024-02-22,9.67,9.9
2024-02-23,9.76,9.5
2024-02-26,9.51,10.06
2024-02-27,10.4,10.08
2024-02-28,10.12,10.25
2024-02-29,10.41,10.23
2024-03-01,10.12,10.28
2024-03-04,9.98,9.18
2024-03-05,8.8,8.64
2024-03-06,8.57,8.34
2024-03-07,8.17,8.48
2024-03-08,8.69,8.24
2024-03-11,8.24,8.41
2024-03-12,8.41,8.4
2024-03-13,8.07,7.82
2024-03-14,7.69,7.34
2024-03-15,7.39,7.4
2024-03-18,7.83,8.1
2024-03-19,7.9,7.85
2024-03-20,7.96,8.14
2024-03-21,8.18,7.94
2024-03-22,7.51,7.79
2024-03-25,7.65,7.92
2024-03-26,8.33,8.27
2024-03-27,8.53,8.4
2024-03-28,8.23,8.11
2024-04-01,8.15,8.08
2024-04-02,7.11,7.29
2024-04-03,7.06,7.44
2024-04-04,7.58,7.67
2024-04-05,7.49,7.11
2024-04-08,7.49,7.81
2024-04-09,7.8,8.15
2024-04-10,7.81,7.67
2024-04-11,7.75,7.93
2024-04-12,7.71,7.59
2024-04-15,7.52,6.75
2024-04-16,6.36,6.38
2024-04-17,6.41,6.24
2024-04-18,5.9,5.79
2024-04-19,5.71,5.57
2024-04-22,5.08,5.19
2024-04-23,5.28,5.39
2024-04-24,6.74,6.66
2024-04-25,6.41,7.34
2024-04-26,7.21,7.15
2024-04-29,8.87,9.36
2024-04-30,8.68,8.33
2024-05-01,8.19,8.01
2024-05-02,8.25,8.01
2024-05-03,8.18,8.11
2024-05-06,8.34,8.43
2024-05-07,8.21,7.78
2024-05-08,7.23,7.52
2024-05-09,7.54,7.27
2024-05-10,7.37,6.98
2024-05-13,7.09,7.25
2024-05-14,7.47,7.72
2024-05-15,7.94,7.42
2024-05-16,7.43,7.47
2024-05-17,7.37,7.7
2024-05-20,7.71,7.49
2024-05-21,7.53,8.47
2024-05-22,8.13,7.89
2024-05-23,8.03,7.32
